x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.20306 0.16626 0.42873 0.50267 0.00000 0.942 0.030 1236.119 0.01682
0.20336 0.16651 0.42936 0.50342 0.00188 0.986 0.031 1236.149 0.01685
0.20366 0.16675 0.42999 0.50416 0.00376 0.981 0.031 1236.179 0.01687
0.20396 0.16700 0.43063 0.50491 0.00564 0.990 0.031 1236.209 0.01690
0.20426 0.16724 0.43126 0.50565 0.00752 1.020 0.031 1236.239 0.01692
0.20456 0.16749 0.43190 0.50639 0.00940 1.023 0.031 1236.269 0.01694
0.20486 0.16774 0.43253 0.50714 0.01128 0.990 0.031 1236.299 0.01697
0.20516 0.16798 0.43317 0.50788 0.01316 0.994 0.031 1236.328 0.01699
0.20546 0.16823 0.43380 0.50863 0.01504 0.984 0.031 1236.358 0.01702
0.20577 0.16847 0.43444 0.50937 0.01692 1.042 0.032 1236.388 0.01704
0.20607 0.16872 0.43507 0.51012 0.01880 1.010 0.031 1236.418 0.01707
0.20637 0.16897 0.43571 0.51086 0.02068 0.962 0.030 1236.448 0.01709
0.20667 0.16921 0.43634 0.51160 0.02256 0.982 0.031 1236.478 0.01712
0.20697 0.16946 0.43698 0.51235 0.02444 1.025 0.031 1236.508 0.01714
0.20727 0.16971 0.43761 0.51309 0.02632 1.008 0.031 1236.538 0.01717
0.20757 0.16995 0.43825 0.51384 0.02820 1.028 0.031 1236.568 0.01719
0.20787 0.17020 0.43888 0.51458 0.03008 1.043 0.032 1236.597 0.01721
0.20817 0.17044 0.43952 0.51533 0.03196 1.031 0.032 1236.627 0.01724
0.20847 0.17069 0.44015 0.51607 0.03385 0.991 0.031 1236.657 0.01726
0.20877 0.17094 0.44079 0.51682 0.03573 0.992 0.031 1236.687 0.01729
0.20907 0.17118 0.44142 0.51756 0.03761 1.051 0.032 1236.717 0.01731
0.20937 0.17143 0.44206 0.51831 0.03949 1.101 0.033 1236.747 0.01734
0.20967 0.17168 0.44269 0.51905 0.04137 1.074 0.032 1236.777 0.01736
0.20998 0.17192 0.44333 0.51979 0.04325 1.039 0.032 1236.807 0.01739
0.21028 0.17217 0.44396 0.52054 0.04513 1.014 0.031 1236.837 0.01741
0.21058 0.17241 0.44460 0.52128 0.04701 0.981 0.031 1236.866 0.01744
0.21088 0.17266 0.44523 0.52203 0.04890 1.046 0.032 1236.896 0.01746
0.21118 0.17291 0.44587 0.52277 0.05078 1.047 0.032 1236.926 0.01749
0.21148 0.17315 0.44650 0.52352 0.05266 0.940 0.030 1236.956 0.01751
0.21178 0.17340 0.44714 0.52426 0.05454 0.965 0.030 1236.986 0.01753
0.21208 0.17365 0.44777 0.52501 0.05642 1.020 0.031 1237.016 0.01756
0.21238 0.17389 0.44841 0.52575 0.05830 1.002 0.031 1237.046 0.01758
0.21268 0.17414 0.44904 0.52650 0.06019 1.062 0.032 1237.076 0.01761
0.21298 0.17439 0.44968 0.52724 0.06207 1.043 0.032 1237.106 0.01763
0.21329 0.17463 0.45032 0.52799 0.06395 0.963 0.030 1237.135 0.01766
0.21359 0.17488 0.45095 0.52873 0.06583 0.996 0.031 1237.165 0.01768
0.21389 0.17512 0.45159 0.52948 0.06771 1.022 0.031 1237.195 0.01771
0.21419 0.17537 0.45222 0.53022 0.06960 0.999 0.031 1237.225 0.01773
0.21449 0.17562 0.45286 0.53097 0.07148 0.977 0.031 1237.255 0.01776
0.21479 0.17586 0.45349 0.53171 0.07336 1.015 0.031 1237.285 0.01778
0.21509 0.17611 0.45413 0.53246 0.07524 1.038 0.032 1237.315 0.01780
0.21539 0.17636 0.45476 0.53320 0.07713 1.000 0.031 1237.345 0.01783
0.21569 0.17660 0.45540 0.53395 0.07901 1.006 0.031 1237.375 0.01785
0.21599 0.17685 0.45603 0.53469 0.08089 0.980 0.031 1237.405 0.01788
0.21630 0.17710 0.45667 0.53544 0.08277 1.070 0.032 1237.434 0.01790
0.21660 0.17734 0.45731 0.53618 0.08466 1.016 0.031 1237.464 0.01793
0.21690 0.17759 0.45794 0.53693 0.08654 1.026 0.031 1237.494 0.01795
0.21720 0.17784 0.45858 0.53767 0.08842 1.006 0.031 1237.524 0.01798
0.21750 0.17808 0.45921 0.53842 0.09030 0.990 0.031 1237.554 0.01800
0.21780 0.17833 0.45985 0.53917 0.09219 1.052 0.032 1237.584 0.01803
0.21810 0.17858 0.46048 0.53991 0.09407 1.044 0.032 1237.614 0.01805
0.21840 0.17882 0.46112 0.54066 0.09595 1.007 0.031 1237.644 0.01808
0.21870 0.17907 0.46176 0.54140 0.09784 0.977 0.031 1237.674 0.01810
0.21901 0.17931 0.46239 0.54215 0.09972 0.977 0.031 1237.703 0.01812
0.21931 0.17956 0.46303 0.54289 0.10160 0.964 0.030 1237.733 0.01815
0.21961 0.17981 0.46366 0.54364 0.10349 1.033 0.031 1237.763 0.01817
0.21991 0.18005 0.46430 0.54438 0.10537 1.001 0.031 1237.793 0.01820
0.22021 0.18030 0.46494 0.54513 0.10725 1.048 0.032 1237.823 0.01822
0.22051 0.18055 0.46557 0.54587 0.10914 0.980 0.031 1237.853 0.01825
0.22081 0.18079 0.46621 0.54662 0.11102 0.992 0.031 1237.883 0.01827
0.22111 0.18104 0.46684 0.54737 0.11290 1.022 0.031 1237.913 0.01830
0.22141 0.18129 0.46748 0.54811 0.11479 1.056 0.032 1237.943 0.01832
0.22172 0.18153 0.46812 0.54886 0.11667 1.046 0.032 1237.972 0.01835
0.22202 0.18178 0.46875 0.54960 0.11856 1.031 0.031 1238.002 0.01837
0.22232 0.18203 0.46939 0.55035 0.12044 0.954 0.030 1238.032 0.01840
0.22262 0.18227 0.47002 0.55109 0.12232 1.005 0.031 1238.062 0.01842
0.22292 0.18252 0.47066 0.55184 0.12421 0.999 0.031 1238.092 0.01844
0.22322 0.18277 0.47130 0.55259 0.12609 0.958 0.030 1238.122 0.01847
0.22352 0.18301 0.47193 0.55333 0.12798 0.981 0.031 1238.152 0.01849
0.22382 0.18326 0.47257 0.55408 0.12986 1.054 0.032 1238.182 0.01852
0.22413 0.18351 0.47320 0.55482 0.13175 1.062 0.032 1238.212 0.01854
