x y z dist_scaled dist_frac flux_norm wavelength redshift
0.23632 -0.22054 0.38484 0.50258 0.00000 0.939 1236.115 0.01682
0.23667 -0.22087 0.38541 0.50333 0.00188 1.024 1236.145 0.01684
0.23702 -0.22119 0.38598 0.50407 0.00375 1.034 1236.175 0.01687
0.23737 -0.22152 0.38655 0.50481 0.00563 1.071 1236.205 0.01689
0.23772 -0.22185 0.38712 0.50556 0.00751 0.982 1236.235 0.01692
0.23807 -0.22217 0.38769 0.50630 0.00938 1.001 1236.265 0.01694
0.23842 -0.22250 0.38826 0.50705 0.01126 1.068 1236.295 0.01697
0.23877 -0.22282 0.38883 0.50779 0.01313 1.058 1236.325 0.01699
0.23912 -0.22315 0.38940 0.50853 0.01501 1.036 1236.355 0.01701
0.23947 -0.22348 0.38997 0.50928 0.01689 0.987 1236.384 0.01704
0.23982 -0.22380 0.39054 0.51002 0.01876 0.998 1236.414 0.01706
0.24017 -0.22413 0.39111 0.51077 0.02064 1.028 1236.444 0.01709
0.24052 -0.22446 0.39168 0.51151 0.02252 1.032 1236.474 0.01711
0.24087 -0.22478 0.39225 0.51225 0.02440 0.953 1236.504 0.01714
0.24122 -0.22511 0.39282 0.51300 0.02627 1.007 1236.534 0.01716
0.24157 -0.22544 0.39339 0.51374 0.02815 0.982 1236.564 0.01719
0.24192 -0.22576 0.39395 0.51449 0.03003 0.909 1236.594 0.01721
0.24227 -0.22609 0.39452 0.51523 0.03190 0.985 1236.623 0.01724
0.24262 -0.22642 0.39509 0.51597 0.03378 0.976 1236.653 0.01726
0.24297 -0.22674 0.39566 0.51672 0.03566 0.975 1236.683 0.01729
0.24332 -0.22707 0.39623 0.51746 0.03754 1.009 1236.713 0.01731
0.24367 -0.22740 0.39680 0.51821 0.03941 1.035 1236.743 0.01733
0.24402 -0.22772 0.39737 0.51895 0.04129 0.992 1236.773 0.01736
0.24437 -0.22805 0.39794 0.51970 0.04317 1.082 1236.803 0.01738
0.24472 -0.22838 0.39851 0.52044 0.04505 0.998 1236.833 0.01741
0.24507 -0.22870 0.39908 0.52118 0.04692 1.069 1236.862 0.01743
0.24542 -0.22903 0.39965 0.52193 0.04880 1.023 1236.892 0.01746
0.24577 -0.22936 0.40022 0.52267 0.05068 0.920 1236.922 0.01748
0.24612 -0.22968 0.40079 0.52342 0.05256 0.987 1236.952 0.01751
0.24647 -0.23001 0.40136 0.52416 0.05444 0.924 1236.982 0.01753
0.24682 -0.23034 0.40193 0.52491 0.05631 0.922 1237.012 0.01756
0.24717 -0.23066 0.40250 0.52565 0.05819 0.951 1237.042 0.01758
0.24752 -0.23099 0.40307 0.52640 0.06007 0.997 1237.072 0.01760
0.24787 -0.23132 0.40364 0.52714 0.06195 0.960 1237.101 0.01763
0.24822 -0.23164 0.40421 0.52788 0.06383 0.952 1237.131 0.01765
0.24857 -0.23197 0.40479 0.52863 0.06571 1.000 1237.161 0.01768
0.24892 -0.23230 0.40536 0.52937 0.06758 0.974 1237.191 0.01770
0.24927 -0.23262 0.40593 0.53012 0.06946 0.935 1237.221 0.01773
0.24962 -0.23295 0.40650 0.53086 0.07134 1.055 1237.251 0.01775
0.24997 -0.23328 0.40707 0.53161 0.07322 1.018 1237.281 0.01778
0.25032 -0.23360 0.40764 0.53235 0.07510 0.965 1237.311 0.01780
0.25067 -0.23393 0.40821 0.53310 0.07698 0.966 1237.341 0.01783
0.25102 -0.23426 0.40878 0.53384 0.07886 0.950 1237.370 0.01785
0.25137 -0.23458 0.40935 0.53459 0.08074 0.886 1237.400 0.01788
0.25172 -0.23491 0.40992 0.53533 0.08261 0.957 1237.430 0.01790
0.25207 -0.23524 0.41049 0.53608 0.08449 1.012 1237.460 0.01792
0.25242 -0.23556 0.41106 0.53682 0.08637 0.995 1237.490 0.01795
0.25278 -0.23589 0.41163 0.53757 0.08825 1.028 1237.520 0.01797
0.25313 -0.23622 0.41220 0.53831 0.09013 0.990 1237.550 0.01800
0.25348 -0.23655 0.41277 0.53906 0.09201 0.946 1237.580 0.01802
0.25383 -0.23687 0.41334 0.53980 0.09389 0.920 1237.609 0.01805
0.25418 -0.23720 0.41391 0.54055 0.09577 0.926 1237.639 0.01807
0.25453 -0.23753 0.41448 0.54129 0.09765 0.816 1237.669 0.01810
0.25488 -0.23785 0.41505 0.54204 0.09953 0.774 1237.699 0.01812
0.25523 -0.23818 0.41562 0.54278 0.10141 0.620 1237.729 0.01815
0.25558 -0.23851 0.41619 0.54353 0.10329 0.537 1237.759 0.01817
0.25593 -0.23883 0.41676 0.54427 0.10517 0.465 1237.789 0.01819
0.25628 -0.23916 0.41733 0.54502 0.10705 0.521 1237.819 0.01822
0.25663 -0.23949 0.41791 0.54576 0.10893 0.493 1237.848 0.01824
0.25698 -0.23982 0.41848 0.54651 0.11081 0.522 1237.878 0.01827
0.25733 -0.24014 0.41905 0.54725 0.11269 0.658 1237.908 0.01829
0.25768 -0.24047 0.41962 0.54800 0.11457 0.724 1237.938 0.01832
0.25803 -0.24080 0.42019 0.54874 0.11645 0.825 1237.968 0.01834
0.25838 -0.24112 0.42076 0.54949 0.11833 0.879 1237.998 0.01837
0.25873 -0.24145 0.42133 0.55024 0.12021 0.881 1238.028 0.01839
0.25908 -0.24178 0.42190 0.55098 0.12209 0.929 1238.058 0.01842
0.25943 -0.24210 0.42247 0.55173 0.12397 0.975 1238.087 0.01844
0.25978 -0.24243 0.42304 0.55247 0.12585 0.956 1238.117 0.01847
0.26013 -0.24276 0.42361 0.55322 0.12773 1.061 1238.147 0.01849
0.26048 -0.24309 0.42418 0.55396 0.12961 0.923 1238.177 0.01851
0.26084 -0.24341 0.42476 0.55471 0.13149 0.974 1238.207 0.01854
0.26119 -0.24374 0.42533 0.55545 0.13338 0.993 1238.237 0.01856
0.26154 -0.24407 0.42590 0.55620 0.13526 0.974 1238.267 0.01859
0.26189 -0.24439 0.42647 0.55695 0.13714 1.009 1238.297 0.01861
0.26224 -0.24472 0.42704 0.55769 0.13902 1.055 1238.327 0.01864
0.26259 -0.24505 0.42761 0.55844 0.14090 1.023 1238.356 0.01866
0.26294 -0.24538 0.42818 0.55918 0.14278 1.028 1238.386 0.01869
0.26329 -0.24570 0.42875 0.55993 0.14466 0.929 1238.416 0.01871
0.26364 -0.24603 0.42932 0.56067 0.14654 0.932 1238.446 0.01874
0.26399 -0.24636 0.42989 0.56142 0.14843 0.979 1238.476 0.01876
0.26434 -0.24669 0.43047 0.56217 0.15031 0.923 1238.506 0.01878
0.26469 -0.24701 0.43104 0.56291 0.15219 0.892 1238.536 0.01881
0.26504 -0.24734 0.43161 0.56366 0.15407 0.991 1238.566 0.01883
0.26539 -0.24767 0.43218 0.56440 0.15595 0.893 1238.595 0.01886
0.26575 -0.24799 0.43275 0.56515 0.15783 1.008 1238.625 0.01888
0.26610 -0.24832 0.43332 0.56590 0.15972 0.915 1238.655 0.01891
0.26645 -0.24865 0.43389 0.56664 0.16160 0.951 1238.685 0.01893
0.26680 -0.24898 0.43446 0.56739 0.16348 0.941 1238.715 0.01896
0.26715 -0.24930 0.43504 0.56813 0.16536 0.952 1238.745 0.01898
0.26750 -0.24963 0.43561 0.56888 0.16724 0.929 1238.775 0.01901
0.26785 -0.24996 0.43618 0.56963 0.16913 0.914 1238.805 0.01903
0.26820 -0.25029 0.43675 0.57037 0.17101 0.926 1238.834 0.01905
0.26855 -0.25061 0.43732 0.57112 0.17289 0.922 1238.864 0.01908
0.26890 -0.25094 0.43789 0.57186 0.17477 0.874 1238.894 0.01910
0.26925 -0.25127 0.43846 0.57261 0.17665 0.955 1238.924 0.01913
0.26960 -0.25160 0.43903 0.57336 0.17854 0.944 1238.954 0.01915
0.26996 -0.25192 0.43961 0.57410 0.18042 0.833 1238.984 0.01918
0.27031 -0.25225 0.44018 0.57485 0.18230 0.852 1239.014 0.01920
0.27066 -0.25258 0.44075 0.57560 0.18419 0.947 1239.044 0.01923
0.27101 -0.25291 0.44132 0.57634 0.18607 0.876 1239.073 0.01925
0.27136 -0.25323 0.44189 0.57709 0.18795 0.891 1239.103 0.01928
0.27171 -0.25356 0.44246 0.57784 0.18983 0.963 1239.133 0.01930
0.27206 -0.25389 0.44304 0.57858 0.19172 0.904 1239.163 0.01933
0.27241 -0.25422 0.44361 0.57933 0.19360 0.888 1239.193 0.01935
0.27276 -0.25454 0.44418 0.58007 0.19548 0.932 1239.223 0.01937
0.27311 -0.25487 0.44475 0.58082 0.19737 0.910 1239.253 0.01940
0.27347 -0.25520 0.44532 0.58157 0.19925 0.889 1239.283 0.01942
0.27382 -0.25553 0.44589 0.58231 0.20113 0.818 1239.313 0.01945
0.27417 -0.25585 0.44647 0.58306 0.20302 0.862 1239.342 0.01947
0.27452 -0.25618 0.44704 0.58381 0.20490 0.966 1239.372 0.01950
0.27487 -0.25651 0.44761 0.58455 0.20678 0.897 1239.402 0.01952
0.27522 -0.25684 0.44818 0.58530 0.20867 0.915 1239.432 0.01955
0.27557 -0.25717 0.44875 0.58605 0.21055 0.971 1239.462 0.01957
0.27592 -0.25749 0.44932 0.58679 0.21243 0.924 1239.492 0.01960
0.27627 -0.25782 0.44990 0.58754 0.21432 0.971 1239.522 0.01962
0.27663 -0.25815 0.45047 0.58829 0.21620 1.032 1239.552 0.01964
0.27698 -0.25848 0.45104 0.58904 0.21809 0.994 1239.581 0.01967
0.27733 -0.25880 0.45161 0.58978 0.21997 0.917 1239.611 0.01969
0.27768 -0.25913 0.45218 0.59053 0.22185 0.936 1239.641 0.01972
0.27803 -0.25946 0.45276 0.59128 0.22374 0.917 1239.671 0.01974
0.27838 -0.25979 0.45333 0.59202 0.22562 0.938 1239.701 0.01977
0.27873 -0.26011 0.45390 0.59277 0.22751 0.961 1239.731 0.01979
0.27908 -0.26044 0.45447 0.59352 0.22939 0.880 1239.761 0.01982
