x y z dist_scaled dist_frac flux_norm
0.16159 -0.20737 0.42834 0.50258 0.00000 1.103
0.16183 -0.20767 0.42898 0.50333 0.00188 0.970
0.16207 -0.20798 0.42961 0.50407 0.00375 0.977
0.16231 -0.20829 0.43024 0.50481 0.00563 1.101
0.16255 -0.20859 0.43088 0.50556 0.00751 0.989
0.16279 -0.20890 0.43151 0.50630 0.00938 0.777
0.16303 -0.20921 0.43215 0.50705 0.01126 1.080
0.16326 -0.20951 0.43278 0.50779 0.01313 0.851
0.16350 -0.20982 0.43341 0.50853 0.01501 0.866
0.16374 -0.21013 0.43405 0.50928 0.01689 1.059
0.16398 -0.21043 0.43468 0.51002 0.01876 1.056
0.16422 -0.21074 0.43532 0.51077 0.02064 1.015
0.16446 -0.21105 0.43595 0.51151 0.02252 1.029
0.16470 -0.21136 0.43658 0.51225 0.02440 0.903
0.16494 -0.21166 0.43722 0.51300 0.02627 0.905
0.16518 -0.21197 0.43785 0.51374 0.02815 0.953
0.16542 -0.21228 0.43849 0.51449 0.03003 1.100
0.16566 -0.21258 0.43912 0.51523 0.03190 1.083
0.16590 -0.21289 0.43976 0.51597 0.03378 0.859
0.16614 -0.21320 0.44039 0.51672 0.03566 1.025
0.16637 -0.21351 0.44102 0.51746 0.03754 0.895
0.16661 -0.21381 0.44166 0.51821 0.03941 0.990
0.16685 -0.21412 0.44229 0.51895 0.04129 1.041
0.16709 -0.21443 0.44293 0.51970 0.04317 0.877
0.16733 -0.21473 0.44356 0.52044 0.04505 0.869
0.16757 -0.21504 0.44420 0.52118 0.04692 0.922
0.16781 -0.21535 0.44483 0.52193 0.04880 0.940
0.16805 -0.21565 0.44546 0.52267 0.05068 1.045
0.16829 -0.21596 0.44610 0.52342 0.05256 0.945
0.16853 -0.21627 0.44673 0.52416 0.05444 0.975
0.16877 -0.21658 0.44737 0.52491 0.05631 1.016
0.16901 -0.21688 0.44800 0.52565 0.05819 0.759
0.16925 -0.21719 0.44864 0.52640 0.06007 0.844
0.16949 -0.21750 0.44927 0.52714 0.06195 1.013
0.16973 -0.21781 0.44991 0.52788 0.06383 1.019
0.16997 -0.21811 0.45054 0.52863 0.06571 1.007
0.17020 -0.21842 0.45118 0.52937 0.06758 1.080
0.17044 -0.21873 0.45181 0.53012 0.06946 0.960
0.17068 -0.21903 0.45245 0.53086 0.07134 0.815
0.17092 -0.21934 0.45308 0.53161 0.07322 1.037
0.17116 -0.21965 0.45372 0.53235 0.07510 1.138
0.17140 -0.21996 0.45435 0.53310 0.07698 0.952
0.17164 -0.22026 0.45498 0.53384 0.07886 0.852
0.17188 -0.22057 0.45562 0.53459 0.08074 0.847
0.17212 -0.22088 0.45625 0.53533 0.08261 0.859
0.17236 -0.22119 0.45689 0.53608 0.08449 0.933
0.17260 -0.22149 0.45752 0.53682 0.08637 0.859
0.17284 -0.22180 0.45816 0.53757 0.08825 0.946
0.17308 -0.22211 0.45879 0.53831 0.09013 0.957
0.17332 -0.22242 0.45943 0.53906 0.09201 0.908
0.17356 -0.22272 0.46006 0.53980 0.09389 0.903
0.17380 -0.22303 0.46070 0.54055 0.09577 0.876
0.17404 -0.22334 0.46133 0.54129 0.09765 0.910
0.17428 -0.22364 0.46197 0.54204 0.09953 0.918
0.17452 -0.22395 0.46260 0.54278 0.10141 0.989
0.17476 -0.22426 0.46324 0.54353 0.10329 1.146
0.17500 -0.22457 0.46387 0.54427 0.10517 0.962
0.17523 -0.22487 0.46451 0.54502 0.10705 1.071
0.17547 -0.22518 0.46514 0.54576 0.10893 0.852
0.17571 -0.22549 0.46578 0.54651 0.11081 0.964
0.17595 -0.22580 0.46642 0.54725 0.11269 1.041
0.17619 -0.22610 0.46705 0.54800 0.11457 0.969
0.17643 -0.22641 0.46769 0.54874 0.11645 0.885
0.17667 -0.22672 0.46832 0.54949 0.11833 1.010
0.17691 -0.22703 0.46896 0.55024 0.12021 0.985
0.17715 -0.22734 0.46959 0.55098 0.12209 0.926
0.17739 -0.22764 0.47023 0.55173 0.12397 0.850
0.17763 -0.22795 0.47086 0.55247 0.12585 0.999
0.17787 -0.22826 0.47150 0.55322 0.12773 0.989
0.17811 -0.22857 0.47213 0.55396 0.12961 0.754
0.17835 -0.22887 0.47277 0.55471 0.13149 1.021
0.17859 -0.22918 0.47340 0.55545 0.13338 0.854
0.17883 -0.22949 0.47404 0.55620 0.13526 0.918
0.17907 -0.22980 0.47468 0.55695 0.13714 0.989
0.17931 -0.23010 0.47531 0.55769 0.13902 1.072
0.17955 -0.23041 0.47595 0.55844 0.14090 0.965
0.17979 -0.23072 0.47658 0.55918 0.14278 0.899
0.18003 -0.23103 0.47722 0.55993 0.14466 1.013
0.18027 -0.23133 0.47785 0.56067 0.14654 0.935
0.18051 -0.23164 0.47849 0.56142 0.14843 1.107
0.18075 -0.23195 0.47912 0.56217 0.15031 1.039
0.18099 -0.23226 0.47976 0.56291 0.15219 0.970
0.18123 -0.23257 0.48040 0.56366 0.15407 1.032
0.18147 -0.23287 0.48103 0.56440 0.15595 1.020
0.18171 -0.23318 0.48167 0.56515 0.15783 1.113
