x y z dist_scaled dist_frac absorption
0.16154 -0.20730 0.42821 0.50243 0.00000 0.104
0.16178 -0.20761 0.42884 0.50317 0.00188 -0.042
0.16202 -0.20792 0.42948 0.50391 0.00375 -0.077
0.16226 -0.20822 0.43011 0.50466 0.00563 0.015
0.16250 -0.20853 0.43075 0.50540 0.00750 -0.054
0.16274 -0.20884 0.43138 0.50615 0.00938 0.085
0.16297 -0.20914 0.43201 0.50689 0.01126 0.050
0.16321 -0.20945 0.43265 0.50763 0.01313 0.257
0.16345 -0.20976 0.43328 0.50838 0.01501 0.096
0.16369 -0.21006 0.43392 0.50912 0.01689 -0.018
0.16393 -0.21037 0.43455 0.50987 0.01876 -0.154
0.16417 -0.21068 0.43519 0.51061 0.02064 -0.107
0.16441 -0.21099 0.43582 0.51136 0.02252 -0.039
0.16465 -0.21129 0.43646 0.51210 0.02440 0.019
0.16489 -0.21160 0.43709 0.51285 0.02627 0.008
0.16513 -0.21191 0.43772 0.51359 0.02815 0.042
0.16537 -0.21221 0.43836 0.51433 0.03003 -0.162
0.16561 -0.21252 0.43899 0.51508 0.03190 -0.094
0.16585 -0.21283 0.43963 0.51582 0.03378 0.056
0.16609 -0.21314 0.44026 0.51657 0.03566 0.043
0.16633 -0.21344 0.44090 0.51731 0.03754 -0.080
0.16656 -0.21375 0.44153 0.51806 0.03941 0.101
0.16680 -0.21406 0.44217 0.51880 0.04129 -0.247
0.16704 -0.21436 0.44280 0.51955 0.04317 0.148
0.16728 -0.21467 0.44344 0.52029 0.04505 0.059
0.16752 -0.21498 0.44407 0.52104 0.04692 -0.054
0.16776 -0.21529 0.44470 0.52178 0.04880 -0.120
0.16800 -0.21559 0.44534 0.52253 0.05068 -0.076
0.16824 -0.21590 0.44597 0.52327 0.05256 -0.108
0.16848 -0.21621 0.44661 0.52401 0.05444 -0.029
0.16872 -0.21652 0.44724 0.52476 0.05631 0.016
0.16896 -0.21682 0.44788 0.52550 0.05819 0.019
0.16920 -0.21713 0.44851 0.52625 0.06007 0.130
0.16944 -0.21744 0.44915 0.52699 0.06195 0.063
0.16968 -0.21775 0.44978 0.52774 0.06383 -0.138
0.16992 -0.21805 0.45042 0.52848 0.06571 -0.229
0.17016 -0.21836 0.45105 0.52923 0.06758 -0.048
0.17040 -0.21867 0.45169 0.52997 0.06946 -0.069
0.17064 -0.21897 0.45232 0.53072 0.07134 0.112
0.17088 -0.21928 0.45296 0.53146 0.07322 -0.002
0.17112 -0.21959 0.45359 0.53221 0.07510 -0.102
0.17135 -0.21990 0.45423 0.53295 0.07698 -0.122
0.17159 -0.22020 0.45486 0.53370 0.07886 0.113
0.17183 -0.22051 0.45550 0.53445 0.08074 0.001
0.17207 -0.22082 0.45613 0.53519 0.08261 0.146
0.17231 -0.22113 0.45677 0.53594 0.08449 -0.155
0.17255 -0.22143 0.45740 0.53668 0.08637 0.191
0.17279 -0.22174 0.45804 0.53743 0.08825 -0.044
0.17303 -0.22205 0.45867 0.53817 0.09013 -0.019
0.17327 -0.22236 0.45931 0.53892 0.09201 0.014
0.17351 -0.22266 0.45995 0.53966 0.09389 0.025
0.17375 -0.22297 0.46058 0.54041 0.09577 0.084
0.17399 -0.22328 0.46122 0.54115 0.09765 0.026
0.17423 -0.22359 0.46185 0.54190 0.09953 0.117
0.17447 -0.22390 0.46249 0.54264 0.10141 -0.073
0.17471 -0.22420 0.46312 0.54339 0.10329 -0.027
0.17495 -0.22451 0.46376 0.54414 0.10517 -0.247
0.17519 -0.22482 0.46439 0.54488 0.10705 -0.016
0.17543 -0.22513 0.46503 0.54563 0.10893 -0.003
0.17567 -0.22543 0.46566 0.54637 0.11081 -0.015
0.17591 -0.22574 0.46630 0.54712 0.11269 0.075
0.17615 -0.22605 0.46693 0.54786 0.11457 -0.113
0.17639 -0.22636 0.46757 0.54861 0.11645 -0.058
0.17663 -0.22666 0.46821 0.54935 0.11833 0.010
0.17687 -0.22697 0.46884 0.55010 0.12021 -0.001
0.17711 -0.22728 0.46948 0.55085 0.12209 -0.154
0.17735 -0.22759 0.47011 0.55159 0.12397 0.011
0.17759 -0.22789 0.47075 0.55234 0.12585 0.166
0.17783 -0.22820 0.47138 0.55308 0.12773 -0.164
0.17807 -0.22851 0.47202 0.55383 0.12961 0.089
0.17831 -0.22882 0.47266 0.55458 0.13149 0.078
0.17855 -0.22913 0.47329 0.55532 0.13337 0.046
0.17879 -0.22943 0.47393 0.55607 0.13526 0.102
0.17903 -0.22974 0.47456 0.55681 0.13714 0.156
0.17927 -0.23005 0.47520 0.55756 0.13902 -0.239
0.17951 -0.23036 0.47583 0.55831 0.14090 -0.116
0.17975 -0.23066 0.47647 0.55905 0.14278 0.071
0.17999 -0.23097 0.47711 0.55980 0.14466 -0.074
0.18023 -0.23128 0.47774 0.56054 0.14654 0.070
0.18047 -0.23159 0.47838 0.56129 0.14842 -0.062
0.18070 -0.23190 0.47901 0.56204 0.15031 0.083
0.18094 -0.23220 0.47965 0.56278 0.15219 -0.214
0.18118 -0.23251 0.48029 0.56353 0.15407 0.028
0.18142 -0.23282 0.48092 0.56428 0.15595 0.039
0.18166 -0.23313 0.48156 0.56502 0.15783 -0.094
0.18190 -0.23344 0.48219 0.56577 0.15971 0.074
0.18214 -0.23374 0.48283 0.56651 0.16160 0.028
0.18238 -0.23405 0.48347 0.56726 0.16348 0.052
0.18262 -0.23436 0.48410 0.56801 0.16536 0.150
0.18286 -0.23467 0.48474 0.56875 0.16724 0.098
0.18310 -0.23498 0.48538 0.56950 0.16912 0.020
0.18334 -0.23528 0.48601 0.57025 0.17101 0.154
0.18358 -0.23559 0.48665 0.57099 0.17289 0.033
0.18382 -0.23590 0.48728 0.57174 0.17477 0.065
0.18406 -0.23621 0.48792 0.57249 0.17665 0.209
0.18430 -0.23652 0.48856 0.57323 0.17854 0.130
0.18454 -0.23682 0.48919 0.57398 0.18042 0.241
0.18478 -0.23713 0.48983 0.57473 0.18230 0.286
0.18502 -0.23744 0.49047 0.57547 0.18418 0.121
0.18526 -0.23775 0.49110 0.57622 0.18607 0.252
0.18551 -0.23806 0.49174 0.57697 0.18795 0.013
0.18575 -0.23836 0.49237 0.57771 0.18983 0.112
0.18599 -0.23867 0.49301 0.57846 0.19172 0.018
0.18623 -0.23898 0.49365 0.57921 0.19360 0.104
0.18647 -0.23929 0.49428 0.57995 0.19548 0.195
0.18671 -0.23960 0.49492 0.58070 0.19737 -0.113
0.18695 -0.23991 0.49556 0.58145 0.19925 -0.040
0.18719 -0.24021 0.49619 0.58219 0.20113 0.134
0.18743 -0.24052 0.49683 0.58294 0.20302 0.013
0.18767 -0.24083 0.49747 0.58369 0.20490 -0.093
0.18791 -0.24114 0.49810 0.58443 0.20678 0.066
0.18815 -0.24145 0.49874 0.58518 0.20867 -0.038
0.18839 -0.24175 0.49938 0.58593 0.21055 0.044
0.18863 -0.24206 0.50001 0.58668 0.21243 0.169
0.18887 -0.24237 0.50065 0.58742 0.21432 -0.294
0.18911 -0.24268 0.50129 0.58817 0.21620 -0.048
0.18935 -0.24299 0.50192 0.58892 0.21809 0.029
0.18959 -0.24330 0.50256 0.58966 0.21997 0.077
0.18983 -0.24360 0.50320 0.59041 0.22185 0.012
0.19007 -0.24391 0.50383 0.59116 0.22374 0.162
0.19031 -0.24422 0.50447 0.59191 0.22562 -0.072
0.19055 -0.24453 0.50511 0.59265 0.22751 0.089
0.19079 -0.24484 0.50575 0.59340 0.22939 0.099
0.19103 -0.24515 0.50638 0.59415 0.23127 0.111
0.19127 -0.24545 0.50702 0.59490 0.23316 0.024
0.19151 -0.24576 0.50766 0.59564 0.23504 0.058
0.19175 -0.24607 0.50829 0.59639 0.23693 0.274
0.19199 -0.24638 0.50893 0.59714 0.23881 0.231
0.19223 -0.24669 0.50957 0.59789 0.24070 0.166
0.19247 -0.24700 0.51020 0.59863 0.24258 0.145
0.19271 -0.24730 0.51084 0.59938 0.24447 0.071
0.19295 -0.24761 0.51148 0.60013 0.24635 0.198
0.19319 -0.24792 0.51212 0.60088 0.24824 0.007
0.19343 -0.24823 0.51275 0.60162 0.25012 -0.144
0.19367 -0.24854 0.51339 0.60237 0.25201 0.093
0.19391 -0.24885 0.51403 0.60312 0.25389 0.255
0.19415 -0.24916 0.51466 0.60387 0.25578 0.104
0.19439 -0.24946 0.51530 0.60461 0.25766 -0.035
0.19463 -0.24977 0.51594 0.60536 0.25955 0.008
0.19488 -0.25008 0.51658 0.60611 0.26143 0.203
0.19512 -0.25039 0.51721 0.60686 0.26332 0.077
0.19536 -0.25070 0.51785 0.60760 0.26521 0.225
0.19560 -0.25101 0.51849 0.60835 0.26709 0.023
0.19584 -0.25131 0.51913 0.60910 0.26898 0.011
0.19608 -0.25162 0.51976 0.60985 0.27086 0.066
0.19632 -0.25193 0.52040 0.61060 0.27275 0.087
0.19656 -0.25224 0.52104 0.61134 0.27463 0.098
0.19680 -0.25255 0.52168 0.61209 0.27652 0.110
0.19704 -0.25286 0.52231 0.61284 0.27841 0.055
0.19728 -0.25317 0.52295 0.61359 0.28029 -0.018
0.19752 -0.25348 0.52359 0.61434 0.28218 -0.028
0.19776 -0.25378 0.52423 0.61508 0.28407 -0.031
0.19800 -0.25409 0.52486 0.61583 0.28595 -0.073
0.19824 -0.25440 0.52550 0.61658 0.28784 0.143
0.19848 -0.25471 0.52614 0.61733 0.28972 -0.017
0.19872 -0.25502 0.52678 0.61808 0.29161 -0.050
0.19896 -0.25533 0.52741 0.61883 0.29350 -0.101
0.19920 -0.25564 0.52805 0.61957 0.29538 0.176
0.19944 -0.25594 0.52869 0.62032 0.29727 0.037
0.19969 -0.25625 0.52933 0.62107 0.29916 -0.046
