x y z dist_scaled dist_frac flux_norm
0.06842 0.15047 0.47472 0.50267 0.00000 1.045
0.06852 0.15069 0.47542 0.50342 0.00188 1.095
0.06862 0.15092 0.47613 0.50416 0.00376 0.994
0.06872 0.15114 0.47683 0.50491 0.00564 0.977
0.06882 0.15136 0.47753 0.50565 0.00752 0.902
0.06892 0.15158 0.47823 0.50639 0.00940 0.932
0.06902 0.15181 0.47894 0.50714 0.01128 0.873
0.06913 0.15203 0.47964 0.50788 0.01316 1.023
0.06923 0.15225 0.48034 0.50863 0.01504 1.036
0.06933 0.15247 0.48105 0.50937 0.01692 0.935
0.06943 0.15270 0.48175 0.51012 0.01880 0.986
0.06953 0.15292 0.48245 0.51086 0.02068 0.946
0.06963 0.15314 0.48315 0.51160 0.02256 1.025
0.06973 0.15337 0.48386 0.51235 0.02444 0.956
0.06984 0.15359 0.48456 0.51309 0.02632 1.019
0.06994 0.15381 0.48526 0.51384 0.02820 1.072
0.07004 0.15403 0.48597 0.51458 0.03008 1.051
0.07014 0.15426 0.48667 0.51533 0.03196 1.084
0.07024 0.15448 0.48737 0.51607 0.03385 0.985
0.07034 0.15470 0.48808 0.51682 0.03573 1.079
0.07044 0.15493 0.48878 0.51756 0.03761 1.049
0.07054 0.15515 0.48948 0.51831 0.03949 1.038
0.07065 0.15537 0.49019 0.51905 0.04137 1.065
0.07075 0.15559 0.49089 0.51979 0.04325 0.991
0.07085 0.15582 0.49159 0.52054 0.04513 0.813
0.07095 0.15604 0.49229 0.52128 0.04701 1.020
0.07105 0.15626 0.49300 0.52203 0.04890 1.085
0.07115 0.15649 0.49370 0.52277 0.05078 1.001
0.07125 0.15671 0.49441 0.52352 0.05266 0.884
0.07136 0.15693 0.49511 0.52426 0.05454 1.016
0.07146 0.15716 0.49581 0.52501 0.05642 0.949
0.07156 0.15738 0.49652 0.52575 0.05830 1.016
0.07166 0.15760 0.49722 0.52650 0.06019 0.987
0.07176 0.15782 0.49792 0.52724 0.06207 0.899
0.07186 0.15805 0.49863 0.52799 0.06395 1.073
0.07196 0.15827 0.49933 0.52873 0.06583 0.798
0.07207 0.15849 0.50003 0.52948 0.06771 0.949
0.07217 0.15872 0.50074 0.53022 0.06960 0.927
0.07227 0.15894 0.50144 0.53097 0.07148 0.940
0.07237 0.15916 0.50214 0.53171 0.07336 1.001
0.07247 0.15939 0.50285 0.53246 0.07524 0.852
0.07257 0.15961 0.50355 0.53320 0.07713 0.884
0.07267 0.15983 0.50426 0.53395 0.07901 1.121
0.07278 0.16005 0.50496 0.53469 0.08089 0.946
0.07288 0.16028 0.50566 0.53544 0.08277 0.947
0.07298 0.16050 0.50637 0.53618 0.08466 1.063
0.07308 0.16072 0.50707 0.53693 0.08654 0.883
0.07318 0.16095 0.50777 0.53767 0.08842 1.079
0.07328 0.16117 0.50848 0.53842 0.09030 0.987
0.07338 0.16139 0.50918 0.53917 0.09219 1.011
0.07349 0.16162 0.50989 0.53991 0.09407 0.962
0.07359 0.16184 0.51059 0.54066 0.09595 0.948
0.07369 0.16206 0.51129 0.54140 0.09784 1.027
0.07379 0.16229 0.51200 0.54215 0.09972 1.053
0.07389 0.16251 0.51270 0.54289 0.10160 0.923
0.07399 0.16273 0.51341 0.54364 0.10349 0.998
0.07409 0.16296 0.51411 0.54438 0.10537 0.923
0.07420 0.16318 0.51481 0.54513 0.10725 0.911
0.07430 0.16340 0.51552 0.54587 0.10914 1.035
0.07440 0.16362 0.51622 0.54662 0.11102 0.979
0.07450 0.16385 0.51693 0.54737 0.11290 1.025
0.07460 0.16407 0.51763 0.54811 0.11479 0.959
0.07470 0.16429 0.51834 0.54886 0.11667 0.930
