x y z dist_scaled dist_frac absorption
-0.02713 -0.15732 0.47639 0.50243 0.00000 0.051
-0.02717 -0.15756 0.47709 0.50317 0.00188 -0.068
-0.02721 -0.15779 0.47780 0.50391 0.00375 -0.121
-0.02725 -0.15802 0.47850 0.50466 0.00563 -0.008
-0.02729 -0.15826 0.47921 0.50540 0.00750 -0.015
-0.02733 -0.15849 0.47992 0.50615 0.00938 -0.063
-0.02737 -0.15872 0.48062 0.50689 0.01126 0.017
-0.02741 -0.15896 0.48133 0.50763 0.01313 -0.036
-0.02745 -0.15919 0.48203 0.50838 0.01501 -0.062
-0.02749 -0.15942 0.48274 0.50912 0.01689 0.021
-0.02753 -0.15965 0.48344 0.50987 0.01876 0.004
-0.02757 -0.15989 0.48415 0.51061 0.02064 0.001
-0.02761 -0.16012 0.48486 0.51136 0.02252 0.007
-0.02765 -0.16035 0.48556 0.51210 0.02440 0.036
-0.02769 -0.16059 0.48627 0.51285 0.02627 -0.049
-0.02773 -0.16082 0.48697 0.51359 0.02815 -0.042
-0.02777 -0.16105 0.48768 0.51433 0.03003 0.016
-0.02781 -0.16129 0.48838 0.51508 0.03190 -0.044
-0.02785 -0.16152 0.48909 0.51582 0.03378 -0.010
-0.02789 -0.16175 0.48980 0.51657 0.03566 -0.060
-0.02793 -0.16199 0.49050 0.51731 0.03754 0.010
-0.02797 -0.16222 0.49121 0.51806 0.03941 -0.026
-0.02801 -0.16245 0.49191 0.51880 0.04129 0.018
-0.02805 -0.16269 0.49262 0.51955 0.04317 0.031
-0.02809 -0.16292 0.49333 0.52029 0.04505 -0.011
-0.02813 -0.16315 0.49403 0.52104 0.04692 0.036
-0.02817 -0.16338 0.49474 0.52178 0.04880 0.010
-0.02821 -0.16362 0.49545 0.52253 0.05068 0.047
-0.02825 -0.16385 0.49615 0.52327 0.05256 0.117
-0.02829 -0.16408 0.49686 0.52401 0.05444 0.111
-0.02833 -0.16432 0.49756 0.52476 0.05631 0.148
-0.02837 -0.16455 0.49827 0.52550 0.05819 0.118
-0.02841 -0.16478 0.49898 0.52625 0.06007 0.072
-0.02845 -0.16502 0.49968 0.52699 0.06195 -0.098
-0.02849 -0.16525 0.50039 0.52774 0.06383 0.029
-0.02853 -0.16548 0.50110 0.52848 0.06571 0.083
-0.02857 -0.16572 0.50180 0.52923 0.06758 0.017
-0.02861 -0.16595 0.50251 0.52997 0.06946 0.076
-0.02865 -0.16618 0.50321 0.53072 0.07134 0.004
-0.02869 -0.16642 0.50392 0.53146 0.07322 -0.006
-0.02873 -0.16665 0.50463 0.53221 0.07510 -0.082
-0.02877 -0.16688 0.50533 0.53295 0.07698 -0.022
-0.02881 -0.16712 0.50604 0.53370 0.07886 0.028
-0.02885 -0.16735 0.50675 0.53445 0.08074 0.028
-0.02889 -0.16758 0.50745 0.53519 0.08261 -0.015
-0.02893 -0.16782 0.50816 0.53594 0.08449 0.039
-0.02897 -0.16805 0.50887 0.53668 0.08637 0.056
-0.02902 -0.16828 0.50957 0.53743 0.08825 0.063
-0.02906 -0.16852 0.51028 0.53817 0.09013 0.033
-0.02910 -0.16875 0.51099 0.53892 0.09201 -0.013
-0.02914 -0.16898 0.51169 0.53966 0.09389 0.091
-0.02918 -0.16922 0.51240 0.54041 0.09577 -0.061
-0.02922 -0.16945 0.51311 0.54115 0.09765 0.111
-0.02926 -0.16968 0.51381 0.54190 0.09953 0.105
-0.02930 -0.16992 0.51452 0.54264 0.10141 -0.031
-0.02934 -0.17015 0.51523 0.54339 0.10329 0.105
-0.02938 -0.17038 0.51594 0.54414 0.10517 0.095
-0.02942 -0.17062 0.51664 0.54488 0.10705 0.078
-0.02946 -0.17085 0.51735 0.54563 0.10893 -0.031
-0.02950 -0.17109 0.51806 0.54637 0.11081 -0.006
-0.02954 -0.17132 0.51876 0.54712 0.11269 0.042
-0.02958 -0.17155 0.51947 0.54786 0.11457 -0.009
-0.02962 -0.17179 0.52018 0.54861 0.11645 0.141
-0.02966 -0.17202 0.52088 0.54935 0.11833 0.090
-0.02970 -0.17225 0.52159 0.55010 0.12021 0.117
-0.02974 -0.17249 0.52230 0.55085 0.12209 0.009
-0.02978 -0.17272 0.52301 0.55159 0.12397 0.023
-0.02982 -0.17295 0.52371 0.55234 0.12585 0.036
-0.02986 -0.17319 0.52442 0.55308 0.12773 0.083
-0.02990 -0.17342 0.52513 0.55383 0.12961 0.088
-0.02994 -0.17365 0.52583 0.55458 0.13149 0.024
-0.02998 -0.17389 0.52654 0.55532 0.13337 0.002
-0.03002 -0.17412 0.52725 0.55607 0.13526 0.129
-0.03006 -0.17435 0.52796 0.55681 0.13714 0.043
-0.03010 -0.17459 0.52866 0.55756 0.13902 0.087
-0.03014 -0.17482 0.52937 0.55831 0.14090 0.150
-0.03018 -0.17506 0.53008 0.55905 0.14278 0.127
-0.03022 -0.17529 0.53079 0.55980 0.14466 0.110
-0.03026 -0.17552 0.53149 0.56054 0.14654 0.229
-0.03030 -0.17576 0.53220 0.56129 0.14842 0.199
-0.03034 -0.17599 0.53291 0.56204 0.15031 0.281
-0.03038 -0.17622 0.53362 0.56278 0.15219 0.252
-0.03042 -0.17646 0.53432 0.56353 0.15407 0.321
-0.03046 -0.17669 0.53503 0.56428 0.15595 0.325
