x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.03675 -0.03050 0.50015 0.50243 0.00000 1.079 1236.109 0.01681
-0.03681 -0.03054 0.50089 0.50317 0.00188 1.001 1236.139 0.01684
-0.03686 -0.03059 0.50163 0.50391 0.00375 0.923 1236.169 0.01686
-0.03691 -0.03063 0.50237 0.50466 0.00563 1.125 1236.199 0.01689
-0.03697 -0.03068 0.50311 0.50540 0.00750 1.047 1236.229 0.01691
-0.03702 -0.03072 0.50385 0.50615 0.00938 1.017 1236.259 0.01694
-0.03708 -0.03077 0.50460 0.50689 0.01126 1.084 1236.289 0.01696
-0.03713 -0.03081 0.50534 0.50763 0.01313 1.063 1236.318 0.01699
-0.03719 -0.03086 0.50608 0.50838 0.01501 1.020 1236.348 0.01701
-0.03724 -0.03091 0.50682 0.50912 0.01689 0.879 1236.378 0.01703
-0.03730 -0.03095 0.50756 0.50987 0.01876 1.032 1236.408 0.01706
-0.03735 -0.03100 0.50830 0.51061 0.02064 0.906 1236.438 0.01708
-0.03740 -0.03104 0.50904 0.51136 0.02252 1.014 1236.468 0.01711
-0.03746 -0.03109 0.50978 0.51210 0.02440 1.097 1236.498 0.01713
-0.03751 -0.03113 0.51052 0.51285 0.02627 0.936 1236.528 0.01716
-0.03757 -0.03118 0.51126 0.51359 0.02815 0.816 1236.558 0.01718
-0.03762 -0.03122 0.51201 0.51433 0.03003 1.092 1236.587 0.01721
-0.03768 -0.03127 0.51275 0.51508 0.03190 1.076 1236.617 0.01723
-0.03773 -0.03131 0.51349 0.51582 0.03378 1.029 1236.647 0.01726
-0.03779 -0.03136 0.51423 0.51657 0.03566 1.081 1236.677 0.01728
-0.03784 -0.03140 0.51497 0.51731 0.03754 1.075 1236.707 0.01730
-0.03789 -0.03145 0.51571 0.51806 0.03941 1.006 1236.737 0.01733
-0.03795 -0.03149 0.51645 0.51880 0.04129 0.949 1236.767 0.01735
-0.03800 -0.03154 0.51719 0.51955 0.04317 0.918 1236.797 0.01738
-0.03806 -0.03158 0.51794 0.52029 0.04505 1.125 1236.827 0.01740
-0.03811 -0.03163 0.51868 0.52104 0.04692 1.047 1236.856 0.01743
-0.03817 -0.03167 0.51942 0.52178 0.04880 0.953 1236.886 0.01745
-0.03822 -0.03172 0.52016 0.52253 0.05068 0.922 1236.916 0.01748
-0.03828 -0.03176 0.52090 0.52327 0.05256 1.036 1236.946 0.01750
-0.03833 -0.03181 0.52164 0.52401 0.05444 0.942 1236.976 0.01753
-0.03839 -0.03185 0.52238 0.52476 0.05631 0.947 1237.006 0.01755
-0.03844 -0.03190 0.52313 0.52550 0.05819 0.952 1237.036 0.01758
-0.03849 -0.03194 0.52387 0.52625 0.06007 0.962 1237.066 0.01760
-0.03855 -0.03199 0.52461 0.52699 0.06195 0.967 1237.096 0.01762
-0.03860 -0.03204 0.52535 0.52774 0.06383 0.899 1237.126 0.01765
-0.03866 -0.03208 0.52609 0.52848 0.06571 0.998 1237.155 0.01767
-0.03871 -0.03213 0.52683 0.52923 0.06758 0.946 1237.185 0.01770
-0.03877 -0.03217 0.52757 0.52997 0.06946 0.920 1237.215 0.01772
-0.03882 -0.03222 0.52832 0.53072 0.07134 0.971 1237.245 0.01775
-0.03888 -0.03226 0.52906 0.53146 0.07322 1.001 1237.275 0.01777
-0.03893 -0.03231 0.52980 0.53221 0.07510 1.042 1237.305 0.01780
-0.03898 -0.03235 0.53054 0.53295 0.07698 0.955 1237.335 0.01782
-0.03904 -0.03240 0.53128 0.53370 0.07886 1.027 1237.365 0.01785
-0.03909 -0.03244 0.53203 0.53445 0.08074 0.913 1237.395 0.01787
-0.03915 -0.03249 0.53277 0.53519 0.08261 1.135 1237.424 0.01790
-0.03920 -0.03253 0.53351 0.53594 0.08449 1.186 1237.454 0.01792
-0.03926 -0.03258 0.53425 0.53668 0.08637 1.046 1237.484 0.01794
-0.03931 -0.03262 0.53499 0.53743 0.08825 0.979 1237.514 0.01797
-0.03937 -0.03267 0.53573 0.53817 0.09013 0.958 1237.544 0.01799
-0.03942 -0.03271 0.53648 0.53892 0.09201 0.865 1237.574 0.01802
-0.03948 -0.03276 0.53722 0.53966 0.09389 1.000 1237.604 0.01804
-0.03953 -0.03280 0.53796 0.54041 0.09577 0.984 1237.634 0.01807
-0.03958 -0.03285 0.53870 0.54115 0.09765 0.921 1237.664 0.01809
-0.03964 -0.03289 0.53944 0.54190 0.09953 0.962 1237.693 0.01812
-0.03969 -0.03294 0.54019 0.54264 0.10141 0.828 1237.723 0.01814
-0.03975 -0.03299 0.54093 0.54339 0.10329 0.931 1237.753 0.01817
-0.03980 -0.03303 0.54167 0.54414 0.10517 0.997 1237.783 0.01819
-0.03986 -0.03308 0.54241 0.54488 0.10705 0.899 1237.813 0.01821
-0.03991 -0.03312 0.54316 0.54563 0.10893 0.941 1237.843 0.01824
-0.03997 -0.03317 0.54390 0.54637 0.11081 0.945 1237.873 0.01826
-0.04002 -0.03321 0.54464 0.54712 0.11269 0.976 1237.903 0.01829
-0.04008 -0.03326 0.54538 0.54786 0.11457 0.991 1237.933 0.01831
-0.04013 -0.03330 0.54612 0.54861 0.11645 0.893 1237.963 0.01834
-0.04018 -0.03335 0.54687 0.54935 0.11833 1.032 1237.992 0.01836
-0.04024 -0.03339 0.54761 0.55010 0.12021 1.154 1238.022 0.01839
-0.04029 -0.03344 0.54835 0.55085 0.12209 0.913 1238.052 0.01841
-0.04035 -0.03348 0.54909 0.55159 0.12397 1.041 1238.082 0.01844
-0.04040 -0.03353 0.54984 0.55234 0.12585 0.928 1238.112 0.01846
-0.04046 -0.03357 0.55058 0.55308 0.12773 0.974 1238.142 0.01849
-0.04051 -0.03362 0.55132 0.55383 0.12961 1.005 1238.172 0.01851
