x y z dist_scaled dist_frac flux_norm
0.29645 0.11821 0.38824 0.50258 0.00000 0.725
0.29689 0.11838 0.38882 0.50333 0.00188 0.960
0.29733 0.11856 0.38939 0.50407 0.00375 0.948
0.29777 0.11873 0.38997 0.50481 0.00563 0.985
0.29821 0.11891 0.39054 0.50556 0.00751 1.083
0.29865 0.11908 0.39112 0.50630 0.00938 1.021
0.29908 0.11926 0.39169 0.50705 0.01126 1.120
0.29952 0.11943 0.39226 0.50779 0.01313 1.021
0.29996 0.11961 0.39284 0.50853 0.01501 1.181
0.30040 0.11978 0.39341 0.50928 0.01689 0.884
0.30084 0.11996 0.39399 0.51002 0.01876 1.008
0.30128 0.12013 0.39456 0.51077 0.02064 0.834
0.30172 0.12031 0.39514 0.51151 0.02252 1.119
0.30216 0.12048 0.39571 0.51225 0.02440 0.921
0.30260 0.12066 0.39629 0.51300 0.02627 0.945
0.30303 0.12083 0.39686 0.51374 0.02815 1.155
0.30347 0.12101 0.39744 0.51449 0.03003 0.958
0.30391 0.12118 0.39801 0.51523 0.03190 1.006
0.30435 0.12136 0.39859 0.51597 0.03378 1.046
0.30479 0.12153 0.39916 0.51672 0.03566 1.042
0.30523 0.12171 0.39974 0.51746 0.03754 0.949
0.30567 0.12188 0.40031 0.51821 0.03941 0.865
0.30611 0.12206 0.40089 0.51895 0.04129 0.992
0.30655 0.12223 0.40146 0.51970 0.04317 1.335
0.30699 0.12241 0.40204 0.52044 0.04505 0.692
0.30742 0.12258 0.40261 0.52118 0.04692 1.253
0.30786 0.12276 0.40319 0.52193 0.04880 1.049
0.30830 0.12293 0.40376 0.52267 0.05068 1.003
0.30874 0.12311 0.40434 0.52342 0.05256 0.818
0.30918 0.12328 0.40491 0.52416 0.05444 0.950
0.30962 0.12346 0.40549 0.52491 0.05631 0.999
0.31006 0.12363 0.40606 0.52565 0.05819 0.874
0.31050 0.12381 0.40664 0.52640 0.06007 1.066
0.31094 0.12398 0.40721 0.52714 0.06195 0.930
0.31138 0.12416 0.40779 0.52788 0.06383 0.694
0.31182 0.12433 0.40836 0.52863 0.06571 0.901
0.31226 0.12451 0.40894 0.52937 0.06758 0.871
0.31269 0.12468 0.40951 0.53012 0.06946 0.843
0.31313 0.12486 0.41009 0.53086 0.07134 1.078
0.31357 0.12503 0.41066 0.53161 0.07322 1.166
0.31401 0.12521 0.41124 0.53235 0.07510 1.106
0.31445 0.12539 0.41182 0.53310 0.07698 0.871
0.31489 0.12556 0.41239 0.53384 0.07886 1.078
0.31533 0.12574 0.41297 0.53459 0.08074 0.693
0.31577 0.12591 0.41354 0.53533 0.08261 1.016
0.31621 0.12609 0.41412 0.53608 0.08449 1.095
0.31665 0.12626 0.41469 0.53682 0.08637 0.869
0.31709 0.12644 0.41527 0.53757 0.08825 0.835
0.31753 0.12661 0.41584 0.53831 0.09013 1.165
0.31797 0.12679 0.41642 0.53906 0.09201 1.478
0.31841 0.12696 0.41699 0.53980 0.09389 1.009
0.31885 0.12714 0.41757 0.54055 0.09577 1.252
0.31929 0.12731 0.41815 0.54129 0.09765 1.028
0.31973 0.12749 0.41872 0.54204 0.09953 0.941
0.32016 0.12766 0.41930 0.54278 0.10141 0.959
0.32060 0.12784 0.41987 0.54353 0.10329 0.941
0.32104 0.12801 0.42045 0.54427 0.10517 0.819
0.32148 0.12819 0.42102 0.54502 0.10705 0.732
0.32192 0.12836 0.42160 0.54576 0.10893 1.096
0.32236 0.12854 0.42218 0.54651 0.11081 1.044
0.32280 0.12871 0.42275 0.54725 0.11269 0.959
0.32324 0.12889 0.42333 0.54800 0.11457 0.951
0.32368 0.12907 0.42390 0.54874 0.11645 1.014
0.32412 0.12924 0.42448 0.54949 0.11833 1.139
0.32456 0.12942 0.42505 0.55024 0.12021 1.210
0.32500 0.12959 0.42563 0.55098 0.12209 0.974
0.32544 0.12977 0.42621 0.55173 0.12397 0.943
0.32588 0.12994 0.42678 0.55247 0.12585 1.139
0.32632 0.13012 0.42736 0.55322 0.12773 0.939
0.32676 0.13029 0.42793 0.55396 0.12961 0.851
0.32720 0.13047 0.42851 0.55471 0.13149 0.847
0.32764 0.13064 0.42909 0.55545 0.13338 1.178
0.32808 0.13082 0.42966 0.55620 0.13526 1.110
0.32852 0.13099 0.43024 0.55695 0.13714 0.900
0.32896 0.13117 0.43081 0.55769 0.13902 0.903
0.32940 0.13135 0.43139 0.55844 0.14090 1.020
0.32984 0.13152 0.43197 0.55918 0.14278 1.222
0.33028 0.13170 0.43254 0.55993 0.14466 0.842
0.33072 0.13187 0.43312 0.56067 0.14654 0.867
0.33116 0.13205 0.43369 0.56142 0.14843 0.842
0.33160 0.13222 0.43427 0.56217 0.15031 0.952
0.33204 0.13240 0.43485 0.56291 0.15219 1.123
0.33248 0.13257 0.43542 0.56366 0.15407 1.185
0.33292 0.13275 0.43600 0.56440 0.15595 1.025
0.33336 0.13292 0.43658 0.56515 0.15783 1.368
0.33380 0.13310 0.43715 0.56590 0.15972 1.025
0.33424 0.13327 0.43773 0.56664 0.16160 1.086
0.33468 0.13345 0.43830 0.56739 0.16348 1.025
0.33512 0.13363 0.43888 0.56813 0.16536 0.939
0.33556 0.13380 0.43946 0.56888 0.16724 0.951
0.33600 0.13398 0.44003 0.56963 0.16913 0.816
0.33644 0.13415 0.44061 0.57037 0.17101 1.060
0.33688 0.13433 0.44119 0.57112 0.17289 0.926
0.33732 0.13450 0.44176 0.57186 0.17477 1.110
