x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.19072 0.20057 0.41951 0.50258 0.00000 1.166 0.161 1236.115 0.01682
0.19101 0.20086 0.42013 0.50333 0.00188 0.956 0.160 1236.145 0.01684
0.19129 0.20116 0.42075 0.50407 0.00375 1.229 0.177 1236.175 0.01687
0.19157 0.20146 0.42137 0.50481 0.00563 1.208 0.165 1236.205 0.01689
0.19185 0.20175 0.42199 0.50556 0.00751 1.014 0.164 1236.235 0.01692
0.19214 0.20205 0.42261 0.50630 0.00938 0.903 0.157 1236.265 0.01694
0.19242 0.20235 0.42323 0.50705 0.01126 0.921 0.158 1236.295 0.01697
0.19270 0.20264 0.42385 0.50779 0.01313 0.956 0.160 1236.325 0.01699
0.19298 0.20294 0.42448 0.50853 0.01501 0.884 0.156 1236.355 0.01701
0.19326 0.20324 0.42510 0.50928 0.01689 1.321 0.183 1236.384 0.01704
0.19355 0.20353 0.42572 0.51002 0.01876 1.023 0.165 1236.414 0.01706
0.19383 0.20383 0.42634 0.51077 0.02064 1.041 0.166 1236.444 0.01709
0.19411 0.20413 0.42696 0.51151 0.02252 1.040 0.166 1236.474 0.01711
0.19439 0.20442 0.42758 0.51225 0.02440 1.302 0.182 1236.504 0.01714
0.19468 0.20472 0.42820 0.51300 0.02627 1.074 0.169 1236.534 0.01716
0.19496 0.20502 0.42882 0.51374 0.02815 0.884 0.156 1236.564 0.01719
0.19524 0.20532 0.42944 0.51449 0.03003 1.006 0.164 1236.594 0.01721
0.19552 0.20561 0.43006 0.51523 0.03190 1.057 0.168 1236.623 0.01724
0.19581 0.20591 0.43069 0.51597 0.03378 0.760 0.148 1236.653 0.01726
0.19609 0.20621 0.43131 0.51672 0.03566 0.796 0.150 1236.683 0.01729
0.19637 0.20650 0.43193 0.51746 0.03754 1.095 0.170 1236.713 0.01731
0.19665 0.20680 0.43255 0.51821 0.03941 1.023 0.165 1236.743 0.01733
0.19694 0.20710 0.43317 0.51895 0.04129 1.025 0.166 1236.773 0.01736
0.19722 0.20739 0.43379 0.51970 0.04317 0.694 0.142 1236.803 0.01738
0.19750 0.20769 0.43441 0.52044 0.04505 1.183 0.175 1236.833 0.01741
0.19778 0.20799 0.43503 0.52118 0.04692 0.798 0.150 1236.862 0.01743
0.19807 0.20829 0.43566 0.52193 0.04880 1.167 0.174 1236.892 0.01746
0.19835 0.20858 0.43628 0.52267 0.05068 0.850 0.154 1236.922 0.01748
0.19863 0.20888 0.43690 0.52342 0.05256 0.921 0.159 1236.952 0.01751
0.19891 0.20918 0.43752 0.52416 0.05444 1.062 0.168 1236.982 0.01753
0.19920 0.20947 0.43814 0.52491 0.05631 1.026 0.166 1237.012 0.01756
0.19948 0.20977 0.43876 0.52565 0.05819 1.061 0.168 1237.042 0.01758
0.19976 0.21007 0.43938 0.52640 0.06007 0.956 0.161 1237.072 0.01760
0.20004 0.21037 0.44001 0.52714 0.06195 0.835 0.153 1237.101 0.01763
0.20033 0.21066 0.44063 0.52788 0.06383 1.012 0.165 1237.131 0.01765
0.20061 0.21096 0.44125 0.52863 0.06571 0.905 0.158 1237.161 0.01768
0.20089 0.21126 0.44187 0.52937 0.06758 1.117 0.171 1237.191 0.01770
0.20117 0.21155 0.44249 0.53012 0.06946 0.941 0.160 1237.221 0.01773
0.20146 0.21185 0.44311 0.53086 0.07134 1.031 0.166 1237.251 0.01775
0.20174 0.21215 0.44374 0.53161 0.07322 1.173 0.175 1237.281 0.01778
0.20202 0.21245 0.44436 0.53235 0.07510 1.083 0.169 1237.311 0.01780
0.20230 0.21274 0.44498 0.53310 0.07698 0.979 0.163 1237.341 0.01783
0.20259 0.21304 0.44560 0.53384 0.07886 1.049 0.167 1237.370 0.01785
0.20287 0.21334 0.44622 0.53459 0.08074 0.925 0.159 1237.400 0.01788
0.20315 0.21363 0.44684 0.53533 0.08261 1.189 0.176 1237.430 0.01790
0.20344 0.21393 0.44747 0.53608 0.08449 1.100 0.171 1237.460 0.01792
0.20372 0.21423 0.44809 0.53682 0.08637 0.766 0.148 1237.490 0.01795
0.20400 0.21453 0.44871 0.53757 0.08825 0.926 0.159 1237.520 0.01797
0.20428 0.21482 0.44933 0.53831 0.09013 0.960 0.162 1237.550 0.01800
0.20457 0.21512 0.44995 0.53906 0.09201 0.979 0.163 1237.580 0.01802
0.20485 0.21542 0.45058 0.53980 0.09389 0.979 0.163 1237.609 0.01805
0.20513 0.21572 0.45120 0.54055 0.09577 0.927 0.160 1237.639 0.01807
0.20541 0.21601 0.45182 0.54129 0.09765 0.911 0.158 1237.669 0.01810
0.20570 0.21631 0.45244 0.54204 0.09953 0.872 0.156 1237.699 0.01812
0.20598 0.21661 0.45306 0.54278 0.10141 1.104 0.171 1237.729 0.01815
0.20626 0.21691 0.45369 0.54353 0.10329 0.945 0.161 1237.759 0.01817
0.20655 0.21720 0.45431 0.54427 0.10517 0.838 0.154 1237.789 0.01819
0.20683 0.21750 0.45493 0.54502 0.10705 0.963 0.162 1237.819 0.01822
0.20711 0.21780 0.45555 0.54576 0.10893 0.804 0.151 1237.848 0.01824
0.20739 0.21810 0.45617 0.54651 0.11081 1.211 0.177 1237.878 0.01827
0.20768 0.21839 0.45680 0.54725 0.11269 0.856 0.155 1237.908 0.01829
0.20796 0.21869 0.45742 0.54800 0.11457 0.910 0.159 1237.938 0.01832
