x y z dist_scaled dist_frac absorption
0.08183 -0.24328 0.43191 0.50243 0.00000 -0.069
0.08195 -0.24364 0.43255 0.50317 0.00188 -0.076
0.08207 -0.24400 0.43319 0.50391 0.00375 -0.100
0.08220 -0.24436 0.43383 0.50466 0.00563 -0.024
0.08232 -0.24472 0.43447 0.50540 0.00750 -0.037
0.08244 -0.24508 0.43511 0.50615 0.00938 -0.062
0.08256 -0.24544 0.43575 0.50689 0.01126 0.029
0.08268 -0.24580 0.43639 0.50763 0.01313 0.086
0.08280 -0.24616 0.43703 0.50838 0.01501 -0.027
0.08292 -0.24653 0.43767 0.50912 0.01689 -0.098
0.08304 -0.24689 0.43831 0.50987 0.01876 -0.043
0.08317 -0.24725 0.43895 0.51061 0.02064 -0.050
0.08329 -0.24761 0.43959 0.51136 0.02252 0.003
0.08341 -0.24797 0.44023 0.51210 0.02440 0.005
0.08353 -0.24833 0.44087 0.51285 0.02627 -0.103
0.08365 -0.24869 0.44151 0.51359 0.02815 -0.080
0.08377 -0.24905 0.44215 0.51433 0.03003 -0.017
0.08389 -0.24941 0.44279 0.51508 0.03190 0.034
0.08401 -0.24977 0.44343 0.51582 0.03378 -0.113
0.08414 -0.25013 0.44407 0.51657 0.03566 -0.056
0.08426 -0.25049 0.44471 0.51731 0.03754 -0.059
0.08438 -0.25085 0.44535 0.51806 0.03941 -0.128
0.08450 -0.25121 0.44599 0.51880 0.04129 0.083
0.08462 -0.25157 0.44663 0.51955 0.04317 0.047
0.08474 -0.25193 0.44727 0.52029 0.04505 0.042
0.08486 -0.25229 0.44791 0.52104 0.04692 -0.031
0.08498 -0.25265 0.44855 0.52178 0.04880 0.127
0.08511 -0.25301 0.44919 0.52253 0.05068 -0.104
0.08523 -0.25338 0.44983 0.52327 0.05256 0.151
0.08535 -0.25374 0.45047 0.52401 0.05444 0.150
0.08547 -0.25410 0.45111 0.52476 0.05631 0.077
0.08559 -0.25446 0.45175 0.52550 0.05819 0.116
0.08571 -0.25482 0.45239 0.52625 0.06007 0.031
0.08583 -0.25518 0.45303 0.52699 0.06195 0.046
0.08595 -0.25554 0.45367 0.52774 0.06383 0.022
0.08608 -0.25590 0.45431 0.52848 0.06571 0.030
0.08620 -0.25626 0.45495 0.52923 0.06758 -0.004
0.08632 -0.25662 0.45560 0.52997 0.06946 0.008
0.08644 -0.25698 0.45624 0.53072 0.07134 0.059
0.08656 -0.25734 0.45688 0.53146 0.07322 -0.038
0.08668 -0.25770 0.45752 0.53221 0.07510 0.083
0.08680 -0.25806 0.45816 0.53295 0.07698 0.045
0.08693 -0.25843 0.45880 0.53370 0.07886 -0.008
0.08705 -0.25879 0.45944 0.53445 0.08074 -0.006
0.08717 -0.25915 0.46008 0.53519 0.08261 -0.079
0.08729 -0.25951 0.46072 0.53594 0.08449 0.024
0.08741 -0.25987 0.46136 0.53668 0.08637 -0.026
0.08753 -0.26023 0.46200 0.53743 0.08825 0.076
0.08765 -0.26059 0.46264 0.53817 0.09013 0.156
0.08778 -0.26095 0.46328 0.53892 0.09201 -0.023
0.08790 -0.26131 0.46392 0.53966 0.09389 0.015
0.08802 -0.26167 0.46456 0.54041 0.09577 -0.031
0.08814 -0.26203 0.46521 0.54115 0.09765 0.159
0.08826 -0.26240 0.46585 0.54190 0.09953 0.009
0.08838 -0.26276 0.46649 0.54264 0.10141 -0.090
0.08850 -0.26312 0.46713 0.54339 0.10329 0.068
0.08863 -0.26348 0.46777 0.54414 0.10517 0.060
0.08875 -0.26384 0.46841 0.54488 0.10705 -0.002
0.08887 -0.26420 0.46905 0.54563 0.10893 0.053
0.08899 -0.26456 0.46969 0.54637 0.11081 0.028
0.08911 -0.26492 0.47033 0.54712 0.11269 0.047
0.08923 -0.26528 0.47097 0.54786 0.11457 0.030
0.08935 -0.26564 0.47161 0.54861 0.11645 0.001
0.08948 -0.26601 0.47226 0.54935 0.11833 0.063
0.08960 -0.26637 0.47290 0.55010 0.12021 -0.118
0.08972 -0.26673 0.47354 0.55085 0.12209 -0.044
0.08984 -0.26709 0.47418 0.55159 0.12397 -0.078
