x y z dist_scaled dist_frac absorption
-0.13473 -0.13569 0.46462 0.50243 0.00000 0.010
-0.13493 -0.13589 0.46531 0.50317 0.00188 -0.087
-0.13513 -0.13609 0.46599 0.50391 0.00375 0.024
-0.13533 -0.13629 0.46668 0.50466 0.00563 0.038
-0.13552 -0.13649 0.46737 0.50540 0.00750 -0.013
-0.13572 -0.13669 0.46806 0.50615 0.00938 0.029
-0.13592 -0.13689 0.46875 0.50689 0.01126 0.038
-0.13612 -0.13710 0.46943 0.50763 0.01313 0.018
-0.13632 -0.13730 0.47012 0.50838 0.01501 0.020
-0.13652 -0.13750 0.47081 0.50912 0.01689 0.107
-0.13672 -0.13770 0.47150 0.50987 0.01876 0.063
-0.13692 -0.13790 0.47219 0.51061 0.02064 0.169
-0.13712 -0.13810 0.47288 0.51136 0.02252 0.082
-0.13732 -0.13830 0.47356 0.51210 0.02440 0.106
-0.13752 -0.13850 0.47425 0.51285 0.02627 0.050
-0.13772 -0.13870 0.47494 0.51359 0.02815 -0.092
-0.13792 -0.13891 0.47563 0.51433 0.03003 -0.123
-0.13812 -0.13911 0.47632 0.51508 0.03190 -0.018
-0.13832 -0.13931 0.47701 0.51582 0.03378 -0.148
-0.13852 -0.13951 0.47769 0.51657 0.03566 0.056
-0.13872 -0.13971 0.47838 0.51731 0.03754 -0.080
-0.13892 -0.13991 0.47907 0.51806 0.03941 -0.111
-0.13912 -0.14011 0.47976 0.51880 0.04129 -0.046
-0.13932 -0.14031 0.48045 0.51955 0.04317 0.056
-0.13952 -0.14051 0.48114 0.52029 0.04505 -0.009
-0.13972 -0.14071 0.48183 0.52104 0.04692 0.112
-0.13992 -0.14092 0.48252 0.52178 0.04880 -0.177
-0.14012 -0.14112 0.48320 0.52253 0.05068 0.074
-0.14032 -0.14132 0.48389 0.52327 0.05256 -0.168
-0.14052 -0.14152 0.48458 0.52401 0.05444 -0.196
-0.14072 -0.14172 0.48527 0.52476 0.05631 0.111
-0.14092 -0.14192 0.48596 0.52550 0.05819 0.074
-0.14111 -0.14212 0.48665 0.52625 0.06007 0.092
-0.14131 -0.14232 0.48734 0.52699 0.06195 0.009
-0.14151 -0.14253 0.48803 0.52774 0.06383 -0.122
-0.14171 -0.14273 0.48871 0.52848 0.06571 -0.216
-0.14191 -0.14293 0.48940 0.52923 0.06758 0.073
-0.14211 -0.14313 0.49009 0.52997 0.06946 -0.067
-0.14231 -0.14333 0.49078 0.53072 0.07134 -0.048
-0.14251 -0.14353 0.49147 0.53146 0.07322 -0.188
-0.14271 -0.14373 0.49216 0.53221 0.07510 0.044
-0.14291 -0.14393 0.49285 0.53295 0.07698 0.109
-0.14311 -0.14414 0.49354 0.53370 0.07886 0.047
-0.14331 -0.14434 0.49423 0.53445 0.08074 0.003
-0.14351 -0.14454 0.49492 0.53519 0.08261 0.034
-0.14371 -0.14474 0.49561 0.53594 0.08449 -0.065
-0.14391 -0.14494 0.49629 0.53668 0.08637 -0.101
-0.14411 -0.14514 0.49698 0.53743 0.08825 0.099
-0.14431 -0.14534 0.49767 0.53817 0.09013 -0.063
-0.14451 -0.14554 0.49836 0.53892 0.09201 0.015
-0.14471 -0.14575 0.49905 0.53966 0.09389 -0.077
-0.14491 -0.14595 0.49974 0.54041 0.09577 -0.105
-0.14511 -0.14615 0.50043 0.54115 0.09765 -0.024
-0.14531 -0.14635 0.50112 0.54190 0.09953 0.134
-0.14551 -0.14655 0.50181 0.54264 0.10141 -0.030
-0.14571 -0.14675 0.50250 0.54339 0.10329 -0.046
-0.14591 -0.14695 0.50319 0.54414 0.10517 0.099
-0.14611 -0.14715 0.50388 0.54488 0.10705 0.088
-0.14631 -0.14736 0.50457 0.54563 0.10893 -0.042
-0.14651 -0.14756 0.50526 0.54637 0.11081 0.085
-0.14671 -0.14776 0.50595 0.54712 0.11269 0.017
-0.14691 -0.14796 0.50664 0.54786 0.11457 -0.055
-0.14711 -0.14816 0.50732 0.54861 0.11645 -0.056
-0.14731 -0.14836 0.50801 0.54935 0.11833 -0.008
-0.14751 -0.14856 0.50870 0.55010 0.12021 -0.127
-0.14771 -0.14877 0.50939 0.55085 0.12209 -0.015
-0.14791 -0.14897 0.51008 0.55159 0.12397 0.125
-0.14811 -0.14917 0.51077 0.55234 0.12585 0.050
-0.14831 -0.14937 0.51146 0.55308 0.12773 -0.043
-0.14851 -0.14957 0.51215 0.55383 0.12961 0.083
-0.14871 -0.14977 0.51284 0.55458 0.13149 0.083
-0.14891 -0.14997 0.51353 0.55532 0.13337 0.116
-0.14911 -0.15018 0.51422 0.55607 0.13526 -0.076
-0.14931 -0.15038 0.51491 0.55681 0.13714 0.097
-0.14951 -0.15058 0.51560 0.55756 0.13902 0.167
-0.14971 -0.15078 0.51629 0.55831 0.14090 0.041
-0.14991 -0.15098 0.51698 0.55905 0.14278 0.026
-0.15011 -0.15118 0.51767 0.55980 0.14466 -0.025
-0.15031 -0.15138 0.51836 0.56054 0.14654 0.073
-0.15051 -0.15159 0.51905 0.56129 0.14842 0.045
-0.15071 -0.15179 0.51974 0.56204 0.15031 0.259
-0.15091 -0.15199 0.52043 0.56278 0.15219 -0.086
-0.15111 -0.15219 0.52112 0.56353 0.15407 0.119
-0.15131 -0.15239 0.52181 0.56428 0.15595 0.222
-0.15151 -0.15259 0.52250 0.56502 0.15783 0.189
-0.15171 -0.15280 0.52319 0.56577 0.15971 0.129
-0.15191 -0.15300 0.52388 0.56651 0.16160 0.292
-0.15211 -0.15320 0.52457 0.56726 0.16348 0.185
-0.15231 -0.15340 0.52526 0.56801 0.16536 0.119
-0.15251 -0.15360 0.52595 0.56875 0.16724 0.245
-0.15271 -0.15380 0.52664 0.56950 0.16912 0.137
-0.15291 -0.15401 0.52733 0.57025 0.17101 0.224
-0.15311 -0.15421 0.52802 0.57099 0.17289 0.199
-0.15331 -0.15441 0.52871 0.57174 0.17477 0.110
-0.15351 -0.15461 0.52940 0.57249 0.17665 0.008
-0.15371 -0.15481 0.53010 0.57323 0.17854 0.025
-0.15391 -0.15501 0.53079 0.57398 0.18042 0.132
-0.15411 -0.15521 0.53148 0.57473 0.18230 -0.006
-0.15431 -0.15542 0.53217 0.57547 0.18418 0.001
-0.15451 -0.15562 0.53286 0.57622 0.18607 0.002
-0.15471 -0.15582 0.53355 0.57697 0.18795 -0.061
-0.15491 -0.15602 0.53424 0.57771 0.18983 0.001
-0.15512 -0.15622 0.53493 0.57846 0.19172 0.073
-0.15532 -0.15642 0.53562 0.57921 0.19360 -0.147
-0.15552 -0.15663 0.53631 0.57995 0.19548 0.026
-0.15572 -0.15683 0.53700 0.58070 0.19737 -0.055
-0.15592 -0.15703 0.53769 0.58145 0.19925 0.008
-0.15612 -0.15723 0.53838 0.58219 0.20113 0.097
-0.15632 -0.15743 0.53907 0.58294 0.20302 0.020
-0.15652 -0.15764 0.53976 0.58369 0.20490 0.090
-0.15672 -0.15784 0.54045 0.58443 0.20678 0.016
-0.15692 -0.15804 0.54115 0.58518 0.20867 0.011
-0.15712 -0.15824 0.54184 0.58593 0.21055 -0.027
