x y z dist_scaled dist_frac absorption
-0.09944 0.32496 0.37007 0.50243 0.00000 -0.114
-0.09958 0.32544 0.37061 0.50317 0.00188 -0.060
-0.09973 0.32592 0.37116 0.50391 0.00375 -0.114
-0.09988 0.32640 0.37171 0.50466 0.00563 0.022
-0.10003 0.32688 0.37226 0.50540 0.00750 -0.279
-0.10017 0.32736 0.37281 0.50615 0.00938 -0.103
-0.10032 0.32784 0.37335 0.50689 0.01126 -0.071
-0.10047 0.32832 0.37390 0.50763 0.01313 -0.122
-0.10061 0.32881 0.37445 0.50838 0.01501 -0.091
-0.10076 0.32929 0.37500 0.50912 0.01689 0.034
-0.10091 0.32977 0.37555 0.50987 0.01876 -0.184
-0.10106 0.33025 0.37609 0.51061 0.02064 0.065
-0.10120 0.33073 0.37664 0.51136 0.02252 0.180
-0.10135 0.33121 0.37719 0.51210 0.02440 -0.203
-0.10150 0.33169 0.37774 0.51285 0.02627 0.211
-0.10165 0.33218 0.37829 0.51359 0.02815 0.015
-0.10179 0.33266 0.37884 0.51433 0.03003 -0.172
-0.10194 0.33314 0.37938 0.51508 0.03190 0.036
-0.10209 0.33362 0.37993 0.51582 0.03378 -0.068
-0.10224 0.33410 0.38048 0.51657 0.03566 0.056
-0.10238 0.33458 0.38103 0.51731 0.03754 -0.016
-0.10253 0.33507 0.38158 0.51806 0.03941 0.046
-0.10268 0.33555 0.38213 0.51880 0.04129 0.005
-0.10282 0.33603 0.38268 0.51955 0.04317 -0.005
-0.10297 0.33651 0.38322 0.52029 0.04505 0.047
-0.10312 0.33699 0.38377 0.52104 0.04692 0.003
-0.10327 0.33747 0.38432 0.52178 0.04880 -0.010
-0.10341 0.33796 0.38487 0.52253 0.05068 -0.106
-0.10356 0.33844 0.38542 0.52327 0.05256 -0.244
-0.10371 0.33892 0.38597 0.52401 0.05444 0.346
-0.10386 0.33940 0.38652 0.52476 0.05631 0.429
-0.10400 0.33988 0.38706 0.52550 0.05819 -0.004
-0.10415 0.34036 0.38761 0.52625 0.06007 -0.231
-0.10430 0.34085 0.38816 0.52699 0.06195 0.120
-0.10445 0.34133 0.38871 0.52774 0.06383 0.029
-0.10459 0.34181 0.38926 0.52848 0.06571 0.139
-0.10474 0.34229 0.38981 0.52923 0.06758 0.098
-0.10489 0.34277 0.39036 0.52997 0.06946 0.153
-0.10504 0.34325 0.39090 0.53072 0.07134 -0.067
-0.10518 0.34374 0.39145 0.53146 0.07322 0.057
-0.10533 0.34422 0.39200 0.53221 0.07510 0.181
-0.10548 0.34470 0.39255 0.53295 0.07698 -0.093
-0.10563 0.34518 0.39310 0.53370 0.07886 0.017
-0.10577 0.34566 0.39365 0.53445 0.08074 -0.161
-0.10592 0.34615 0.39420 0.53519 0.08261 0.059
-0.10607 0.34663 0.39475 0.53594 0.08449 -0.105
-0.10622 0.34711 0.39530 0.53668 0.08637 0.005
-0.10636 0.34759 0.39584 0.53743 0.08825 0.142
-0.10651 0.34807 0.39639 0.53817 0.09013 0.074
-0.10666 0.34856 0.39694 0.53892 0.09201 0.087
-0.10681 0.34904 0.39749 0.53966 0.09389 0.060
-0.10695 0.34952 0.39804 0.54041 0.09577 -0.146
-0.10710 0.35000 0.39859 0.54115 0.09765 -0.104
-0.10725 0.35049 0.39914 0.54190 0.09953 0.157
-0.10740 0.35097 0.39969 0.54264 0.10141 0.075
-0.10754 0.35145 0.40024 0.54339 0.10329 -0.023
-0.10769 0.35193 0.40079 0.54414 0.10517 0.116
-0.10784 0.35241 0.40134 0.54488 0.10705 -0.082
-0.10799 0.35290 0.40188 0.54563 0.10893 -0.199
-0.10813 0.35338 0.40243 0.54637 0.11081 -0.078
-0.10828 0.35386 0.40298 0.54712 0.11269 0.001
-0.10843 0.35434 0.40353 0.54786 0.11457 -0.104
-0.10858 0.35483 0.40408 0.54861 0.11645 -0.066
-0.10872 0.35531 0.40463 0.54935 0.11833 -0.227
-0.10887 0.35579 0.40518 0.55010 0.12021 -0.041
-0.10902 0.35627 0.40573 0.55085 0.12209 0.186
-0.10917 0.35675 0.40628 0.55159 0.12397 -0.065
-0.10931 0.35724 0.40683 0.55234 0.12585 0.122
-0.10946 0.35772 0.40738 0.55308 0.12773 -0.092
-0.10961 0.35820 0.40793 0.55383 0.12961 -0.012
-0.10976 0.35868 0.40848 0.55458 0.13149 -0.141
-0.10991 0.35917 0.40903 0.55532 0.13337 -0.264
-0.11005 0.35965 0.40958 0.55607 0.13526 -0.013
-0.11020 0.36013 0.41012 0.55681 0.13714 0.077
-0.11035 0.36061 0.41067 0.55756 0.13902 0.221
-0.11050 0.36110 0.41122 0.55831 0.14090 0.169
-0.11064 0.36158 0.41177 0.55905 0.14278 -0.056
-0.11079 0.36206 0.41232 0.55980 0.14466 0.026
-0.11094 0.36254 0.41287 0.56054 0.14654 -0.086
-0.11109 0.36303 0.41342 0.56129 0.14842 0.130
-0.11123 0.36351 0.41397 0.56204 0.15031 0.059
-0.11138 0.36399 0.41452 0.56278 0.15219 0.028
-0.11153 0.36448 0.41507 0.56353 0.15407 0.018
-0.11168 0.36496 0.41562 0.56428 0.15595 0.151
-0.11182 0.36544 0.41617 0.56502 0.15783 0.111
-0.11197 0.36592 0.41672 0.56577 0.15971 0.070
-0.11212 0.36641 0.41727 0.56651 0.16160 0.223
-0.11227 0.36689 0.41782 0.56726 0.16348 -0.002
-0.11242 0.36737 0.41837 0.56801 0.16536 0.039
-0.11256 0.36785 0.41892 0.56875 0.16724 0.157
-0.11271 0.36834 0.41947 0.56950 0.16912 0.127
-0.11286 0.36882 0.42002 0.57025 0.17101 -0.029
-0.11301 0.36930 0.42057 0.57099 0.17289 0.171
-0.11315 0.36979 0.42112 0.57174 0.17477 0.120
-0.11330 0.37027 0.42167 0.57249 0.17665 -0.081
-0.11345 0.37075 0.42222 0.57323 0.17854 -0.027
-0.11360 0.37123 0.42277 0.57398 0.18042 0.094
-0.11375 0.37172 0.42332 0.57473 0.18230 0.101
-0.11389 0.37220 0.42387 0.57547 0.18418 0.133
-0.11404 0.37268 0.42442 0.57622 0.18607 0.190
-0.11419 0.37317 0.42497 0.57697 0.18795 -0.168
-0.11434 0.37365 0.42552 0.57771 0.18983 -0.121
-0.11448 0.37413 0.42607 0.57846 0.19172 -0.035
-0.11463 0.37461 0.42662 0.57921 0.19360 -0.026
-0.11478 0.37510 0.42717 0.57995 0.19548 0.118
-0.11493 0.37558 0.42772 0.58070 0.19737 0.182
-0.11508 0.37606 0.42827 0.58145 0.19925 -0.037
-0.11522 0.37655 0.42882 0.58219 0.20113 0.247
-0.11537 0.37703 0.42937 0.58294 0.20302 -0.026
-0.11552 0.37751 0.42992 0.58369 0.20490 0.056
-0.11567 0.37800 0.43047 0.58443 0.20678 0.005
-0.11581 0.37848 0.43102 0.58518 0.20867 0.066
-0.11596 0.37896 0.43157 0.58593 0.21055 0.147
-0.11611 0.37945 0.43212 0.58668 0.21243 -0.055
-0.11626 0.37993 0.43267 0.58742 0.21432 0.158
-0.11641 0.38041 0.43322 0.58817 0.21620 -0.106
-0.11655 0.38090 0.43377 0.58892 0.21809 0.037
-0.11670 0.38138 0.43432 0.58966 0.21997 0.099
-0.11685 0.38186 0.43487 0.59041 0.22185 0.119
-0.11700 0.38235 0.43542 0.59116 0.22374 0.058
-0.11715 0.38283 0.43597 0.59191 0.22562 0.038
-0.11729 0.38331 0.43652 0.59265 0.22751 0.150
-0.11744 0.38380 0.43707 0.59340 0.22939 -0.022
-0.11759 0.38428 0.43762 0.59415 0.23127 0.049
-0.11774 0.38476 0.43817 0.59490 0.23316 0.069
-0.11789 0.38525 0.43872 0.59564 0.23504 -0.123
-0.11803 0.38573 0.43928 0.59639 0.23693 0.130
-0.11818 0.38621 0.43983 0.59714 0.23881 -0.042
-0.11833 0.38670 0.44038 0.59789 0.24070 0.019
-0.11848 0.38718 0.44093 0.59863 0.24258 0.252
-0.11862 0.38766 0.44148 0.59938 0.24447 0.120
-0.11877 0.38815 0.44203 0.60013 0.24635 0.080
-0.11892 0.38863 0.44258 0.60088 0.24824 0.039
-0.11907 0.38911 0.44313 0.60162 0.25012 0.060
-0.11922 0.38960 0.44368 0.60237 0.25201 0.029
-0.11936 0.39008 0.44423 0.60312 0.25389 -0.011
-0.11951 0.39056 0.44478 0.60387 0.25578 -0.021
-0.11966 0.39105 0.44533 0.60461 0.25766 0.130
-0.11981 0.39153 0.44588 0.60536 0.25955 0.060
-0.11996 0.39201 0.44643 0.60611 0.26143 0.050
-0.12010 0.39250 0.44698 0.60686 0.26332 -0.061
-0.12025 0.39298 0.44754 0.60760 0.26521 0.093
-0.12040 0.39347 0.44809 0.60835 0.26709 0.095
-0.12055 0.39395 0.44864 0.60910 0.26898 0.218
-0.12070 0.39443 0.44919 0.60985 0.27086 0.218
-0.12084 0.39492 0.44974 0.61060 0.27275 0.083
-0.12099 0.39540 0.45029 0.61134 0.27463 0.054
-0.12114 0.39588 0.45084 0.61209 0.27652 0.085
-0.12129 0.39637 0.45139 0.61284 0.27841 0.019
-0.12144 0.39685 0.45194 0.61359 0.28029 -0.173
-0.12158 0.39734 0.45249 0.61434 0.28218 0.067
-0.12173 0.39782 0.45304 0.61508 0.28407 -0.042
-0.12188 0.39830 0.45360 0.61583 0.28595 0.035
-0.12203 0.39879 0.45415 0.61658 0.28784 -0.244
-0.12218 0.39927 0.45470 0.61733 0.28972 -0.083
-0.12233 0.39976 0.45525 0.61808 0.29161 -0.244
-0.12247 0.40024 0.45580 0.61883 0.29350 -0.176
-0.12262 0.40072 0.45635 0.61957 0.29538 -0.107
-0.12277 0.40121 0.45690 0.62032 0.29727 0.032
-0.12292 0.40169 0.45745 0.62107 0.29916 0.030
-0.12307 0.40218 0.45800 0.62182 0.30105 0.069
-0.12321 0.40266 0.45856 0.62257 0.30293 -0.127
-0.12336 0.40314 0.45911 0.62332 0.30482 0.004
-0.12351 0.40363 0.45966 0.62406 0.30671 -0.086
-0.12366 0.40411 0.46021 0.62481 0.30859 -0.146
-0.12381 0.40460 0.46076 0.62556 0.31048 -0.026
-0.12395 0.40508 0.46131 0.62631 0.31237 0.065
-0.12410 0.40556 0.46186 0.62706 0.31426 -0.024
-0.12425 0.40605 0.46241 0.62781 0.31614 -0.034
-0.12440 0.40653 0.46297 0.62855 0.31803 0.136
-0.12455 0.40702 0.46352 0.62930 0.31992 -0.144
-0.12470 0.40750 0.46407 0.63005 0.32181 0.037
-0.12484 0.40798 0.46462 0.63080 0.32369 -0.073
-0.12499 0.40847 0.46517 0.63155 0.32558 -0.092
-0.12514 0.40895 0.46572 0.63230 0.32747 0.208
-0.12529 0.40944 0.46627 0.63305 0.32936 0.159
-0.12544 0.40992 0.46683 0.63380 0.33125 0.129
-0.12558 0.41041 0.46738 0.63454 0.33313 -0.031
-0.12573 0.41089 0.46793 0.63529 0.33502 0.200
-0.12588 0.41137 0.46848 0.63604 0.33691 0.030
-0.12603 0.41186 0.46903 0.63679 0.33880 0.090
-0.12618 0.41234 0.46958 0.63754 0.34069 0.100
-0.12633 0.41283 0.47014 0.63829 0.34257 0.001
-0.12647 0.41331 0.47069 0.63904 0.34446 0.101
-0.12662 0.41380 0.47124 0.63979 0.34635 -0.078
-0.12677 0.41428 0.47179 0.64054 0.34824 0.102
-0.12692 0.41477 0.47234 0.64128 0.35013 -0.067
-0.12707 0.41525 0.47289 0.64203 0.35202 -0.067
-0.12721 0.41573 0.47345 0.64278 0.35391 0.043
-0.12736 0.41622 0.47400 0.64353 0.35580 -0.007
-0.12751 0.41670 0.47455 0.64428 0.35768 0.173
-0.12766 0.41719 0.47510 0.64503 0.35957 0.053
-0.12781 0.41767 0.47565 0.64578 0.36146 0.034
-0.12796 0.41816 0.47620 0.64653 0.36335 -0.116
-0.12810 0.41864 0.47676 0.64728 0.36524 -0.135
-0.12825 0.41913 0.47731 0.64803 0.36713 -0.155
-0.12840 0.41961 0.47786 0.64878 0.36902 -0.145
-0.12855 0.42010 0.47841 0.64953 0.37091 -0.244
-0.12870 0.42058 0.47896 0.65028 0.37280 -0.075
-0.12885 0.42107 0.47952 0.65102 0.37469 0.035
-0.12899 0.42155 0.48007 0.65177 0.37658 0.194
-0.12914 0.42203 0.48062 0.65252 0.37847 0.045
-0.12929 0.42252 0.48117 0.65327 0.38036 -0.202
-0.12944 0.42300 0.48172 0.65402 0.38225 0.135
-0.12959 0.42349 0.48228 0.65477 0.38414 -0.013
-0.12974 0.42397 0.48283 0.65552 0.38603 -0.072
-0.12988 0.42446 0.48338 0.65627 0.38792 0.166
-0.13003 0.42494 0.48393 0.65702 0.38981 0.027
-0.13018 0.42543 0.48449 0.65777 0.39170 -0.003
-0.13033 0.42591 0.48504 0.65852 0.39359 -0.111
-0.13048 0.42640 0.48559 0.65927 0.39548 -0.032
-0.13063 0.42688 0.48614 0.66002 0.39737 0.047
-0.13077 0.42737 0.48669 0.66077 0.39926 -0.102
-0.13092 0.42785 0.48725 0.66152 0.40115 0.067
-0.13107 0.42834 0.48780 0.66227 0.40304 -0.011
-0.13122 0.42882 0.48835 0.66302 0.40493 0.077
-0.13137 0.42931 0.48890 0.66377 0.40682 0.256
-0.13152 0.42979 0.48946 0.66452 0.40871 0.237
-0.13166 0.43028 0.49001 0.66527 0.41060 0.049
-0.13181 0.43076 0.49056 0.66602 0.41249 0.019
-0.13196 0.43125 0.49111 0.66677 0.41438 0.088
-0.13211 0.43173 0.49166 0.66752 0.41627 0.149
-0.13226 0.43222 0.49222 0.66827 0.41817 0.109
-0.13241 0.43270 0.49277 0.66902 0.42006 0.110
-0.13256 0.43319 0.49332 0.66977 0.42195 0.110
-0.13270 0.43367 0.49387 0.67052 0.42384 -0.097
-0.13285 0.43416 0.49443 0.67127 0.42573 0.081
-0.13300 0.43464 0.49498 0.67202 0.42762 0.061
-0.13315 0.43513 0.49553 0.67277 0.42951 0.091
-0.13330 0.43561 0.49608 0.67352 0.43141 -0.027
-0.13345 0.43610 0.49664 0.67427 0.43330 0.121
-0.13359 0.43658 0.49719 0.67502 0.43519 -0.026
-0.13374 0.43707 0.49774 0.67577 0.43708 0.112
-0.13389 0.43755 0.49829 0.67652 0.43897 -0.045
-0.13404 0.43804 0.49885 0.67727 0.44086 0.083
-0.13419 0.43853 0.49940 0.67802 0.44276 0.141
-0.13434 0.43901 0.49995 0.67877 0.44465 0.171
-0.13449 0.43950 0.50051 0.67952 0.44654 0.114
-0.13463 0.43998 0.50106 0.68027 0.44843 0.113
-0.13478 0.44047 0.50161 0.68102 0.45032 0.064
-0.13493 0.44095 0.50216 0.68177 0.45222 0.124
