x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.42839 0.04559 0.25852 0.50243 0.00000 1.016 1236.109 0.01681
-0.42903 0.04566 0.25890 0.50317 0.00188 0.721 1236.139 0.01684
-0.42966 0.04573 0.25929 0.50391 0.00375 0.974 1236.169 0.01686
-0.43030 0.04579 0.25967 0.50466 0.00563 1.046 1236.199 0.01689
-0.43093 0.04586 0.26005 0.50540 0.00750 0.989 1236.229 0.01691
-0.43156 0.04593 0.26044 0.50615 0.00938 1.061 1236.259 0.01694
-0.43220 0.04600 0.26082 0.50689 0.01126 1.028 1236.289 0.01696
-0.43283 0.04606 0.26120 0.50763 0.01313 1.102 1236.318 0.01699
-0.43347 0.04613 0.26159 0.50838 0.01501 1.067 1236.348 0.01701
-0.43410 0.04620 0.26197 0.50912 0.01689 0.832 1236.378 0.01703
-0.43474 0.04627 0.26235 0.50987 0.01876 0.881 1236.408 0.01706
-0.43537 0.04633 0.26273 0.51061 0.02064 0.992 1236.438 0.01708
-0.43601 0.04640 0.26312 0.51136 0.02252 0.903 1236.468 0.01711
-0.43664 0.04647 0.26350 0.51210 0.02440 0.876 1236.498 0.01713
-0.43728 0.04654 0.26388 0.51285 0.02627 0.972 1236.528 0.01716
-0.43791 0.04660 0.26427 0.51359 0.02815 0.825 1236.558 0.01718
-0.43855 0.04667 0.26465 0.51433 0.03003 1.056 1236.587 0.01721
-0.43918 0.04674 0.26503 0.51508 0.03190 0.858 1236.617 0.01723
-0.43982 0.04681 0.26542 0.51582 0.03378 1.036 1236.647 0.01726
-0.44045 0.04687 0.26580 0.51657 0.03566 1.187 1236.677 0.01728
-0.44108 0.04694 0.26618 0.51731 0.03754 1.033 1236.707 0.01730
-0.44172 0.04701 0.26656 0.51806 0.03941 0.958 1236.737 0.01733
-0.44235 0.04708 0.26695 0.51880 0.04129 0.914 1236.767 0.01735
-0.44299 0.04714 0.26733 0.51955 0.04317 1.002 1236.797 0.01738
-0.44362 0.04721 0.26771 0.52029 0.04505 0.941 1236.827 0.01740
-0.44426 0.04728 0.26810 0.52104 0.04692 0.890 1236.856 0.01743
-0.44489 0.04735 0.26848 0.52178 0.04880 1.062 1236.886 0.01745
-0.44553 0.04741 0.26886 0.52253 0.05068 0.734 1236.916 0.01748
-0.44616 0.04748 0.26925 0.52327 0.05256 0.930 1236.946 0.01750
-0.44680 0.04755 0.26963 0.52401 0.05444 0.929 1236.976 0.01753
-0.44743 0.04762 0.27001 0.52476 0.05631 0.908 1237.006 0.01755
-0.44807 0.04768 0.27040 0.52550 0.05819 1.016 1237.036 0.01758
-0.44870 0.04775 0.27078 0.52625 0.06007 1.005 1237.066 0.01760
-0.44934 0.04782 0.27116 0.52699 0.06195 0.930 1237.096 0.01762
-0.44998 0.04789 0.27155 0.52774 0.06383 0.907 1237.126 0.01765
-0.45061 0.04796 0.27193 0.52848 0.06571 0.907 1237.155 0.01767
-0.45125 0.04802 0.27231 0.52923 0.06758 1.003 1237.185 0.01770
-0.45188 0.04809 0.27270 0.52997 0.06946 0.906 1237.215 0.01772
-0.45252 0.04816 0.27308 0.53072 0.07134 0.916 1237.245 0.01775
-0.45315 0.04823 0.27346 0.53146 0.07322 0.838 1237.275 0.01777
-0.45379 0.04829 0.27385 0.53221 0.07510 1.012 1237.305 0.01780
-0.45442 0.04836 0.27423 0.53295 0.07698 0.925 1237.335 0.01782
-0.45506 0.04843 0.27461 0.53370 0.07886 1.202 1237.365 0.01785
-0.45569 0.04850 0.27500 0.53445 0.08074 1.052 1237.395 0.01787
-0.45633 0.04856 0.27538 0.53519 0.08261 0.847 1237.424 0.01790
-0.45696 0.04863 0.27576 0.53594 0.08449 0.720 1237.454 0.01792
-0.45760 0.04870 0.27615 0.53668 0.08637 0.913 1237.484 0.01794
-0.45823 0.04877 0.27653 0.53743 0.08825 1.018 1237.514 0.01797
-0.45887 0.04883 0.27691 0.53817 0.09013 0.890 1237.544 0.01799
-0.45951 0.04890 0.27730 0.53892 0.09201 0.943 1237.574 0.01802
-0.46014 0.04897 0.27768 0.53966 0.09389 0.943 1237.604 0.01804
-0.46078 0.04904 0.27807 0.54041 0.09577 0.984 1237.634 0.01807
-0.46141 0.04910 0.27845 0.54115 0.09765 0.985 1237.664 0.01809
-0.46205 0.04917 0.27883 0.54190 0.09953 0.952 1237.693 0.01812
-0.46268 0.04924 0.27922 0.54264 0.10141 0.974 1237.723 0.01814
-0.46332 0.04931 0.27960 0.54339 0.10329 1.122 1237.753 0.01817
-0.46396 0.04938 0.27998 0.54414 0.10517 1.047 1237.783 0.01819
-0.46459 0.04944 0.28037 0.54488 0.10705 1.058 1237.813 0.01821
-0.46523 0.04951 0.28075 0.54563 0.10893 1.101 1237.843 0.01824
-0.46586 0.04958 0.28113 0.54637 0.11081 0.948 1237.873 0.01826
-0.46650 0.04965 0.28152 0.54712 0.11269 1.057 1237.903 0.01829
-0.46713 0.04971 0.28190 0.54786 0.11457 0.963 1237.933 0.01831
