x y z dist_scaled dist_frac absorption
-0.11040 0.02005 0.48974 0.50243 0.00000 0.261
-0.11056 0.02008 0.49046 0.50317 0.00188 0.034
-0.11073 0.02011 0.49119 0.50391 0.00375 -0.284
-0.11089 0.02014 0.49191 0.50466 0.00563 0.037
-0.11106 0.02017 0.49264 0.50540 0.00750 -0.007
-0.11122 0.02020 0.49336 0.50615 0.00938 -0.284
-0.11138 0.02023 0.49409 0.50689 0.01126 0.086
-0.11155 0.02026 0.49481 0.50763 0.01313 0.179
-0.11171 0.02029 0.49554 0.50838 0.01501 0.132
-0.11187 0.02032 0.49626 0.50912 0.01689 0.130
-0.11204 0.02035 0.49699 0.50987 0.01876 0.037
-0.11220 0.02038 0.49772 0.51061 0.02064 0.126
-0.11236 0.02041 0.49844 0.51136 0.02252 0.220
-0.11253 0.02043 0.49917 0.51210 0.02440 -0.193
-0.11269 0.02046 0.49989 0.51285 0.02627 0.083
-0.11285 0.02049 0.50062 0.51359 0.02815 0.132
-0.11302 0.02052 0.50134 0.51433 0.03003 -0.280
-0.11318 0.02055 0.50207 0.51508 0.03190 -0.373
-0.11334 0.02058 0.50280 0.51582 0.03378 -0.146
-0.11351 0.02061 0.50352 0.51657 0.03566 0.177
-0.11367 0.02064 0.50425 0.51731 0.03754 0.357
-0.11384 0.02067 0.50497 0.51806 0.03941 -0.236
-0.11400 0.02070 0.50570 0.51880 0.04129 0.040
-0.11416 0.02073 0.50642 0.51955 0.04317 0.452
-0.11433 0.02076 0.50715 0.52029 0.04505 -0.004
-0.11449 0.02079 0.50788 0.52104 0.04692 -0.004
-0.11465 0.02082 0.50860 0.52178 0.04880 0.176
-0.11482 0.02085 0.50933 0.52253 0.05068 0.267
-0.11498 0.02088 0.51005 0.52327 0.05256 -0.144
-0.11514 0.02091 0.51078 0.52401 0.05444 -0.417
-0.11531 0.02094 0.51151 0.52476 0.05631 -0.280
-0.11547 0.02097 0.51223 0.52550 0.05819 0.175
-0.11564 0.02100 0.51296 0.52625 0.06007 -0.009
-0.11580 0.02103 0.51368 0.52699 0.06195 0.267
-0.11596 0.02106 0.51441 0.52774 0.06383 -0.006
-0.11613 0.02109 0.51514 0.52848 0.06571 -0.192
-0.11629 0.02112 0.51586 0.52923 0.06758 -0.052
-0.11645 0.02115 0.51659 0.52997 0.06946 -0.008
-0.11662 0.02118 0.51731 0.53072 0.07134 -0.010
-0.11678 0.02121 0.51804 0.53146 0.07322 -0.510
-0.11695 0.02124 0.51877 0.53221 0.07510 -0.057
-0.11711 0.02127 0.51949 0.53295 0.07698 0.263
-0.11727 0.02130 0.52022 0.53370 0.07886 -0.372
-0.11744 0.02133 0.52095 0.53445 0.08074 -0.418
-0.11760 0.02136 0.52167 0.53519 0.08261 0.449
-0.11776 0.02139 0.52240 0.53594 0.08449 0.085
-0.11793 0.02142 0.52313 0.53668 0.08637 -0.093
-0.11809 0.02145 0.52385 0.53743 0.08825 -0.007
-0.11826 0.02148 0.52458 0.53817 0.09013 -0.277
-0.11842 0.02150 0.52531 0.53892 0.09201 -0.097
-0.11858 0.02153 0.52603 0.53966 0.09389 0.135
-0.11875 0.02156 0.52676 0.54041 0.09577 -0.228
-0.11891 0.02159 0.52749 0.54115 0.09765 -0.137
-0.11907 0.02162 0.52821 0.54190 0.09953 -0.181
-0.11924 0.02165 0.52894 0.54264 0.10141 -0.044
-0.11940 0.02168 0.52967 0.54339 0.10329 0.002
