x y z dist_scaled dist_frac flux_norm
0.08252 0.00571 0.49573 0.50258 0.00000 0.864
0.08264 0.00572 0.49646 0.50333 0.00188 1.007
0.08276 0.00573 0.49720 0.50407 0.00375 0.735
0.08288 0.00573 0.49793 0.50481 0.00563 0.842
0.08301 0.00574 0.49866 0.50556 0.00751 0.948
0.08313 0.00575 0.49940 0.50630 0.00938 0.893
0.08325 0.00576 0.50013 0.50705 0.01126 1.163
0.08337 0.00577 0.50087 0.50779 0.01313 0.963
0.08349 0.00578 0.50160 0.50853 0.01501 0.908
0.08362 0.00578 0.50233 0.50928 0.01689 0.818
0.08374 0.00579 0.50307 0.51002 0.01876 0.942
0.08386 0.00580 0.50380 0.51077 0.02064 0.977
0.08398 0.00581 0.50453 0.51151 0.02252 1.046
0.08410 0.00582 0.50527 0.51225 0.02440 1.097
0.08423 0.00583 0.50600 0.51300 0.02627 0.955
0.08435 0.00584 0.50674 0.51374 0.02815 1.240
0.08447 0.00584 0.50747 0.51449 0.03003 0.794
0.08459 0.00585 0.50820 0.51523 0.03190 0.971
0.08472 0.00586 0.50894 0.51597 0.03378 1.075
0.08484 0.00587 0.50967 0.51672 0.03566 0.666
0.08496 0.00588 0.51041 0.51746 0.03754 1.178
0.08508 0.00589 0.51114 0.51821 0.03941 1.053
0.08520 0.00589 0.51187 0.51895 0.04129 0.911
0.08533 0.00590 0.51261 0.51970 0.04317 0.893
0.08545 0.00591 0.51334 0.52044 0.04505 1.208
0.08557 0.00592 0.51408 0.52118 0.04692 1.138
0.08569 0.00593 0.51481 0.52193 0.04880 0.978
0.08582 0.00594 0.51555 0.52267 0.05068 0.978
0.08594 0.00595 0.51628 0.52342 0.05256 1.064
0.08606 0.00595 0.51701 0.52416 0.05444 0.888
0.08618 0.00596 0.51775 0.52491 0.05631 0.939
0.08630 0.00597 0.51848 0.52565 0.05819 0.991
0.08643 0.00598 0.51922 0.52640 0.06007 0.884
0.08655 0.00599 0.51995 0.52714 0.06195 0.910
0.08667 0.00600 0.52069 0.52788 0.06383 0.719
0.08679 0.00600 0.52142 0.52863 0.06571 0.995
0.08692 0.00601 0.52216 0.52937 0.06758 1.355
0.08704 0.00602 0.52289 0.53012 0.06946 0.917
0.08716 0.00603 0.52362 0.53086 0.07134 0.933
0.08728 0.00604 0.52436 0.53161 0.07322 0.793
0.08740 0.00605 0.52509 0.53235 0.07510 1.013
0.08753 0.00606 0.52583 0.53310 0.07698 1.121
0.08765 0.00606 0.52656 0.53384 0.07886 1.096
0.08777 0.00607 0.52730 0.53459 0.08074 1.302
0.08789 0.00608 0.52803 0.53533 0.08261 0.830
0.08802 0.00609 0.52877 0.53608 0.08449 0.792
0.08814 0.00610 0.52950 0.53682 0.08637 0.926
0.08826 0.00611 0.53024 0.53757 0.08825 1.001
0.08838 0.00611 0.53097 0.53831 0.09013 1.172
0.08851 0.00612 0.53171 0.53906 0.09201 0.934
0.08863 0.00613 0.53244 0.53980 0.09389 0.941
0.08875 0.00614 0.53318 0.54055 0.09577 0.966
0.08887 0.00615 0.53391 0.54129 0.09765 0.982
0.08899 0.00616 0.53465 0.54204 0.09953 1.117
0.08912 0.00617 0.53538 0.54278 0.10141 1.013
0.08924 0.00617 0.53612 0.54353 0.10329 0.877
0.08936 0.00618 0.53685 0.54427 0.10517 0.960
0.08948 0.00619 0.53759 0.54502 0.10705 1.113
0.08961 0.00620 0.53832 0.54576 0.10893 1.077
0.08973 0.00621 0.53906 0.54651 0.11081 0.874
0.08985 0.00622 0.53979 0.54725 0.11269 0.772
0.08997 0.00622 0.54053 0.54800 0.11457 1.074
0.09010 0.00623 0.54126 0.54874 0.11645 0.956
0.09022 0.00624 0.54200 0.54949 0.11833 1.225
0.09034 0.00625 0.54273 0.55024 0.12021 1.123
0.09046 0.00626 0.54347 0.55098 0.12209 0.919
0.09059 0.00627 0.54420 0.55173 0.12397 0.952
0.09071 0.00628 0.54494 0.55247 0.12585 1.119
0.09083 0.00628 0.54567 0.55322 0.12773 0.832
0.09095 0.00629 0.54641 0.55396 0.12961 0.882
0.09108 0.00630 0.54714 0.55471 0.13149 0.949
0.09120 0.00631 0.54788 0.55545 0.13338 1.233
0.09132 0.00632 0.54862 0.55620 0.13526 1.082
0.09144 0.00633 0.54935 0.55695 0.13714 1.032
0.09156 0.00633 0.55009 0.55769 0.13902 1.298
0.09169 0.00634 0.55082 0.55844 0.14090 0.812
0.09181 0.00635 0.55156 0.55918 0.14278 0.911
0.09193 0.00636 0.55229 0.55993 0.14466 0.910
0.09205 0.00637 0.55303 0.56067 0.14654 0.944
0.09218 0.00638 0.55376 0.56142 0.14843 1.092
0.09230 0.00639 0.55450 0.56217 0.15031 1.258
0.09242 0.00639 0.55524 0.56291 0.15219 0.675
0.09254 0.00640 0.55597 0.56366 0.15407 0.991
0.09267 0.00641 0.55671 0.56440 0.15595 0.775
0.09279 0.00642 0.55744 0.56515 0.15783 1.139
0.09291 0.00643 0.55818 0.56590 0.15972 0.939
0.09303 0.00644 0.55892 0.56664 0.16160 0.955
0.09316 0.00644 0.55965 0.56739 0.16348 0.740
0.09328 0.00645 0.56039 0.56813 0.16536 1.037
0.09340 0.00646 0.56112 0.56888 0.16724 0.821
0.09352 0.00647 0.56186 0.56963 0.16913 0.754
0.09365 0.00648 0.56259 0.57037 0.17101 0.639
0.09377 0.00649 0.56333 0.57112 0.17289 0.919
0.09389 0.00650 0.56407 0.57186 0.17477 0.703
0.09401 0.00650 0.56480 0.57261 0.17665 0.966
0.09414 0.00651 0.56554 0.57336 0.17854 0.884
0.09426 0.00652 0.56628 0.57410 0.18042 0.833
0.09438 0.00653 0.56701 0.57485 0.18230 1.128
0.09450 0.00654 0.56775 0.57560 0.18419 0.733
0.09463 0.00655 0.56848 0.57634 0.18607 0.765
0.09475 0.00656 0.56922 0.57709 0.18795 1.027
0.09487 0.00656 0.56996 0.57784 0.18983 0.879
0.09499 0.00657 0.57069 0.57858 0.19172 1.089
0.09512 0.00658 0.57143 0.57933 0.19360 1.024
0.09524 0.00659 0.57217 0.58007 0.19548 0.859
0.09536 0.00660 0.57290 0.58082 0.19737 1.120
0.09549 0.00661 0.57364 0.58157 0.19925 0.793
0.09561 0.00661 0.57437 0.58231 0.20113 0.842
0.09573 0.00662 0.57511 0.58306 0.20302 1.085
0.09585 0.00663 0.57585 0.58381 0.20490 0.938
0.09598 0.00664 0.57658 0.58455 0.20678 1.051
0.09610 0.00665 0.57732 0.58530 0.20867 0.710
0.09622 0.00666 0.57806 0.58605 0.21055 0.790
0.09634 0.00667 0.57879 0.58679 0.21243 0.644
0.09647 0.00667 0.57953 0.58754 0.21432 0.856
0.09659 0.00668 0.58027 0.58829 0.21620 0.968
0.09671 0.00669 0.58100 0.58904 0.21809 1.064
0.09683 0.00670 0.58174 0.58978 0.21997 0.918
0.09696 0.00671 0.58248 0.59053 0.22185 0.869
0.09708 0.00672 0.58321 0.59128 0.22374 0.868
0.09720 0.00672 0.58395 0.59202 0.22562 0.803
0.09732 0.00673 0.58469 0.59277 0.22751 0.819
0.09745 0.00674 0.58542 0.59352 0.22939 0.912
0.09757 0.00675 0.58616 0.59426 0.23128 0.815
0.09769 0.00676 0.58690 0.59501 0.23316 1.104
0.09781 0.00677 0.58763 0.59576 0.23504 1.007
0.09794 0.00678 0.58837 0.59650 0.23693 0.637
0.09806 0.00678 0.58911 0.59725 0.23881 1.119
0.09818 0.00679 0.58984 0.59800 0.24070 0.911
0.09831 0.00680 0.59058 0.59875 0.24258 1.007
0.09843 0.00681 0.59132 0.59949 0.24447 0.976
0.09855 0.00682 0.59206 0.60024 0.24635 1.070
0.09867 0.00683 0.59279 0.60099 0.24824 0.893
0.09880 0.00684 0.59353 0.60174 0.25012 1.134
0.09892 0.00684 0.59427 0.60248 0.25201 1.165
0.09904 0.00685 0.59500 0.60323 0.25389 0.859
0.09916 0.00686 0.59574 0.60398 0.25578 0.843
0.09929 0.00687 0.59648 0.60472 0.25766 1.068
0.09941 0.00688 0.59722 0.60547 0.25955 1.124
0.09953 0.00689 0.59795 0.60622 0.26144 0.921
0.09966 0.00689 0.59869 0.60697 0.26332 0.824
0.09978 0.00690 0.59943 0.60771 0.26521 0.837
0.09990 0.00691 0.60016 0.60846 0.26709 0.921
0.10002 0.00692 0.60090 0.60921 0.26898 0.825
0.10015 0.00693 0.60164 0.60996 0.27086 0.985
0.10027 0.00694 0.60238 0.61070 0.27275 0.985
0.10039 0.00695 0.60311 0.61145 0.27464 0.895
0.10051 0.00695 0.60385 0.61220 0.27652 0.896
0.10064 0.00696 0.60459 0.61295 0.27841 0.796
0.10076 0.00697 0.60533 0.61370 0.28029 0.865
0.10088 0.00698 0.60606 0.61444 0.28218 1.247
0.10101 0.00699 0.60680 0.61519 0.28407 0.817
0.10113 0.00700 0.60754 0.61594 0.28595 1.077
0.10125 0.00700 0.60828 0.61669 0.28784 0.951
0.10137 0.00701 0.60901 0.61743 0.28973 0.945
0.10150 0.00702 0.60975 0.61818 0.29161 0.971
0.10162 0.00703 0.61049 0.61893 0.29350 1.237
0.10174 0.00704 0.61123 0.61968 0.29539 0.994
0.10187 0.00705 0.61197 0.62043 0.29727 0.662
0.10199 0.00706 0.61270 0.62117 0.29916 0.852
0.10211 0.00706 0.61344 0.62192 0.30105 0.946
0.10223 0.00707 0.61418 0.62267 0.30293 0.881
0.10236 0.00708 0.61492 0.62342 0.30482 0.738
0.10248 0.00709 0.61565 0.62417 0.30671 0.779
0.10260 0.00710 0.61639 0.62491 0.30859 0.777
0.10272 0.00711 0.61713 0.62566 0.31048 0.968
0.10285 0.00712 0.61787 0.62641 0.31237 1.387
0.10297 0.00712 0.61861 0.62716 0.31426 1.081
0.10309 0.00713 0.61934 0.62791 0.31614 1.046
0.10322 0.00714 0.62008 0.62866 0.31803 1.084
0.10334 0.00715 0.62082 0.62940 0.31992 1.198
0.10346 0.00716 0.62156 0.63015 0.32181 0.983
0.10358 0.00717 0.62230 0.63090 0.32369 1.053
0.10371 0.00717 0.62304 0.63165 0.32558 0.764
0.10383 0.00718 0.62377 0.63240 0.32747 0.828
0.10395 0.00719 0.62451 0.63315 0.32936 1.163
0.10408 0.00720 0.62525 0.63389 0.33125 1.493
0.10420 0.00721 0.62599 0.63464 0.33313 1.063
0.10432 0.00722 0.62673 0.63539 0.33502 0.962
0.10444 0.00723 0.62746 0.63614 0.33691 1.189
0.10457 0.00723 0.62820 0.63689 0.33880 0.886
0.10469 0.00724 0.62894 0.63764 0.34069 0.698
0.10481 0.00725 0.62968 0.63838 0.34258 0.819
0.10494 0.00726 0.63042 0.63913 0.34446 0.545
0.10506 0.00727 0.63116 0.63988 0.34635 0.608
0.10518 0.00728 0.63189 0.64063 0.34824 0.608
0.10531 0.00729 0.63263 0.64138 0.35013 0.576
0.10543 0.00729 0.63337 0.64213 0.35202 0.513
0.10555 0.00730 0.63411 0.64288 0.35391 0.497
0.10567 0.00731 0.63485 0.64363 0.35580 0.435
0.10580 0.00732 0.63559 0.64437 0.35769 0.560
0.10592 0.00733 0.63633 0.64512 0.35957 0.575
0.10604 0.00734 0.63706 0.64587 0.36146 0.496
0.10617 0.00734 0.63780 0.64662 0.36335 1.012
0.10629 0.00735 0.63854 0.64737 0.36524 0.997
0.10641 0.00736 0.63928 0.64812 0.36713 0.980
0.10653 0.00737 0.64002 0.64887 0.36902 0.917
0.10666 0.00738 0.64076 0.64962 0.37091 0.699
0.10678 0.00739 0.64150 0.65037 0.37280 0.839
0.10690 0.00740 0.64224 0.65111 0.37469 1.042
0.10703 0.00740 0.64298 0.65186 0.37658 0.900
0.10715 0.00741 0.64371 0.65261 0.37847 1.024
0.10727 0.00742 0.64445 0.65336 0.38036 1.273
0.10740 0.00743 0.64519 0.65411 0.38225 1.023
0.10752 0.00744 0.64593 0.65486 0.38414 1.008
0.10764 0.00745 0.64667 0.65561 0.38603 0.898
0.10776 0.00746 0.64741 0.65636 0.38792 0.976
0.10789 0.00746 0.64815 0.65711 0.38981 0.992
0.10801 0.00747 0.64889 0.65786 0.39170 0.836
0.10813 0.00748 0.64963 0.65861 0.39359 1.118
0.10826 0.00749 0.65037 0.65936 0.39548 1.072
0.10838 0.00750 0.65110 0.66011 0.39737 1.133
0.10850 0.00751 0.65184 0.66085 0.39926 0.868
0.10863 0.00752 0.65258 0.66160 0.40115 1.087
0.10875 0.00752 0.65332 0.66235 0.40304 0.931
0.10887 0.00753 0.65406 0.66310 0.40493 0.853
0.10900 0.00754 0.65480 0.66385 0.40682 1.258
0.10912 0.00755 0.65554 0.66460 0.40871 1.039
0.10924 0.00756 0.65628 0.66535 0.41060 0.962
0.10936 0.00757 0.65702 0.66610 0.41249 0.962
0.10949 0.00757 0.65776 0.66685 0.41438 1.007
0.10961 0.00758 0.65850 0.66760 0.41628 0.851
0.10973 0.00759 0.65924 0.66835 0.41817 1.100
0.10986 0.00760 0.65998 0.66910 0.42006 1.022
0.10998 0.00761 0.66072 0.66985 0.42195 0.944
0.11010 0.00762 0.66146 0.67060 0.42384 0.945
0.11023 0.00763 0.66219 0.67135 0.42573 1.023
0.11035 0.00763 0.66293 0.67210 0.42762 1.193
0.11047 0.00764 0.66367 0.67285 0.42951 1.069
0.11060 0.00765 0.66441 0.67360 0.43141 0.820
0.11072 0.00766 0.66515 0.67435 0.43330 1.146
0.11084 0.00767 0.66589 0.67510 0.43519 0.944
0.11096 0.00768 0.66663 0.67585 0.43708 1.068
0.11109 0.00769 0.66737 0.67660 0.43897 1.114
0.11121 0.00769 0.66811 0.67735 0.44087 0.711
0.11133 0.00770 0.66885 0.67810 0.44276 0.991
0.11146 0.00771 0.66959 0.67885 0.44465 0.913
0.11158 0.00772 0.67033 0.67960 0.44654 0.851
0.11170 0.00773 0.67107 0.68035 0.44843 1.037
0.11183 0.00774 0.67181 0.68110 0.45033 0.851
0.11195 0.00775 0.67255 0.68185 0.45222 0.960
0.11207 0.00775 0.67329 0.68260 0.45411 1.131
0.11220 0.00776 0.67403 0.68335 0.45600 1.069
0.11232 0.00777 0.67477 0.68410 0.45790 1.130
0.11244 0.00778 0.67551 0.68485 0.45979 1.223
0.11257 0.00779 0.67625 0.68560 0.46168 0.959
0.11269 0.00780 0.67699 0.68635 0.46357 1.021
0.11281 0.00780 0.67773 0.68710 0.46547 1.176
0.11294 0.00781 0.67847 0.68785 0.46736 0.928
0.11306 0.00782 0.67921 0.68860 0.46925 1.145
0.11318 0.00783 0.67995 0.68935 0.47114 1.005
0.11330 0.00784 0.68069 0.69010 0.47304 1.114
0.11343 0.00785 0.68143 0.69085 0.47493 0.851
0.11355 0.00786 0.68217 0.69160 0.47682 1.224
0.11367 0.00786 0.68291 0.69235 0.47872 1.053
0.11380 0.00787 0.68365 0.69310 0.48061 0.711
0.11392 0.00788 0.68439 0.69385 0.48250 0.910
0.11404 0.00789 0.68513 0.69461 0.48440 0.907
0.11417 0.00790 0.68587 0.69536 0.48629 0.915
0.11429 0.00791 0.68661 0.69611 0.48818 1.279
0.11441 0.00792 0.68735 0.69686 0.49008 1.050
0.11454 0.00792 0.68810 0.69761 0.49197 0.986
0.11466 0.00793 0.68884 0.69836 0.49387 0.965
0.11478 0.00794 0.68958 0.69911 0.49576 0.805
0.11491 0.00795 0.69032 0.69986 0.49765 0.720
0.11503 0.00796 0.69106 0.70061 0.49955 1.281
0.11515 0.00797 0.69180 0.70136 0.50144 0.901
0.11528 0.00798 0.69254 0.70211 0.50334 0.944
0.11540 0.00798 0.69328 0.70286 0.50523 1.196
0.11552 0.00799 0.69402 0.70361 0.50712 1.053
0.11565 0.00800 0.69476 0.70437 0.50902 0.843
0.11577 0.00801 0.69550 0.70512 0.51091 1.054
0.11589 0.00802 0.69624 0.70587 0.51281 1.303
0.11602 0.00803 0.69698 0.70662 0.51470 0.943
0.11614 0.00804 0.69772 0.70737 0.51660 1.171
0.11626 0.00804 0.69846 0.70812 0.51849 0.857
0.11639 0.00805 0.69921 0.70887 0.52039 0.961
0.11651 0.00806 0.69995 0.70962 0.52228 1.071
0.11663 0.00807 0.70069 0.71037 0.52418 0.946
0.11676 0.00808 0.70143 0.71112 0.52607 0.853
0.11688 0.00809 0.70217 0.71188 0.52797 0.916
0.11700 0.00809 0.70291 0.71263 0.52986 1.320
0.11713 0.00810 0.70365 0.71338 0.53176 1.023
0.11725 0.00811 0.70439 0.71413 0.53365 1.117
0.11737 0.00812 0.70513 0.71488 0.53555 0.961
0.11750 0.00813 0.70587 0.71563 0.53744 0.852
0.11762 0.00814 0.70662 0.71638 0.53934 1.086
0.11774 0.00815 0.70736 0.71714 0.54123 0.883
0.11787 0.00815 0.70810 0.71789 0.54313 0.930
0.11799 0.00816 0.70884 0.71864 0.54502 0.915
0.11811 0.00817 0.70958 0.71939 0.54692 0.946
