x y z dist_scaled dist_frac flux_norm wavelength redshift
0.02526 0.00410 0.50193 0.50258 0.00000 0.989 1236.115 0.01682
0.02530 0.00410 0.50267 0.50333 0.00188 1.105 1236.145 0.01684
0.02533 0.00411 0.50342 0.50407 0.00375 1.027 1236.175 0.01687
0.02537 0.00412 0.50416 0.50481 0.00563 0.835 1236.205 0.01689
0.02541 0.00412 0.50490 0.50556 0.00751 0.988 1236.235 0.01692
0.02545 0.00413 0.50564 0.50630 0.00938 1.140 1236.265 0.01694
0.02548 0.00413 0.50639 0.50705 0.01126 0.947 1236.295 0.01697
0.02552 0.00414 0.50713 0.50779 0.01313 0.890 1236.325 0.01699
0.02556 0.00415 0.50787 0.50853 0.01501 0.947 1236.355 0.01701
0.02560 0.00415 0.50862 0.50928 0.01689 0.908 1236.384 0.01704
0.02563 0.00416 0.50936 0.51002 0.01876 0.927 1236.414 0.01706
0.02567 0.00416 0.51010 0.51077 0.02064 1.157 1236.444 0.01709
0.02571 0.00417 0.51085 0.51151 0.02252 1.270 1236.474 0.01711
0.02574 0.00418 0.51159 0.51225 0.02440 0.790 1236.504 0.01714
0.02578 0.00418 0.51233 0.51300 0.02627 0.999 1236.534 0.01716
0.02582 0.00419 0.51308 0.51374 0.02815 1.171 1236.564 0.01719
0.02586 0.00419 0.51382 0.51449 0.03003 0.771 1236.594 0.01721
0.02589 0.00420 0.51456 0.51523 0.03190 1.094 1236.623 0.01724
0.02593 0.00421 0.51530 0.51597 0.03378 1.005 1236.653 0.01726
0.02597 0.00421 0.51605 0.51672 0.03566 1.332 1236.683 0.01729
0.02601 0.00422 0.51679 0.51746 0.03754 1.194 1236.713 0.01731
0.02604 0.00422 0.51753 0.51821 0.03941 1.009 1236.743 0.01733
0.02608 0.00423 0.51828 0.51895 0.04129 0.840 1236.773 0.01736
0.02612 0.00424 0.51902 0.51970 0.04317 1.013 1236.803 0.01738
0.02616 0.00424 0.51976 0.52044 0.04505 1.097 1236.833 0.01741
0.02619 0.00425 0.52051 0.52118 0.04692 0.967 1236.862 0.01743
0.02623 0.00425 0.52125 0.52193 0.04880 1.049 1236.892 0.01746
0.02627 0.00426 0.52199 0.52267 0.05068 1.012 1236.922 0.01748
0.02631 0.00427 0.52274 0.52342 0.05256 1.021 1236.952 0.01751
0.02634 0.00427 0.52348 0.52416 0.05444 0.890 1236.982 0.01753
0.02638 0.00428 0.52423 0.52491 0.05631 0.744 1237.012 0.01756
0.02642 0.00429 0.52497 0.52565 0.05819 1.039 1237.042 0.01758
0.02646 0.00429 0.52571 0.52640 0.06007 0.813 1237.072 0.01760
0.02649 0.00430 0.52646 0.52714 0.06195 1.188 1237.101 0.01763
