x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.05239 -0.20058 0.45766 0.50243 0.00000 0.935 0.021 1236.109 0.01681
-0.05247 -0.20088 0.45834 0.50317 0.00188 0.957 0.021 1236.139 0.01684
-0.05255 -0.20117 0.45902 0.50391 0.00375 0.947 0.021 1236.169 0.01686
-0.05262 -0.20147 0.45970 0.50466 0.00563 0.995 0.021 1236.199 0.01689
-0.05270 -0.20177 0.46037 0.50540 0.00750 1.021 0.021 1236.229 0.01691
-0.05278 -0.20207 0.46105 0.50615 0.00938 1.020 0.021 1236.259 0.01694
-0.05286 -0.20236 0.46173 0.50689 0.01126 1.027 0.022 1236.289 0.01696
-0.05293 -0.20266 0.46241 0.50763 0.01313 0.988 0.021 1236.318 0.01699
-0.05301 -0.20296 0.46308 0.50838 0.01501 1.006 0.021 1236.348 0.01701
-0.05309 -0.20325 0.46376 0.50912 0.01689 0.993 0.021 1236.378 0.01703
-0.05317 -0.20355 0.46444 0.50987 0.01876 0.972 0.021 1236.408 0.01706
-0.05324 -0.20385 0.46512 0.51061 0.02064 0.928 0.020 1236.438 0.01708
-0.05332 -0.20415 0.46580 0.51136 0.02252 1.044 0.022 1236.468 0.01711
-0.05340 -0.20444 0.46648 0.51210 0.02440 1.018 0.021 1236.498 0.01713
-0.05348 -0.20474 0.46715 0.51285 0.02627 0.994 0.021 1236.528 0.01716
-0.05356 -0.20504 0.46783 0.51359 0.02815 1.001 0.021 1236.558 0.01718
-0.05363 -0.20533 0.46851 0.51433 0.03003 0.973 0.021 1236.587 0.01721
-0.05371 -0.20563 0.46919 0.51508 0.03190 0.973 0.021 1236.617 0.01723
-0.05379 -0.20593 0.46987 0.51582 0.03378 0.961 0.021 1236.647 0.01726
-0.05387 -0.20623 0.47054 0.51657 0.03566 0.990 0.021 1236.677 0.01728
-0.05394 -0.20652 0.47122 0.51731 0.03754 0.991 0.021 1236.707 0.01730
-0.05402 -0.20682 0.47190 0.51806 0.03941 0.973 0.021 1236.737 0.01733
-0.05410 -0.20712 0.47258 0.51880 0.04129 0.976 0.021 1236.767 0.01735
-0.05418 -0.20741 0.47326 0.51955 0.04317 0.976 0.021 1236.797 0.01738
-0.05425 -0.20771 0.47394 0.52029 0.04505 1.000 0.021 1236.827 0.01740
-0.05433 -0.20801 0.47461 0.52104 0.04692 1.006 0.021 1236.856 0.01743
-0.05441 -0.20831 0.47529 0.52178 0.04880 0.991 0.021 1236.886 0.01745
-0.05449 -0.20860 0.47597 0.52253 0.05068 0.966 0.021 1236.916 0.01748
-0.05456 -0.20890 0.47665 0.52327 0.05256 0.961 0.021 1236.946 0.01750
-0.05464 -0.20920 0.47733 0.52401 0.05444 0.976 0.021 1236.976 0.01753
-0.05472 -0.20950 0.47801 0.52476 0.05631 0.977 0.021 1237.006 0.01755
-0.05480 -0.20979 0.47868 0.52550 0.05819 0.951 0.021 1237.036 0.01758
-0.05488 -0.21009 0.47936 0.52625 0.06007 1.002 0.021 1237.066 0.01760
-0.05495 -0.21039 0.48004 0.52699 0.06195 0.959 0.021 1237.096 0.01762
-0.05503 -0.21069 0.48072 0.52774 0.06383 1.005 0.021 1237.126 0.01765
-0.05511 -0.21098 0.48140 0.52848 0.06571 0.962 0.021 1237.155 0.01767
-0.05519 -0.21128 0.48208 0.52923 0.06758 0.990 0.021 1237.185 0.01770
-0.05526 -0.21158 0.48276 0.52997 0.06946 0.973 0.021 1237.215 0.01772
-0.05534 -0.21188 0.48343 0.53072 0.07134 1.024 0.021 1237.245 0.01775
-0.05542 -0.21217 0.48411 0.53146 0.07322 1.031 0.022 1237.275 0.01777
-0.05550 -0.21247 0.48479 0.53221 0.07510 0.984 0.021 1237.305 0.01780
