x y z dist_scaled dist_frac flux_norm
0.26976 -0.21666 0.36452 0.50258 0.00000 1.019
0.27016 -0.21698 0.36506 0.50333 0.00188 0.945
0.27056 -0.21730 0.36560 0.50407 0.00375 0.916
0.27096 -0.21762 0.36614 0.50481 0.00563 1.075
0.27136 -0.21794 0.36668 0.50556 0.00751 0.864
0.27176 -0.21826 0.36722 0.50630 0.00938 1.063
0.27216 -0.21858 0.36776 0.50705 0.01126 1.057
0.27255 -0.21890 0.36830 0.50779 0.01313 0.869
0.27295 -0.21922 0.36884 0.50853 0.01501 0.993
0.27335 -0.21954 0.36938 0.50928 0.01689 1.012
0.27375 -0.21986 0.36992 0.51002 0.01876 1.091
0.27415 -0.22019 0.37046 0.51077 0.02064 0.925
0.27455 -0.22051 0.37100 0.51151 0.02252 0.779
0.27495 -0.22083 0.37154 0.51225 0.02440 1.067
0.27535 -0.22115 0.37208 0.51300 0.02627 1.120
0.27575 -0.22147 0.37262 0.51374 0.02815 1.140
0.27615 -0.22179 0.37316 0.51449 0.03003 1.092
0.27655 -0.22211 0.37370 0.51523 0.03190 1.054
0.27695 -0.22243 0.37424 0.51597 0.03378 1.014
0.27735 -0.22275 0.37478 0.51672 0.03566 1.107
0.27775 -0.22307 0.37532 0.51746 0.03754 0.972
0.27815 -0.22339 0.37586 0.51821 0.03941 0.900
0.27855 -0.22371 0.37640 0.51895 0.04129 0.984
0.27895 -0.22404 0.37694 0.51970 0.04317 0.946
0.27934 -0.22436 0.37748 0.52044 0.04505 0.847
0.27974 -0.22468 0.37802 0.52118 0.04692 0.990
0.28014 -0.22500 0.37856 0.52193 0.04880 1.067
0.28054 -0.22532 0.37910 0.52267 0.05068 0.971
0.28094 -0.22564 0.37964 0.52342 0.05256 0.892
0.28134 -0.22596 0.38018 0.52416 0.05444 0.952
0.28174 -0.22628 0.38072 0.52491 0.05631 0.947
0.28214 -0.22660 0.38126 0.52565 0.05819 0.939
0.28254 -0.22692 0.38180 0.52640 0.06007 0.918
0.28294 -0.22724 0.38234 0.52714 0.06195 0.974
0.28334 -0.22757 0.38288 0.52788 0.06383 1.023
0.28374 -0.22789 0.38342 0.52863 0.06571 0.951
0.28414 -0.22821 0.38396 0.52937 0.06758 1.018
0.28454 -0.22853 0.38450 0.53012 0.06946 0.930
0.28494 -0.22885 0.38504 0.53086 0.07134 0.966
0.28534 -0.22917 0.38558 0.53161 0.07322 0.966
0.28574 -0.22949 0.38612 0.53235 0.07510 0.910
0.28614 -0.22981 0.38666 0.53310 0.07698 0.858
0.28654 -0.23013 0.38720 0.53384 0.07886 0.964
0.28694 -0.23045 0.38774 0.53459 0.08074 1.020
0.28734 -0.23078 0.38828 0.53533 0.08261 0.970
0.28774 -0.23110 0.38882 0.53608 0.08449 0.953
0.28814 -0.23142 0.38936 0.53682 0.08637 0.969
0.28854 -0.23174 0.38990 0.53757 0.08825 1.058
0.28894 -0.23206 0.39044 0.53831 0.09013 1.036
0.28934 -0.23238 0.39098 0.53906 0.09201 0.972
0.28974 -0.23270 0.39152 0.53980 0.09389 1.056
0.29014 -0.23302 0.39206 0.54055 0.09577 1.000
0.29054 -0.23335 0.39260 0.54129 0.09765 1.077
0.29094 -0.23367 0.39314 0.54204 0.09953 0.998
0.29134 -0.23399 0.39368 0.54278 0.10141 1.081
0.29174 -0.23431 0.39422 0.54353 0.10329 0.887
0.29214 -0.23463 0.39476 0.54427 0.10517 1.104
0.29254 -0.23495 0.39530 0.54502 0.10705 1.014
0.29294 -0.23527 0.39584 0.54576 0.10893 1.030
0.29334 -0.23559 0.39638 0.54651 0.11081 0.919
0.29374 -0.23592 0.39692 0.54725 0.11269 0.929
0.29414 -0.23624 0.39747 0.54800 0.11457 0.912
0.29454 -0.23656 0.39801 0.54874 0.11645 1.057
0.29494 -0.23688 0.39855 0.54949 0.11833 0.951
0.29534 -0.23720 0.39909 0.55024 0.12021 1.017
0.29574 -0.23752 0.39963 0.55098 0.12209 0.966
0.29614 -0.23784 0.40017 0.55173 0.12397 1.171
0.29654 -0.23816 0.40071 0.55247 0.12585 0.978
0.29694 -0.23849 0.40125 0.55322 0.12773 0.916
0.29734 -0.23881 0.40179 0.55396 0.12961 0.994
0.29774 -0.23913 0.40233 0.55471 0.13149 0.988
0.29814 -0.23945 0.40287 0.55545 0.13338 1.004
0.29854 -0.23977 0.40341 0.55620 0.13526 1.104
0.29894 -0.24009 0.40395 0.55695 0.13714 1.025
0.29934 -0.24041 0.40450 0.55769 0.13902 1.032
0.29974 -0.24074 0.40504 0.55844 0.14090 0.953
0.30014 -0.24106 0.40558 0.55918 0.14278 1.029
0.30054 -0.24138 0.40612 0.55993 0.14466 0.935
0.30094 -0.24170 0.40666 0.56067 0.14654 0.913
0.30134 -0.24202 0.40720 0.56142 0.14843 0.974
0.30174 -0.24234 0.40774 0.56217 0.15031 1.067
0.30214 -0.24267 0.40828 0.56291 0.15219 0.929
0.30254 -0.24299 0.40882 0.56366 0.15407 0.940
0.30294 -0.24331 0.40936 0.56440 0.15595 0.946
0.30334 -0.24363 0.40990 0.56515 0.15783 0.857
0.30374 -0.24395 0.41045 0.56590 0.15972 1.033
0.30414 -0.24427 0.41099 0.56664 0.16160 0.894
0.30454 -0.24459 0.41153 0.56739 0.16348 0.867
0.30494 -0.24492 0.41207 0.56813 0.16536 0.910
0.30535 -0.24524 0.41261 0.56888 0.16724 0.833
0.30575 -0.24556 0.41315 0.56963 0.16913 0.850
0.30615 -0.24588 0.41369 0.57037 0.17101 0.789
0.30655 -0.24620 0.41423 0.57112 0.17289 0.728
0.30695 -0.24652 0.41477 0.57186 0.17477 0.948
0.30735 -0.24685 0.41532 0.57261 0.17665 0.909
0.30775 -0.24717 0.41586 0.57336 0.17854 0.844
0.30815 -0.24749 0.41640 0.57410 0.18042 0.827
0.30855 -0.24781 0.41694 0.57485 0.18230 0.849
0.30895 -0.24813 0.41748 0.57560 0.18419 0.991
0.30935 -0.24846 0.41802 0.57634 0.18607 0.870
0.30975 -0.24878 0.41856 0.57709 0.18795 0.854
0.31015 -0.24910 0.41911 0.57784 0.18983 0.903
0.31055 -0.24942 0.41965 0.57858 0.19172 0.823
0.31095 -0.24974 0.42019 0.57933 0.19360 0.854
0.31135 -0.25006 0.42073 0.58007 0.19548 0.972
0.31175 -0.25039 0.42127 0.58082 0.19737 1.038
0.31216 -0.25071 0.42181 0.58157 0.19925 0.963
0.31256 -0.25103 0.42235 0.58231 0.20113 0.804
0.31296 -0.25135 0.42290 0.58306 0.20302 0.854
0.31336 -0.25167 0.42344 0.58381 0.20490 1.083
0.31376 -0.25200 0.42398 0.58455 0.20678 1.017
0.31416 -0.25232 0.42452 0.58530 0.20867 0.969
0.31456 -0.25264 0.42506 0.58605 0.21055 0.903
0.31496 -0.25296 0.42560 0.58679 0.21243 0.944
0.31536 -0.25328 0.42615 0.58754 0.21432 0.913
0.31576 -0.25360 0.42669 0.58829 0.21620 0.958
0.31616 -0.25393 0.42723 0.58904 0.21809 0.908
0.31656 -0.25425 0.42777 0.58978 0.21997 0.837
0.31697 -0.25457 0.42831 0.59053 0.22185 1.068
0.31737 -0.25489 0.42885 0.59128 0.22374 0.935
0.31777 -0.25521 0.42940 0.59202 0.22562 1.011
0.31817 -0.25554 0.42994 0.59277 0.22751 1.050
0.31857 -0.25586 0.43048 0.59352 0.22939 1.011
0.31897 -0.25618 0.43102 0.59426 0.23128 0.896
0.31937 -0.25650 0.43156 0.59501 0.23316 0.896
0.31977 -0.25682 0.43210 0.59576 0.23504 0.934
0.32017 -0.25715 0.43265 0.59650 0.23693 0.967
0.32057 -0.25747 0.43319 0.59725 0.23881 0.972
0.32097 -0.25779 0.43373 0.59800 0.24070 0.976
0.32138 -0.25811 0.43427 0.59875 0.24258 1.003
0.32178 -0.25844 0.43481 0.59949 0.24447 0.971
0.32218 -0.25876 0.43536 0.60024 0.24635 1.074
0.32258 -0.25908 0.43590 0.60099 0.24824 0.971
0.32298 -0.25940 0.43644 0.60174 0.25012 1.053
0.32338 -0.25972 0.43698 0.60248 0.25201 0.970
0.32378 -0.26005 0.43752 0.60323 0.25389 0.915
0.32418 -0.26037 0.43807 0.60398 0.25578 0.964
0.32458 -0.26069 0.43861 0.60472 0.25766 1.127
0.32499 -0.26101 0.43915 0.60547 0.25955 1.030
0.32539 -0.26133 0.43969 0.60622 0.26144 0.883
0.32579 -0.26166 0.44023 0.60697 0.26332 1.004
0.32619 -0.26198 0.44078 0.60771 0.26521 0.911
0.32659 -0.26230 0.44132 0.60846 0.26709 1.024
0.32699 -0.26262 0.44186 0.60921 0.26898 0.937
0.32739 -0.26295 0.44240 0.60996 0.27086 0.893
0.32779 -0.26327 0.44295 0.61070 0.27275 0.774
0.32820 -0.26359 0.44349 0.61145 0.27464 1.062
0.32860 -0.26391 0.44403 0.61220 0.27652 1.035
0.32900 -0.26424 0.44457 0.61295 0.27841 0.926
0.32940 -0.26456 0.44511 0.61370 0.28029 0.893
0.32980 -0.26488 0.44566 0.61444 0.28218 1.012
0.33020 -0.26520 0.44620 0.61519 0.28407 0.973
0.33060 -0.26552 0.44674 0.61594 0.28595 0.955
0.33101 -0.26585 0.44728 0.61669 0.28784 1.044
0.33141 -0.26617 0.44783 0.61743 0.28973 0.984
0.33181 -0.26649 0.44837 0.61818 0.29161 0.988
0.33221 -0.26681 0.44891 0.61893 0.29350 1.020
