x y z dist_scaled dist_frac flux_norm
-0.13006 0.36649 0.31836 0.50258 0.00000 0.866
-0.13025 0.36704 0.31884 0.50333 0.00188 0.957
-0.13044 0.36758 0.31931 0.50407 0.00375 1.147
-0.13064 0.36812 0.31978 0.50481 0.00563 0.973
-0.13083 0.36866 0.32025 0.50556 0.00751 1.038
-0.13102 0.36921 0.32072 0.50630 0.00938 0.956
-0.13121 0.36975 0.32119 0.50705 0.01126 0.969
-0.13141 0.37029 0.32166 0.50779 0.01313 1.118
-0.13160 0.37083 0.32213 0.50853 0.01501 1.089
-0.13179 0.37138 0.32261 0.50928 0.01689 0.927
-0.13198 0.37192 0.32308 0.51002 0.01876 1.117
-0.13218 0.37246 0.32355 0.51077 0.02064 0.983
-0.13237 0.37300 0.32402 0.51151 0.02252 0.942
-0.13256 0.37355 0.32449 0.51225 0.02440 1.074
-0.13275 0.37409 0.32496 0.51300 0.02627 1.021
-0.13295 0.37463 0.32543 0.51374 0.02815 0.995
-0.13314 0.37517 0.32591 0.51449 0.03003 1.129
-0.13333 0.37572 0.32638 0.51523 0.03190 1.049
-0.13352 0.37626 0.32685 0.51597 0.03378 1.166
-0.13372 0.37680 0.32732 0.51672 0.03566 1.047
-0.13391 0.37734 0.32779 0.51746 0.03754 0.886
-0.13410 0.37789 0.32826 0.51821 0.03941 1.100
-0.13430 0.37843 0.32873 0.51895 0.04129 1.205
-0.13449 0.37897 0.32921 0.51970 0.04317 0.939
-0.13468 0.37952 0.32968 0.52044 0.04505 1.114
-0.13487 0.38006 0.33015 0.52118 0.04692 1.058
-0.13507 0.38060 0.33062 0.52193 0.04880 1.126
-0.13526 0.38114 0.33109 0.52267 0.05068 0.952
-0.13545 0.38169 0.33156 0.52342 0.05256 0.953
-0.13564 0.38223 0.33203 0.52416 0.05444 0.913
-0.13584 0.38277 0.33251 0.52491 0.05631 1.098
-0.13603 0.38332 0.33298 0.52565 0.05819 1.070
-0.13622 0.38386 0.33345 0.52640 0.06007 0.817
-0.13641 0.38440 0.33392 0.52714 0.06195 1.055
-0.13661 0.38494 0.33439 0.52788 0.06383 0.895
-0.13680 0.38549 0.33486 0.52863 0.06571 0.975
-0.13699 0.38603 0.33534 0.52937 0.06758 0.869
-0.13719 0.38657 0.33581 0.53012 0.06946 0.802
-0.13738 0.38712 0.33628 0.53086 0.07134 1.095
-0.13757 0.38766 0.33675 0.53161 0.07322 0.975
-0.13776 0.38820 0.33722 0.53235 0.07510 0.844
-0.13796 0.38875 0.33770 0.53310 0.07698 0.869
-0.13815 0.38929 0.33817 0.53384 0.07886 1.000
-0.13834 0.38983 0.33864 0.53459 0.08074 0.959
