x y z dist_scaled dist_frac absorption
-0.13002 0.36638 0.31827 0.50243 0.00000 0.082
-0.13021 0.36692 0.31874 0.50317 0.00188 0.164
-0.13040 0.36746 0.31921 0.50391 0.00375 -0.217
-0.13060 0.36801 0.31968 0.50466 0.00563 -0.000
-0.13079 0.36855 0.32015 0.50540 0.00750 0.136
-0.13098 0.36909 0.32062 0.50615 0.00938 -0.024
-0.13117 0.36964 0.32109 0.50689 0.01126 0.003
-0.13137 0.37018 0.32157 0.50763 0.01313 -0.188
-0.13156 0.37072 0.32204 0.50838 0.01501 0.044
-0.13175 0.37126 0.32251 0.50912 0.01689 0.087
-0.13194 0.37181 0.32298 0.50987 0.01876 -0.201
-0.13214 0.37235 0.32345 0.51061 0.02064 -0.266
-0.13233 0.37289 0.32392 0.51136 0.02252 0.125
-0.13252 0.37343 0.32439 0.51210 0.02440 0.058
-0.13272 0.37398 0.32487 0.51285 0.02627 -0.023
-0.13291 0.37452 0.32534 0.51359 0.02815 -0.144
-0.13310 0.37506 0.32581 0.51433 0.03003 -0.213
-0.13329 0.37561 0.32628 0.51508 0.03190 0.072
-0.13349 0.37615 0.32675 0.51582 0.03378 -0.049
-0.13368 0.37669 0.32722 0.51657 0.03566 -0.143
-0.13387 0.37723 0.32770 0.51731 0.03754 -0.061
-0.13406 0.37778 0.32817 0.51806 0.03941 -0.022
-0.13426 0.37832 0.32864 0.51880 0.04129 0.019
-0.13445 0.37886 0.32911 0.51955 0.04317 -0.168
-0.13464 0.37941 0.32958 0.52029 0.04505 -0.129
-0.13483 0.37995 0.33005 0.52104 0.04692 -0.060
-0.13503 0.38049 0.33053 0.52178 0.04880 -0.182
-0.13522 0.38104 0.33100 0.52253 0.05068 0.061
-0.13541 0.38158 0.33147 0.52327 0.05256 -0.060
-0.13561 0.38212 0.33194 0.52401 0.05444 -0.006
-0.13580 0.38267 0.33241 0.52476 0.05631 0.074
-0.13599 0.38321 0.33289 0.52550 0.05819 -0.032
-0.13618 0.38375 0.33336 0.52625 0.06007 -0.004
-0.13638 0.38430 0.33383 0.52699 0.06195 0.117
-0.13657 0.38484 0.33430 0.52774 0.06383 0.092
-0.13676 0.38538 0.33477 0.52848 0.06571 -0.043
-0.13696 0.38592 0.33524 0.52923 0.06758 0.118
-0.13715 0.38647 0.33572 0.52997 0.06946 -0.001
-0.13734 0.38701 0.33619 0.53072 0.07134 0.131
-0.13753 0.38755 0.33666 0.53146 0.07322 -0.070
-0.13773 0.38810 0.33713 0.53221 0.07510 0.051
-0.13792 0.38864 0.33760 0.53295 0.07698 0.065
-0.13811 0.38918 0.33808 0.53370 0.07886 0.212
-0.13830 0.38973 0.33855 0.53445 0.08074 0.012
-0.13850 0.39027 0.33902 0.53519 0.08261 -0.229
-0.13869 0.39082 0.33949 0.53594 0.08449 0.173
-0.13888 0.39136 0.33996 0.53668 0.08637 0.253
-0.13908 0.39190 0.34044 0.53743 0.08825 -0.203
-0.13927 0.39245 0.34091 0.53817 0.09013 -0.176
-0.13946 0.39299 0.34138 0.53892 0.09201 -0.041
-0.13966 0.39353 0.34185 0.53966 0.09389 -0.069
-0.13985 0.39408 0.34233 0.54041 0.09577 -0.068
-0.14004 0.39462 0.34280 0.54115 0.09765 -0.067
-0.14023 0.39516 0.34327 0.54190 0.09953 -0.228
-0.14043 0.39571 0.34374 0.54264 0.10141 0.065
-0.14062 0.39625 0.34421 0.54339 0.10329 0.068
-0.14081 0.39679 0.34469 0.54414 0.10517 -0.054
-0.14101 0.39734 0.34516 0.54488 0.10705 -0.015
-0.14120 0.39788 0.34563 0.54563 0.10893 0.120
-0.14139 0.39843 0.34610 0.54637 0.11081 -0.238
-0.14158 0.39897 0.34658 0.54712 0.11269 0.054
-0.14178 0.39951 0.34705 0.54786 0.11457 0.055
-0.14197 0.40006 0.34752 0.54861 0.11645 0.096
-0.14216 0.40060 0.34799 0.54935 0.11833 0.041
-0.14236 0.40114 0.34847 0.55010 0.12021 -0.050
-0.14255 0.40169 0.34894 0.55085 0.12209 -0.035
-0.14274 0.40223 0.34941 0.55159 0.12397 -0.090
-0.14294 0.40278 0.34988 0.55234 0.12585 0.124
-0.14313 0.40332 0.35036 0.55308 0.12773 0.003
-0.14332 0.40386 0.35083 0.55383 0.12961 -0.155
-0.14351 0.40441 0.35130 0.55458 0.13149 0.004
-0.14371 0.40495 0.35177 0.55532 0.13337 0.179
-0.14390 0.40550 0.35225 0.55607 0.13526 -0.063
-0.14409 0.40604 0.35272 0.55681 0.13714 -0.047
-0.14429 0.40658 0.35319 0.55756 0.13902 0.100
-0.14448 0.40713 0.35366 0.55831 0.14090 0.126
-0.14467 0.40767 0.35414 0.55905 0.14278 0.192
-0.14487 0.40822 0.35461 0.55980 0.14466 0.048
-0.14506 0.40876 0.35508 0.56054 0.14654 0.312
-0.14525 0.40930 0.35555 0.56129 0.14842 0.033
-0.14545 0.40985 0.35603 0.56204 0.15031 0.142
-0.14564 0.41039 0.35650 0.56278 0.15219 0.062
-0.14583 0.41094 0.35697 0.56353 0.15407 0.250
-0.14602 0.41148 0.35744 0.56428 0.15595 -0.031
-0.14622 0.41203 0.35792 0.56502 0.15783 -0.030
-0.14641 0.41257 0.35839 0.56577 0.15971 0.222
-0.14660 0.41311 0.35886 0.56651 0.16160 0.155
-0.14680 0.41366 0.35934 0.56726 0.16348 0.156
-0.14699 0.41420 0.35981 0.56801 0.16536 0.209
-0.14718 0.41475 0.36028 0.56875 0.16724 0.141
-0.14738 0.41529 0.36075 0.56950 0.16912 0.131
-0.14757 0.41584 0.36123 0.57025 0.17101 0.077
-0.14776 0.41638 0.36170 0.57099 0.17289 0.145
-0.14796 0.41692 0.36217 0.57174 0.17477 0.211
-0.14815 0.41747 0.36265 0.57249 0.17665 -0.015
-0.14834 0.41801 0.36312 0.57323 0.17854 0.051
-0.14854 0.41856 0.36359 0.57398 0.18042 0.116
-0.14873 0.41910 0.36406 0.57473 0.18230 0.011
-0.14892 0.41965 0.36454 0.57547 0.18418 0.195
-0.14912 0.42019 0.36501 0.57622 0.18607 -0.094
-0.14931 0.42074 0.36548 0.57697 0.18795 0.172
-0.14950 0.42128 0.36596 0.57771 0.18983 0.065
-0.14969 0.42182 0.36643 0.57846 0.19172 0.223
-0.14989 0.42237 0.36690 0.57921 0.19360 0.065
-0.15008 0.42291 0.36738 0.57995 0.19548 0.013
-0.15027 0.42346 0.36785 0.58070 0.19737 -0.030
-0.15047 0.42400 0.36832 0.58145 0.19925 -0.160
-0.15066 0.42455 0.36880 0.58219 0.20113 -0.144
-0.15085 0.42509 0.36927 0.58294 0.20302 -0.089
-0.15105 0.42564 0.36974 0.58369 0.20490 -0.001
-0.15124 0.42618 0.37021 0.58443 0.20678 0.070
-0.15143 0.42673 0.37069 0.58518 0.20867 0.034
-0.15163 0.42727 0.37116 0.58593 0.21055 -0.064
-0.15182 0.42782 0.37163 0.58668 0.21243 0.022
-0.15201 0.42836 0.37211 0.58742 0.21432 0.031
-0.15221 0.42891 0.37258 0.58817 0.21620 0.109
-0.15240 0.42945 0.37305 0.58892 0.21809 0.185
-0.15259 0.43000 0.37353 0.58966 0.21997 0.259
-0.15279 0.43054 0.37400 0.59041 0.22185 0.147
-0.15298 0.43109 0.37447 0.59116 0.22374 0.092
-0.15317 0.43163 0.37495 0.59191 0.22562 0.184
-0.15337 0.43217 0.37542 0.59265 0.22751 0.145
-0.15356 0.43272 0.37589 0.59340 0.22939 0.160
-0.15375 0.43326 0.37637 0.59415 0.23127 -0.025
-0.15395 0.43381 0.37684 0.59490 0.23316 0.135
-0.15414 0.43435 0.37731 0.59564 0.23504 0.080
-0.15434 0.43490 0.37779 0.59639 0.23693 0.044
-0.15453 0.43544 0.37826 0.59714 0.23881 -0.195
-0.15472 0.43599 0.37874 0.59789 0.24070 0.227
-0.15492 0.43654 0.37921 0.59863 0.24258 0.133
-0.15511 0.43708 0.37968 0.59938 0.24447 -0.367
-0.15530 0.43763 0.38016 0.60013 0.24635 -0.010
-0.15550 0.43817 0.38063 0.60088 0.24824 -0.023
-0.15569 0.43872 0.38110 0.60162 0.25012 0.266
-0.15588 0.43926 0.38158 0.60237 0.25201 0.029
-0.15608 0.43981 0.38205 0.60312 0.25389 0.268
-0.15627 0.44035 0.38252 0.60387 0.25578 0.138
-0.15646 0.44090 0.38300 0.60461 0.25766 0.056
-0.15666 0.44144 0.38347 0.60536 0.25955 -0.088
-0.15685 0.44199 0.38394 0.60611 0.26143 0.044
-0.15704 0.44253 0.38442 0.60686 0.26332 0.151
-0.15724 0.44308 0.38489 0.60760 0.26521 0.072
-0.15743 0.44362 0.38537 0.60835 0.26709 0.111
-0.15762 0.44417 0.38584 0.60910 0.26898 -0.008
-0.15782 0.44471 0.38631 0.60985 0.27086 -0.008
-0.15801 0.44526 0.38679 0.61060 0.27275 -0.190
-0.15821 0.44580 0.38726 0.61134 0.27463 -0.019
-0.15840 0.44635 0.38773 0.61209 0.27652 -0.110
-0.15859 0.44690 0.38821 0.61284 0.27841 0.243
-0.15879 0.44744 0.38868 0.61359 0.28029 -0.192
-0.15898 0.44799 0.38916 0.61434 0.28218 0.045
-0.15917 0.44853 0.38963 0.61508 0.28407 0.018
-0.15937 0.44908 0.39010 0.61583 0.28595 -0.085
-0.15956 0.44962 0.39058 0.61658 0.28784 -0.044
-0.15975 0.45017 0.39105 0.61733 0.28972 0.009
-0.15995 0.45071 0.39153 0.61808 0.29161 -0.032
-0.16014 0.45126 0.39200 0.61883 0.29350 -0.150
-0.16033 0.45181 0.39247 0.61957 0.29538 -0.020
-0.16053 0.45235 0.39295 0.62032 0.29727 -0.176
-0.16072 0.45290 0.39342 0.62107 0.29916 0.219
-0.16092 0.45344 0.39390 0.62182 0.30105 0.073
-0.16111 0.45399 0.39437 0.62257 0.30293 0.021
-0.16130 0.45453 0.39484 0.62332 0.30482 0.008
-0.16150 0.45508 0.39532 0.62406 0.30671 0.012
-0.16169 0.45563 0.39579 0.62481 0.30859 -0.045
-0.16188 0.45617 0.39627 0.62556 0.31048 0.072
-0.16208 0.45672 0.39674 0.62631 0.31237 -0.057
-0.16227 0.45726 0.39721 0.62706 0.31426 0.061
-0.16247 0.45781 0.39769 0.62781 0.31614 0.074
-0.16266 0.45836 0.39816 0.62855 0.31803 -0.138
-0.16285 0.45890 0.39864 0.62930 0.31992 0.207
-0.16305 0.45945 0.39911 0.63005 0.32181 0.021
-0.16324 0.45999 0.39959 0.63080 0.32369 -0.122
-0.16343 0.46054 0.40006 0.63155 0.32558 0.115
-0.16363 0.46108 0.40053 0.63230 0.32747 -0.016
-0.16382 0.46163 0.40101 0.63305 0.32936 -0.054
-0.16402 0.46218 0.40148 0.63380 0.33125 0.220
-0.16421 0.46272 0.40196 0.63454 0.33313 -0.018
-0.16440 0.46327 0.40243 0.63529 0.33502 0.101
-0.16460 0.46381 0.40291 0.63604 0.33691 -0.043
-0.16479 0.46436 0.40338 0.63679 0.33880 0.062
-0.16498 0.46491 0.40385 0.63754 0.34069 0.233
-0.16518 0.46545 0.40433 0.63829 0.34257 -0.016
-0.16537 0.46600 0.40480 0.63904 0.34446 -0.096
-0.16557 0.46655 0.40528 0.63979 0.34635 0.008
-0.16576 0.46709 0.40575 0.64054 0.34824 -0.017
-0.16595 0.46764 0.40623 0.64128 0.35013 -0.147
-0.16615 0.46818 0.40670 0.64203 0.35202 0.077
-0.16634 0.46873 0.40718 0.64278 0.35391 -0.107
-0.16653 0.46928 0.40765 0.64353 0.35580 -0.107
-0.16673 0.46982 0.40813 0.64428 0.35768 0.142
-0.16692 0.47037 0.40860 0.64503 0.35957 0.103
-0.16712 0.47092 0.40907 0.64578 0.36146 0.103
-0.16731 0.47146 0.40955 0.64653 0.36335 -0.000
-0.16750 0.47201 0.41002 0.64728 0.36524 -0.093
-0.16770 0.47255 0.41050 0.64803 0.36713 0.076
-0.16789 0.47310 0.41097 0.64878 0.36902 0.115
-0.16809 0.47365 0.41145 0.64953 0.37091 0.077
-0.16828 0.47419 0.41192 0.65028 0.37280 -0.342
-0.16847 0.47474 0.41240 0.65102 0.37469 0.009
-0.16867 0.47529 0.41287 0.65177 0.37658 -0.135
-0.16886 0.47583 0.41335 0.65252 0.37847 0.024
-0.16906 0.47638 0.41382 0.65327 0.38036 -0.028
-0.16925 0.47693 0.41430 0.65402 0.38225 -0.016
-0.16944 0.47747 0.41477 0.65477 0.38414 -0.130
-0.16964 0.47802 0.41525 0.65552 0.38603 -0.132
-0.16983 0.47857 0.41572 0.65627 0.38792 -0.078
-0.17003 0.47911 0.41620 0.65702 0.38981 0.037
