x y z dist_scaled dist_frac flux_norm
0.16776 0.23905 0.40902 0.50258 0.00000 0.951
0.16801 0.23940 0.40963 0.50333 0.00188 1.036
0.16826 0.23976 0.41024 0.50407 0.00375 0.977
0.16851 0.24011 0.41084 0.50481 0.00563 0.988
0.16875 0.24046 0.41145 0.50556 0.00751 1.074
0.16900 0.24082 0.41205 0.50630 0.00938 1.050
0.16925 0.24117 0.41266 0.50705 0.01126 1.128
0.16950 0.24152 0.41326 0.50779 0.01313 0.834
0.16975 0.24188 0.41387 0.50853 0.01501 0.952
0.17000 0.24223 0.41447 0.50928 0.01689 1.007
0.17024 0.24259 0.41508 0.51002 0.01876 0.995
0.17049 0.24294 0.41568 0.51077 0.02064 0.960
0.17074 0.24329 0.41629 0.51151 0.02252 0.929
0.17099 0.24365 0.41690 0.51225 0.02440 0.959
0.17124 0.24400 0.41750 0.51300 0.02627 1.008
0.17149 0.24436 0.41811 0.51374 0.02815 0.988
0.17174 0.24471 0.41871 0.51449 0.03003 1.049
0.17198 0.24506 0.41932 0.51523 0.03190 0.977
0.17223 0.24542 0.41992 0.51597 0.03378 0.976
0.17248 0.24577 0.42053 0.51672 0.03566 0.996
0.17273 0.24613 0.42113 0.51746 0.03754 0.965
0.17298 0.24648 0.42174 0.51821 0.03941 0.959
0.17323 0.24683 0.42235 0.51895 0.04129 0.959
0.17347 0.24719 0.42295 0.51970 0.04317 1.016
0.17372 0.24754 0.42356 0.52044 0.04505 0.924
0.17397 0.24790 0.42416 0.52118 0.04692 0.873
0.17422 0.24825 0.42477 0.52193 0.04880 0.950
0.17447 0.24860 0.42538 0.52267 0.05068 0.987
0.17472 0.24896 0.42598 0.52342 0.05256 0.855
0.17497 0.24931 0.42659 0.52416 0.05444 1.019
0.17521 0.24967 0.42719 0.52491 0.05631 1.025
0.17546 0.25002 0.42780 0.52565 0.05819 0.994
0.17571 0.25037 0.42840 0.52640 0.06007 0.969
0.17596 0.25073 0.42901 0.52714 0.06195 1.019
0.17621 0.25108 0.42962 0.52788 0.06383 0.852
0.17646 0.25144 0.43022 0.52863 0.06571 0.970
0.17670 0.25179 0.43083 0.52937 0.06758 1.084
0.17695 0.25215 0.43143 0.53012 0.06946 1.016
0.17720 0.25250 0.43204 0.53086 0.07134 1.094
0.17745 0.25285 0.43265 0.53161 0.07322 0.972
0.17770 0.25321 0.43325 0.53235 0.07510 0.999
0.17795 0.25356 0.43386 0.53310 0.07698 1.135
0.17820 0.25392 0.43447 0.53384 0.07886 1.072
0.17845 0.25427 0.43507 0.53459 0.08074 0.911
0.17869 0.25463 0.43568 0.53533 0.08261 0.820
0.17894 0.25498 0.43628 0.53608 0.08449 1.070
0.17919 0.25533 0.43689 0.53682 0.08637 1.016
0.17944 0.25569 0.43750 0.53757 0.08825 1.023
0.17969 0.25604 0.43810 0.53831 0.09013 0.848
0.17994 0.25640 0.43871 0.53906 0.09201 0.971
0.18019 0.25675 0.43932 0.53980 0.09389 0.881
0.18043 0.25711 0.43992 0.54055 0.09577 0.913
0.18068 0.25746 0.44053 0.54129 0.09765 1.232
0.18093 0.25781 0.44113 0.54204 0.09953 0.888
