x y z dist_scaled dist_frac absorption
0.06756 0.26118 0.42385 0.50243 0.00000 -0.526
0.06766 0.26157 0.42448 0.50317 0.00188 0.220
0.06776 0.26195 0.42511 0.50391 0.00375 -0.054
0.06786 0.26234 0.42574 0.50466 0.00563 -0.024
0.06796 0.26273 0.42637 0.50540 0.00750 -1.099
0.06806 0.26311 0.42699 0.50615 0.00938 -0.834
0.06816 0.26350 0.42762 0.50689 0.01126 -0.121
0.06826 0.26389 0.42825 0.50763 0.01313 0.147
0.06836 0.26427 0.42888 0.50838 0.01501 0.325
0.06846 0.26466 0.42950 0.50912 0.01689 -0.298
0.06856 0.26505 0.43013 0.50987 0.01876 -0.213
0.06866 0.26544 0.43076 0.51061 0.02064 0.135
0.06876 0.26582 0.43139 0.51136 0.02252 0.051
0.06886 0.26621 0.43202 0.51210 0.02440 0.493
0.06896 0.26660 0.43264 0.51285 0.02627 -0.126
0.06906 0.26698 0.43327 0.51359 0.02815 -0.217
0.06916 0.26737 0.43390 0.51433 0.03003 -0.481
0.06926 0.26776 0.43453 0.51508 0.03190 -0.389
0.06936 0.26814 0.43516 0.51582 0.03378 0.405
0.06946 0.26853 0.43578 0.51657 0.03566 -0.130
0.06956 0.26892 0.43641 0.51731 0.03754 0.048
0.06966 0.26931 0.43704 0.51806 0.03941 -0.561
0.06976 0.26969 0.43767 0.51880 0.04129 0.321
0.06986 0.27008 0.43830 0.51955 0.04317 -0.300
0.06996 0.27047 0.43893 0.52029 0.04505 0.053
0.07006 0.27085 0.43955 0.52104 0.04692 0.317
0.07016 0.27124 0.44018 0.52178 0.04880 -0.211
0.07026 0.27163 0.44081 0.52253 0.05068 0.137
0.07036 0.27202 0.44144 0.52327 0.05256 0.313
0.07046 0.27240 0.44207 0.52401 0.05444 0.226
0.07056 0.27279 0.44270 0.52476 0.05631 0.314
0.07066 0.27318 0.44332 0.52550 0.05819 -0.209
0.07076 0.27356 0.44395 0.52625 0.06007 -0.293
0.07086 0.27395 0.44458 0.52699 0.06195 -0.115
