x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.20565 0.27331 0.36824 0.50258 0.00000 1.169 1236.115 0.01682
-0.20595 0.27372 0.36878 0.50333 0.00188 0.840 1236.145 0.01684
-0.20626 0.27412 0.36933 0.50407 0.00375 1.002 1236.175 0.01687
-0.20656 0.27453 0.36987 0.50481 0.00563 0.921 1236.205 0.01689
-0.20687 0.27493 0.37042 0.50556 0.00751 0.838 1236.235 0.01692
-0.20717 0.27533 0.37096 0.50630 0.00938 0.905 1236.265 0.01694
-0.20748 0.27574 0.37151 0.50705 0.01126 1.050 1236.295 0.01697
-0.20778 0.27614 0.37205 0.50779 0.01313 0.821 1236.325 0.01699
-0.20808 0.27655 0.37260 0.50853 0.01501 0.935 1236.355 0.01701
-0.20839 0.27695 0.37314 0.50928 0.01689 1.115 1236.384 0.01704
-0.20869 0.27736 0.37369 0.51002 0.01876 0.940 1236.414 0.01706
-0.20900 0.27776 0.37423 0.51077 0.02064 0.950 1236.444 0.01709
-0.20930 0.27817 0.37478 0.51151 0.02252 1.208 1236.474 0.01711
-0.20961 0.27857 0.37532 0.51225 0.02440 0.857 1236.504 0.01714
-0.20991 0.27898 0.37587 0.51300 0.02627 1.166 1236.534 0.01716
-0.21022 0.27938 0.37641 0.51374 0.02815 1.066 1236.564 0.01719
-0.21052 0.27979 0.37696 0.51449 0.03003 1.041 1236.594 0.01721
-0.21083 0.28019 0.37750 0.51523 0.03190 0.927 1236.623 0.01724
-0.21113 0.28060 0.37805 0.51597 0.03378 1.068 1236.653 0.01726
-0.21143 0.28100 0.37859 0.51672 0.03566 1.011 1236.683 0.01729
-0.21174 0.28140 0.37914 0.51746 0.03754 1.054 1236.713 0.01731
-0.21204 0.28181 0.37968 0.51821 0.03941 1.244 1236.743 0.01733
-0.21235 0.28221 0.38023 0.51895 0.04129 1.256 1236.773 0.01736
-0.21265 0.28262 0.38077 0.51970 0.04317 1.067 1236.803 0.01738
-0.21296 0.28302 0.38132 0.52044 0.04505 0.794 1236.833 0.01741
-0.21326 0.28343 0.38186 0.52118 0.04692 1.049 1236.862 0.01743
-0.21357 0.28383 0.38241 0.52193 0.04880 1.046 1236.892 0.01746
-0.21387 0.28424 0.38296 0.52267 0.05068 0.739 1236.922 0.01748
-0.21418 0.28464 0.38350 0.52342 0.05256 1.227 1236.952 0.01751
-0.21448 0.28505 0.38405 0.52416 0.05444 1.016 1236.982 0.01753
-0.21478 0.28545 0.38459 0.52491 0.05631 1.147 1237.012 0.01756
-0.21509 0.28586 0.38514 0.52565 0.05819 0.985 1237.042 0.01758
-0.21539 0.28626 0.38568 0.52640 0.06007 1.082 1237.072 0.01760
-0.21570 0.28667 0.38623 0.52714 0.06195 0.919 1237.101 0.01763
-0.21600 0.28707 0.38677 0.52788 0.06383 0.904 1237.131 0.01765
-0.21631 0.28748 0.38732 0.52863 0.06571 1.131 1237.161 0.01768
-0.21661 0.28788 0.38787 0.52937 0.06758 1.215 1237.191 0.01770
-0.21692 0.28829 0.38841 0.53012 0.06946 0.889 1237.221 0.01773
-0.21722 0.28869 0.38896 0.53086 0.07134 0.952 1237.251 0.01775
-0.21753 0.28910 0.38950 0.53161 0.07322 0.804 1237.281 0.01778
-0.21783 0.28950 0.39005 0.53235 0.07510 1.080 1237.311 0.01780
-0.21814 0.28991 0.39059 0.53310 0.07698 1.068 1237.341 0.01783
-0.21844 0.29031 0.39114 0.53384 0.07886 1.032 1237.370 0.01785
-0.21875 0.29072 0.39169 0.53459 0.08074 1.116 1237.400 0.01788
-0.21905 0.29112 0.39223 0.53533 0.08261 0.954 1237.430 0.01790
-0.21936 0.29153 0.39278 0.53608 0.08449 1.214 1237.460 0.01792
-0.21966 0.29193 0.39332 0.53682 0.08637 1.280 1237.490 0.01795
-0.21997 0.29234 0.39387 0.53757 0.08825 0.920 1237.520 0.01797
-0.22027 0.29274 0.39441 0.53831 0.09013 1.116 1237.550 0.01800
-0.22058 0.29315 0.39496 0.53906 0.09201 1.066 1237.580 0.01802
-0.22088 0.29355 0.39551 0.53980 0.09389 0.903 1237.609 0.01805
-0.22118 0.29396 0.39605 0.54055 0.09577 1.308 1237.639 0.01807
-0.22149 0.29436 0.39660 0.54129 0.09765 0.935 1237.669 0.01810
