x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.25366 -0.17022 0.39909 0.50258 0.00000 0.877 0.114 1236.115 0.01682
0.25403 -0.17048 0.39968 0.50333 0.00188 1.003 0.121 1236.145 0.01684
0.25441 -0.17073 0.40027 0.50407 0.00375 1.073 0.118 1236.175 0.01687
0.25478 -0.17098 0.40086 0.50481 0.00563 1.151 0.122 1236.205 0.01689
0.25516 -0.17123 0.40145 0.50556 0.00751 1.039 0.116 1236.235 0.01692
0.25553 -0.17148 0.40204 0.50630 0.00938 1.037 0.115 1236.265 0.01694
0.25591 -0.17174 0.40263 0.50705 0.01126 0.865 0.106 1236.295 0.01697
0.25628 -0.17199 0.40322 0.50779 0.01313 0.970 0.120 1236.325 0.01699
0.25666 -0.17224 0.40381 0.50853 0.01501 0.900 0.116 1236.355 0.01701
0.25703 -0.17249 0.40440 0.50928 0.01689 0.878 0.114 1236.384 0.01704
0.25741 -0.17274 0.40500 0.51002 0.01876 0.729 0.112 1236.414 0.01706
0.25779 -0.17300 0.40559 0.51077 0.02064 1.189 0.124 1236.444 0.01709
0.25816 -0.17325 0.40618 0.51151 0.02252 0.960 0.127 1236.474 0.01711
0.25854 -0.17350 0.40677 0.51225 0.02440 1.064 0.118 1236.504 0.01714
0.25891 -0.17375 0.40736 0.51300 0.02627 0.969 0.113 1236.534 0.01716
0.25929 -0.17400 0.40795 0.51374 0.02815 0.985 0.121 1236.564 0.01719
0.25966 -0.17426 0.40854 0.51449 0.03003 1.076 0.119 1236.594 0.01721
0.26004 -0.17451 0.40913 0.51523 0.03190 1.003 0.122 1236.623 0.01724
0.26041 -0.17476 0.40972 0.51597 0.03378 1.027 0.123 1236.653 0.01726
0.26079 -0.17501 0.41031 0.51672 0.03566 0.811 0.118 1236.683 0.01729
0.26117 -0.17526 0.41090 0.51746 0.03754 1.081 0.119 1236.713 0.01731
0.26154 -0.17552 0.41150 0.51821 0.03941 1.067 0.118 1236.743 0.01733
0.26192 -0.17577 0.41209 0.51895 0.04129 0.996 0.122 1236.773 0.01736
0.26229 -0.17602 0.41268 0.51970 0.04317 1.026 0.124 1236.803 0.01738
0.26267 -0.17627 0.41327 0.52044 0.04505 1.120 0.121 1236.833 0.01741
0.26304 -0.17652 0.41386 0.52118 0.04692 0.991 0.121 1236.862 0.01743
0.26342 -0.17678 0.41445 0.52193 0.04880 1.089 0.119 1236.892 0.01746
0.26380 -0.17703 0.41504 0.52267 0.05068 1.053 0.118 1236.922 0.01748
0.26417 -0.17728 0.41563 0.52342 0.05256 0.729 0.113 1236.952 0.01751
0.26455 -0.17753 0.41622 0.52416 0.05444 0.787 0.109 1236.982 0.01753
0.26492 -0.17779 0.41682 0.52491 0.05631 1.227 0.126 1237.012 0.01756
0.26530 -0.17804 0.41741 0.52565 0.05819 0.775 0.116 1237.042 0.01758
0.26567 -0.17829 0.41800 0.52640 0.06007 0.741 0.113 1237.072 0.01760
0.26605 -0.17854 0.41859 0.52714 0.06195 0.718 0.112 1237.101 0.01763
0.26643 -0.17879 0.41918 0.52788 0.06383 0.729 0.113 1237.131 0.01765
0.26680 -0.17905 0.41977 0.52863 0.06571 0.695 0.111 1237.161 0.01768
0.26718 -0.17930 0.42036 0.52937 0.06758 0.801 0.117 1237.191 0.01770
0.26755 -0.17955 0.42095 0.53012 0.06946 0.869 0.114 1237.221 0.01773
0.26793 -0.17980 0.42155 0.53086 0.07134 0.893 0.115 1237.251 0.01775
0.26831 -0.18005 0.42214 0.53161 0.07322 0.962 0.127 1237.281 0.01778
0.26868 -0.18031 0.42273 0.53235 0.07510 0.707 0.112 1237.311 0.01780
0.26906 -0.18056 0.42332 0.53310 0.07698 0.893 0.123 1237.341 0.01783
0.26943 -0.18081 0.42391 0.53384 0.07886 0.962 0.127 1237.370 0.01785
0.26981 -0.18106 0.42450 0.53459 0.08074 1.010 0.115 1237.400 0.01788
0.27019 -0.18132 0.42509 0.53533 0.08261 0.685 0.102 1237.430 0.01790
0.27056 -0.18157 0.42569 0.53608 0.08449 0.801 0.117 1237.460 0.01792
0.27094 -0.18182 0.42628 0.53682 0.08637 0.708 0.112 1237.490 0.01795
0.27131 -0.18207 0.42687 0.53757 0.08825 0.768 0.115 1237.520 0.01797
0.27169 -0.18233 0.42746 0.53831 0.09013 1.012 0.122 1237.550 0.01800
0.27206 -0.18258 0.42805 0.53906 0.09201 0.885 0.122 1237.580 0.01802
0.27244 -0.18283 0.42864 0.53980 0.09389 1.001 0.122 1237.609 0.01805
0.27282 -0.18308 0.42924 0.54055 0.09577 0.989 0.121 1237.639 0.01807
0.27319 -0.18334 0.42983 0.54129 0.09765 0.920 0.124 1237.669 0.01810
0.27357 -0.18359 0.43042 0.54204 0.09953 0.756 0.115 1237.699 0.01812
0.27395 -0.18384 0.43101 0.54278 0.10141 0.755 0.115 1237.729 0.01815
0.27432 -0.18409 0.43160 0.54353 0.10329 0.941 0.118 1237.759 0.01817
0.27470 -0.18434 0.43219 0.54427 0.10517 0.953 0.119 1237.789 0.01819
0.27507 -0.18460 0.43279 0.54502 0.10705 1.003 0.129 1237.819 0.01822
0.27545 -0.18485 0.43338 0.54576 0.10893 1.012 0.122 1237.848 0.01824
0.27583 -0.18510 0.43397 0.54651 0.11081 0.793 0.109 1237.878 0.01827
0.27620 -0.18535 0.43456 0.54725 0.11269 0.875 0.122 1237.908 0.01829
0.27658 -0.18561 0.43515 0.54800 0.11457 0.897 0.123 1237.938 0.01832
0.27695 -0.18586 0.43574 0.54874 0.11645 0.874 0.115 1237.968 0.01834
0.27733 -0.18611 0.43634 0.54949 0.11833 1.037 0.124 1237.998 0.01837
0.27771 -0.18636 0.43693 0.55024 0.12021 0.989 0.121 1238.028 0.01839
