x y z dist_scaled dist_frac absorption
0.18641 -0.01633 0.46628 0.50243 0.00000 0.339
0.18669 -0.01636 0.46697 0.50317 0.00188 0.106
0.18696 -0.01638 0.46766 0.50391 0.00375 -0.059
0.18724 -0.01640 0.46835 0.50466 0.00563 -0.025
0.18752 -0.01643 0.46904 0.50540 0.00750 0.008
0.18779 -0.01645 0.46973 0.50615 0.00938 0.043
0.18807 -0.01648 0.47042 0.50689 0.01126 -0.189
0.18834 -0.01650 0.47111 0.50763 0.01313 0.212
0.18862 -0.01653 0.47180 0.50838 0.01501 0.147
0.18890 -0.01655 0.47249 0.50912 0.01689 -0.122
0.18917 -0.01657 0.47319 0.50987 0.01876 -0.288
0.18945 -0.01660 0.47388 0.51061 0.02064 0.443
0.18972 -0.01662 0.47457 0.51136 0.02252 0.009
0.19000 -0.01665 0.47526 0.51210 0.02440 -0.025
0.19028 -0.01667 0.47595 0.51285 0.02627 0.044
0.19055 -0.01669 0.47664 0.51359 0.02815 -0.025
0.19083 -0.01672 0.47733 0.51433 0.03003 0.107
0.19111 -0.01674 0.47802 0.51508 0.03190 0.008
0.19138 -0.01677 0.47871 0.51582 0.03378 -0.388
0.19166 -0.01679 0.47940 0.51657 0.03566 0.445
0.19193 -0.01682 0.48009 0.51731 0.03754 -0.122
0.19221 -0.01684 0.48079 0.51806 0.03941 -0.155
0.19249 -0.01686 0.48148 0.51880 0.04129 0.046
0.19276 -0.01689 0.48217 0.51955 0.04317 0.246
0.19304 -0.01691 0.48286 0.52029 0.04505 0.144
0.19332 -0.01694 0.48355 0.52104 0.04692 0.043
0.19359 -0.01696 0.48424 0.52178 0.04880 0.009
0.19387 -0.01699 0.48493 0.52253 0.05068 0.111
0.19414 -0.01701 0.48562 0.52327 0.05256 0.243
0.19442 -0.01703 0.48631 0.52401 0.05444 0.146
0.19470 -0.01706 0.48701 0.52476 0.05631 -0.254
0.19497 -0.01708 0.48770 0.52550 0.05819 -0.219
0.19525 -0.01711 0.48839 0.52625 0.06007 -0.019
0.19553 -0.01713 0.48908 0.52699 0.06195 -0.152
0.19580 -0.01715 0.48977 0.52774 0.06383 -0.387
