x y z dist_scaled dist_frac absorption
-0.20672 0.01707 0.45761 0.50243 0.00000 -0.062
-0.20703 0.01710 0.45829 0.50317 0.00188 -0.110
-0.20733 0.01713 0.45897 0.50391 0.00375 -0.033
-0.20764 0.01715 0.45964 0.50466 0.00563 -0.365
-0.20794 0.01718 0.46032 0.50540 0.00750 0.043
-0.20825 0.01720 0.46100 0.50615 0.00938 0.090
-0.20856 0.01723 0.46168 0.50689 0.01126 -0.062
-0.20886 0.01725 0.46235 0.50763 0.01313 0.195
-0.20917 0.01728 0.46303 0.50838 0.01501 0.142
-0.20947 0.01730 0.46371 0.50912 0.01689 0.371
-0.20978 0.01733 0.46439 0.50987 0.01876 0.193
-0.21009 0.01735 0.46507 0.51061 0.02064 -0.276
-0.21039 0.01738 0.46574 0.51136 0.02252 0.078
-0.21070 0.01740 0.46642 0.51210 0.02440 0.055
-0.21101 0.01743 0.46710 0.51285 0.02627 -0.110
-0.21131 0.01745 0.46778 0.51359 0.02815 -0.127
-0.21162 0.01748 0.46846 0.51433 0.03003 -0.140
-0.21193 0.01750 0.46913 0.51508 0.03190 0.394
-0.21223 0.01753 0.46981 0.51582 0.03378 0.199
-0.21254 0.01756 0.47049 0.51657 0.03566 -0.100
-0.21284 0.01758 0.47117 0.51731 0.03754 0.059
-0.21315 0.01761 0.47185 0.51806 0.03941 -0.096
-0.21346 0.01763 0.47253 0.51880 0.04129 -0.082
-0.21376 0.01766 0.47320 0.51955 0.04317 -0.003
-0.21407 0.01768 0.47388 0.52029 0.04505 0.233
-0.21438 0.01771 0.47456 0.52104 0.04692 0.011
-0.21468 0.01773 0.47524 0.52178 0.04880 -0.014
-0.21499 0.01776 0.47592 0.52253 0.05068 0.136
-0.21530 0.01778 0.47660 0.52327 0.05256 -0.015
-0.21560 0.01781 0.47727 0.52401 0.05444 -0.146
-0.21591 0.01783 0.47795 0.52476 0.05631 -0.067
-0.21621 0.01786 0.47863 0.52550 0.05819 0.213
-0.21652 0.01788 0.47931 0.52625 0.06007 0.289
-0.21683 0.01791 0.47999 0.52699 0.06195 -0.119
-0.21713 0.01793 0.48067 0.52774 0.06383 0.392
-0.21744 0.01796 0.48134 0.52848 0.06571 0.138
-0.21775 0.01799 0.48202 0.52923 0.06758 0.213
-0.21805 0.01801 0.48270 0.52997 0.06946 -0.298
-0.21836 0.01804 0.48338 0.53072 0.07134 0.059
-0.21867 0.01806 0.48406 0.53146 0.07322 -0.122
-0.21897 0.01809 0.48474 0.53221 0.07510 -0.046
-0.21928 0.01811 0.48542 0.53295 0.07698 0.184
-0.21959 0.01814 0.48609 0.53370 0.07886 -0.122
-0.21989 0.01816 0.48677 0.53445 0.08074 -0.148
-0.22020 0.01819 0.48745 0.53519 0.08261 0.465
-0.22051 0.01821 0.48813 0.53594 0.08449 -0.121
-0.22081 0.01824 0.48881 0.53668 0.08637 0.107
-0.22112 0.01826 0.48949 0.53743 0.08825 -0.353
-0.22143 0.01829 0.49017 0.53817 0.09013 0.109
-0.22173 0.01831 0.49085 0.53892 0.09201 0.211
-0.22204 0.01834 0.49153 0.53966 0.09389 -0.045
-0.22235 0.01837 0.49220 0.54041 0.09577 -0.043
-0.22265 0.01839 0.49288 0.54115 0.09765 0.315
-0.22296 0.01842 0.49356 0.54190 0.09953 0.188
-0.22327 0.01844 0.49424 0.54264 0.10141 -0.016
-0.22357 0.01847 0.49492 0.54339 0.10329 0.064
-0.22388 0.01849 0.49560 0.54414 0.10517 0.139
-0.22419 0.01852 0.49628 0.54488 0.10705 -0.014
-0.22449 0.01854 0.49696 0.54563 0.10893 -0.039
-0.22480 0.01857 0.49764 0.54637 0.11081 -0.067
-0.22511 0.01859 0.49832 0.54712 0.11269 0.240
-0.22541 0.01862 0.49900 0.54786 0.11457 -0.118
-0.22572 0.01864 0.49967 0.54861 0.11645 0.012
-0.22603 0.01867 0.50035 0.54935 0.11833 -0.143
-0.22633 0.01869 0.50103 0.55010 0.12021 -0.092
-0.22664 0.01872 0.50171 0.55085 0.12209 -0.142
-0.22695 0.01875 0.50239 0.55159 0.12397 -0.065
-0.22726 0.01877 0.50307 0.55234 0.12585 -0.218
-0.22756 0.01880 0.50375 0.55308 0.12773 0.136
-0.22787 0.01882 0.50443 0.55383 0.12961 -0.321
-0.22818 0.01885 0.50511 0.55458 0.13149 -0.066
-0.22848 0.01887 0.50579 0.55532 0.13337 -0.143
-0.22879 0.01890 0.50647 0.55607 0.13526 -0.065
-0.22910 0.01892 0.50715 0.55681 0.13714 0.165
-0.22940 0.01895 0.50783 0.55756 0.13902 0.193
-0.22971 0.01897 0.50851 0.55831 0.14090 0.042
-0.23002 0.01900 0.50919 0.55905 0.14278 0.118
-0.23032 0.01902 0.50987 0.55980 0.14466 -0.187
-0.23063 0.01905 0.51054 0.56054 0.14654 0.117
-0.23094 0.01908 0.51122 0.56129 0.14842 0.068
-0.23125 0.01910 0.51190 0.56204 0.15031 0.092
-0.23155 0.01913 0.51258 0.56278 0.15219 0.119
-0.23186 0.01915 0.51326 0.56353 0.15407 0.221
-0.23217 0.01918 0.51394 0.56428 0.15595 0.169
-0.23247 0.01920 0.51462 0.56502 0.15783 -0.013
-0.23278 0.01923 0.51530 0.56577 0.15971 -0.037
-0.23309 0.01925 0.51598 0.56651 0.16160 0.142
-0.23339 0.01928 0.51666 0.56726 0.16348 0.039
-0.23370 0.01930 0.51734 0.56801 0.16536 0.217
-0.23401 0.01933 0.51802 0.56875 0.16724 0.194
-0.23432 0.01935 0.51870 0.56950 0.16912 -0.241
-0.23462 0.01938 0.51938 0.57025 0.17101 0.042
-0.23493 0.01940 0.52006 0.57099 0.17289 0.295
-0.23524 0.01943 0.52074 0.57174 0.17477 0.041
-0.23554 0.01946 0.52142 0.57249 0.17665 0.195
-0.23585 0.01948 0.52210 0.57323 0.17854 0.347
-0.23616 0.01951 0.52278 0.57398 0.18042 0.015
-0.23647 0.01953 0.52346 0.57473 0.18230 -0.110
-0.23677 0.01956 0.52414 0.57547 0.18418 0.348
-0.23708 0.01958 0.52482 0.57622 0.18607 0.529
-0.23739 0.01961 0.52550 0.57697 0.18795 0.374
-0.23770 0.01963 0.52618 0.57771 0.18983 0.681
-0.23800 0.01966 0.52686 0.57846 0.19172 0.754
-0.23831 0.01968 0.52754 0.57921 0.19360 0.828
-0.23862 0.01971 0.52822 0.57995 0.19548 0.802
-0.23892 0.01973 0.52890 0.58070 0.19737 0.872
-0.23923 0.01976 0.52958 0.58145 0.19925 0.861
-0.23954 0.01979 0.53026 0.58219 0.20113 0.827
-0.23985 0.01981 0.53094 0.58294 0.20302 0.791
-0.24015 0.01984 0.53162 0.58369 0.20490 0.707
-0.24046 0.01986 0.53230 0.58443 0.20678 0.515
-0.24077 0.01989 0.53298 0.58518 0.20867 0.441
-0.24108 0.01991 0.53367 0.58593 0.21055 0.207
-0.24138 0.01994 0.53435 0.58668 0.21243 0.217
