x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.23243 -0.15058 0.41950 0.50267 0.00000 1.189 1236.119 0.01682
-0.23278 -0.15080 0.42012 0.50342 0.00188 1.043 1236.149 0.01685
-0.23312 -0.15103 0.42074 0.50416 0.00376 1.031 1236.179 0.01687
-0.23347 -0.15125 0.42136 0.50491 0.00564 0.938 1236.209 0.01690
-0.23381 -0.15147 0.42199 0.50565 0.00752 0.711 1236.239 0.01692
-0.23415 -0.15170 0.42261 0.50639 0.00940 0.585 1236.269 0.01694
-0.23450 -0.15192 0.42323 0.50714 0.01128 0.551 1236.299 0.01697
-0.23484 -0.15214 0.42385 0.50788 0.01316 0.599 1236.328 0.01699
-0.23519 -0.15236 0.42447 0.50863 0.01504 0.548 1236.358 0.01702
-0.23553 -0.15259 0.42509 0.50937 0.01692 0.566 1236.388 0.01704
-0.23587 -0.15281 0.42571 0.51012 0.01880 0.550 1236.418 0.01707
-0.23622 -0.15303 0.42633 0.51086 0.02068 0.598 1236.448 0.01709
-0.23656 -0.15326 0.42695 0.51160 0.02256 0.319 1236.478 0.01712
-0.23691 -0.15348 0.42758 0.51235 0.02444 0.190 1236.508 0.01714
-0.23725 -0.15370 0.42820 0.51309 0.02632 0.158 1236.538 0.01717
-0.23760 -0.15393 0.42882 0.51384 0.02820 0.140 1236.568 0.01719
-0.23794 -0.15415 0.42944 0.51458 0.03008 0.091 1236.597 0.01721
-0.23828 -0.15437 0.43006 0.51533 0.03196 0.082 1236.627 0.01724
-0.23863 -0.15459 0.43068 0.51607 0.03385 0.080 1236.657 0.01726
-0.23897 -0.15482 0.43130 0.51682 0.03573 0.096 1236.687 0.01729
-0.23932 -0.15504 0.43192 0.51756 0.03761 0.205 1236.717 0.01731
-0.23966 -0.15526 0.43255 0.51831 0.03949 0.325 1236.747 0.01734
-0.24001 -0.15549 0.43317 0.51905 0.04137 0.544 1236.777 0.01736
-0.24035 -0.15571 0.43379 0.51979 0.04325 0.659 1236.807 0.01739
-0.24069 -0.15593 0.43441 0.52054 0.04513 0.886 1236.837 0.01741
-0.24104 -0.15616 0.43503 0.52128 0.04701 1.026 1236.866 0.01744
-0.24138 -0.15638 0.43565 0.52203 0.04890 0.993 1236.896 0.01746
-0.24173 -0.15660 0.43628 0.52277 0.05078 0.998 1236.926 0.01749
-0.24207 -0.15683 0.43690 0.52352 0.05266 0.903 1236.956 0.01751
-0.24242 -0.15705 0.43752 0.52426 0.05454 0.861 1236.986 0.01753
-0.24276 -0.15727 0.43814 0.52501 0.05642 0.843 1237.016 0.01756
-0.24310 -0.15749 0.43876 0.52575 0.05830 0.895 1237.046 0.01758
-0.24345 -0.15772 0.43938 0.52650 0.06019 0.847 1237.076 0.01761
-0.24379 -0.15794 0.44000 0.52724 0.06207 0.923 1237.106 0.01763
-0.24414 -0.15816 0.44063 0.52799 0.06395 0.843 1237.135 0.01766
-0.24448 -0.15839 0.44125 0.52873 0.06583 0.880 1237.165 0.01768
-0.24483 -0.15861 0.44187 0.52948 0.06771 0.892 1237.195 0.01771
-0.24517 -0.15883 0.44249 0.53022 0.06960 0.374 1237.225 0.01773
-0.24552 -0.15906 0.44311 0.53097 0.07148 0.335 1237.255 0.01776
-0.24586 -0.15928 0.44374 0.53171 0.07336 0.265 1237.285 0.01778
-0.24620 -0.15950 0.44436 0.53246 0.07524 0.602 1237.315 0.01780
-0.24655 -0.15973 0.44498 0.53320 0.07713 0.929 1237.345 0.01783
-0.24689 -0.15995 0.44560 0.53395 0.07901 0.866 1237.375 0.01785
-0.24724 -0.16017 0.44622 0.53469 0.08089 0.976 1237.405 0.01788
-0.24758 -0.16040 0.44684 0.53544 0.08277 1.051 1237.434 0.01790
-0.24793 -0.16062 0.44747 0.53618 0.08466 1.050 1237.464 0.01793
-0.24827 -0.16084 0.44809 0.53693 0.08654 1.010 1237.494 0.01795
-0.24862 -0.16107 0.44871 0.53767 0.08842 0.955 1237.524 0.01798
-0.24896 -0.16129 0.44933 0.53842 0.09030 1.186 1237.554 0.01800
-0.24931 -0.16151 0.44995 0.53917 0.09219 1.059 1237.584 0.01803
-0.24965 -0.16174 0.45058 0.53991 0.09407 0.917 1237.614 0.01805
-0.25000 -0.16196 0.45120 0.54066 0.09595 0.807 1237.644 0.01808
-0.25034 -0.16218 0.45182 0.54140 0.09784 0.826 1237.674 0.01810
-0.25069 -0.16241 0.45244 0.54215 0.09972 1.020 1237.703 0.01812
-0.25103 -0.16263 0.45307 0.54289 0.10160 1.137 1237.733 0.01815
-0.25137 -0.16285 0.45369 0.54364 0.10349 1.120 1237.763 0.01817
-0.25172 -0.16308 0.45431 0.54438 0.10537 1.050 1237.793 0.01820
-0.25206 -0.16330 0.45493 0.54513 0.10725 1.050 1237.823 0.01822
-0.25241 -0.16352 0.45555 0.54587 0.10914 0.892 1237.853 0.01825
-0.25275 -0.16375 0.45618 0.54662 0.11102 1.061 1237.883 0.01827
-0.25310 -0.16397 0.45680 0.54737 0.11290 1.156 1237.913 0.01830
-0.25344 -0.16419 0.45742 0.54811 0.11479 1.056 1237.943 0.01832
-0.25379 -0.16442 0.45804 0.54886 0.11667 1.078 1237.972 0.01835
