x y z dist_scaled dist_frac absorption
-0.35654 -0.09106 0.34208 0.50243 0.00000 0.042
-0.35707 -0.09120 0.34258 0.50317 0.00188 0.100
-0.35760 -0.09133 0.34309 0.50391 0.00375 0.147
-0.35813 -0.09147 0.34360 0.50466 0.00563 -0.230
-0.35866 -0.09160 0.34410 0.50540 0.00750 -0.298
-0.35918 -0.09174 0.34461 0.50615 0.00938 0.174
-0.35971 -0.09187 0.34512 0.50689 0.01126 -0.202
-0.36024 -0.09201 0.34562 0.50763 0.01313 -0.013
-0.36077 -0.09214 0.34613 0.50838 0.01501 0.128
-0.36130 -0.09228 0.34664 0.50912 0.01689 -0.106
-0.36182 -0.09241 0.34714 0.50987 0.01876 -0.128
-0.36235 -0.09255 0.34765 0.51061 0.02064 -0.292
-0.36288 -0.09268 0.34816 0.51136 0.02252 -0.104
-0.36341 -0.09282 0.34866 0.51210 0.02440 0.155
-0.36394 -0.09295 0.34917 0.51285 0.02627 0.062
-0.36447 -0.09309 0.34968 0.51359 0.02815 -0.219
-0.36499 -0.09322 0.35018 0.51433 0.03003 -0.007
-0.36552 -0.09336 0.35069 0.51508 0.03190 0.086
-0.36605 -0.09349 0.35120 0.51582 0.03378 -0.078
-0.36658 -0.09363 0.35170 0.51657 0.03566 0.064
-0.36711 -0.09376 0.35221 0.51731 0.03754 -0.099
-0.36764 -0.09390 0.35272 0.51806 0.03941 0.065
-0.36816 -0.09403 0.35323 0.51880 0.04129 -0.307
-0.36869 -0.09417 0.35373 0.51955 0.04317 0.043
-0.36922 -0.09430 0.35424 0.52029 0.04505 -0.190
-0.36975 -0.09444 0.35475 0.52104 0.04692 -0.095
-0.37028 -0.09457 0.35525 0.52178 0.04880 0.045
-0.37081 -0.09471 0.35576 0.52253 0.05068 0.347
-0.37134 -0.09484 0.35627 0.52327 0.05256 -0.279
-0.37186 -0.09498 0.35678 0.52401 0.05444 0.093
-0.37239 -0.09511 0.35728 0.52476 0.05631 0.094
-0.37292 -0.09525 0.35779 0.52550 0.05819 -0.090
-0.37345 -0.09538 0.35830 0.52625 0.06007 0.210
-0.37398 -0.09552 0.35880 0.52699 0.06195 -0.066
-0.37451 -0.09565 0.35931 0.52774 0.06383 -0.016
-0.37504 -0.09579 0.35982 0.52848 0.06571 0.124
-0.37556 -0.09592 0.36033 0.52923 0.06758 -0.080
-0.37609 -0.09606 0.36083 0.52997 0.06946 0.083
-0.37662 -0.09619 0.36134 0.53072 0.07134 0.128
-0.37715 -0.09633 0.36185 0.53146 0.07322 0.123
-0.37768 -0.09646 0.36235 0.53221 0.07510 0.010
-0.37821 -0.09660 0.36286 0.53295 0.07698 -0.013
-0.37874 -0.09673 0.36337 0.53370 0.07886 -0.165
-0.37927 -0.09687 0.36388 0.53445 0.08074 -0.073
-0.37979 -0.09700 0.36438 0.53519 0.08261 -0.028
-0.38032 -0.09714 0.36489 0.53594 0.08449 0.033
-0.38085 -0.09727 0.36540 0.53668 0.08637 0.119
-0.38138 -0.09741 0.36591 0.53743 0.08825 -0.260
-0.38191 -0.09754 0.36641 0.53817 0.09013 0.080
-0.38244 -0.09768 0.36692 0.53892 0.09201 0.159
-0.38297 -0.09781 0.36743 0.53966 0.09389 -0.100
-0.38350 -0.09795 0.36794 0.54041 0.09577 -0.211
-0.38403 -0.09808 0.36844 0.54115 0.09765 0.165
-0.38455 -0.09822 0.36895 0.54190 0.09953 0.079
-0.38508 -0.09835 0.36946 0.54264 0.10141 -0.028
-0.38561 -0.09849 0.36997 0.54339 0.10329 -0.195
-0.38614 -0.09862 0.37047 0.54414 0.10517 0.031
-0.38667 -0.09876 0.37098 0.54488 0.10705 0.152
-0.38720 -0.09889 0.37149 0.54563 0.10893 0.042
-0.38773 -0.09903 0.37200 0.54637 0.11081 0.076
-0.38826 -0.09916 0.37250 0.54712 0.11269 -0.025
-0.38879 -0.09930 0.37301 0.54786 0.11457 -0.161
-0.38932 -0.09943 0.37352 0.54861 0.11645 0.162
-0.38985 -0.09957 0.37403 0.54935 0.11833 0.146
-0.39038 -0.09970 0.37454 0.55010 0.12021 -0.141
-0.39090 -0.09984 0.37504 0.55085 0.12209 0.114
-0.39143 -0.09997 0.37555 0.55159 0.12397 -0.291
-0.39196 -0.10011 0.37606 0.55234 0.12585 0.031
-0.39249 -0.10024 0.37657 0.55308 0.12773 0.031
-0.39302 -0.10038 0.37707 0.55383 0.12961 -0.038
-0.39355 -0.10051 0.37758 0.55458 0.13149 0.115
-0.39408 -0.10065 0.37809 0.55532 0.13337 -0.221
-0.39461 -0.10078 0.37860 0.55607 0.13526 -0.186
-0.39514 -0.10092 0.37911 0.55681 0.13714 -0.035
-0.39567 -0.10106 0.37961 0.55756 0.13902 -0.034
-0.39620 -0.10119 0.38012 0.55831 0.14090 -0.051
-0.39673 -0.10133 0.38063 0.55905 0.14278 0.152
-0.39726 -0.10146 0.38114 0.55980 0.14466 0.118
-0.39779 -0.10160 0.38165 0.56054 0.14654 0.034
-0.39832 -0.10173 0.38215 0.56129 0.14842 0.068
-0.39885 -0.10187 0.38266 0.56204 0.15031 0.236
-0.39938 -0.10200 0.38317 0.56278 0.15219 -0.016
-0.39990 -0.10214 0.38368 0.56353 0.15407 0.235
-0.40043 -0.10227 0.38419 0.56428 0.15595 0.152
-0.40096 -0.10241 0.38469 0.56502 0.15783 0.169
-0.40149 -0.10254 0.38520 0.56577 0.15971 0.152
-0.40202 -0.10268 0.38571 0.56651 0.16160 0.068
-0.40255 -0.10281 0.38622 0.56726 0.16348 0.186
-0.40308 -0.10295 0.38673 0.56801 0.16536 0.203
-0.40361 -0.10308 0.38724 0.56875 0.16724 0.053
-0.40414 -0.10322 0.38774 0.56950 0.16912 0.221
-0.40467 -0.10335 0.38825 0.57025 0.17101 0.053
-0.40520 -0.10349 0.38876 0.57099 0.17289 0.087
-0.40573 -0.10363 0.38927 0.57174 0.17477 0.055
-0.40626 -0.10376 0.38978 0.57249 0.17665 0.089
-0.40679 -0.10390 0.39028 0.57323 0.17854 -0.044
-0.40732 -0.10403 0.39079 0.57398 0.18042 0.122
-0.40785 -0.10417 0.39130 0.57473 0.18230 -0.031
-0.40838 -0.10430 0.39181 0.57547 0.18418 0.081
-0.40891 -0.10444 0.39232 0.57622 0.18607 0.037
-0.40944 -0.10457 0.39283 0.57697 0.18795 -0.321
-0.40997 -0.10471 0.39334 0.57771 0.18983 -0.186
-0.41050 -0.10484 0.39384 0.57846 0.19172 -0.007
-0.41103 -0.10498 0.39435 0.57921 0.19360 0.059
-0.41156 -0.10511 0.39486 0.57995 0.19548 -0.073
-0.41209 -0.10525 0.39537 0.58070 0.19737 0.061
-0.41262 -0.10538 0.39588 0.58145 0.19925 -0.028
-0.41315 -0.10552 0.39639 0.58219 0.20113 -0.116
-0.41368 -0.10566 0.39689 0.58294 0.20302 -0.094
-0.41421 -0.10579 0.39740 0.58369 0.20490 0.197
