x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.36404 -0.13418 0.31947 0.50258 0.00000 0.189 0.185 1236.115 0.01682
-0.36458 -0.13438 0.31994 0.50333 0.00188 0.140 0.159 1236.145 0.01684
-0.36511 -0.13458 0.32042 0.50407 0.00375 0.267 0.192 1236.175 0.01687
-0.36565 -0.13478 0.32089 0.50481 0.00563 0.100 0.158 1236.205 0.01689
-0.36619 -0.13498 0.32136 0.50556 0.00751 0.311 0.190 1236.235 0.01692
-0.36673 -0.13518 0.32183 0.50630 0.00938 0.685 0.247 1236.265 0.01694
-0.36727 -0.13537 0.32231 0.50705 0.01126 0.979 0.278 1236.295 0.01697
-0.36781 -0.13557 0.32278 0.50779 0.01313 0.602 0.234 1236.325 0.01699
-0.36835 -0.13577 0.32325 0.50853 0.01501 1.061 0.286 1236.355 0.01701
-0.36889 -0.13597 0.32373 0.50928 0.01689 1.228 0.301 1236.384 0.01704
-0.36942 -0.13617 0.32420 0.51002 0.01876 0.975 0.277 1236.414 0.01706
-0.36996 -0.13637 0.32467 0.51077 0.02064 1.142 0.294 1236.444 0.01709
-0.37050 -0.13657 0.32515 0.51151 0.02252 1.059 0.285 1236.474 0.01711
-0.37104 -0.13677 0.32562 0.51225 0.02440 1.139 0.292 1236.504 0.01714
-0.37158 -0.13696 0.32609 0.51300 0.02627 0.889 0.267 1236.534 0.01716
-0.37212 -0.13716 0.32656 0.51374 0.02815 1.260 0.303 1236.564 0.01719
-0.37266 -0.13736 0.32704 0.51449 0.03003 1.381 0.314 1236.594 0.01721
-0.37320 -0.13756 0.32751 0.51523 0.03190 1.295 0.305 1236.623 0.01724
-0.37374 -0.13776 0.32798 0.51597 0.03378 1.086 0.287 1236.653 0.01726
-0.37428 -0.13796 0.32846 0.51672 0.03566 0.879 0.265 1236.683 0.01729
-0.37481 -0.13816 0.32893 0.51746 0.03754 1.205 0.298 1236.713 0.01731
-0.37535 -0.13835 0.32940 0.51821 0.03941 1.080 0.285 1236.743 0.01733
-0.37589 -0.13855 0.32988 0.51895 0.04129 0.955 0.273 1236.773 0.01736
-0.37643 -0.13875 0.33035 0.51970 0.04317 1.155 0.289 1236.803 0.01738
-0.37697 -0.13895 0.33082 0.52044 0.04505 1.150 0.292 1236.833 0.01741
-0.37751 -0.13915 0.33129 0.52118 0.04692 0.983 0.276 1236.862 0.01743
-0.37805 -0.13935 0.33177 0.52193 0.04880 0.943 0.271 1236.892 0.01746
-0.37859 -0.13955 0.33224 0.52267 0.05068 0.858 0.262 1236.922 0.01748
-0.37913 -0.13975 0.33271 0.52342 0.05256 1.226 0.298 1236.952 0.01751
-0.37967 -0.13994 0.33319 0.52416 0.05444 0.822 0.258 1236.982 0.01753
-0.38021 -0.14014 0.33366 0.52491 0.05631 1.039 0.282 1237.012 0.01756
-0.38075 -0.14034 0.33413 0.52565 0.05819 0.670 0.268 1237.042 0.01758
-0.38128 -0.14054 0.33461 0.52640 0.06007 0.533 0.247 1237.072 0.01760
-0.38182 -0.14074 0.33508 0.52714 0.06195 1.041 0.283 1237.101 0.01763
-0.38236 -0.14094 0.33555 0.52788 0.06383 0.786 0.255 1237.131 0.01765
-0.38290 -0.14114 0.33603 0.52863 0.06571 1.117 0.291 1237.161 0.01768
-0.38344 -0.14134 0.33650 0.52937 0.06758 0.834 0.260 1237.191 0.01770
-0.38398 -0.14153 0.33697 0.53012 0.06946 0.915 0.272 1237.221 0.01773
-0.38452 -0.14173 0.33745 0.53086 0.07134 0.977 0.275 1237.251 0.01775
-0.38506 -0.14193 0.33792 0.53161 0.07322 0.846 0.267 1237.281 0.01778
-0.38560 -0.14213 0.33839 0.53235 0.07510 0.897 0.271 1237.311 0.01780
-0.38614 -0.14233 0.33887 0.53310 0.07698 1.116 0.290 1237.341 0.01783
-0.38668 -0.14253 0.33934 0.53384 0.07886 1.450 0.317 1237.370 0.01785
-0.38722 -0.14273 0.33981 0.53459 0.08074 1.210 0.301 1237.400 0.01788
-0.38776 -0.14293 0.34029 0.53533 0.08261 1.254 0.300 1237.430 0.01790
-0.38830 -0.14313 0.34076 0.53608 0.08449 1.226 0.300 1237.460 0.01792
-0.38884 -0.14332 0.34124 0.53682 0.08637 1.198 0.296 1237.490 0.01795
-0.38938 -0.14352 0.34171 0.53757 0.08825 0.921 0.269 1237.520 0.01797
-0.38992 -0.14372 0.34218 0.53831 0.09013 1.045 0.277 1237.550 0.01800
-0.39046 -0.14392 0.34266 0.53906 0.09201 0.886 0.261 1237.580 0.01802
-0.39100 -0.14412 0.34313 0.53980 0.09389 1.042 0.277 1237.609 0.01805
-0.39154 -0.14432 0.34360 0.54055 0.09577 1.124 0.284 1237.639 0.01807
-0.39208 -0.14452 0.34408 0.54129 0.09765 0.850 0.256 1237.669 0.01810
-0.39261 -0.14472 0.34455 0.54204 0.09953 1.047 0.276 1237.699 0.01812
-0.39315 -0.14492 0.34502 0.54278 0.10141 1.008 0.271 1237.729 0.01815
-0.39369 -0.14511 0.34550 0.54353 0.10329 1.442 0.311 1237.759 0.01817
-0.39423 -0.14531 0.34597 0.54427 0.10517 1.335 0.310 1237.789 0.01819
-0.39477 -0.14551 0.34645 0.54502 0.10705 0.880 0.267 1237.819 0.01822
-0.39531 -0.14571 0.34692 0.54576 0.10893 0.979 0.275 1237.848 0.01824
-0.39585 -0.14591 0.34739 0.54651 0.11081 0.959 0.271 1237.878 0.01827
-0.39639 -0.14611 0.34787 0.54725 0.11269 1.376 0.313 1237.908 0.01829
-0.39693 -0.14631 0.34834 0.54800 0.11457 1.053 0.281 1237.938 0.01832
-0.39747 -0.14651 0.34881 0.54874 0.11645 1.040 0.277 1237.968 0.01834
-0.39801 -0.14671 0.34929 0.54949 0.11833 1.026 0.281 1237.998 0.01837
-0.39855 -0.14691 0.34976 0.55024 0.12021 0.479 0.213 1238.028 0.01839
-0.39909 -0.14710 0.35024 0.55098 0.12209 1.040 0.278 1238.058 0.01842
-0.39963 -0.14730 0.35071 0.55173 0.12397 1.093 0.281 1238.087 0.01844
-0.40017 -0.14750 0.35118 0.55247 0.12585 1.183 0.292 1238.117 0.01847
