x y z dist_scaled dist_frac absorption
-0.36392 -0.13414 0.31937 0.50243 0.00000 0.519
-0.36446 -0.13434 0.31984 0.50317 0.00188 0.814
-0.36500 -0.13454 0.32032 0.50391 0.00375 0.776
-0.36554 -0.13474 0.32079 0.50466 0.00563 0.861
-0.36608 -0.13494 0.32126 0.50540 0.00750 0.694
-0.36662 -0.13513 0.32174 0.50615 0.00938 0.984
-0.36716 -0.13533 0.32221 0.50689 0.01126 0.321
-0.36770 -0.13553 0.32268 0.50763 0.01313 0.325
-0.36824 -0.13573 0.32316 0.50838 0.01501 0.076
-0.36877 -0.13593 0.32363 0.50912 0.01689 0.326
-0.36931 -0.13613 0.32410 0.50987 0.01876 -0.003
-0.36985 -0.13633 0.32457 0.51061 0.02064 -0.124
-0.37039 -0.13653 0.32505 0.51136 0.02252 0.043
-0.37093 -0.13672 0.32552 0.51210 0.02440 -0.079
-0.37147 -0.13692 0.32599 0.51285 0.02627 -0.077
-0.37201 -0.13712 0.32647 0.51359 0.02815 -0.156
-0.37255 -0.13732 0.32694 0.51433 0.03003 -0.073
-0.37309 -0.13752 0.32741 0.51508 0.03190 -0.353
-0.37363 -0.13772 0.32789 0.51582 0.03378 -0.107
-0.37417 -0.13792 0.32836 0.51657 0.03566 -0.103
-0.37471 -0.13812 0.32883 0.51731 0.03754 -0.221
-0.37525 -0.13831 0.32931 0.51806 0.03941 -0.015
-0.37578 -0.13851 0.32978 0.51880 0.04129 0.266
-0.37632 -0.13871 0.33025 0.51955 0.04317 -0.292
-0.37686 -0.13891 0.33073 0.52029 0.04505 -0.049
-0.37740 -0.13911 0.33120 0.52104 0.04692 -0.202
-0.37794 -0.13931 0.33167 0.52178 0.04880 0.003
-0.37848 -0.13951 0.33215 0.52253 0.05068 0.162
-0.37902 -0.13971 0.33262 0.52327 0.05256 0.005
-0.37956 -0.13991 0.33309 0.52401 0.05444 0.206
-0.38010 -0.14010 0.33357 0.52476 0.05631 -0.151
-0.38064 -0.14030 0.33404 0.52550 0.05819 0.007
-0.38118 -0.14050 0.33451 0.52625 0.06007 0.229
-0.38172 -0.14070 0.33499 0.52699 0.06195 0.345
-0.38226 -0.14090 0.33546 0.52774 0.06383 0.400
-0.38280 -0.14110 0.33594 0.52848 0.06571 0.116
-0.38334 -0.14130 0.33641 0.52923 0.06758 0.112
-0.38388 -0.14150 0.33688 0.52997 0.06946 -0.081
-0.38442 -0.14170 0.33736 0.53072 0.07134 -0.055
-0.38496 -0.14189 0.33783 0.53146 0.07322 0.430
-0.38550 -0.14209 0.33830 0.53221 0.07510 0.082
-0.38604 -0.14229 0.33878 0.53295 0.07698 0.209
