x y z dist_scaled dist_frac absorption
-0.10685 0.06073 0.48716 0.50243 0.00000 -0.146
-0.10701 0.06082 0.48788 0.50317 0.00188 -0.038
-0.10717 0.06091 0.48860 0.50391 0.00375 -0.084
-0.10733 0.06100 0.48933 0.50466 0.00563 0.012
-0.10748 0.06109 0.49005 0.50540 0.00750 -0.399
-0.10764 0.06118 0.49077 0.50615 0.00938 -0.061
-0.10780 0.06127 0.49149 0.50689 0.01126 0.050
-0.10796 0.06136 0.49221 0.50763 0.01313 -0.165
-0.10812 0.06145 0.49293 0.50838 0.01501 -0.056
-0.10828 0.06154 0.49366 0.50912 0.01689 0.038
-0.10843 0.06163 0.49438 0.50987 0.01876 -0.145
-0.10859 0.06172 0.49510 0.51061 0.02064 0.260
-0.10875 0.06181 0.49582 0.51136 0.02252 -0.102
-0.10891 0.06190 0.49654 0.51210 0.02440 -0.161
-0.10907 0.06199 0.49726 0.51285 0.02627 0.052
-0.10923 0.06208 0.49799 0.51359 0.02815 0.154
-0.10938 0.06217 0.49871 0.51433 0.03003 0.084
-0.10954 0.06226 0.49943 0.51508 0.03190 0.035
-0.10970 0.06235 0.50015 0.51582 0.03378 -0.010
-0.10986 0.06244 0.50087 0.51657 0.03566 0.154
-0.11002 0.06253 0.50160 0.51731 0.03754 0.085
-0.11018 0.06262 0.50232 0.51806 0.03941 0.295
-0.11033 0.06271 0.50304 0.51880 0.04129 0.096
-0.11049 0.06280 0.50376 0.51955 0.04317 0.167
-0.11065 0.06289 0.50448 0.52029 0.04505 0.109
-0.11081 0.06298 0.50521 0.52104 0.04692 0.367
-0.11097 0.06307 0.50593 0.52178 0.04880 0.414
-0.11113 0.06316 0.50665 0.52253 0.05068 0.322
-0.11128 0.06325 0.50737 0.52327 0.05256 0.391
-0.11144 0.06334 0.50809 0.52401 0.05444 0.568
-0.11160 0.06343 0.50882 0.52476 0.05631 0.660
-0.11176 0.06352 0.50954 0.52550 0.05819 0.754
-0.11192 0.06361 0.51026 0.52625 0.06007 0.848
-0.11208 0.06370 0.51098 0.52699 0.06195 0.907
-0.11223 0.06379 0.51171 0.52774 0.06383 0.789
-0.11239 0.06388 0.51243 0.52848 0.06571 0.907
-0.11255 0.06397 0.51315 0.52923 0.06758 0.896
-0.11271 0.06406 0.51387 0.52997 0.06946 0.943
-0.11287 0.06415 0.51460 0.53072 0.07134 0.942
-0.11303 0.06424 0.51532 0.53146 0.07322 0.742
-0.11319 0.06433 0.51604 0.53221 0.07510 0.602
-0.11334 0.06442 0.51676 0.53295 0.07698 0.391
-0.11350 0.06451 0.51749 0.53370 0.07886 0.285
-0.11366 0.06460 0.51821 0.53445 0.08074 0.261
-0.11382 0.06469 0.51893 0.53519 0.08261 0.110
-0.11398 0.06478 0.51965 0.53594 0.08449 -0.123
-0.11414 0.06487 0.52038 0.53668 0.08637 -0.041
-0.11429 0.06496 0.52110 0.53743 0.08825 -0.109
-0.11445 0.06505 0.52182 0.53817 0.09013 0.007
-0.11461 0.06514 0.52254 0.53892 0.09201 -0.063
-0.11477 0.06523 0.52327 0.53966 0.09389 0.066
-0.11493 0.06532 0.52399 0.54041 0.09577 -0.041
-0.11509 0.06541 0.52471 0.54115 0.09765 -0.028
-0.11525 0.06550 0.52543 0.54190 0.09953 0.159
-0.11540 0.06559 0.52616 0.54264 0.10141 0.241
-0.11556 0.06568 0.52688 0.54339 0.10329 0.136
-0.11572 0.06577 0.52760 0.54414 0.10517 0.311
-0.11588 0.06586 0.52833 0.54488 0.10705 0.335
-0.11604 0.06595 0.52905 0.54563 0.10893 0.346
-0.11620 0.06604 0.52977 0.54637 0.11081 0.358
-0.11636 0.06613 0.53050 0.54712 0.11269 0.498
-0.11651 0.06622 0.53122 0.54786 0.11457 0.579
-0.11667 0.06631 0.53194 0.54861 0.11645 0.579
-0.11683 0.06641 0.53266 0.54935 0.11833 0.602
-0.11699 0.06650 0.53339 0.55010 0.12021 0.672
-0.11715 0.06659 0.53411 0.55085 0.12209 0.718
-0.11731 0.06668 0.53483 0.55159 0.12397 0.572
-0.11747 0.06677 0.53556 0.55234 0.12585 0.503
-0.11762 0.06686 0.53628 0.55308 0.12773 0.657
-0.11778 0.06695 0.53700 0.55383 0.12961 0.600
-0.11794 0.06704 0.53773 0.55458 0.13149 0.603
-0.11810 0.06713 0.53845 0.55532 0.13337 0.712
-0.11826 0.06722 0.53917 0.55607 0.13526 0.674
-0.11842 0.06731 0.53990 0.55681 0.13714 0.620
-0.11858 0.06740 0.54062 0.55756 0.13902 0.647
-0.11874 0.06749 0.54134 0.55831 0.14090 0.522
-0.11889 0.06758 0.54207 0.55905 0.14278 0.640
-0.11905 0.06767 0.54279 0.55980 0.14466 0.552
-0.11921 0.06776 0.54351 0.56054 0.14654 0.410
-0.11937 0.06785 0.54424 0.56129 0.14842 0.525
-0.11953 0.06794 0.54496 0.56204 0.15031 0.322
-0.11969 0.06803 0.54568 0.56278 0.15219 0.265
-0.11985 0.06812 0.54641 0.56353 0.15407 0.199
-0.12000 0.06821 0.54713 0.56428 0.15595 0.257
-0.12016 0.06830 0.54785 0.56502 0.15783 0.154
-0.12032 0.06839 0.54858 0.56577 0.15971 0.175
-0.12048 0.06848 0.54930 0.56651 0.16160 0.106
-0.12064 0.06857 0.55003 0.56726 0.16348 0.095
-0.12080 0.06866 0.55075 0.56801 0.16536 0.108
-0.12096 0.06875 0.55147 0.56875 0.16724 0.241
-0.12112 0.06884 0.55220 0.56950 0.16912 0.057
-0.12127 0.06893 0.55292 0.57025 0.17101 -0.117
-0.12143 0.06902 0.55364 0.57099 0.17289 0.039
-0.12159 0.06911 0.55437 0.57174 0.17477 0.073
-0.12175 0.06920 0.55509 0.57249 0.17665 -0.067
-0.12191 0.06929 0.55582 0.57323 0.17854 0.182
-0.12207 0.06938 0.55654 0.57398 0.18042 0.169
-0.12223 0.06947 0.55726 0.57473 0.18230 0.006
-0.12239 0.06956 0.55799 0.57547 0.18418 -0.203
-0.12255 0.06965 0.55871 0.57622 0.18607 -0.079
-0.12270 0.06974 0.55944 0.57697 0.18795 -0.041
-0.12286 0.06983 0.56016 0.57771 0.18983 -0.043
-0.12302 0.06992 0.56088 0.57846 0.19172 0.051
-0.12318 0.07001 0.56161 0.57921 0.19360 0.084
-0.12334 0.07010 0.56233 0.57995 0.19548 0.055
-0.12350 0.07019 0.56306 0.58070 0.19737 -0.106
-0.12366 0.07028 0.56378 0.58145 0.19925 -0.006
-0.12382 0.07037 0.56451 0.58219 0.20113 -0.261
-0.12397 0.07046 0.56523 0.58294 0.20302 -0.153
-0.12413 0.07056 0.56595 0.58369 0.20490 0.127
-0.12429 0.07065 0.56668 0.58443 0.20678 -0.275
-0.12445 0.07074 0.56740 0.58518 0.20867 0.071
-0.12461 0.07083 0.56813 0.58593 0.21055 0.095
-0.12477 0.07092 0.56885 0.58668 0.21243 -0.252
-0.12493 0.07101 0.56958 0.58742 0.21432 0.142
-0.12509 0.07110 0.57030 0.58817 0.21620 0.003
-0.12525 0.07119 0.57102 0.58892 0.21809 -0.102
-0.12540 0.07128 0.57175 0.58966 0.21997 -0.149
-0.12556 0.07137 0.57247 0.59041 0.22185 -0.265
-0.12572 0.07146 0.57320 0.59116 0.22374 0.026
-0.12588 0.07155 0.57392 0.59191 0.22562 -0.332
-0.12604 0.07164 0.57465 0.59265 0.22751 -0.182
-0.12620 0.07173 0.57537 0.59340 0.22939 0.037
-0.12636 0.07182 0.57610 0.59415 0.23127 -0.022
-0.12652 0.07191 0.57682 0.59490 0.23316 0.059
-0.12668 0.07200 0.57755 0.59564 0.23504 -0.067
-0.12683 0.07209 0.57827 0.59639 0.23693 -0.101
-0.12699 0.07218 0.57900 0.59714 0.23881 -0.081
-0.12715 0.07227 0.57972 0.59789 0.24070 -0.367
-0.12731 0.07236 0.58045 0.59863 0.24258 0.116
-0.12747 0.07245 0.58117 0.59938 0.24447 0.059
-0.12763 0.07254 0.58189 0.60013 0.24635 0.060
-0.12779 0.07263 0.58262 0.60088 0.24824 0.095
-0.12795 0.07272 0.58334 0.60162 0.25012 0.164
-0.12811 0.07281 0.58407 0.60237 0.25201 0.154
-0.12827 0.07290 0.58479 0.60312 0.25389 0.176
-0.12842 0.07299 0.58552 0.60387 0.25578 0.106
-0.12858 0.07308 0.58624 0.60461 0.25766 0.176
-0.12874 0.07318 0.58697 0.60536 0.25955 0.129
-0.12890 0.07327 0.58769 0.60611 0.26143 0.107
-0.12906 0.07336 0.58842 0.60686 0.26332 0.351
-0.12922 0.07345 0.58914 0.60760 0.26521 -0.155
-0.12938 0.07354 0.58987 0.60835 0.26709 -0.004
-0.12954 0.07363 0.59059 0.60910 0.26898 -0.004
-0.12970 0.07372 0.59132 0.60985 0.27086 0.098
-0.12986 0.07381 0.59205 0.61060 0.27275 0.177
-0.13002 0.07390 0.59277 0.61134 0.27463 0.098
-0.13017 0.07399 0.59350 0.61209 0.27652 0.017
-0.13033 0.07408 0.59422 0.61284 0.27841 0.075
-0.13049 0.07417 0.59495 0.61359 0.28029 0.133
-0.13065 0.07426 0.59567 0.61434 0.28218 0.020
-0.13081 0.07435 0.59640 0.61508 0.28407 -0.108
-0.13097 0.07444 0.59712 0.61583 0.28595 -0.049
-0.13113 0.07453 0.59785 0.61658 0.28784 -0.083
-0.13129 0.07462 0.59857 0.61733 0.28972 0.078
-0.13145 0.07471 0.59930 0.61808 0.29161 0.124
-0.13161 0.07480 0.60002 0.61883 0.29350 0.021
-0.13177 0.07489 0.60075 0.61957 0.29538 -0.070
-0.13192 0.07498 0.60148 0.62032 0.29727 -0.035
-0.13208 0.07507 0.60220 0.62107 0.29916 0.104
-0.13224 0.07516 0.60293 0.62182 0.30105 -0.287
-0.13240 0.07525 0.60365 0.62257 0.30293 -0.092
-0.13256 0.07535 0.60438 0.62332 0.30482 -0.070
-0.13272 0.07544 0.60510 0.62406 0.30671 0.002
-0.13288 0.07553 0.60583 0.62481 0.30859 0.089
-0.13304 0.07562 0.60656 0.62556 0.31048 0.207
-0.13320 0.07571 0.60728 0.62631 0.31237 -0.178
-0.13336 0.07580 0.60801 0.62706 0.31426 0.100
-0.13352 0.07589 0.60873 0.62781 0.31614 -0.139
-0.13368 0.07598 0.60946 0.62855 0.31803 -0.012
-0.13383 0.07607 0.61018 0.62930 0.31992 0.011
-0.13399 0.07616 0.61091 0.63005 0.32181 -0.225
-0.13415 0.07625 0.61164 0.63080 0.32369 0.022
-0.13431 0.07634 0.61236 0.63155 0.32558 -0.054
-0.13447 0.07643 0.61309 0.63230 0.32747 -0.175
-0.13463 0.07652 0.61381 0.63305 0.32936 0.076
-0.13479 0.07661 0.61454 0.63380 0.33125 0.089
-0.13495 0.07670 0.61527 0.63454 0.33313 -0.037
-0.13511 0.07679 0.61599 0.63529 0.33502 -0.000
-0.13527 0.07688 0.61672 0.63604 0.33691 0.049
-0.13543 0.07697 0.61744 0.63679 0.33880 -0.295
-0.13559 0.07706 0.61817 0.63754 0.34069 -0.020
-0.13575 0.07716 0.61890 0.63829 0.34257 0.014
-0.13590 0.07725 0.61962 0.63904 0.34446 0.185
-0.13606 0.07734 0.62035 0.63979 0.34635 -0.161
-0.13622 0.07743 0.62108 0.64054 0.34824 0.151
-0.13638 0.07752 0.62180 0.64128 0.35013 -0.134
-0.13654 0.07761 0.62253 0.64203 0.35202 -0.198
-0.13670 0.07770 0.62325 0.64278 0.35391 0.137
-0.13686 0.07779 0.62398 0.64353 0.35580 -0.092
