x y z dist_scaled dist_frac absorption
0.30840 -0.15054 0.36696 0.50243 0.00000 -0.083
0.30886 -0.15077 0.36750 0.50317 0.00188 -0.156
0.30931 -0.15099 0.36804 0.50391 0.00375 -0.192
0.30977 -0.15121 0.36859 0.50466 0.00563 -0.044
0.31023 -0.15143 0.36913 0.50540 0.00750 -0.118
0.31068 -0.15166 0.36967 0.50615 0.00938 -0.265
0.31114 -0.15188 0.37022 0.50689 0.01126 0.066
0.31160 -0.15210 0.37076 0.50763 0.01313 0.176
0.31206 -0.15233 0.37131 0.50838 0.01501 -0.044
0.31251 -0.15255 0.37185 0.50912 0.01689 0.140
0.31297 -0.15277 0.37239 0.50987 0.01876 -0.040
0.31343 -0.15300 0.37294 0.51061 0.02064 0.030
0.31388 -0.15322 0.37348 0.51136 0.02252 -0.115
0.31434 -0.15344 0.37402 0.51210 0.02440 -0.334
0.31480 -0.15366 0.37457 0.51285 0.02627 -0.259
0.31525 -0.15389 0.37511 0.51359 0.02815 0.105
0.31571 -0.15411 0.37565 0.51433 0.03003 -0.076
0.31617 -0.15433 0.37620 0.51508 0.03190 -0.112
0.31662 -0.15456 0.37674 0.51582 0.03378 0.181
0.31708 -0.15478 0.37729 0.51657 0.03566 -0.112
0.31754 -0.15500 0.37783 0.51731 0.03754 0.253
0.31800 -0.15523 0.37837 0.51806 0.03941 0.072
0.31845 -0.15545 0.37892 0.51880 0.04129 0.181
0.31891 -0.15567 0.37946 0.51955 0.04317 -0.073
0.31937 -0.15590 0.38001 0.52029 0.04505 0.038
0.31982 -0.15612 0.38055 0.52104 0.04692 -0.145
0.32028 -0.15634 0.38109 0.52178 0.04880 -0.109
0.32074 -0.15656 0.38164 0.52253 0.05068 -0.108
0.32120 -0.15679 0.38218 0.52327 0.05256 -0.035
0.32165 -0.15701 0.38273 0.52401 0.05444 0.219
0.32211 -0.15723 0.38327 0.52476 0.05631 0.038
0.32257 -0.15746 0.38381 0.52550 0.05819 0.001
0.32302 -0.15768 0.38436 0.52625 0.06007 0.218
0.32348 -0.15790 0.38490 0.52699 0.06195 0.040
0.32394 -0.15813 0.38545 0.52774 0.06383 0.221
0.32440 -0.15835 0.38599 0.52848 0.06571 -0.213
0.32485 -0.15857 0.38653 0.52923 0.06758 0.040
0.32531 -0.15880 0.38708 0.52997 0.06946 -0.356
0.32577 -0.15902 0.38762 0.53072 0.07134 0.077
0.32623 -0.15924 0.38817 0.53146 0.07322 -0.139
0.32668 -0.15947 0.38871 0.53221 0.07510 -0.066
0.32714 -0.15969 0.38925 0.53295 0.07698 0.077
0.32760 -0.15991 0.38980 0.53370 0.07886 0.077
0.32806 -0.16014 0.39034 0.53445 0.08074 0.078
0.32851 -0.16036 0.39089 0.53519 0.08261 -0.284
0.32897 -0.16058 0.39143 0.53594 0.08449 -0.104
0.32943 -0.16081 0.39198 0.53668 0.08637 0.365
0.32988 -0.16103 0.39252 0.53743 0.08825 0.077
0.33034 -0.16125 0.39306 0.53817 0.09013 0.006
0.33080 -0.16148 0.39361 0.53892 0.09201 -0.501
0.33126 -0.16170 0.39415 0.53966 0.09389 -0.065
0.33172 -0.16192 0.39470 0.54041 0.09577 -0.029
0.33217 -0.16215 0.39524 0.54115 0.09765 -0.026
0.33263 -0.16237 0.39579 0.54190 0.09953 -0.064
0.33309 -0.16259 0.39633 0.54264 0.10141 0.191
0.33355 -0.16282 0.39688 0.54339 0.10329 -0.135
0.33400 -0.16304 0.39742 0.54414 0.10517 -0.060
0.33446 -0.16326 0.39797 0.54488 0.10705 -0.134
0.33492 -0.16349 0.39851 0.54563 0.10893 -0.026
0.33538 -0.16371 0.39905 0.54637 0.11081 0.446
0.33583 -0.16393 0.39960 0.54712 0.11269 -0.278
0.33629 -0.16416 0.40014 0.54786 0.11457 0.227
0.33675 -0.16438 0.40069 0.54861 0.11645 0.121
0.33721 -0.16460 0.40123 0.54935 0.11833 0.336
0.33766 -0.16483 0.40178 0.55010 0.12021 -0.024
0.33812 -0.16505 0.40232 0.55085 0.12209 0.338
0.33858 -0.16527 0.40287 0.55159 0.12397 0.155
0.33904 -0.16550 0.40341 0.55234 0.12585 -0.350
0.33950 -0.16572 0.40396 0.55308 0.12773 0.083
0.33995 -0.16594 0.40450 0.55383 0.12961 0.193
0.34041 -0.16617 0.40505 0.55458 0.13149 0.227
0.34087 -0.16639 0.40559 0.55532 0.13337 0.049
0.34133 -0.16661 0.40614 0.55607 0.13526 -0.167
0.34179 -0.16684 0.40668 0.55681 0.13714 0.300
0.34224 -0.16706 0.40723 0.55756 0.13902 0.156
0.34270 -0.16729 0.40777 0.55831 0.14090 -0.097
0.34316 -0.16751 0.40832 0.55905 0.14278 -0.094
0.34362 -0.16773 0.40886 0.55980 0.14466 0.052
0.34408 -0.16796 0.40941 0.56054 0.14654 0.231
0.34453 -0.16818 0.40995 0.56129 0.14842 0.231
0.34499 -0.16840 0.41050 0.56204 0.15031 0.122
0.34545 -0.16863 0.41104 0.56278 0.15219 -0.163
0.34591 -0.16885 0.41159 0.56353 0.15407 0.017
0.34637 -0.16907 0.41213 0.56428 0.15595 0.266
0.34682 -0.16930 0.41268 0.56502 0.15783 0.195
0.34728 -0.16952 0.41322 0.56577 0.15971 0.412
0.34774 -0.16975 0.41377 0.56651 0.16160 -0.053
