x y z dist_scaled dist_frac flux_norm wavelength redshift
0.28240 -0.09131 0.40508 0.50218 0.00000 1.004 1236.099 0.01680
0.28282 -0.09144 0.40568 0.50292 0.00188 1.059 1236.129 0.01683
0.28324 -0.09158 0.40628 0.50367 0.00375 1.227 1236.159 0.01685
0.28366 -0.09171 0.40688 0.50441 0.00563 0.839 1236.189 0.01688
0.28408 -0.09185 0.40748 0.50515 0.00750 0.871 1236.219 0.01690
0.28450 -0.09198 0.40809 0.50590 0.00938 0.961 1236.249 0.01693
0.28492 -0.09212 0.40869 0.50664 0.01126 0.784 1236.279 0.01695
0.28533 -0.09225 0.40929 0.50739 0.01313 1.007 1236.308 0.01698
0.28575 -0.09239 0.40989 0.50813 0.01501 1.186 1236.338 0.01700
0.28617 -0.09253 0.41049 0.50888 0.01689 0.761 1236.368 0.01703
0.28659 -0.09266 0.41109 0.50962 0.01876 1.221 1236.398 0.01705
0.28701 -0.09280 0.41169 0.51036 0.02064 1.008 1236.428 0.01708
0.28743 -0.09293 0.41229 0.51111 0.02252 1.232 1236.458 0.01710
0.28785 -0.09307 0.41289 0.51185 0.02440 0.952 1236.488 0.01712
0.28826 -0.09320 0.41349 0.51260 0.02627 1.122 1236.518 0.01715
0.28868 -0.09334 0.41409 0.51334 0.02815 0.877 1236.548 0.01717
0.28910 -0.09347 0.41469 0.51409 0.03003 0.910 1236.577 0.01720
0.28952 -0.09361 0.41529 0.51483 0.03190 1.033 1236.607 0.01722
0.28994 -0.09374 0.41589 0.51558 0.03378 0.990 1236.637 0.01725
0.29036 -0.09388 0.41649 0.51632 0.03566 1.124 1236.667 0.01727
0.29078 -0.09401 0.41709 0.51706 0.03754 1.058 1236.697 0.01730
0.29119 -0.09415 0.41769 0.51781 0.03941 0.970 1236.727 0.01732
0.29161 -0.09428 0.41829 0.51855 0.04129 0.868 1236.757 0.01735
0.29203 -0.09442 0.41889 0.51930 0.04317 0.924 1236.787 0.01737
0.29245 -0.09456 0.41949 0.52004 0.04505 1.150 1236.817 0.01740
0.29287 -0.09469 0.42010 0.52079 0.04692 0.949 1236.847 0.01742
0.29329 -0.09483 0.42070 0.52153 0.04880 0.914 1236.876 0.01744
0.29371 -0.09496 0.42130 0.52228 0.05068 0.849 1236.906 0.01747
0.29413 -0.09510 0.42190 0.52302 0.05256 1.129 1236.936 0.01749
0.29455 -0.09523 0.42250 0.52377 0.05444 0.849 1236.966 0.01752
0.29496 -0.09537 0.42310 0.52451 0.05631 0.884 1236.996 0.01754
0.29538 -0.09550 0.42370 0.52526 0.05819 0.860 1237.026 0.01757
0.29580 -0.09564 0.42430 0.52600 0.06007 0.907 1237.056 0.01759
0.29622 -0.09577 0.42490 0.52675 0.06195 1.021 1237.086 0.01762
0.29664 -0.09591 0.42550 0.52749 0.06383 0.840 1237.116 0.01764
0.29706 -0.09605 0.42610 0.52824 0.06571 1.054 1237.145 0.01767
0.29748 -0.09618 0.42670 0.52898 0.06758 1.043 1237.175 0.01769
0.29790 -0.09632 0.42731 0.52973 0.06946 1.044 1237.205 0.01771
0.29832 -0.09645 0.42791 0.53047 0.07134 0.852 1237.235 0.01774
0.29873 -0.09659 0.42851 0.53122 0.07322 1.033 1237.265 0.01776
0.29915 -0.09672 0.42911 0.53196 0.07510 1.045 1237.295 0.01779
0.29957 -0.09686 0.42971 0.53271 0.07698 0.911 1237.325 0.01781
0.29999 -0.09699 0.43031 0.53345 0.07886 1.002 1237.355 0.01784
0.30041 -0.09713 0.43091 0.53420 0.08074 0.934 1237.385 0.01786
0.30083 -0.09726 0.43151 0.53494 0.08261 0.902 1237.414 0.01789
0.30125 -0.09740 0.43211 0.53569 0.08449 0.923 1237.444 0.01791
0.30167 -0.09754 0.43272 0.53643 0.08637 1.061 1237.474 0.01794
0.30209 -0.09767 0.43332 0.53718 0.08825 1.051 1237.504 0.01796
0.30251 -0.09781 0.43392 0.53792 0.09013 0.927 1237.534 0.01799
0.30293 -0.09794 0.43452 0.53867 0.09201 1.029 1237.564 0.01801
0.30334 -0.09808 0.43512 0.53941 0.09389 0.995 1237.594 0.01803
0.30376 -0.09821 0.43572 0.54016 0.09577 0.927 1237.624 0.01806
0.30418 -0.09835 0.43632 0.54090 0.09765 0.927 1237.654 0.01808
0.30460 -0.09848 0.43692 0.54165 0.09953 1.041 1237.684 0.01811
0.30502 -0.09862 0.43753 0.54240 0.10141 1.019 1237.713 0.01813
0.30544 -0.09876 0.43813 0.54314 0.10329 1.101 1237.743 0.01816
0.30586 -0.09889 0.43873 0.54389 0.10517 0.996 1237.773 0.01818
0.30628 -0.09903 0.43933 0.54463 0.10705 0.873 1237.803 0.01821
0.30670 -0.09916 0.43993 0.54538 0.10893 0.735 1237.833 0.01823
0.30712 -0.09930 0.44053 0.54612 0.11081 0.977 1237.863 0.01826
0.30754 -0.09943 0.44113 0.54687 0.11269 1.056 1237.893 0.01828
0.30796 -0.09957 0.44174 0.54761 0.11457 0.873 1237.923 0.01830
0.30838 -0.09970 0.44234 0.54836 0.11645 0.966 1237.953 0.01833
0.30880 -0.09984 0.44294 0.54911 0.11833 0.874 1237.982 0.01835
0.30921 -0.09998 0.44354 0.54985 0.12021 1.047 1238.012 0.01838
0.30963 -0.10011 0.44414 0.55060 0.12209 0.989 1238.042 0.01840
0.31005 -0.10025 0.44474 0.55134 0.12397 1.047 1238.072 0.01843
0.31047 -0.10038 0.44535 0.55209 0.12585 0.854 1238.102 0.01845
0.31089 -0.10052 0.44595 0.55284 0.12773 0.957 1238.132 0.01848
0.31131 -0.10065 0.44655 0.55358 0.12961 0.786 1238.162 0.01850
0.31173 -0.10079 0.44715 0.55433 0.13149 0.936 1238.192 0.01853
0.31215 -0.10092 0.44775 0.55507 0.13337 0.970 1238.222 0.01855
0.31257 -0.10106 0.44835 0.55582 0.13526 0.925 1238.251 0.01858
0.31299 -0.10120 0.44896 0.55656 0.13714 0.914 1238.281 0.01860
0.31341 -0.10133 0.44956 0.55731 0.13902 0.799 1238.311 0.01862
0.31383 -0.10147 0.45016 0.55806 0.14090 0.983 1238.341 0.01865
0.31425 -0.10160 0.45076 0.55880 0.14278 0.834 1238.371 0.01867
0.31467 -0.10174 0.45136 0.55955 0.14466 0.904 1238.401 0.01870
0.31509 -0.10187 0.45196 0.56030 0.14654 0.905 1238.431 0.01872
0.31551 -0.10201 0.45257 0.56104 0.14842 1.066 1238.461 0.01875
0.31593 -0.10215 0.45317 0.56179 0.15031 0.813 1238.491 0.01877
0.31635 -0.10228 0.45377 0.56253 0.15219 1.032 1238.521 0.01880
0.31677 -0.10242 0.45437 0.56328 0.15407 0.963 1238.550 0.01882
0.31719 -0.10255 0.45497 0.56403 0.15595 1.043 1238.580 0.01885
0.31761 -0.10269 0.45558 0.56477 0.15783 0.836 1238.610 0.01887
0.31803 -0.10282 0.45618 0.56552 0.15971 0.813 1238.640 0.01889
0.31844 -0.10296 0.45678 0.56627 0.16160 0.733 1238.670 0.01892
0.31886 -0.10310 0.45738 0.56701 0.16348 1.139 1238.700 0.01894
0.31928 -0.10323 0.45798 0.56776 0.16536 0.781 1238.730 0.01897
0.31970 -0.10337 0.45859 0.56850 0.16724 0.908 1238.760 0.01899
0.32012 -0.10350 0.45919 0.56925 0.16912 0.827 1238.790 0.01902
0.32054 -0.10364 0.45979 0.57000 0.17101 0.932 1238.819 0.01904
0.32096 -0.10377 0.46039 0.57074 0.17289 0.875 1238.849 0.01907
0.32138 -0.10391 0.46100 0.57149 0.17477 0.783 1238.879 0.01909
0.32180 -0.10405 0.46160 0.57224 0.17665 0.795 1238.909 0.01912
0.32222 -0.10418 0.46220 0.57298 0.17854 0.795 1238.939 0.01914
0.32264 -0.10432 0.46280 0.57373 0.18042 0.702 1238.969 0.01917
0.32306 -0.10445 0.46340 0.57448 0.18230 0.934 1238.999 0.01919
0.32348 -0.10459 0.46401 0.57522 0.18418 1.063 1239.029 0.01921
0.32390 -0.10472 0.46461 0.57597 0.18607 0.830 1239.059 0.01924
0.32432 -0.10486 0.46521 0.57672 0.18795 0.854 1239.088 0.01926
0.32474 -0.10500 0.46581 0.57746 0.18983 1.062 1239.118 0.01929
0.32516 -0.10513 0.46642 0.57821 0.19172 1.059 1239.148 0.01931
0.32558 -0.10527 0.46702 0.57896 0.19360 1.101 1239.178 0.01934
0.32600 -0.10540 0.46762 0.57970 0.19548 0.984 1239.208 0.01936
0.32642 -0.10554 0.46822 0.58045 0.19737 0.914 1239.238 0.01939
0.32684 -0.10567 0.46883 0.58120 0.19925 1.132 1239.268 0.01941
0.32726 -0.10581 0.46943 0.58194 0.20113 0.983 1239.298 0.01944
0.32768 -0.10595 0.47003 0.58269 0.20302 0.995 1239.328 0.01946
0.32810 -0.10608 0.47063 0.58344 0.20490 1.007 1239.357 0.01949
0.32852 -0.10622 0.47124 0.58419 0.20678 0.997 1239.387 0.01951
0.32894 -0.10635 0.47184 0.58493 0.20867 1.135 1239.417 0.01953
0.32936 -0.10649 0.47244 0.58568 0.21055 0.791 1239.447 0.01956
