x y z dist_scaled dist_frac absorption
0.15856 0.20613 0.42988 0.50243 0.00000 0.169
0.15880 0.20643 0.43052 0.50317 0.00188 -0.190
0.15903 0.20674 0.43116 0.50391 0.00375 0.149
0.15927 0.20705 0.43179 0.50466 0.00563 -0.011
0.15950 0.20735 0.43243 0.50540 0.00750 0.029
0.15974 0.20766 0.43307 0.50615 0.00938 0.009
0.15997 0.20796 0.43370 0.50689 0.01126 0.249
0.16020 0.20827 0.43434 0.50763 0.01313 -0.071
0.16044 0.20857 0.43498 0.50838 0.01501 -0.132
0.16067 0.20888 0.43562 0.50912 0.01689 0.208
0.16091 0.20918 0.43625 0.50987 0.01876 0.028
0.16114 0.20949 0.43689 0.51061 0.02064 -0.052
0.16138 0.20979 0.43753 0.51136 0.02252 0.028
0.16161 0.21010 0.43816 0.51210 0.02440 0.108
0.16185 0.21040 0.43880 0.51285 0.02627 -0.092
0.16208 0.21071 0.43944 0.51359 0.02815 -0.032
0.16232 0.21102 0.44007 0.51433 0.03003 -0.172
0.16255 0.21132 0.44071 0.51508 0.03190 0.068
0.16279 0.21163 0.44135 0.51582 0.03378 -0.192
0.16302 0.21193 0.44198 0.51657 0.03566 -0.273
0.16326 0.21224 0.44262 0.51731 0.03754 -0.073
0.16349 0.21254 0.44326 0.51806 0.03941 -0.032
0.16373 0.21285 0.44390 0.51880 0.04129 0.028
0.16396 0.21315 0.44453 0.51955 0.04317 0.027
0.16420 0.21346 0.44517 0.52029 0.04505 -0.073
0.16443 0.21376 0.44581 0.52104 0.04692 -0.013
0.16467 0.21407 0.44644 0.52178 0.04880 0.067
0.16490 0.21438 0.44708 0.52253 0.05068 -0.213
0.16514 0.21468 0.44772 0.52327 0.05256 -0.152
0.16537 0.21499 0.44836 0.52401 0.05444 0.168
0.16561 0.21529 0.44899 0.52476 0.05631 0.009
0.16584 0.21560 0.44963 0.52550 0.05819 -0.152
0.16608 0.21590 0.45027 0.52625 0.06007 -0.032
0.16631 0.21621 0.45091 0.52699 0.06195 -0.092
0.16655 0.21651 0.45154 0.52774 0.06383 0.108
0.16678 0.21682 0.45218 0.52848 0.06571 -0.092
0.16702 0.21713 0.45282 0.52923 0.06758 0.069
0.16726 0.21743 0.45346 0.52997 0.06946 0.189
0.16749 0.21774 0.45409 0.53072 0.07134 0.109
0.16773 0.21804 0.45473 0.53146 0.07322 0.049
0.16796 0.21835 0.45537 0.53221 0.07510 -0.152
0.16820 0.21865 0.45601 0.53295 0.07698 0.168
0.16843 0.21896 0.45664 0.53370 0.07886 0.209
0.16867 0.21927 0.45728 0.53445 0.08074 -0.091
0.16890 0.21957 0.45792 0.53519 0.08261 0.049
0.16914 0.21988 0.45856 0.53594 0.08449 -0.071
0.16937 0.22018 0.45919 0.53668 0.08637 -0.010
