x y z dist_scaled dist_frac flux_norm
0.19533 -0.01354 0.46287 0.50258 0.00000 1.027
0.19562 -0.01356 0.46356 0.50333 0.00188 1.054
0.19591 -0.01358 0.46424 0.50407 0.00375 1.053
0.19620 -0.01360 0.46493 0.50481 0.00563 1.013
0.19649 -0.01362 0.46561 0.50556 0.00751 1.050
0.19678 -0.01364 0.46630 0.50630 0.00938 1.071
0.19707 -0.01366 0.46698 0.50705 0.01126 1.037
0.19736 -0.01368 0.46767 0.50779 0.01313 1.006
0.19765 -0.01370 0.46835 0.50853 0.01501 1.063
0.19794 -0.01372 0.46904 0.50928 0.01689 0.989
0.19822 -0.01374 0.46972 0.51002 0.01876 1.067
0.19851 -0.01376 0.47041 0.51077 0.02064 1.074
0.19880 -0.01378 0.47109 0.51151 0.02252 0.991
0.19909 -0.01380 0.47178 0.51225 0.02440 0.947
0.19938 -0.01382 0.47246 0.51300 0.02627 1.154
0.19967 -0.01384 0.47315 0.51374 0.02815 1.063
0.19996 -0.01386 0.47383 0.51449 0.03003 0.971
0.20025 -0.01388 0.47452 0.51523 0.03190 0.998
0.20054 -0.01390 0.47521 0.51597 0.03378 0.919
0.20083 -0.01392 0.47589 0.51672 0.03566 1.098
0.20112 -0.01394 0.47658 0.51746 0.03754 0.851
0.20141 -0.01396 0.47726 0.51821 0.03941 0.983
0.20170 -0.01398 0.47795 0.51895 0.04129 1.027
0.20198 -0.01400 0.47863 0.51970 0.04317 0.949
0.20227 -0.01402 0.47932 0.52044 0.04505 0.952
0.20256 -0.01404 0.48000 0.52118 0.04692 1.017
0.20285 -0.01406 0.48069 0.52193 0.04880 0.969
0.20314 -0.01408 0.48138 0.52267 0.05068 0.942
0.20343 -0.01410 0.48206 0.52342 0.05256 0.972
0.20372 -0.01412 0.48275 0.52416 0.05444 0.975
0.20401 -0.01414 0.48343 0.52491 0.05631 1.121
0.20430 -0.01416 0.48412 0.52565 0.05819 0.965
0.20459 -0.01418 0.48480 0.52640 0.06007 0.995
0.20488 -0.01420 0.48549 0.52714 0.06195 0.958
0.20517 -0.01422 0.48618 0.52788 0.06383 0.930
0.20546 -0.01424 0.48686 0.52863 0.06571 0.937
0.20575 -0.01426 0.48755 0.52937 0.06758 1.052
0.20604 -0.01428 0.48823 0.53012 0.06946 0.985
0.20633 -0.01430 0.48892 0.53086 0.07134 0.869
0.20661 -0.01432 0.48960 0.53161 0.07322 1.055
0.20690 -0.01434 0.49029 0.53235 0.07510 0.998
0.20719 -0.01436 0.49098 0.53310 0.07698 0.896
0.20748 -0.01438 0.49166 0.53384 0.07886 1.021
0.20777 -0.01440 0.49235 0.53459 0.08074 0.936
0.20806 -0.01442 0.49303 0.53533 0.08261 1.018
0.20835 -0.01444 0.49372 0.53608 0.08449 1.044
0.20864 -0.01446 0.49441 0.53682 0.08637 1.023
0.20893 -0.01448 0.49509 0.53757 0.08825 0.922
0.20922 -0.01450 0.49578 0.53831 0.09013 0.975
0.20951 -0.01452 0.49647 0.53906 0.09201 0.982
0.20980 -0.01454 0.49715 0.53980 0.09389 0.968
0.21009 -0.01456 0.49784 0.54055 0.09577 1.056
0.21038 -0.01458 0.49852 0.54129 0.09765 1.008
0.21067 -0.01460 0.49921 0.54204 0.09953 0.971
0.21096 -0.01462 0.49990 0.54278 0.10141 1.062
0.21125 -0.01464 0.50058 0.54353 0.10329 0.994
0.21154 -0.01466 0.50127 0.54427 0.10517 0.981
0.21183 -0.01468 0.50196 0.54502 0.10705 0.954
0.21212 -0.01470 0.50264 0.54576 0.10893 0.997
0.21241 -0.01472 0.50333 0.54651 0.11081 0.971
0.21270 -0.01474 0.50401 0.54725 0.11269 1.023
0.21299 -0.01476 0.50470 0.54800 0.11457 0.948
0.21327 -0.01478 0.50539 0.54874 0.11645 0.952
0.21356 -0.01480 0.50607 0.54949 0.11833 0.937
0.21385 -0.01482 0.50676 0.55024 0.12021 0.902
0.21414 -0.01484 0.50745 0.55098 0.12209 0.942
0.21443 -0.01486 0.50813 0.55173 0.12397 1.082
0.21472 -0.01488 0.50882 0.55247 0.12585 0.998
0.21501 -0.01490 0.50951 0.55322 0.12773 0.997
0.21530 -0.01492 0.51019 0.55396 0.12961 0.933
0.21559 -0.01494 0.51088 0.55471 0.13149 0.858
0.21588 -0.01496 0.51157 0.55545 0.13338 1.036
0.21617 -0.01498 0.51225 0.55620 0.13526 0.979
0.21646 -0.01500 0.51294 0.55695 0.13714 1.007
0.21675 -0.01502 0.51363 0.55769 0.13902 1.080
0.21704 -0.01504 0.51431 0.55844 0.14090 0.977
0.21733 -0.01506 0.51500 0.55918 0.14278 0.869
0.21762 -0.01508 0.51569 0.55993 0.14466 0.946
0.21791 -0.01510 0.51637 0.56067 0.14654 0.890
0.21820 -0.01512 0.51706 0.56142 0.14843 0.819
0.21849 -0.01514 0.51775 0.56217 0.15031 0.771
0.21878 -0.01516 0.51844 0.56291 0.15219 0.889
0.21907 -0.01518 0.51912 0.56366 0.15407 0.790
0.21936 -0.01520 0.51981 0.56440 0.15595 0.846
0.21965 -0.01522 0.52050 0.56515 0.15783 0.826
0.21994 -0.01524 0.52118 0.56590 0.15972 0.853
0.22023 -0.01526 0.52187 0.56664 0.16160 0.771
0.22052 -0.01528 0.52256 0.56739 0.16348 0.804
0.22081 -0.01530 0.52324 0.56813 0.16536 0.825
0.22110 -0.01532 0.52393 0.56888 0.16724 0.825
0.22139 -0.01534 0.52462 0.56963 0.16913 0.850
0.22168 -0.01536 0.52531 0.57037 0.17101 0.860
0.22197 -0.01538 0.52599 0.57112 0.17289 0.882
0.22226 -0.01540 0.52668 0.57186 0.17477 0.771
0.22255 -0.01542 0.52737 0.57261 0.17665 0.887
0.22284 -0.01544 0.52806 0.57336 0.17854 0.826
0.22313 -0.01546 0.52874 0.57410 0.18042 0.984
0.22342 -0.01548 0.52943 0.57485 0.18230 0.907
0.22371 -0.01550 0.53012 0.57560 0.18419 0.958
0.22400 -0.01552 0.53080 0.57634 0.18607 1.004
0.22429 -0.01554 0.53149 0.57709 0.18795 0.852
0.22458 -0.01556 0.53218 0.57784 0.18983 0.845
0.22487 -0.01558 0.53287 0.57858 0.19172 1.066
0.22516 -0.01560 0.53355 0.57933 0.19360 0.926
0.22545 -0.01562 0.53424 0.58007 0.19548 0.957
0.22574 -0.01564 0.53493 0.58082 0.19737 0.903
0.22603 -0.01566 0.53562 0.58157 0.19925 0.801
0.22632 -0.01568 0.53630 0.58231 0.20113 0.800
0.22661 -0.01570 0.53699 0.58306 0.20302 0.728
0.22690 -0.01572 0.53768 0.58381 0.20490 0.701
0.22719 -0.01574 0.53837 0.58455 0.20678 0.679
0.22748 -0.01576 0.53906 0.58530 0.20867 0.670
0.22777 -0.01578 0.53974 0.58605 0.21055 0.619
0.22806 -0.01580 0.54043 0.58679 0.21243 0.629
0.22835 -0.01582 0.54112 0.58754 0.21432 0.666
0.22864 -0.01585 0.54181 0.58829 0.21620 0.820
0.22893 -0.01587 0.54249 0.58904 0.21809 0.900
0.22922 -0.01589 0.54318 0.58978 0.21997 0.840
0.22951 -0.01591 0.54387 0.59053 0.22185 0.968
0.22980 -0.01593 0.54456 0.59128 0.22374 1.041
0.23010 -0.01595 0.54525 0.59202 0.22562 0.861
0.23039 -0.01597 0.54593 0.59277 0.22751 0.850
0.23068 -0.01599 0.54662 0.59352 0.22939 0.941
0.23097 -0.01601 0.54731 0.59426 0.23128 0.867
0.23126 -0.01603 0.54800 0.59501 0.23316 0.931
0.23155 -0.01605 0.54869 0.59576 0.23504 0.806
0.23184 -0.01607 0.54937 0.59650 0.23693 0.807
0.23213 -0.01609 0.55006 0.59725 0.23881 0.797
0.23242 -0.01611 0.55075 0.59800 0.24070 0.817
0.23271 -0.01613 0.55144 0.59875 0.24258 0.891
0.23300 -0.01615 0.55213 0.59949 0.24447 0.802
0.23329 -0.01617 0.55281 0.60024 0.24635 0.835
0.23358 -0.01619 0.55350 0.60099 0.24824 0.978
0.23387 -0.01621 0.55419 0.60174 0.25012 0.929
0.23416 -0.01623 0.55488 0.60248 0.25201 0.911
0.23445 -0.01625 0.55557 0.60323 0.25389 0.897
0.23474 -0.01627 0.55626 0.60398 0.25578 0.886
0.23503 -0.01629 0.55694 0.60472 0.25766 1.013
0.23532 -0.01631 0.55763 0.60547 0.25955 0.942
0.23561 -0.01633 0.55832 0.60622 0.26144 1.008
0.23590 -0.01635 0.55901 0.60697 0.26332 0.996
0.23619 -0.01637 0.55970 0.60771 0.26521 0.922
0.23648 -0.01639 0.56039 0.60846 0.26709 0.939
0.23678 -0.01641 0.56107 0.60921 0.26898 0.960
0.23707 -0.01643 0.56176 0.60996 0.27086 1.024
0.23736 -0.01645 0.56245 0.61070 0.27275 1.117
0.23765 -0.01647 0.56314 0.61145 0.27464 1.083
0.23794 -0.01649 0.56383 0.61220 0.27652 0.995
0.23823 -0.01651 0.56452 0.61295 0.27841 0.972
0.23852 -0.01653 0.56521 0.61370 0.28029 0.942
0.23881 -0.01655 0.56589 0.61444 0.28218 0.942
0.23910 -0.01657 0.56658 0.61519 0.28407 1.025
0.23939 -0.01659 0.56727 0.61594 0.28595 1.093
0.23968 -0.01661 0.56796 0.61669 0.28784 0.928
0.23997 -0.01663 0.56865 0.61743 0.28973 1.039
0.24026 -0.01665 0.56934 0.61818 0.29161 1.022
0.24055 -0.01667 0.57003 0.61893 0.29350 1.036
0.24084 -0.01669 0.57072 0.61968 0.29539 1.073
0.24113 -0.01671 0.57140 0.62043 0.29727 0.907
0.24143 -0.01673 0.57209 0.62117 0.29916 0.974
0.24172 -0.01675 0.57278 0.62192 0.30105 1.064
0.24201 -0.01677 0.57347 0.62267 0.30293 0.981
0.24230 -0.01679 0.57416 0.62342 0.30482 0.974
0.24259 -0.01681 0.57485 0.62417 0.30671 1.032
0.24288 -0.01683 0.57554 0.62491 0.30859 0.963
0.24317 -0.01685 0.57623 0.62566 0.31048 0.996
0.24346 -0.01687 0.57692 0.62641 0.31237 1.132
0.24375 -0.01689 0.57761 0.62716 0.31426 0.934
0.24404 -0.01691 0.57829 0.62791 0.31614 1.128
0.24433 -0.01693 0.57898 0.62866 0.31803 1.003
0.24462 -0.01695 0.57967 0.62940 0.31992 0.957
0.24491 -0.01697 0.58036 0.63015 0.32181 0.943
0.24521 -0.01699 0.58105 0.63090 0.32369 0.985
0.24550 -0.01701 0.58174 0.63165 0.32558 1.035
0.24579 -0.01703 0.58243 0.63240 0.32747 0.920
0.24608 -0.01705 0.58312 0.63315 0.32936 1.043
0.24637 -0.01707 0.58381 0.63389 0.33125 1.056
0.24666 -0.01709 0.58450 0.63464 0.33313 0.925
0.24695 -0.01711 0.58519 0.63539 0.33502 1.038
0.24724 -0.01713 0.58588 0.63614 0.33691 1.004
0.24753 -0.01715 0.58657 0.63689 0.33880 1.116
0.24782 -0.01717 0.58725 0.63764 0.34069 1.065
0.24811 -0.01719 0.58794 0.63838 0.34258 1.078
0.24841 -0.01721 0.58863 0.63913 0.34446 0.920
0.24870 -0.01723 0.58932 0.63988 0.34635 1.139
0.24899 -0.01725 0.59001 0.64063 0.34824 0.900
0.24928 -0.01728 0.59070 0.64138 0.35013 0.873
0.24957 -0.01730 0.59139 0.64213 0.35202 1.052
0.24986 -0.01732 0.59208 0.64288 0.35391 1.075
0.25015 -0.01734 0.59277 0.64363 0.35580 0.917
0.25044 -0.01736 0.59346 0.64437 0.35769 0.997
0.25073 -0.01738 0.59415 0.64512 0.35957 0.913
0.25102 -0.01740 0.59484 0.64587 0.36146 0.990
0.25132 -0.01742 0.59553 0.64662 0.36335 1.088
0.25161 -0.01744 0.59622 0.64737 0.36524 0.974
0.25190 -0.01746 0.59691 0.64812 0.36713 1.024
0.25219 -0.01748 0.59760 0.64887 0.36902 1.062
0.25248 -0.01750 0.59829 0.64962 0.37091 1.082
0.25277 -0.01752 0.59898 0.65037 0.37280 1.004
0.25306 -0.01754 0.59967 0.65111 0.37469 1.082
0.25335 -0.01756 0.60036 0.65186 0.37658 1.028
0.25364 -0.01758 0.60105 0.65261 0.37847 0.914
0.25394 -0.01760 0.60174 0.65336 0.38036 0.981
0.25423 -0.01762 0.60243 0.65411 0.38225 1.130
0.25452 -0.01764 0.60312 0.65486 0.38414 1.127
0.25481 -0.01766 0.60381 0.65561 0.38603 1.043
0.25510 -0.01768 0.60450 0.65636 0.38792 1.019
0.25539 -0.01770 0.60519 0.65711 0.38981 0.928
0.25568 -0.01772 0.60588 0.65786 0.39170 1.070
