x y z dist_scaled dist_frac flux_norm
0.01953 -0.21464 0.45403 0.50258 0.00000 1.088
0.01956 -0.21495 0.45470 0.50333 0.00188 0.937
0.01958 -0.21527 0.45537 0.50407 0.00375 0.809
0.01961 -0.21559 0.45604 0.50481 0.00563 0.899
0.01964 -0.21591 0.45671 0.50556 0.00751 1.270
0.01967 -0.21623 0.45738 0.50630 0.00938 1.103
0.01970 -0.21654 0.45806 0.50705 0.01126 1.012
0.01973 -0.21686 0.45873 0.50779 0.01313 0.919
0.01976 -0.21718 0.45940 0.50853 0.01501 0.750
0.01979 -0.21750 0.46007 0.50928 0.01689 1.104
0.01982 -0.21781 0.46075 0.51002 0.01876 1.269
0.01984 -0.21813 0.46142 0.51077 0.02064 1.012
0.01987 -0.21845 0.46209 0.51151 0.02252 1.105
0.01990 -0.21877 0.46276 0.51225 0.02440 0.992
0.01993 -0.21908 0.46343 0.51300 0.02627 1.252
0.01996 -0.21940 0.46411 0.51374 0.02815 0.881
0.01999 -0.21972 0.46478 0.51449 0.03003 1.270
0.02002 -0.22004 0.46545 0.51523 0.03190 0.898
0.02005 -0.22036 0.46612 0.51597 0.03378 0.952
0.02008 -0.22067 0.46680 0.51672 0.03566 0.915
0.02010 -0.22099 0.46747 0.51746 0.03754 0.656
0.02013 -0.22131 0.46814 0.51821 0.03941 0.989
0.02016 -0.22163 0.46881 0.51895 0.04129 1.136
0.02019 -0.22195 0.46948 0.51970 0.04317 0.839
0.02022 -0.22226 0.47016 0.52044 0.04505 1.100
0.02025 -0.22258 0.47083 0.52118 0.04692 0.858
0.02028 -0.22290 0.47150 0.52193 0.04880 0.819
0.02031 -0.22322 0.47217 0.52267 0.05068 1.283
0.02034 -0.22353 0.47285 0.52342 0.05256 1.098
0.02037 -0.22385 0.47352 0.52416 0.05444 0.877
0.02039 -0.22417 0.47419 0.52491 0.05631 0.931
0.02042 -0.22449 0.47486 0.52565 0.05819 0.781
0.02045 -0.22481 0.47554 0.52640 0.06007 0.969
0.02048 -0.22512 0.47621 0.52714 0.06195 1.060
0.02051 -0.22544 0.47688 0.52788 0.06383 0.949
0.02054 -0.22576 0.47756 0.52863 0.06571 1.075
0.02057 -0.22608 0.47823 0.52937 0.06758 0.985
0.02060 -0.22640 0.47890 0.53012 0.06946 0.947
0.02063 -0.22671 0.47957 0.53086 0.07134 0.927
0.02065 -0.22703 0.48025 0.53161 0.07322 1.019
0.02068 -0.22735 0.48092 0.53235 0.07510 0.965
0.02071 -0.22767 0.48159 0.53310 0.07698 0.892
0.02074 -0.22799 0.48227 0.53384 0.07886 0.910
0.02077 -0.22831 0.48294 0.53459 0.08074 1.276
0.02080 -0.22862 0.48361 0.53533 0.08261 1.037
0.02083 -0.22894 0.48428 0.53608 0.08449 1.110
0.02086 -0.22926 0.48496 0.53682 0.08637 0.962
0.02089 -0.22958 0.48563 0.53757 0.08825 1.131
0.02092 -0.22990 0.48630 0.53831 0.09013 0.781
0.02094 -0.23021 0.48698 0.53906 0.09201 0.889
0.02097 -0.23053 0.48765 0.53980 0.09389 1.093
0.02100 -0.23085 0.48832 0.54055 0.09577 0.907
0.02103 -0.23117 0.48900 0.54129 0.09765 1.221
0.02106 -0.23149 0.48967 0.54204 0.09953 0.947
0.02109 -0.23181 0.49034 0.54278 0.10141 1.109
0.02112 -0.23212 0.49101 0.54353 0.10329 0.964
0.02115 -0.23244 0.49169 0.54427 0.10517 1.112
0.02118 -0.23276 0.49236 0.54502 0.10705 1.020
0.02120 -0.23308 0.49303 0.54576 0.10893 1.184
0.02123 -0.23340 0.49371 0.54651 0.11081 1.166
0.02126 -0.23371 0.49438 0.54725 0.11269 1.018
0.02129 -0.23403 0.49505 0.54800 0.11457 1.128
0.02132 -0.23435 0.49573 0.54874 0.11645 0.777
0.02135 -0.23467 0.49640 0.54949 0.11833 0.961
0.02138 -0.23499 0.49707 0.55024 0.12021 0.944
0.02141 -0.23531 0.49775 0.55098 0.12209 1.072
0.02144 -0.23562 0.49842 0.55173 0.12397 1.181
0.02147 -0.23594 0.49909 0.55247 0.12585 1.033
0.02149 -0.23626 0.49977 0.55322 0.12773 1.107
0.02152 -0.23658 0.50044 0.55396 0.12961 1.125
0.02155 -0.23690 0.50112 0.55471 0.13149 1.033
0.02158 -0.23722 0.50179 0.55545 0.13338 1.142
0.02161 -0.23754 0.50246 0.55620 0.13526 0.667
0.02164 -0.23785 0.50314 0.55695 0.13714 0.961
0.02167 -0.23817 0.50381 0.55769 0.13902 1.051
0.02170 -0.23849 0.50448 0.55844 0.14090 0.832
0.02173 -0.23881 0.50516 0.55918 0.14278 0.923
0.02175 -0.23913 0.50583 0.55993 0.14466 1.015
0.02178 -0.23945 0.50650 0.56067 0.14654 0.886
0.02181 -0.23976 0.50718 0.56142 0.14843 1.032
0.02184 -0.24008 0.50785 0.56217 0.15031 0.903
0.02187 -0.24040 0.50853 0.56291 0.15219 0.812
0.02190 -0.24072 0.50920 0.56366 0.15407 0.813
0.02193 -0.24104 0.50987 0.56440 0.15595 0.922
0.02196 -0.24136 0.51055 0.56515 0.15783 0.774
0.02199 -0.24168 0.51122 0.56590 0.15972 0.957
0.02202 -0.24199 0.51190 0.56664 0.16160 1.012
0.02204 -0.24231 0.51257 0.56739 0.16348 0.738
0.02207 -0.24263 0.51324 0.56813 0.16536 0.937
0.02210 -0.24295 0.51392 0.56888 0.16724 0.735
0.02213 -0.24327 0.51459 0.56963 0.16913 0.954
0.02216 -0.24359 0.51527 0.57037 0.17101 0.700
0.02219 -0.24391 0.51594 0.57112 0.17289 1.044
0.02222 -0.24423 0.51661 0.57186 0.17477 0.954
0.02225 -0.24454 0.51729 0.57261 0.17665 0.864
0.02228 -0.24486 0.51796 0.57336 0.17854 0.845
0.02231 -0.24518 0.51864 0.57410 0.18042 0.825
0.02233 -0.24550 0.51931 0.57485 0.18230 1.028
0.02236 -0.24582 0.51998 0.57560 0.18419 0.809
0.02239 -0.24614 0.52066 0.57634 0.18607 0.956
0.02242 -0.24646 0.52133 0.57709 0.18795 0.841
0.02245 -0.24677 0.52201 0.57784 0.18983 1.032
0.02248 -0.24709 0.52268 0.57858 0.19172 0.844
0.02251 -0.24741 0.52336 0.57933 0.19360 0.921
0.02254 -0.24773 0.52403 0.58007 0.19548 0.949
0.02257 -0.24805 0.52471 0.58082 0.19737 1.200
0.02260 -0.24837 0.52538 0.58157 0.19925 0.826
0.02262 -0.24869 0.52605 0.58231 0.20113 0.725
0.02265 -0.24901 0.52673 0.58306 0.20302 0.897
0.02268 -0.24933 0.52740 0.58381 0.20490 0.743
0.02271 -0.24964 0.52808 0.58455 0.20678 0.994
0.02274 -0.24996 0.52875 0.58530 0.20867 0.886
0.02277 -0.25028 0.52943 0.58605 0.21055 0.940
0.02280 -0.25060 0.53010 0.58679 0.21243 1.112
0.02283 -0.25092 0.53078 0.58754 0.21432 0.956
0.02286 -0.25124 0.53145 0.58829 0.21620 0.834
0.02289 -0.25156 0.53213 0.58904 0.21809 1.055
0.02291 -0.25188 0.53280 0.58978 0.21997 0.896
0.02294 -0.25220 0.53347 0.59053 0.22185 1.183
0.02297 -0.25251 0.53415 0.59128 0.22374 1.129
0.02300 -0.25283 0.53482 0.59202 0.22562 1.111
0.02303 -0.25315 0.53550 0.59277 0.22751 0.875
0.02306 -0.25347 0.53617 0.59352 0.22939 0.929
0.02309 -0.25379 0.53685 0.59426 0.23128 1.021
0.02312 -0.25411 0.53752 0.59501 0.23316 1.055
0.02315 -0.25443 0.53820 0.59576 0.23504 1.073
0.02318 -0.25475 0.53887 0.59650 0.23693 0.838
0.02321 -0.25507 0.53955 0.59725 0.23881 0.640
0.02323 -0.25539 0.54022 0.59800 0.24070 0.819
0.02326 -0.25571 0.54090 0.59875 0.24258 1.055
0.02329 -0.25602 0.54157 0.59949 0.24447 0.855
0.02332 -0.25634 0.54225 0.60024 0.24635 1.018
0.02335 -0.25666 0.54292 0.60099 0.24824 1.181
0.02338 -0.25698 0.54360 0.60174 0.25012 1.071
0.02341 -0.25730 0.54427 0.60248 0.25201 0.745
0.02344 -0.25762 0.54495 0.60323 0.25389 1.070
0.02347 -0.25794 0.54562 0.60398 0.25578 1.214
0.02350 -0.25826 0.54630 0.60472 0.25766 1.088
0.02352 -0.25858 0.54697 0.60547 0.25955 0.890
0.02355 -0.25890 0.54765 0.60622 0.26144 0.999
0.02358 -0.25922 0.54832 0.60697 0.26332 0.889
0.02361 -0.25954 0.54900 0.60771 0.26521 1.050
0.02364 -0.25985 0.54968 0.60846 0.26709 0.781
0.02367 -0.26017 0.55035 0.60921 0.26898 0.780
0.02370 -0.26049 0.55103 0.60996 0.27086 0.907
0.02373 -0.26081 0.55170 0.61070 0.27275 0.853
0.02376 -0.26113 0.55238 0.61145 0.27464 1.049
0.02379 -0.26145 0.55305 0.61220 0.27652 0.851
0.02381 -0.26177 0.55373 0.61295 0.27841 0.816
0.02384 -0.26209 0.55440 0.61370 0.28029 0.926
0.02387 -0.26241 0.55508 0.61444 0.28218 0.779
0.02390 -0.26273 0.55575 0.61519 0.28407 0.995
0.02393 -0.26305 0.55643 0.61594 0.28595 0.545
0.02396 -0.26337 0.55710 0.61669 0.28784 0.436
0.02399 -0.26369 0.55778 0.61743 0.28973 0.310
0.02402 -0.26401 0.55846 0.61818 0.29161 0.132
0.02405 -0.26433 0.55913 0.61893 0.29350 0.079
0.02408 -0.26464 0.55981 0.61968 0.29539 0.062
0.02411 -0.26496 0.56048 0.62043 0.29727 0.025
0.02413 -0.26528 0.56116 0.62117 0.29916 0.097
0.02416 -0.26560 0.56183 0.62192 0.30105 0.168
0.02419 -0.26592 0.56251 0.62267 0.30293 0.132
0.02422 -0.26624 0.56319 0.62342 0.30482 0.114
0.02425 -0.26656 0.56386 0.62417 0.30671 0.275
0.02428 -0.26688 0.56454 0.62491 0.30859 0.455
0.02431 -0.26720 0.56521 0.62566 0.31048 0.636
0.02434 -0.26752 0.56589 0.62641 0.31237 0.796
0.02437 -0.26784 0.56657 0.62716 0.31426 0.740
0.02440 -0.26816 0.56724 0.62791 0.31614 0.813
0.02443 -0.26848 0.56792 0.62866 0.31803 0.758
0.02445 -0.26880 0.56859 0.62940 0.31992 0.739
0.02448 -0.26912 0.56927 0.63015 0.32181 0.990
0.02451 -0.26944 0.56995 0.63090 0.32369 0.811
0.02454 -0.26976 0.57062 0.63165 0.32558 1.025
0.02457 -0.27008 0.57130 0.63240 0.32747 0.970
0.02460 -0.27040 0.57197 0.63315 0.32936 0.791
0.02463 -0.27072 0.57265 0.63389 0.33125 1.220
0.02466 -0.27104 0.57333 0.63464 0.33313 0.789
0.02469 -0.27135 0.57400 0.63539 0.33502 0.807
0.02472 -0.27167 0.57468 0.63614 0.33691 0.951
0.02475 -0.27199 0.57535 0.63689 0.33880 1.022
0.02477 -0.27231 0.57603 0.63764 0.34069 1.077
0.02480 -0.27263 0.57671 0.63838 0.34258 1.160
0.02483 -0.27295 0.57738 0.63913 0.34446 1.004
0.02486 -0.27327 0.57806 0.63988 0.34635 1.270
0.02489 -0.27359 0.57874 0.64063 0.34824 0.921
0.02492 -0.27391 0.57941 0.64138 0.35013 1.083
0.02495 -0.27423 0.58009 0.64213 0.35202 1.153
0.02498 -0.27455 0.58076 0.64288 0.35391 1.107
0.02501 -0.27487 0.58144 0.64363 0.35580 1.242
0.02504 -0.27519 0.58212 0.64437 0.35769 1.267
0.02506 -0.27551 0.58279 0.64512 0.35957 1.186
0.02509 -0.27583 0.58347 0.64587 0.36146 1.066
0.02512 -0.27615 0.58415 0.64662 0.36335 0.885
0.02515 -0.27647 0.58482 0.64737 0.36524 0.889
0.02518 -0.27679 0.58550 0.64812 0.36713 0.879
0.02521 -0.27711 0.58618 0.64887 0.36902 1.180
0.02524 -0.27743 0.58685 0.64962 0.37091 0.876
0.02527 -0.27775 0.58753 0.65037 0.37280 0.869
0.02530 -0.27807 0.58821 0.65111 0.37469 0.857
0.02533 -0.27839 0.58888 0.65186 0.37658 1.132
0.02536 -0.27871 0.58956 0.65261 0.37847 1.086
0.02539 -0.27903 0.59024 0.65336 0.38036 1.014
0.02541 -0.27935 0.59091 0.65411 0.38225 0.977
0.02544 -0.27967 0.59159 0.65486 0.38414 1.136
0.02547 -0.27999 0.59227 0.65561 0.38603 0.852
0.02550 -0.28031 0.59294 0.65636 0.38792 1.046
0.02553 -0.28063 0.59362 0.65711 0.38981 0.941
0.02556 -0.28095 0.59430 0.65786 0.39170 0.978
0.02559 -0.28127 0.59498 0.65861 0.39359 1.190
0.02562 -0.28159 0.59565 0.65936 0.39548 1.103
0.02565 -0.28191 0.59633 0.66011 0.39737 1.011
0.02568 -0.28223 0.59701 0.66085 0.39926 1.013
0.02571 -0.28255 0.59768 0.66160 0.40115 1.171
0.02573 -0.28287 0.59836 0.66235 0.40304 1.170
0.02576 -0.28319 0.59904 0.66310 0.40493 1.064
0.02579 -0.28351 0.59971 0.66385 0.40682 0.939
0.02582 -0.28383 0.60039 0.66460 0.40871 1.135
0.02585 -0.28415 0.60107 0.66535 0.41060 0.888
0.02588 -0.28447 0.60175 0.66610 0.41249 1.167
0.02591 -0.28479 0.60242 0.66685 0.41438 1.220
0.02594 -0.28511 0.60310 0.66760 0.41628 0.920
