x y z dist_scaled dist_frac absorption
-0.02983 -0.07835 0.49538 0.50243 0.00000 0.047
-0.02987 -0.07847 0.49612 0.50317 0.00188 -0.231
-0.02991 -0.07858 0.49685 0.50391 0.00375 -0.047
-0.02996 -0.07870 0.49758 0.50466 0.00563 0.138
-0.03000 -0.07881 0.49832 0.50540 0.00750 0.229
-0.03005 -0.07893 0.49905 0.50615 0.00938 0.182
-0.03009 -0.07905 0.49978 0.50689 0.01126 0.042
-0.03013 -0.07916 0.50052 0.50763 0.01313 0.134
-0.03018 -0.07928 0.50125 0.50838 0.01501 0.738
-0.03022 -0.07939 0.50199 0.50912 0.01689 0.272
-0.03027 -0.07951 0.50272 0.50987 0.01876 -0.241
-0.03031 -0.07963 0.50345 0.51061 0.02064 -0.010
-0.03036 -0.07974 0.50419 0.51136 0.02252 0.036
-0.03040 -0.07986 0.50492 0.51210 0.02440 0.128
-0.03044 -0.07997 0.50566 0.51285 0.02627 -0.340
-0.03049 -0.08009 0.50639 0.51359 0.02815 0.128
-0.03053 -0.08021 0.50712 0.51433 0.03003 0.314
-0.03058 -0.08032 0.50786 0.51508 0.03190 -0.204
-0.03062 -0.08044 0.50859 0.51582 0.03378 0.219
-0.03066 -0.08055 0.50933 0.51657 0.03566 0.124
-0.03071 -0.08067 0.51006 0.51731 0.03754 0.264
-0.03075 -0.08079 0.51079 0.51806 0.03941 0.074
-0.03080 -0.08090 0.51153 0.51880 0.04129 0.122
-0.03084 -0.08102 0.51226 0.51955 0.04317 -0.304
-0.03089 -0.08113 0.51300 0.52029 0.04505 -0.163
-0.03093 -0.08125 0.51373 0.52104 0.04692 -0.116
-0.03097 -0.08137 0.51447 0.52178 0.04880 0.499
-0.03102 -0.08148 0.51520 0.52253 0.05068 0.166
-0.03106 -0.08160 0.51593 0.52327 0.05256 0.403
-0.03111 -0.08172 0.51667 0.52401 0.05444 -0.405
-0.03115 -0.08183 0.51740 0.52476 0.05631 0.119
-0.03120 -0.08195 0.51814 0.52550 0.05819 -0.120
-0.03124 -0.08206 0.51887 0.52625 0.06007 0.023
-0.03128 -0.08218 0.51961 0.52699 0.06195 0.450
-0.03133 -0.08230 0.52034 0.52774 0.06383 0.115
-0.03137 -0.08241 0.52108 0.52848 0.06571 -0.077
-0.03142 -0.08253 0.52181 0.52923 0.06758 0.400
-0.03146 -0.08265 0.52254 0.52997 0.06946 -0.079
-0.03150 -0.08276 0.52328 0.53072 0.07134 -0.176
-0.03155 -0.08288 0.52401 0.53146 0.07322 0.398
-0.03159 -0.08299 0.52475 0.53221 0.07510 0.350
-0.03164 -0.08311 0.52548 0.53295 0.07698 0.109
-0.03168 -0.08323 0.52622 0.53370 0.07886 -0.133
-0.03173 -0.08334 0.52695 0.53445 0.08074 -0.182
-0.03177 -0.08346 0.52769 0.53519 0.08261 0.491
-0.03181 -0.08357 0.52842 0.53594 0.08449 0.251
-0.03186 -0.08369 0.52916 0.53668 0.08637 0.492
-0.03190 -0.08381 0.52989 0.53743 0.08825 -0.424
-0.03195 -0.08392 0.53063 0.53817 0.09013 0.057
-0.03199 -0.08404 0.53136 0.53892 0.09201 -0.039
-0.03204 -0.08416 0.53210 0.53966 0.09389 0.201
-0.03208 -0.08427 0.53283 0.54041 0.09577 -0.284
-0.03212 -0.08439 0.53357 0.54115 0.09765 0.005
-0.03217 -0.08450 0.53430 0.54190 0.09953 0.142
-0.03221 -0.08462 0.53504 0.54264 0.10141 -0.032
-0.03226 -0.08474 0.53577 0.54339 0.10329 0.044
-0.03230 -0.08485 0.53651 0.54414 0.10517 -0.194
-0.03235 -0.08497 0.53724 0.54488 0.10705 0.286
-0.03239 -0.08509 0.53798 0.54563 0.10893 -0.550
-0.03243 -0.08520 0.53871 0.54637 0.11081 0.233
-0.03248 -0.08532 0.53945 0.54712 0.11269 -0.209
-0.03252 -0.08543 0.54018 0.54786 0.11457 0.223
-0.03257 -0.08555 0.54092 0.54861 0.11645 0.401
-0.03261 -0.08567 0.54165 0.54935 0.11833 0.301
-0.03266 -0.08578 0.54239 0.55010 0.12021 0.031
-0.03270 -0.08590 0.54312 0.55085 0.12209 -0.073
-0.03274 -0.08602 0.54386 0.55159 0.12397 -0.080
-0.03279 -0.08613 0.54459 0.55234 0.12585 -0.022
-0.03283 -0.08625 0.54533 0.55308 0.12773 -0.206
-0.03288 -0.08637 0.54607 0.55383 0.12961 -0.138
-0.03292 -0.08648 0.54680 0.55458 0.13149 -0.121
-0.03297 -0.08660 0.54754 0.55532 0.13337 -0.445
-0.03301 -0.08671 0.54827 0.55607 0.13526 -0.108
-0.03305 -0.08683 0.54901 0.55681 0.13714 -0.402
-0.03310 -0.08695 0.54974 0.55756 0.13902 -0.011
-0.03314 -0.08706 0.55048 0.55831 0.14090 0.136
-0.03319 -0.08718 0.55121 0.55905 0.14278 0.039
-0.03323 -0.08730 0.55195 0.55980 0.14466 0.283
-0.03328 -0.08741 0.55269 0.56054 0.14654 -0.159
-0.03332 -0.08753 0.55342 0.56129 0.14842 -0.406
-0.03336 -0.08764 0.55416 0.56204 0.15031 -0.113
