x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.03548 -0.13415 0.48305 0.50258 0.00000 0.961 0.130 1236.115 0.01682
-0.03553 -0.13434 0.48376 0.50333 0.00188 1.082 0.137 1236.145 0.01684
-0.03558 -0.13454 0.48448 0.50407 0.00375 1.162 0.142 1236.175 0.01687
-0.03563 -0.13474 0.48519 0.50481 0.00563 1.081 0.137 1236.205 0.01689
-0.03569 -0.13494 0.48591 0.50556 0.00751 0.867 0.133 1236.235 0.01692
-0.03574 -0.13514 0.48662 0.50630 0.00938 0.921 0.137 1236.265 0.01694
-0.03579 -0.13534 0.48734 0.50705 0.01126 0.987 0.132 1236.295 0.01697
-0.03584 -0.13554 0.48805 0.50779 0.01313 1.360 0.143 1236.325 0.01699
-0.03590 -0.13573 0.48877 0.50853 0.01501 1.026 0.143 1236.355 0.01701
-0.03595 -0.13593 0.48948 0.50928 0.01689 1.212 0.136 1236.384 0.01704
-0.03600 -0.13613 0.49020 0.51002 0.01876 1.025 0.143 1236.414 0.01706
-0.03605 -0.13633 0.49091 0.51077 0.02064 0.958 0.139 1236.444 0.01709
-0.03611 -0.13653 0.49163 0.51151 0.02252 0.932 0.137 1236.474 0.01711
-0.03616 -0.13673 0.49234 0.51225 0.02440 1.079 0.137 1236.504 0.01714
-0.03621 -0.13693 0.49306 0.51300 0.02627 0.865 0.133 1236.534 0.01716
-0.03626 -0.13712 0.49377 0.51374 0.02815 1.105 0.139 1236.564 0.01719
-0.03632 -0.13732 0.49449 0.51449 0.03003 0.785 0.128 1236.594 0.01721
-0.03637 -0.13752 0.49520 0.51523 0.03190 0.971 0.140 1236.623 0.01724
-0.03642 -0.13772 0.49592 0.51597 0.03378 0.851 0.132 1236.653 0.01726
-0.03647 -0.13792 0.49663 0.51672 0.03566 0.798 0.129 1236.683 0.01729
-0.03653 -0.13812 0.49735 0.51746 0.03754 1.012 0.133 1236.713 0.01731
-0.03658 -0.13832 0.49806 0.51821 0.03941 1.078 0.146 1236.743 0.01733
-0.03663 -0.13851 0.49878 0.51895 0.04129 1.065 0.136 1236.773 0.01736
-0.03668 -0.13871 0.49950 0.51970 0.04317 1.118 0.139 1236.803 0.01738
-0.03674 -0.13891 0.50021 0.52044 0.04505 0.998 0.141 1236.833 0.01741
-0.03679 -0.13911 0.50093 0.52118 0.04692 1.264 0.139 1236.862 0.01743
-0.03684 -0.13931 0.50164 0.52193 0.04880 0.864 0.133 1236.892 0.01746
-0.03689 -0.13951 0.50236 0.52267 0.05068 0.881 0.134 1236.922 0.01748
-0.03695 -0.13971 0.50307 0.52342 0.05256 1.159 0.141 1236.952 0.01751
-0.03700 -0.13991 0.50379 0.52416 0.05444 0.874 0.132 1236.982 0.01753
-0.03705 -0.14010 0.50450 0.52491 0.05631 1.001 0.132 1237.012 0.01756
-0.03710 -0.14030 0.50522 0.52565 0.05819 0.896 0.134 1237.042 0.01758
-0.03716 -0.14050 0.50594 0.52640 0.06007 1.046 0.135 1237.072 0.01760
-0.03721 -0.14070 0.50665 0.52714 0.06195 0.930 0.136 1237.101 0.01763
-0.03726 -0.14090 0.50737 0.52788 0.06383 1.056 0.144 1237.131 0.01765
-0.03731 -0.14110 0.50808 0.52863 0.06571 0.940 0.128 1237.161 0.01768
-0.03737 -0.14130 0.50880 0.52937 0.06758 1.017 0.133 1237.191 0.01770
-0.03742 -0.14150 0.50951 0.53012 0.06946 1.150 0.141 1237.221 0.01773
-0.03747 -0.14169 0.51023 0.53086 0.07134 0.955 0.138 1237.251 0.01775
-0.03752 -0.14189 0.51095 0.53161 0.07322 0.911 0.125 1237.281 0.01778
-0.03758 -0.14209 0.51166 0.53235 0.07510 0.882 0.133 1237.311 0.01780
-0.03763 -0.14229 0.51238 0.53310 0.07698 1.064 0.144 1237.341 0.01783
-0.03768 -0.14249 0.51309 0.53384 0.07886 0.790 0.127 1237.370 0.01785
-0.03774 -0.14269 0.51381 0.53459 0.08074 0.799 0.128 1237.400 0.01788
-0.03779 -0.14289 0.51453 0.53533 0.08261 1.001 0.132 1237.430 0.01790
-0.03784 -0.14309 0.51524 0.53608 0.08449 1.038 0.134 1237.460 0.01792
-0.03789 -0.14329 0.51596 0.53682 0.08637 1.077 0.137 1237.490 0.01795
-0.03795 -0.14348 0.51667 0.53757 0.08825 0.824 0.131 1237.520 0.01797
-0.03800 -0.14368 0.51739 0.53831 0.09013 0.918 0.136 1237.550 0.01800
-0.03805 -0.14388 0.51811 0.53906 0.09201 1.250 0.137 1237.580 0.01802
-0.03810 -0.14408 0.51882 0.53980 0.09389 1.197 0.143 1237.609 0.01805
-0.03816 -0.14428 0.51954 0.54055 0.09577 0.913 0.126 1237.639 0.01807
-0.03821 -0.14448 0.52025 0.54129 0.09765 0.688 0.120 1237.669 0.01810
-0.03826 -0.14468 0.52097 0.54204 0.09953 0.963 0.138 1237.699 0.01812
-0.03831 -0.14488 0.52169 0.54278 0.10141 0.913 0.136 1237.729 0.01815
-0.03837 -0.14507 0.52240 0.54353 0.10329 0.933 0.136 1237.759 0.01817
-0.03842 -0.14527 0.52312 0.54427 0.10517 1.175 0.133 1237.789 0.01819
-0.03847 -0.14547 0.52383 0.54502 0.10705 0.930 0.135 1237.819 0.01822
-0.03852 -0.14567 0.52455 0.54576 0.10893 0.978 0.130 1237.848 0.01824
-0.03858 -0.14587 0.52527 0.54651 0.11081 0.920 0.135 1237.878 0.01827
-0.03863 -0.14607 0.52598 0.54725 0.11269 1.003 0.140 1237.908 0.01829
-0.03868 -0.14627 0.52670 0.54800 0.11457 1.226 0.136 1237.938 0.01832
-0.03873 -0.14647 0.52742 0.54874 0.11645 1.227 0.136 1237.968 0.01834
-0.03879 -0.14667 0.52813 0.54949 0.11833 0.836 0.131 1237.998 0.01837
-0.03884 -0.14687 0.52885 0.55024 0.12021 0.827 0.130 1238.028 0.01839
-0.03889 -0.14706 0.52957 0.55098 0.12209 0.966 0.139 1238.058 0.01842
-0.03894 -0.14726 0.53028 0.55173 0.12397 0.724 0.123 1238.087 0.01844
-0.03900 -0.14746 0.53100 0.55247 0.12585 1.057 0.135 1238.117 0.01847
-0.03905 -0.14766 0.53172 0.55322 0.12773 0.843 0.131 1238.147 0.01849
-0.03910 -0.14786 0.53243 0.55396 0.12961 1.000 0.141 1238.177 0.01851
-0.03916 -0.14806 0.53315 0.55471 0.13149 0.841 0.131 1238.207 0.01854
-0.03921 -0.14826 0.53387 0.55545 0.13338 0.921 0.136 1238.237 0.01856
-0.03926 -0.14846 0.53458 0.55620 0.13526 1.027 0.142 1238.267 0.01859
-0.03931 -0.14866 0.53530 0.55695 0.13714 0.921 0.136 1238.297 0.01861
-0.03937 -0.14886 0.53602 0.55769 0.13902 0.868 0.133 1238.327 0.01864
-0.03942 -0.14905 0.53673 0.55844 0.14090 1.253 0.146 1238.356 0.01866
-0.03947 -0.14925 0.53745 0.55918 0.14278 0.947 0.129 1238.386 0.01869
-0.03952 -0.14945 0.53817 0.55993 0.14466 0.787 0.128 1238.416 0.01871
-0.03958 -0.14965 0.53888 0.56067 0.14654 0.761 0.126 1238.446 0.01874
-0.03963 -0.14985 0.53960 0.56142 0.14843 1.173 0.142 1238.476 0.01876
-0.03968 -0.15005 0.54032 0.56217 0.15031 0.882 0.134 1238.506 0.01878
-0.03973 -0.15025 0.54103 0.56291 0.15219 1.240 0.129 1238.536 0.01881
-0.03979 -0.15045 0.54175 0.56366 0.15407 0.921 0.136 1238.566 0.01883
-0.03984 -0.15065 0.54247 0.56440 0.15595 1.094 0.137 1238.595 0.01886
-0.03989 -0.15085 0.54318 0.56515 0.15783 0.935 0.137 1238.625 0.01888
-0.03995 -0.15105 0.54390 0.56590 0.15972 0.709 0.123 1238.655 0.01891
-0.04000 -0.15124 0.54462 0.56664 0.16160 0.922 0.136 1238.685 0.01893
-0.04005 -0.15144 0.54533 0.56739 0.16348 0.829 0.131 1238.715 0.01896
-0.04010 -0.15164 0.54605 0.56813 0.16536 0.696 0.122 1238.745 0.01898
-0.04016 -0.15184 0.54677 0.56888 0.16724 0.644 0.118 1238.775 0.01901
-0.04021 -0.15204 0.54749 0.56963 0.16913 0.604 0.115 1238.805 0.01903
-0.04026 -0.15224 0.54820 0.57037 0.17101 0.764 0.126 1238.834 0.01905
-0.04031 -0.15244 0.54892 0.57112 0.17289 0.763 0.126 1238.864 0.01908
-0.04037 -0.15264 0.54964 0.57186 0.17477 0.724 0.124 1238.894 0.01910
-0.04042 -0.15284 0.55035 0.57261 0.17665 0.697 0.122 1238.924 0.01913
-0.04047 -0.15304 0.55107 0.57336 0.17854 0.750 0.125 1238.954 0.01915
-0.04052 -0.15324 0.55179 0.57410 0.18042 0.909 0.135 1238.984 0.01918
-0.04058 -0.15344 0.55251 0.57485 0.18230 0.750 0.125 1239.014 0.01920
-0.04063 -0.15363 0.55322 0.57560 0.18419 0.564 0.112 1239.044 0.01923
-0.04068 -0.15383 0.55394 0.57634 0.18607 0.764 0.126 1239.073 0.01925
-0.04074 -0.15403 0.55466 0.57709 0.18795 0.936 0.137 1239.103 0.01928
-0.04079 -0.15423 0.55538 0.57784 0.18983 0.923 0.127 1239.133 0.01930
-0.04084 -0.15443 0.55609 0.57858 0.19172 0.776 0.127 1239.163 0.01933
-0.04089 -0.15463 0.55681 0.57933 0.19360 0.975 0.139 1239.193 0.01935
-0.04095 -0.15483 0.55753 0.58007 0.19548 0.935 0.137 1239.223 0.01937
-0.04100 -0.15503 0.55825 0.58082 0.19737 0.949 0.128 1239.253 0.01940
-0.04105 -0.15523 0.55896 0.58157 0.19925 0.909 0.135 1239.283 0.01942
-0.04110 -0.15543 0.55968 0.58231 0.20113 0.843 0.131 1239.313 0.01945
-0.04116 -0.15563 0.56040 0.58306 0.20302 1.096 0.146 1239.342 0.01947
-0.04121 -0.15583 0.56112 0.58381 0.20490 1.109 0.138 1239.372 0.01950
-0.04126 -0.15603 0.56183 0.58455 0.20678 0.856 0.132 1239.402 0.01952
-0.04131 -0.15622 0.56255 0.58530 0.20867 1.016 0.142 1239.432 0.01955
-0.04137 -0.15642 0.56327 0.58605 0.21055 0.975 0.139 1239.462 0.01957
-0.04142 -0.15662 0.56399 0.58679 0.21243 1.095 0.137 1239.492 0.01960
