x y z dist_scaled dist_frac absorption
-0.05730 -0.21467 0.45090 0.50267 0.00000 0.103
-0.05738 -0.21499 0.45157 0.50342 0.00188 -0.070
-0.05747 -0.21531 0.45224 0.50416 0.00376 0.085
-0.05755 -0.21563 0.45291 0.50491 0.00564 -0.002
-0.05764 -0.21594 0.45357 0.50565 0.00752 0.085
-0.05772 -0.21626 0.45424 0.50639 0.00940 -0.096
-0.05781 -0.21658 0.45491 0.50714 0.01128 -0.018
-0.05789 -0.21690 0.45558 0.50788 0.01316 0.117
-0.05798 -0.21722 0.45624 0.50863 0.01504 -0.009
-0.05806 -0.21753 0.45691 0.50937 0.01692 0.002
-0.05815 -0.21785 0.45758 0.51012 0.01880 -0.161
-0.05823 -0.21817 0.45825 0.51086 0.02068 -0.007
-0.05832 -0.21849 0.45891 0.51160 0.02256 -0.121
-0.05840 -0.21880 0.45958 0.51235 0.02444 0.004
-0.05849 -0.21912 0.46025 0.51309 0.02632 0.168
-0.05857 -0.21944 0.46092 0.51384 0.02820 0.158
-0.05866 -0.21976 0.46158 0.51458 0.03008 0.397
-0.05874 -0.22008 0.46225 0.51533 0.03196 0.454
-0.05883 -0.22039 0.46292 0.51607 0.03385 0.522
-0.05891 -0.22071 0.46359 0.51682 0.03573 0.683
-0.05899 -0.22103 0.46426 0.51756 0.03761 0.627
-0.05908 -0.22135 0.46492 0.51831 0.03949 0.579
-0.05916 -0.22167 0.46559 0.51905 0.04137 0.550
-0.05925 -0.22198 0.46626 0.51979 0.04325 0.322
-0.05933 -0.22230 0.46693 0.52054 0.04513 0.455
-0.05942 -0.22262 0.46760 0.52128 0.04701 0.313
-0.05950 -0.22294 0.46826 0.52203 0.04890 0.303
-0.05959 -0.22326 0.46893 0.52277 0.05078 0.245
-0.05967 -0.22357 0.46960 0.52352 0.05266 0.237
-0.05976 -0.22389 0.47027 0.52426 0.05454 0.189
-0.05984 -0.22421 0.47094 0.52501 0.05642 0.076
-0.05993 -0.22453 0.47160 0.52575 0.05830 0.162
-0.06001 -0.22485 0.47227 0.52650 0.06019 0.085
-0.06010 -0.22517 0.47294 0.52724 0.06207 0.113
-0.06018 -0.22548 0.47361 0.52799 0.06395 0.096
-0.06027 -0.22580 0.47428 0.52873 0.06583 0.157
-0.06035 -0.22612 0.47495 0.52948 0.06771 0.116
