x y z dist_scaled dist_frac flux_norm
-0.19337 -0.03683 0.46243 0.50258 0.00000 1.011
-0.19366 -0.03689 0.46311 0.50333 0.00188 0.993
-0.19395 -0.03694 0.46380 0.50407 0.00375 0.771
-0.19423 -0.03700 0.46448 0.50481 0.00563 1.051
-0.19452 -0.03705 0.46516 0.50556 0.00751 1.013
-0.19481 -0.03710 0.46585 0.50630 0.00938 1.068
-0.19509 -0.03716 0.46653 0.50705 0.01126 0.957
-0.19538 -0.03721 0.46722 0.50779 0.01313 1.050
-0.19566 -0.03727 0.46790 0.50853 0.01501 1.069
-0.19595 -0.03732 0.46859 0.50928 0.01689 0.977
-0.19624 -0.03738 0.46927 0.51002 0.01876 0.923
-0.19652 -0.03743 0.46996 0.51077 0.02064 1.014
-0.19681 -0.03749 0.47064 0.51151 0.02252 0.978
-0.19710 -0.03754 0.47132 0.51225 0.02440 1.275
-0.19738 -0.03760 0.47201 0.51300 0.02627 1.257
-0.19767 -0.03765 0.47269 0.51374 0.02815 1.053
-0.19795 -0.03770 0.47338 0.51449 0.03003 0.736
-0.19824 -0.03776 0.47406 0.51523 0.03190 1.090
-0.19853 -0.03781 0.47475 0.51597 0.03378 0.978
-0.19881 -0.03787 0.47543 0.51672 0.03566 0.737
-0.19910 -0.03792 0.47612 0.51746 0.03754 0.756
-0.19939 -0.03798 0.47680 0.51821 0.03941 0.811
-0.19967 -0.03803 0.47749 0.51895 0.04129 1.089
-0.19996 -0.03809 0.47817 0.51970 0.04317 1.017
-0.20025 -0.03814 0.47886 0.52044 0.04505 1.073
-0.20053 -0.03820 0.47954 0.52118 0.04692 1.130
-0.20082 -0.03825 0.48023 0.52193 0.04880 1.056
-0.20110 -0.03830 0.48091 0.52267 0.05068 0.847
-0.20139 -0.03836 0.48160 0.52342 0.05256 1.260
-0.20168 -0.03841 0.48228 0.52416 0.05444 0.944
-0.20196 -0.03847 0.48297 0.52491 0.05631 1.035
-0.20225 -0.03852 0.48365 0.52565 0.05819 1.018
-0.20254 -0.03858 0.48434 0.52640 0.06007 0.794
-0.20282 -0.03863 0.48502 0.52714 0.06195 0.998
-0.20311 -0.03869 0.48571 0.52788 0.06383 0.776
-0.20340 -0.03874 0.48639 0.52863 0.06571 0.960
-0.20368 -0.03880 0.48708 0.52937 0.06758 0.906
-0.20397 -0.03885 0.48776 0.53012 0.06946 1.092
-0.20426 -0.03890 0.48845 0.53086 0.07134 0.906
-0.20454 -0.03896 0.48913 0.53161 0.07322 0.831
-0.20483 -0.03901 0.48982 0.53235 0.07510 1.018
-0.20512 -0.03907 0.49050 0.53310 0.07698 1.090
-0.20540 -0.03912 0.49119 0.53384 0.07886 1.015
-0.20569 -0.03918 0.49187 0.53459 0.08074 0.904
-0.20598 -0.03923 0.49256 0.53533 0.08261 0.924
-0.20626 -0.03929 0.49325 0.53608 0.08449 1.018
-0.20655 -0.03934 0.49393 0.53682 0.08637 0.737
-0.20684 -0.03940 0.49462 0.53757 0.08825 1.148
-0.20712 -0.03945 0.49530 0.53831 0.09013 0.869
-0.20741 -0.03951 0.49599 0.53906 0.09201 0.832
-0.20770 -0.03956 0.49667 0.53980 0.09389 1.145
-0.20798 -0.03961 0.49736 0.54055 0.09577 0.780
-0.20827 -0.03967 0.49804 0.54129 0.09765 1.072
-0.20856 -0.03972 0.49873 0.54204 0.09953 0.941
-0.20884 -0.03978 0.49942 0.54278 0.10141 1.055
-0.20913 -0.03983 0.50010 0.54353 0.10329 0.829
-0.20942 -0.03989 0.50079 0.54427 0.10517 0.996
-0.20970 -0.03994 0.50147 0.54502 0.10705 1.033
-0.20999 -0.04000 0.50216 0.54576 0.10893 1.166
-0.21028 -0.04005 0.50284 0.54651 0.11081 1.071
-0.21056 -0.04011 0.50353 0.54725 0.11269 0.925
-0.21085 -0.04016 0.50422 0.54800 0.11457 1.165
-0.21114 -0.04022 0.50490 0.54874 0.11645 1.055
-0.21142 -0.04027 0.50559 0.54949 0.11833 1.015
-0.21171 -0.04032 0.50627 0.55024 0.12021 0.923
-0.21200 -0.04038 0.50696 0.55098 0.12209 1.240
-0.21228 -0.04043 0.50764 0.55173 0.12397 1.167
-0.21257 -0.04049 0.50833 0.55247 0.12585 0.998
-0.21286 -0.04054 0.50902 0.55322 0.12773 1.054
-0.21314 -0.04060 0.50970 0.55396 0.12961 0.811
-0.21343 -0.04065 0.51039 0.55471 0.13149 0.866
-0.21372 -0.04071 0.51107 0.55545 0.13338 0.978
-0.21400 -0.04076 0.51176 0.55620 0.13526 1.090
-0.21429 -0.04082 0.51245 0.55695 0.13714 0.810
-0.21458 -0.04087 0.51313 0.55769 0.13902 0.977
-0.21487 -0.04093 0.51382 0.55844 0.14090 0.774
-0.21515 -0.04098 0.51451 0.55918 0.14278 0.831
-0.21544 -0.04103 0.51519 0.55993 0.14466 0.794
-0.21573 -0.04109 0.51588 0.56067 0.14654 0.903
-0.21601 -0.04114 0.51656 0.56142 0.14843 0.791
-0.21630 -0.04120 0.51725 0.56217 0.15031 0.775
-0.21659 -0.04125 0.51794 0.56291 0.15219 0.794
-0.21687 -0.04131 0.51862 0.56366 0.15407 0.793
-0.21716 -0.04136 0.51931 0.56440 0.15595 0.775
-0.21745 -0.04142 0.52000 0.56515 0.15783 0.942
-0.21774 -0.04147 0.52068 0.56590 0.15972 0.830
-0.21802 -0.04153 0.52137 0.56664 0.16160 0.793
-0.21831 -0.04158 0.52205 0.56739 0.16348 0.719
-0.21860 -0.04164 0.52274 0.56813 0.16536 0.833
-0.21888 -0.04169 0.52343 0.56888 0.16724 1.111
-0.21917 -0.04175 0.52411 0.56963 0.16913 1.072
-0.21946 -0.04180 0.52480 0.57037 0.17101 0.944
-0.21975 -0.04185 0.52549 0.57112 0.17289 1.166
-0.22003 -0.04191 0.52617 0.57186 0.17477 0.830
-0.22032 -0.04196 0.52686 0.57261 0.17665 0.868
-0.22061 -0.04202 0.52755 0.57336 0.17854 0.887
-0.22089 -0.04207 0.52823 0.57410 0.18042 0.980
-0.22118 -0.04213 0.52892 0.57485 0.18230 0.924
-0.22147 -0.04218 0.52961 0.57560 0.18419 0.886
-0.22176 -0.04224 0.53029 0.57634 0.18607 0.941
-0.22204 -0.04229 0.53098 0.57709 0.18795 0.842
-0.22233 -0.04235 0.53167 0.57784 0.18983 1.002
-0.22262 -0.04240 0.53235 0.57858 0.19172 1.124
-0.22290 -0.04246 0.53304 0.57933 0.19360 1.120
-0.22319 -0.04251 0.53373 0.58007 0.19548 0.941
-0.22348 -0.04257 0.53441 0.58082 0.19737 0.852
-0.22377 -0.04262 0.53510 0.58157 0.19925 1.040
-0.22405 -0.04268 0.53579 0.58231 0.20113 0.933
-0.22434 -0.04273 0.53648 0.58306 0.20302 0.807
-0.22463 -0.04278 0.53716 0.58381 0.20490 0.729
-0.22491 -0.04284 0.53785 0.58455 0.20678 0.662
-0.22520 -0.04289 0.53854 0.58530 0.20867 0.961
-0.22549 -0.04295 0.53922 0.58605 0.21055 0.889
-0.22578 -0.04300 0.53991 0.58679 0.21243 0.869
-0.22606 -0.04306 0.54060 0.58754 0.21432 0.827
-0.22635 -0.04311 0.54128 0.58829 0.21620 1.070
-0.22664 -0.04317 0.54197 0.58904 0.21809 1.012
-0.22693 -0.04322 0.54266 0.58978 0.21997 1.178
-0.22721 -0.04328 0.54335 0.59053 0.22185 0.808
-0.22750 -0.04333 0.54403 0.59128 0.22374 1.012
-0.22779 -0.04339 0.54472 0.59202 0.22562 1.198
-0.22808 -0.04344 0.54541 0.59277 0.22751 0.994
-0.22836 -0.04350 0.54610 0.59352 0.22939 0.974
-0.22865 -0.04355 0.54678 0.59426 0.23128 0.991
-0.22894 -0.04361 0.54747 0.59501 0.23316 0.916
-0.22923 -0.04366 0.54816 0.59576 0.23504 0.804
-0.22951 -0.04372 0.54885 0.59650 0.23693 0.936
-0.22980 -0.04377 0.54953 0.59725 0.23881 1.008
-0.23009 -0.04382 0.55022 0.59800 0.24070 1.049
-0.23038 -0.04388 0.55091 0.59875 0.24258 1.139
-0.23066 -0.04393 0.55159 0.59949 0.24447 1.045
-0.23095 -0.04399 0.55228 0.60024 0.24635 0.897
-0.23124 -0.04404 0.55297 0.60099 0.24824 0.974
-0.23153 -0.04410 0.55366 0.60174 0.25012 1.063
-0.23181 -0.04415 0.55435 0.60248 0.25201 1.027
-0.23210 -0.04421 0.55503 0.60323 0.25389 1.157
-0.23239 -0.04426 0.55572 0.60398 0.25578 0.953
-0.23268 -0.04432 0.55641 0.60472 0.25766 0.972
-0.23296 -0.04437 0.55710 0.60547 0.25955 0.787
-0.23325 -0.04443 0.55778 0.60622 0.26144 0.583
-0.23354 -0.04448 0.55847 0.60697 0.26332 0.583
-0.23383 -0.04454 0.55916 0.60771 0.26521 0.584
-0.23411 -0.04459 0.55985 0.60846 0.26709 0.620
-0.23440 -0.04465 0.56053 0.60921 0.26898 0.861
-0.23469 -0.04470 0.56122 0.60996 0.27086 0.917
-0.23498 -0.04476 0.56191 0.61070 0.27275 0.768
-0.23526 -0.04481 0.56260 0.61145 0.27464 0.751
-0.23555 -0.04487 0.56329 0.61220 0.27652 0.879
-0.23584 -0.04492 0.56397 0.61295 0.27841 0.954
-0.23613 -0.04498 0.56466 0.61370 0.28029 0.971
-0.23641 -0.04503 0.56535 0.61444 0.28218 0.878
-0.23670 -0.04508 0.56604 0.61519 0.28407 0.857
-0.23699 -0.04514 0.56673 0.61594 0.28595 0.838
-0.23728 -0.04519 0.56741 0.61669 0.28784 1.005
-0.23757 -0.04525 0.56810 0.61743 0.28973 0.690
-0.23785 -0.04530 0.56879 0.61818 0.29161 1.080
-0.23814 -0.04536 0.56948 0.61893 0.29350 0.912
-0.23843 -0.04541 0.57017 0.61968 0.29539 0.968
-0.23872 -0.04547 0.57085 0.62043 0.29727 1.080
-0.23900 -0.04552 0.57154 0.62117 0.29916 0.892
-0.23929 -0.04558 0.57223 0.62192 0.30105 1.246
-0.23958 -0.04563 0.57292 0.62267 0.30293 1.005
-0.23987 -0.04569 0.57361 0.62342 0.30482 0.839
-0.24016 -0.04574 0.57430 0.62417 0.30671 0.931
-0.24044 -0.04580 0.57498 0.62491 0.30859 0.857
