x y z dist_scaled dist_frac absorption
-0.26388 0.12333 0.40938 0.50243 0.00000 0.151
-0.26427 0.12351 0.40998 0.50317 0.00188 0.017
-0.26466 0.12369 0.41059 0.50391 0.00375 -0.083
-0.26505 0.12387 0.41120 0.50466 0.00563 -0.420
-0.26544 0.12406 0.41180 0.50540 0.00750 -0.150
-0.26583 0.12424 0.41241 0.50615 0.00938 -0.081
-0.26623 0.12442 0.41302 0.50689 0.01126 0.055
-0.26662 0.12460 0.41362 0.50763 0.01313 -0.012
-0.26701 0.12479 0.41423 0.50838 0.01501 0.090
-0.26740 0.12497 0.41483 0.50912 0.01689 0.024
-0.26779 0.12515 0.41544 0.50987 0.01876 0.159
-0.26818 0.12533 0.41605 0.51061 0.02064 0.060
-0.26857 0.12552 0.41665 0.51136 0.02252 -0.473
-0.26896 0.12570 0.41726 0.51210 0.02440 -0.006
-0.26935 0.12588 0.41787 0.51285 0.02627 0.095
-0.26974 0.12607 0.41847 0.51359 0.02815 -0.172
-0.27013 0.12625 0.41908 0.51433 0.03003 -0.137
-0.27053 0.12643 0.41969 0.51508 0.03190 0.163
-0.27092 0.12661 0.42029 0.51582 0.03378 -0.133
-0.27131 0.12680 0.42090 0.51657 0.03566 -0.234
-0.27170 0.12698 0.42151 0.51731 0.03754 -0.165
-0.27209 0.12716 0.42211 0.51806 0.03941 0.003
-0.27248 0.12734 0.42272 0.51880 0.04129 0.170
-0.27287 0.12753 0.42333 0.51955 0.04317 0.102
-0.27326 0.12771 0.42393 0.52029 0.04505 -0.230
-0.27365 0.12789 0.42454 0.52104 0.04692 -0.229
-0.27405 0.12808 0.42515 0.52178 0.04880 0.036
-0.27444 0.12826 0.42575 0.52253 0.05068 -0.029
-0.27483 0.12844 0.42636 0.52327 0.05256 0.235
-0.27522 0.12862 0.42697 0.52401 0.05444 -0.227
-0.27561 0.12881 0.42757 0.52476 0.05631 -0.027
-0.27600 0.12899 0.42818 0.52550 0.05819 0.172
-0.27639 0.12917 0.42879 0.52625 0.06007 -0.125
-0.27678 0.12936 0.42940 0.52699 0.06195 -0.092
-0.27718 0.12954 0.43000 0.52774 0.06383 0.039
-0.27757 0.12972 0.43061 0.52848 0.06571 0.006
-0.27796 0.12990 0.43122 0.52923 0.06758 0.040
