x y z dist_scaled dist_frac flux_norm wavelength redshift
-0.40301 -0.14292 0.26410 0.50258 0.00000 1.110 1236.115 0.01682
-0.40360 -0.14313 0.26449 0.50333 0.00188 0.749 1236.145 0.01684
-0.40420 -0.14334 0.26488 0.50407 0.00375 0.897 1236.175 0.01687
-0.40480 -0.14355 0.26527 0.50481 0.00563 0.880 1236.205 0.01689
-0.40539 -0.14376 0.26566 0.50556 0.00751 1.061 1236.235 0.01692
-0.40599 -0.14398 0.26606 0.50630 0.00938 0.800 1236.265 0.01694
-0.40658 -0.14419 0.26645 0.50705 0.01126 0.931 1236.295 0.01697
-0.40718 -0.14440 0.26684 0.50779 0.01313 1.240 1236.325 0.01699
-0.40778 -0.14461 0.26723 0.50853 0.01501 0.979 1236.355 0.01701
-0.40837 -0.14482 0.26762 0.50928 0.01689 1.029 1236.384 0.01704
-0.40897 -0.14503 0.26801 0.51002 0.01876 0.930 1236.414 0.01706
-0.40957 -0.14524 0.26840 0.51077 0.02064 1.047 1236.444 0.01709
-0.41016 -0.14546 0.26879 0.51151 0.02252 1.015 1236.474 0.01711
-0.41076 -0.14567 0.26918 0.51225 0.02440 1.030 1236.504 0.01714
-0.41136 -0.14588 0.26957 0.51300 0.02627 0.950 1236.534 0.01716
-0.41195 -0.14609 0.26997 0.51374 0.02815 1.097 1236.564 0.01719
-0.41255 -0.14630 0.27036 0.51449 0.03003 1.000 1236.594 0.01721
-0.41315 -0.14651 0.27075 0.51523 0.03190 0.803 1236.623 0.01724
-0.41374 -0.14673 0.27114 0.51597 0.03378 0.936 1236.653 0.01726
-0.41434 -0.14694 0.27153 0.51672 0.03566 1.103 1236.683 0.01729
-0.41494 -0.14715 0.27192 0.51746 0.03754 0.936 1236.713 0.01731
-0.41553 -0.14736 0.27231 0.51821 0.03941 0.988 1236.743 0.01733
-0.41613 -0.14757 0.27270 0.51895 0.04129 1.037 1236.773 0.01736
-0.41673 -0.14778 0.27309 0.51970 0.04317 0.924 1236.803 0.01738
-0.41733 -0.14800 0.27349 0.52044 0.04505 0.956 1236.833 0.01741
-0.41792 -0.14821 0.27388 0.52118 0.04692 0.874 1236.862 0.01743
-0.41852 -0.14842 0.27427 0.52193 0.04880 1.136 1236.892 0.01746
-0.41912 -0.14863 0.27466 0.52267 0.05068 0.873 1236.922 0.01748
-0.41971 -0.14884 0.27505 0.52342 0.05256 1.023 1236.952 0.01751
-0.42031 -0.14905 0.27544 0.52416 0.05444 0.809 1236.982 0.01753
-0.42091 -0.14927 0.27583 0.52491 0.05631 0.841 1237.012 0.01756
-0.42150 -0.14948 0.27622 0.52565 0.05819 0.891 1237.042 0.01758
-0.42210 -0.14969 0.27661 0.52640 0.06007 0.973 1237.072 0.01760
-0.42270 -0.14990 0.27701 0.52714 0.06195 0.910 1237.101 0.01763
-0.42330 -0.15011 0.27740 0.52788 0.06383 1.016 1237.131 0.01765
-0.42389 -0.15032 0.27779 0.52863 0.06571 1.173 1237.161 0.01768
-0.42449 -0.15054 0.27818 0.52937 0.06758 1.155 1237.191 0.01770
-0.42509 -0.15075 0.27857 0.53012 0.06946 1.099 1237.221 0.01773
-0.42568 -0.15096 0.27896 0.53086 0.07134 1.015 1237.251 0.01775
-0.42628 -0.15117 0.27935 0.53161 0.07322 1.311 1237.281 0.01778
-0.42688 -0.15138 0.27975 0.53235 0.07510 0.884 1237.311 0.01780
-0.42748 -0.15160 0.28014 0.53310 0.07698 0.876 1237.341 0.01783
-0.42807 -0.15181 0.28053 0.53384 0.07886 1.081 1237.370 0.01785
-0.42867 -0.15202 0.28092 0.53459 0.08074 0.733 1237.400 0.01788
-0.42927 -0.15223 0.28131 0.53533 0.08261 1.082 1237.430 0.01790
-0.42986 -0.15244 0.28170 0.53608 0.08449 0.687 1237.460 0.01792
-0.43046 -0.15265 0.28209 0.53682 0.08637 0.834 1237.490 0.01795
-0.43106 -0.15287 0.28249 0.53757 0.08825 0.714 1237.520 0.01797
-0.43166 -0.15308 0.28288 0.53831 0.09013 0.887 1237.550 0.01800
-0.43225 -0.15329 0.28327 0.53906 0.09201 1.249 1237.580 0.01802
-0.43285 -0.15350 0.28366 0.53980 0.09389 1.177 1237.609 0.01805
-0.43345 -0.15371 0.28405 0.54055 0.09577 0.962 1237.639 0.01807
-0.43405 -0.15393 0.28444 0.54129 0.09765 0.854 1237.669 0.01810
-0.43464 -0.15414 0.28483 0.54204 0.09953 0.937 1237.699 0.01812
-0.43524 -0.15435 0.28523 0.54278 0.10141 1.141 1237.729 0.01815
