x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.08291 0.05154 0.49301 0.50258 0.00000 0.958 0.117 1236.115 0.01682
-0.08303 0.05161 0.49374 0.50333 0.00188 0.961 0.118 1236.145 0.01684
-0.08316 0.05169 0.49447 0.50407 0.00375 0.974 0.117 1236.175 0.01687
-0.08328 0.05176 0.49520 0.50481 0.00563 0.948 0.116 1236.205 0.01689
-0.08340 0.05184 0.49593 0.50556 0.00751 1.193 0.115 1236.235 0.01692
-0.08352 0.05192 0.49666 0.50630 0.00938 1.084 0.116 1236.265 0.01694
-0.08365 0.05199 0.49739 0.50705 0.01126 0.909 0.114 1236.295 0.01697
-0.08377 0.05207 0.49812 0.50779 0.01313 1.056 0.121 1236.325 0.01699
-0.08389 0.05215 0.49885 0.50853 0.01501 0.794 0.114 1236.355 0.01701
-0.08401 0.05222 0.49958 0.50928 0.01689 1.101 0.124 1236.384 0.01704
-0.08414 0.05230 0.50031 0.51002 0.01876 1.089 0.116 1236.414 0.01706
-0.08426 0.05237 0.50104 0.51077 0.02064 1.209 0.116 1236.444 0.01709
-0.08438 0.05245 0.50177 0.51151 0.02252 0.922 0.114 1236.474 0.01711
-0.08451 0.05253 0.50250 0.51225 0.02440 1.099 0.110 1236.504 0.01714
-0.08463 0.05260 0.50323 0.51300 0.02627 1.054 0.115 1236.534 0.01716
-0.08475 0.05268 0.50396 0.51374 0.02815 0.700 0.109 1236.564 0.01719
-0.08487 0.05276 0.50469 0.51449 0.03003 1.108 0.117 1236.594 0.01721
-0.08500 0.05283 0.50542 0.51523 0.03190 0.920 0.115 1236.623 0.01724
-0.08512 0.05291 0.50615 0.51597 0.03378 0.930 0.115 1236.653 0.01726
-0.08524 0.05299 0.50688 0.51672 0.03566 0.975 0.110 1236.683 0.01729
-0.08537 0.05306 0.50761 0.51746 0.03754 0.985 0.118 1236.713 0.01731
-0.08549 0.05314 0.50834 0.51821 0.03941 0.972 0.117 1236.743 0.01733
-0.08561 0.05321 0.50907 0.51895 0.04129 1.081 0.109 1236.773 0.01736
