x y z dist_scaled dist_frac absorption
-0.10776 0.03415 0.48954 0.50243 0.00000 -0.074
-0.10792 0.03420 0.49027 0.50317 0.00188 0.244
-0.10808 0.03425 0.49100 0.50391 0.00375 -0.152
-0.10823 0.03430 0.49172 0.50466 0.00563 -0.078
-0.10839 0.03435 0.49245 0.50540 0.00750 0.005
-0.10855 0.03440 0.49317 0.50615 0.00938 -0.283
-0.10871 0.03445 0.49390 0.50689 0.01126 0.119
-0.10887 0.03450 0.49462 0.50763 0.01313 0.126
-0.10903 0.03455 0.49535 0.50838 0.01501 -0.083
-0.10919 0.03460 0.49607 0.50912 0.01689 -0.130
-0.10935 0.03465 0.49680 0.50987 0.01876 -0.108
-0.10951 0.03470 0.49752 0.51061 0.02064 0.213
-0.10967 0.03476 0.49825 0.51136 0.02252 -0.033
-0.10983 0.03481 0.49897 0.51210 0.02440 0.088
-0.10999 0.03486 0.49970 0.51285 0.02627 -0.131
-0.11015 0.03491 0.50042 0.51359 0.02815 -0.158
-0.11031 0.03496 0.50115 0.51433 0.03003 0.088
-0.11047 0.03501 0.50187 0.51508 0.03190 0.111
-0.11063 0.03506 0.50260 0.51582 0.03378 0.208
-0.11079 0.03511 0.50332 0.51657 0.03566 -0.285
-0.11095 0.03516 0.50405 0.51731 0.03754 -0.086
-0.11111 0.03521 0.50478 0.51806 0.03941 -0.283
-0.11127 0.03526 0.50550 0.51880 0.04129 -0.062
-0.11143 0.03531 0.50623 0.51955 0.04317 0.135
-0.11159 0.03536 0.50695 0.52029 0.04505 -0.159
-0.11175 0.03541 0.50768 0.52104 0.04692 0.209
-0.11191 0.03546 0.50840 0.52178 0.04880 -0.161
-0.11207 0.03551 0.50913 0.52253 0.05068 -0.012
-0.11223 0.03556 0.50985 0.52327 0.05256 0.087
-0.11239 0.03562 0.51058 0.52401 0.05444 0.109
-0.11255 0.03567 0.51131 0.52476 0.05631 0.010
-0.11271 0.03572 0.51203 0.52550 0.05819 -0.087
-0.11287 0.03577 0.51276 0.52625 0.06007 -0.086
-0.11303 0.03582 0.51348 0.52699 0.06195 0.108
-0.11319 0.03587 0.51421 0.52774 0.06383 0.306
-0.11334 0.03592 0.51494 0.52848 0.06571 -0.036
-0.11350 0.03597 0.51566 0.52923 0.06758 0.134
-0.11366 0.03602 0.51639 0.52997 0.06946 0.059
-0.11382 0.03607 0.51711 0.53072 0.07134 0.208
-0.11398 0.03612 0.51784 0.53146 0.07322 -0.063
-0.11414 0.03617 0.51857 0.53221 0.07510 0.035
-0.11430 0.03622 0.51929 0.53295 0.07698 0.256
-0.11446 0.03627 0.52002 0.53370 0.07886 0.085
-0.11462 0.03632 0.52074 0.53445 0.08074 0.036
-0.11478 0.03638 0.52147 0.53519 0.08261 0.061
-0.11494 0.03643 0.52220 0.53594 0.08449 -0.061
-0.11510 0.03648 0.52292 0.53668 0.08637 0.111
-0.11526 0.03653 0.52365 0.53743 0.08825 0.234
-0.11542 0.03658 0.52437 0.53817 0.09013 0.012
-0.11558 0.03663 0.52510 0.53892 0.09201 -0.133
-0.11574 0.03668 0.52583 0.53966 0.09389 -0.035
-0.11590 0.03673 0.52655 0.54041 0.09577 -0.181
-0.11606 0.03678 0.52728 0.54115 0.09765 -0.132
-0.11622 0.03683 0.52801 0.54190 0.09953 -0.058
-0.11638 0.03688 0.52873 0.54264 0.10141 0.067
-0.11654 0.03693 0.52946 0.54339 0.10329 0.283
-0.11670 0.03698 0.53018 0.54414 0.10517 0.406
-0.11686 0.03703 0.53091 0.54488 0.10705 0.235
-0.11702 0.03708 0.53164 0.54563 0.10893 0.234
-0.11718 0.03713 0.53236 0.54637 0.11081 -0.109
-0.11734 0.03719 0.53309 0.54712 0.11269 -0.158
-0.11750 0.03724 0.53382 0.54786 0.11457 0.209
-0.11766 0.03729 0.53454 0.54861 0.11645 0.284
-0.11782 0.03734 0.53527 0.54935 0.11833 -0.083
-0.11798 0.03739 0.53600 0.55010 0.12021 0.138
-0.11814 0.03744 0.53672 0.55085 0.12209 -0.183
-0.11830 0.03749 0.53745 0.55159 0.12397 -0.033
-0.11846 0.03754 0.53818 0.55234 0.12585 -0.060
-0.11862 0.03759 0.53890 0.55308 0.12773 -0.061
-0.11878 0.03764 0.53963 0.55383 0.12961 -0.008
-0.11894 0.03769 0.54036 0.55458 0.13149 -0.059
-0.11910 0.03774 0.54108 0.55532 0.13337 0.040
-0.11926 0.03779 0.54181 0.55607 0.13526 0.017
-0.11942 0.03784 0.54254 0.55681 0.13714 0.263
-0.11958 0.03790 0.54327 0.55756 0.13902 0.117
-0.11974 0.03795 0.54399 0.55831 0.14090 0.264
-0.11990 0.03800 0.54472 0.55905 0.14278 0.045
-0.12006 0.03805 0.54545 0.55980 0.14466 0.141
-0.12022 0.03810 0.54617 0.56054 0.14654 0.141
-0.12038 0.03815 0.54690 0.56129 0.14842 -0.055
-0.12054 0.03820 0.54763 0.56204 0.15031 0.189
-0.12070 0.03825 0.54835 0.56278 0.15219 0.192
-0.12086 0.03830 0.54908 0.56353 0.15407 0.193
-0.12102 0.03835 0.54981 0.56428 0.15595 0.168
-0.12118 0.03840 0.55054 0.56502 0.15783 0.364
-0.12134 0.03845 0.55126 0.56577 0.15971 0.314
-0.12150 0.03850 0.55199 0.56651 0.16160 0.267
-0.12166 0.03855 0.55272 0.56726 0.16348 0.242
-0.12182 0.03861 0.55344 0.56801 0.16536 0.487
-0.12198 0.03866 0.55417 0.56875 0.16724 -0.172
-0.12214 0.03871 0.55490 0.56950 0.16912 0.073
-0.12230 0.03876 0.55563 0.57025 0.17101 0.270
-0.12246 0.03881 0.55635 0.57099 0.17289 -0.097
-0.12262 0.03886 0.55708 0.57174 0.17477 0.341
-0.12278 0.03891 0.55781 0.57249 0.17665 0.341
-0.12294 0.03896 0.55854 0.57323 0.17854 0.123
-0.12310 0.03901 0.55926 0.57398 0.18042 0.024
-0.12326 0.03906 0.55999 0.57473 0.18230 0.123
-0.12342 0.03911 0.56072 0.57547 0.18418 -0.122
-0.12358 0.03916 0.56145 0.57622 0.18607 0.072
-0.12374 0.03921 0.56217 0.57697 0.18795 0.122
-0.12390 0.03927 0.56290 0.57771 0.18983 0.147
-0.12406 0.03932 0.56363 0.57846 0.19172 0.118
-0.12422 0.03937 0.56436 0.57921 0.19360 0.170
-0.12438 0.03942 0.56508 0.57995 0.19548 -0.171
-0.12454 0.03947 0.56581 0.58070 0.19737 0.137
-0.12470 0.03952 0.56654 0.58145 0.19925 -0.106
-0.12486 0.03957 0.56727 0.58219 0.20113 -0.149
-0.12502 0.03962 0.56800 0.58294 0.20302 -0.516
-0.12518 0.03967 0.56872 0.58369 0.20490 -0.400
-0.12534 0.03972 0.56945 0.58443 0.20678 -0.156
-0.12550 0.03977 0.57018 0.58518 0.20867 -0.257
-0.12566 0.03982 0.57091 0.58593 0.21055 -0.367
-0.12583 0.03987 0.57163 0.58668 0.21243 0.037
-0.12599 0.03993 0.57236 0.58742 0.21432 -0.316
-0.12615 0.03998 0.57309 0.58817 0.21620 -0.024
-0.12631 0.04003 0.57382 0.58892 0.21809 0.258
-0.12647 0.04008 0.57455 0.58966 0.21997 0.004
-0.12663 0.04013 0.57527 0.59041 0.22185 0.113
-0.12679 0.04018 0.57600 0.59116 0.22374 -0.275
-0.12695 0.04023 0.57673 0.59191 0.22562 -0.097
-0.12711 0.04028 0.57746 0.59265 0.22751 -0.291
-0.12727 0.04033 0.57819 0.59340 0.22939 0.002
-0.12743 0.04038 0.57892 0.59415 0.23127 -0.118
-0.12759 0.04043 0.57964 0.59490 0.23316 0.172
-0.12775 0.04048 0.58037 0.59564 0.23504 0.074
-0.12791 0.04053 0.58110 0.59639 0.23693 0.026
-0.12807 0.04059 0.58183 0.59714 0.23881 0.051
-0.12823 0.04064 0.58256 0.59789 0.24070 0.246
-0.12839 0.04069 0.58329 0.59863 0.24258 0.365
-0.12855 0.04074 0.58401 0.59938 0.24447 -0.315
-0.12871 0.04079 0.58474 0.60013 0.24635 0.099
-0.12887 0.04084 0.58547 0.60088 0.24824 -0.048
-0.12903 0.04089 0.58620 0.60162 0.25012 -0.070
-0.12919 0.04094 0.58693 0.60237 0.25201 0.221
-0.12935 0.04099 0.58766 0.60312 0.25389 -0.024
-0.12951 0.04104 0.58838 0.60387 0.25578 0.026
-0.12967 0.04109 0.58911 0.60461 0.25766 -0.047
-0.12983 0.04114 0.58984 0.60536 0.25955 -0.414
-0.12999 0.04120 0.59057 0.60611 0.26143 0.049
-0.13015 0.04125 0.59130 0.60686 0.26332 0.242
-0.13031 0.04130 0.59203 0.60760 0.26521 0.170
-0.13047 0.04135 0.59276 0.60835 0.26709 0.268
-0.13063 0.04140 0.59348 0.60910 0.26898 0.024
-0.13080 0.04145 0.59421 0.60985 0.27086 0.193
-0.13096 0.04150 0.59494 0.61060 0.27275 0.243
-0.13112 0.04155 0.59567 0.61134 0.27463 0.487
-0.13128 0.04160 0.59640 0.61209 0.27652 0.560
-0.13144 0.04165 0.59713 0.61284 0.27841 0.559
-0.13160 0.04170 0.59786 0.61359 0.28029 0.803
-0.13176 0.04175 0.59859 0.61434 0.28218 0.898
-0.13192 0.04181 0.59932 0.61508 0.28407 0.994
-0.13208 0.04186 0.60004 0.61583 0.28595 0.896
-0.13224 0.04191 0.60077 0.61658 0.28784 0.993
-0.13240 0.04196 0.60150 0.61733 0.28972 0.920
-0.13256 0.04201 0.60223 0.61808 0.29161 0.967
-0.13272 0.04206 0.60296 0.61883 0.29350 0.991
-0.13288 0.04211 0.60369 0.61957 0.29538 0.870
-0.13304 0.04216 0.60442 0.62032 0.29727 0.991
-0.13320 0.04221 0.60515 0.62107 0.29916 0.991
-0.13336 0.04226 0.60588 0.62182 0.30105 1.016
-0.13352 0.04231 0.60661 0.62257 0.30293 0.992
-0.13368 0.04236 0.60734 0.62332 0.30482 0.944
-0.13384 0.04242 0.60806 0.62406 0.30671 0.969
-0.13400 0.04247 0.60879 0.62481 0.30859 1.018
-0.13416 0.04252 0.60952 0.62556 0.31048 0.994
-0.13433 0.04257 0.61025 0.62631 0.31237 0.895
-0.13449 0.04262 0.61098 0.62706 0.31426 0.700
-0.13465 0.04267 0.61171 0.62781 0.31614 0.870
-0.13481 0.04272 0.61244 0.62855 0.31803 0.700
-0.13497 0.04277 0.61317 0.62930 0.31992 0.481
-0.13513 0.04282 0.61390 0.63005 0.32181 0.361
-0.13529 0.04287 0.61463 0.63080 0.32369 0.241
-0.13545 0.04292 0.61536 0.63155 0.32558 0.363
-0.13561 0.04298 0.61609 0.63230 0.32747 0.389
-0.13577 0.04303 0.61682 0.63305 0.32936 -0.049
-0.13593 0.04308 0.61755 0.63380 0.33125 0.170
-0.13609 0.04313 0.61828 0.63454 0.33313 0.147
-0.13625 0.04318 0.61901 0.63529 0.33502 -0.166
-0.13641 0.04323 0.61974 0.63604 0.33691 -0.117
-0.13657 0.04328 0.62047 0.63679 0.33880 0.098
-0.13673 0.04333 0.62120 0.63754 0.34069 0.076
-0.13689 0.04338 0.62192 0.63829 0.34257 0.075
-0.13706 0.04343 0.62265 0.63904 0.34446 0.005
-0.13722 0.04348 0.62338 0.63979 0.34635 -0.028
-0.13738 0.04353 0.62411 0.64054 0.34824 0.027
-0.13754 0.04359 0.62484 0.64128 0.35013 -0.028
-0.13770 0.04364 0.62557 0.64203 0.35202 -0.226
-0.13786 0.04369 0.62630 0.64278 0.35391 -0.421
-0.13802 0.04374 0.62703 0.64353 0.35580 -0.160
-0.13818 0.04379 0.62776 0.64428 0.35768 -0.035
-0.13834 0.04384 0.62849 0.64503 0.35957 -0.145
-0.13850 0.04389 0.62922 0.64578 0.36146 0.091
-0.13866 0.04394 0.62995 0.64653 0.36335 0.216
-0.13882 0.04399 0.63068 0.64728 0.36524 -0.166
-0.13898 0.04404 0.63141 0.64803 0.36713 -0.115
-0.13914 0.04410 0.63214 0.64878 0.36902 -0.081
