x y z dist_scaled dist_frac flux_norm
0.10984 0.06888 0.48557 0.50258 0.00000 0.999
0.11000 0.06899 0.48629 0.50333 0.00188 1.302
0.11017 0.06909 0.48701 0.50407 0.00375 0.929
0.11033 0.06919 0.48773 0.50481 0.00563 0.995
0.11049 0.06929 0.48845 0.50556 0.00751 1.061
0.11065 0.06939 0.48916 0.50630 0.00938 0.658
0.11082 0.06950 0.48988 0.50705 0.01126 0.926
0.11098 0.06960 0.49060 0.50779 0.01313 1.093
0.11114 0.06970 0.49132 0.50853 0.01501 1.397
0.11130 0.06980 0.49204 0.50928 0.01689 1.061
0.11147 0.06990 0.49276 0.51002 0.01876 1.091
0.11163 0.07000 0.49348 0.51077 0.02064 0.606
0.11179 0.07011 0.49420 0.51151 0.02252 0.674
0.11196 0.07021 0.49491 0.51225 0.02440 1.121
0.11212 0.07031 0.49563 0.51300 0.02627 1.256
0.11228 0.07041 0.49635 0.51374 0.02815 1.055
0.11244 0.07051 0.49707 0.51449 0.03003 0.954
0.11261 0.07062 0.49779 0.51523 0.03190 1.117
0.11277 0.07072 0.49851 0.51597 0.03378 0.908
0.11293 0.07082 0.49923 0.51672 0.03566 0.810
0.11309 0.07092 0.49995 0.51746 0.03754 1.375
0.11326 0.07102 0.50067 0.51821 0.03941 0.678
0.11342 0.07113 0.50139 0.51895 0.04129 0.804
0.11358 0.07123 0.50210 0.51970 0.04317 1.391
0.11374 0.07133 0.50282 0.52044 0.04505 0.875
0.11391 0.07143 0.50354 0.52118 0.04692 1.487
0.11407 0.07154 0.50426 0.52193 0.04880 0.973
0.11423 0.07164 0.50498 0.52267 0.05068 0.828
0.11440 0.07174 0.50570 0.52342 0.05256 0.880
0.11456 0.07184 0.50642 0.52416 0.05444 1.223
0.11472 0.07194 0.50714 0.52491 0.05631 1.200
0.11488 0.07205 0.50786 0.52565 0.05819 0.782
0.11505 0.07215 0.50858 0.52640 0.06007 0.828
0.11521 0.07225 0.50930 0.52714 0.06195 0.942
0.11537 0.07235 0.51002 0.52788 0.06383 0.948
0.11553 0.07245 0.51074 0.52863 0.06571 0.978
0.11570 0.07256 0.51146 0.52937 0.06758 1.329
0.11586 0.07266 0.51217 0.53012 0.06946 1.237
0.11602 0.07276 0.51289 0.53086 0.07134 1.390
0.11619 0.07286 0.51361 0.53161 0.07322 1.089
0.11635 0.07296 0.51433 0.53235 0.07510 1.159
0.11651 0.07307 0.51505 0.53310 0.07698 1.079
0.11667 0.07317 0.51577 0.53384 0.07886 1.065
0.11684 0.07327 0.51649 0.53459 0.08074 1.069
0.11700 0.07337 0.51721 0.53533 0.08261 1.111
0.11716 0.07347 0.51793 0.53608 0.08449 1.018
0.11732 0.07358 0.51865 0.53682 0.08637 1.041
0.11749 0.07368 0.51937 0.53757 0.08825 0.964
0.11765 0.07378 0.52009 0.53831 0.09013 0.874
0.11781 0.07388 0.52081 0.53906 0.09201 1.445
0.11798 0.07398 0.52153 0.53980 0.09389 1.181
0.11814 0.07409 0.52225 0.54055 0.09577 1.057
0.11830 0.07419 0.52297 0.54129 0.09765 1.187
0.11846 0.07429 0.52369 0.54204 0.09953 0.874
0.11863 0.07439 0.52441 0.54278 0.10141 1.240
0.11879 0.07450 0.52513 0.54353 0.10329 0.732
0.11895 0.07460 0.52585 0.54427 0.10517 0.863
0.11912 0.07470 0.52657 0.54502 0.10705 0.994
0.11928 0.07480 0.52729 0.54576 0.10893 0.994
0.11944 0.07490 0.52801 0.54651 0.11081 1.058
0.11960 0.07501 0.52873 0.54725 0.11269 1.221
0.11977 0.07511 0.52945 0.54800 0.11457 1.349
0.11993 0.07521 0.53017 0.54874 0.11645 0.992
0.12009 0.07531 0.53089 0.54949 0.11833 0.892
0.12026 0.07541 0.53161 0.55024 0.12021 0.992
0.12042 0.07552 0.53233 0.55098 0.12209 1.216
0.12058 0.07562 0.53305 0.55173 0.12397 1.021
0.12075 0.07572 0.53377 0.55247 0.12585 1.245
0.12091 0.07582 0.53449 0.55322 0.12773 1.213
0.12107 0.07593 0.53521 0.55396 0.12961 0.953
0.12123 0.07603 0.53593 0.55471 0.13149 0.790
0.12140 0.07613 0.53665 0.55545 0.13338 1.048
0.12156 0.07623 0.53737 0.55620 0.13526 0.853
0.12172 0.07633 0.53809 0.55695 0.13714 1.110
0.12189 0.07644 0.53881 0.55769 0.13902 0.884
0.12205 0.07654 0.53954 0.55844 0.14090 0.657
0.12221 0.07664 0.54026 0.55918 0.14278 0.786
0.12237 0.07674 0.54098 0.55993 0.14466 0.658
0.12254 0.07685 0.54170 0.56067 0.14654 1.012
0.12270 0.07695 0.54242 0.56142 0.14843 1.074
0.12286 0.07705 0.54314 0.56217 0.15031 1.009
0.12303 0.07715 0.54386 0.56291 0.15219 1.106
0.12319 0.07725 0.54458 0.56366 0.15407 1.040
0.12335 0.07736 0.54530 0.56440 0.15595 1.136
0.12352 0.07746 0.54602 0.56515 0.15783 0.753
0.12368 0.07756 0.54674 0.56590 0.15972 0.975
0.12384 0.07766 0.54746 0.56664 0.16160 0.879
0.12401 0.07777 0.54818 0.56739 0.16348 0.878
0.12417 0.07787 0.54890 0.56813 0.16536 1.100
0.12433 0.07797 0.54962 0.56888 0.16724 0.492
0.12449 0.07807 0.55035 0.56963 0.16913 1.068
0.12466 0.07817 0.55107 0.57037 0.17101 1.000
0.12482 0.07828 0.55179 0.57112 0.17289 0.969
0.12498 0.07838 0.55251 0.57186 0.17477 0.841
0.12515 0.07848 0.55323 0.57261 0.17665 1.220
0.12531 0.07858 0.55395 0.57336 0.17854 1.029
0.12547 0.07869 0.55467 0.57410 0.18042 1.092
0.12564 0.07879 0.55539 0.57485 0.18230 0.931
0.12580 0.07889 0.55611 0.57560 0.18419 0.962
0.12596 0.07899 0.55683 0.57634 0.18607 1.374
0.12613 0.07910 0.55756 0.57709 0.18795 0.898
0.12629 0.07920 0.55828 0.57784 0.18983 0.772
0.12645 0.07930 0.55900 0.57858 0.19172 1.088
0.12661 0.07940 0.55972 0.57933 0.19360 0.899
0.12678 0.07950 0.56044 0.58007 0.19548 1.214
0.12694 0.07961 0.56116 0.58082 0.19737 0.863
0.12710 0.07971 0.56188 0.58157 0.19925 1.022
0.12727 0.07981 0.56260 0.58231 0.20113 0.581
