x y z dist_scaled dist_frac flux_norm wavelength redshift
0.03004 0.08784 0.49393 0.50258 0.00000 0.896 1236.115 0.01682
0.03009 0.08797 0.49466 0.50333 0.00188 1.061 1236.145 0.01684
0.03013 0.08810 0.49540 0.50407 0.00375 1.016 1236.175 0.01687
0.03018 0.08823 0.49613 0.50481 0.00563 0.924 1236.205 0.01689
0.03022 0.08836 0.49686 0.50556 0.00751 1.230 1236.235 0.01692
0.03026 0.08849 0.49759 0.50630 0.00938 1.044 1236.265 0.01694
0.03031 0.08862 0.49832 0.50705 0.01126 0.904 1236.295 0.01697
0.03035 0.08875 0.49905 0.50779 0.01313 1.070 1236.325 0.01699
0.03040 0.08888 0.49978 0.50853 0.01501 0.907 1236.355 0.01701
0.03044 0.08901 0.50051 0.50928 0.01689 1.025 1236.384 0.01704
0.03049 0.08914 0.50124 0.51002 0.01876 0.908 1236.414 0.01706
0.03053 0.08927 0.50198 0.51077 0.02064 0.980 1236.444 0.01709
0.03058 0.08940 0.50271 0.51151 0.02252 0.910 1236.474 0.01711
0.03062 0.08953 0.50344 0.51225 0.02440 0.909 1236.504 0.01714
0.03066 0.08966 0.50417 0.51300 0.02627 0.838 1236.534 0.01716
0.03071 0.08979 0.50490 0.51374 0.02815 0.793 1236.564 0.01719
0.03075 0.08992 0.50563 0.51449 0.03003 0.842 1236.594 0.01721
0.03080 0.09005 0.50636 0.51523 0.03190 0.842 1236.623 0.01724
0.03084 0.09018 0.50709 0.51597 0.03378 1.056 1236.653 0.01726
0.03089 0.09031 0.50783 0.51672 0.03566 1.010 1236.683 0.01729
0.03093 0.09044 0.50856 0.51746 0.03754 0.798 1236.713 0.01731
0.03098 0.09057 0.50929 0.51821 0.03941 1.256 1236.743 0.01733
0.03102 0.09070 0.51002 0.51895 0.04129 1.119 1236.773 0.01736
0.03107 0.09083 0.51075 0.51970 0.04317 0.858 1236.803 0.01738
0.03111 0.09097 0.51148 0.52044 0.04505 1.102 1236.833 0.01741
0.03115 0.09110 0.51221 0.52118 0.04692 0.958 1236.862 0.01743
0.03120 0.09123 0.51295 0.52193 0.04880 0.832 1236.892 0.01746
0.03124 0.09136 0.51368 0.52267 0.05068 0.651 1236.922 0.01748
0.03129 0.09149 0.51441 0.52342 0.05256 0.715 1236.952 0.01751
0.03133 0.09162 0.51514 0.52416 0.05444 1.096 1236.982 0.01753
0.03138 0.09175 0.51587 0.52491 0.05631 0.768 1237.012 0.01756
0.03142 0.09188 0.51660 0.52565 0.05819 0.877 1237.042 0.01758
0.03147 0.09201 0.51734 0.52640 0.06007 1.262 1237.072 0.01760
0.03151 0.09214 0.51807 0.52714 0.06195 1.203 1237.101 0.01763
0.03155 0.09227 0.51880 0.52788 0.06383 0.871 1237.131 0.01765
0.03160 0.09240 0.51953 0.52863 0.06571 1.314 1237.161 0.01768
0.03164 0.09253 0.52026 0.52937 0.06758 0.973 1237.191 0.01770
0.03169 0.09266 0.52100 0.53012 0.06946 1.136 1237.221 0.01773
0.03173 0.09279 0.52173 0.53086 0.07134 0.868 1237.251 0.01775
0.03178 0.09292 0.52246 0.53161 0.07322 0.899 1237.281 0.01778
0.03182 0.09305 0.52319 0.53235 0.07510 1.102 1237.311 0.01780
0.03187 0.09318 0.52392 0.53310 0.07698 1.143 1237.341 0.01783
0.03191 0.09331 0.52466 0.53384 0.07886 0.986 1237.370 0.01785
0.03196 0.09344 0.52539 0.53459 0.08074 1.207 1237.400 0.01788
0.03200 0.09357 0.52612 0.53533 0.08261 1.209 1237.430 0.01790
0.03204 0.09370 0.52685 0.53608 0.08449 1.087 1237.460 0.01792
0.03209 0.09383 0.52758 0.53682 0.08637 0.881 1237.490 0.01795
0.03213 0.09396 0.52832 0.53757 0.08825 1.109 1237.520 0.01797
0.03218 0.09409 0.52905 0.53831 0.09013 0.783 1237.550 0.01800
0.03222 0.09422 0.52978 0.53906 0.09201 0.889 1237.580 0.01802
0.03227 0.09435 0.53051 0.53980 0.09389 0.848 1237.609 0.01805
0.03231 0.09448 0.53124 0.54055 0.09577 0.718 1237.639 0.01807
0.03236 0.09461 0.53198 0.54129 0.09765 0.815 1237.669 0.01810
0.03240 0.09474 0.53271 0.54204 0.09953 1.005 1237.699 0.01812
0.03245 0.09487 0.53344 0.54278 0.10141 1.163 1237.729 0.01815
0.03249 0.09500 0.53417 0.54353 0.10329 1.070 1237.759 0.01817
0.03253 0.09513 0.53491 0.54427 0.10517 1.093 1237.789 0.01819
0.03258 0.09526 0.53564 0.54502 0.10705 0.945 1237.819 0.01822
0.03262 0.09539 0.53637 0.54576 0.10893 1.168 1237.848 0.01824
0.03267 0.09552 0.53710 0.54651 0.11081 1.047 1237.878 0.01827
0.03271 0.09565 0.53784 0.54725 0.11269 1.122 1237.908 0.01829
0.03276 0.09578 0.53857 0.54800 0.11457 1.000 1237.938 0.01832
0.03280 0.09591 0.53930 0.54874 0.11645 0.976 1237.968 0.01834
0.03285 0.09604 0.54003 0.54949 0.11833 1.249 1237.998 0.01837
0.03289 0.09617 0.54077 0.55024 0.12021 0.929 1238.028 0.01839
0.03294 0.09630 0.54150 0.55098 0.12209 1.399 1238.058 0.01842
0.03298 0.09643 0.54223 0.55173 0.12397 1.377 1238.087 0.01844
0.03302 0.09656 0.54296 0.55247 0.12585 0.955 1238.117 0.01847
0.03307 0.09669 0.54370 0.55322 0.12773 1.153 1238.147 0.01849
0.03311 0.09682 0.54443 0.55396 0.12961 1.055 1238.177 0.01851
