x y z dist_scaled dist_frac flux_norm wavelength redshift
0.02533 0.06253 0.49803 0.50258 0.00000 1.786 1236.115 0.01682
0.02537 0.06262 0.49877 0.50333 0.00188 -1.036 1236.145 0.01684
0.02541 0.06272 0.49951 0.50407 0.00375 -1.022 1236.175 0.01687
0.02544 0.06281 0.50024 0.50481 0.00563 -1.021 1236.205 0.01689
0.02548 0.06290 0.50098 0.50556 0.00751 4.822 1236.235 0.01692
0.02552 0.06299 0.50172 0.50630 0.00938 -1.114 1236.265 0.01694
0.02556 0.06309 0.50246 0.50705 0.01126 -1.191 1236.295 0.01697
0.02559 0.06318 0.50319 0.50779 0.01313 -1.254 1236.325 0.01699
0.02563 0.06327 0.50393 0.50853 0.01501 -1.282 1236.355 0.01701
0.02567 0.06336 0.50467 0.50928 0.01689 -1.332 1236.384 0.01704
0.02571 0.06346 0.50540 0.51002 0.01876 7.970 1236.414 0.01706
0.02574 0.06355 0.50614 0.51077 0.02064 1.798 1236.444 0.01709
0.02578 0.06364 0.50688 0.51151 0.02252 -1.268 1236.474 0.01711
0.02582 0.06373 0.50762 0.51225 0.02440 1.913 1236.504 0.01714
0.02586 0.06383 0.50835 0.51300 0.02627 -1.323 1236.534 0.01716
0.02589 0.06392 0.50909 0.51374 0.02815 1.922 1236.564 0.01719
0.02593 0.06401 0.50983 0.51449 0.03003 -1.348 1236.594 0.01721
0.02597 0.06410 0.51057 0.51523 0.03190 -1.340 1236.623 0.01724
0.02601 0.06420 0.51130 0.51597 0.03378 5.311 1236.653 0.01726
0.02604 0.06429 0.51204 0.51672 0.03566 -1.445 1236.683 0.01729
0.02608 0.06438 0.51278 0.51746 0.03754 5.427 1236.713 0.01731
0.02612 0.06447 0.51352 0.51821 0.03941 -1.463 1236.743 0.01733
0.02616 0.06457 0.51425 0.51895 0.04129 2.001 1236.773 0.01736
0.02619 0.06466 0.51499 0.51970 0.04317 -1.569 1236.803 0.01738
0.02623 0.06475 0.51573 0.52044 0.04505 -1.535 1236.833 0.01741
0.02627 0.06485 0.51647 0.52118 0.04692 -1.489 1236.862 0.01743
0.02631 0.06494 0.51720 0.52193 0.04880 2.163 1236.892 0.01746
0.02634 0.06503 0.51794 0.52267 0.05068 2.129 1236.922 0.01748
0.02638 0.06512 0.51868 0.52342 0.05256 3.300 1236.952 0.01751
0.02642 0.06522 0.51942 0.52416 0.05444 -1.678 1236.982 0.01753
0.02646 0.06531 0.52016 0.52491 0.05631 2.172 1237.012 0.01756
0.02649 0.06540 0.52089 0.52565 0.05819 -1.683 1237.042 0.01758
0.02653 0.06549 0.52163 0.52640 0.06007 -1.737 1237.072 0.01760
0.02657 0.06559 0.52237 0.52714 0.06195 2.309 1237.101 0.01763
0.02661 0.06568 0.52311 0.52788 0.06383 6.337 1237.131 0.01765
0.02664 0.06577 0.52384 0.52863 0.06571 6.408 1237.161 0.01768
0.02668 0.06586 0.52458 0.52937 0.06758 6.404 1237.191 0.01770
0.02672 0.06596 0.52532 0.53012 0.06946 2.373 1237.221 0.01773
0.02676 0.06605 0.52606 0.53086 0.07134 2.438 1237.251 0.01775
0.02679 0.06614 0.52680 0.53161 0.07322 7.921 1237.281 0.01778
0.02683 0.06623 0.52753 0.53235 0.07510 7.994 1237.311 0.01780
0.02687 0.06633 0.52827 0.53310 0.07698 -1.466 1237.341 0.01783
0.02691 0.06642 0.52901 0.53384 0.07886 -1.487 1237.370 0.01785
0.02695 0.06651 0.52975 0.53459 0.08074 9.737 1237.400 0.01788
