x y z dist_scaled dist_frac flux_norm wavelength redshift
0.26033 0.10037 0.41802 0.50258 0.00000 1.421 1236.115 0.01682
0.26072 0.10052 0.41864 0.50333 0.00188 1.165 1236.145 0.01684
0.26110 0.10067 0.41926 0.50407 0.00375 1.064 1236.175 0.01687
0.26149 0.10082 0.41988 0.50481 0.00563 0.861 1236.205 0.01689
0.26187 0.10096 0.42050 0.50556 0.00751 0.806 1236.235 0.01692
0.26226 0.10111 0.42111 0.50630 0.00938 1.065 1236.265 0.01694
0.26264 0.10126 0.42173 0.50705 0.01126 0.806 1236.295 0.01697
0.26303 0.10141 0.42235 0.50779 0.01313 0.910 1236.325 0.01699
0.26342 0.10156 0.42297 0.50853 0.01501 0.701 1236.355 0.01701
0.26380 0.10171 0.42359 0.50928 0.01689 0.910 1236.384 0.01704
0.26419 0.10186 0.42421 0.51002 0.01876 1.157 1236.414 0.01706
0.26457 0.10200 0.42483 0.51077 0.02064 1.291 1236.444 0.01709
0.26496 0.10215 0.42545 0.51151 0.02252 1.189 1236.474 0.01711
0.26534 0.10230 0.42606 0.51225 0.02440 1.115 1236.504 0.01714
0.26573 0.10245 0.42668 0.51300 0.02627 1.221 1236.534 0.01716
0.26611 0.10260 0.42730 0.51374 0.02815 0.791 1236.564 0.01719
0.26650 0.10275 0.42792 0.51449 0.03003 0.774 1236.594 0.01721
0.26688 0.10290 0.42854 0.51523 0.03190 0.737 1236.623 0.01724
0.26727 0.10304 0.42916 0.51597 0.03378 1.020 1236.653 0.01726
0.26765 0.10319 0.42978 0.51672 0.03566 0.908 1236.683 0.01729
0.26804 0.10334 0.43040 0.51746 0.03754 1.418 1236.713 0.01731
0.26843 0.10349 0.43102 0.51821 0.03941 0.733 1236.743 0.01733
0.26881 0.10364 0.43164 0.51895 0.04129 1.232 1236.773 0.01736
0.26920 0.10379 0.43225 0.51970 0.04317 1.735 1236.803 0.01738
0.26958 0.10394 0.43287 0.52044 0.04505 0.928 1236.833 0.01741
0.26997 0.10409 0.43349 0.52118 0.04692 0.866 1236.862 0.01743
0.27035 0.10423 0.43411 0.52193 0.04880 0.763 1236.892 0.01746
0.27074 0.10438 0.43473 0.52267 0.05068 0.763 1236.922 0.01748
0.27112 0.10453 0.43535 0.52342 0.05256 1.131 1236.952 0.01751
0.27151 0.10468 0.43597 0.52416 0.05444 0.810 1236.982 0.01753
0.27190 0.10483 0.43659 0.52491 0.05631 0.905 1237.012 0.01756
0.27228 0.10498 0.43721 0.52565 0.05819 1.119 1237.042 0.01758
0.27267 0.10513 0.43783 0.52640 0.06007 0.860 1237.072 0.01760
0.27305 0.10527 0.43845 0.52714 0.06195 0.704 1237.101 0.01763
0.27344 0.10542 0.43907 0.52788 0.06383 0.703 1237.131 0.01765
0.27382 0.10557 0.43969 0.52863 0.06571 1.018 1237.161 0.01768
0.27421 0.10572 0.44031 0.52937 0.06758 0.705 1237.191 0.01770
0.27460 0.10587 0.44092 0.53012 0.06946 0.963 1237.221 0.01773
0.27498 0.10602 0.44154 0.53086 0.07134 0.963 1237.251 0.01775
0.27537 0.10617 0.44216 0.53161 0.07322 1.018 1237.281 0.01778
0.27575 0.10632 0.44278 0.53235 0.07510 1.433 1237.311 0.01780
0.27614 0.10646 0.44340 0.53310 0.07698 1.121 1237.341 0.01783
0.27653 0.10661 0.44402 0.53384 0.07886 1.225 1237.370 0.01785
0.27691 0.10676 0.44464 0.53459 0.08074 0.846 1237.400 0.01788
0.27730 0.10691 0.44526 0.53533 0.08261 1.377 1237.430 0.01790
0.27768 0.10706 0.44588 0.53608 0.08449 0.959 1237.460 0.01792
0.27807 0.10721 0.44650 0.53682 0.08637 1.010 1237.490 0.01795
0.27845 0.10736 0.44712 0.53757 0.08825 1.582 1237.520 0.01797
0.27884 0.10751 0.44774 0.53831 0.09013 1.013 1237.550 0.01800
0.27923 0.10765 0.44836 0.53906 0.09201 1.221 1237.580 0.01802
0.27961 0.10780 0.44898 0.53980 0.09389 0.909 1237.609 0.01805
0.28000 0.10795 0.44960 0.54055 0.09577 0.964 1237.639 0.01807
0.28038 0.10810 0.45022 0.54129 0.09765 1.123 1237.669 0.01810
0.28077 0.10825 0.45084 0.54204 0.09953 1.017 1237.699 0.01812
0.28116 0.10840 0.45146 0.54278 0.10141 1.121 1237.729 0.01815
0.28154 0.10855 0.45208 0.54353 0.10329 0.970 1237.759 0.01817
0.28193 0.10870 0.45270 0.54427 0.10517 1.180 1237.789 0.01819
0.28231 0.10885 0.45332 0.54502 0.10705 0.921 1237.819 0.01822
0.28270 0.10899 0.45394 0.54576 0.10893 0.870 1237.848 0.01824
0.28309 0.10914 0.45456 0.54651 0.11081 0.973 1237.878 0.01827
0.28347 0.10929 0.45518 0.54725 0.11269 1.655 1237.908 0.01829
0.28386 0.10944 0.45580 0.54800 0.11457 1.342 1237.938 0.01832
0.28424 0.10959 0.45642 0.54874 0.11645 1.237 1237.968 0.01834
0.28463 0.10974 0.45704 0.54949 0.11833 1.392 1237.998 0.01837
0.28502 0.10989 0.45766 0.55024 0.12021 1.235 1238.028 0.01839
0.28540 0.11004 0.45828 0.55098 0.12209 1.180 1238.058 0.01842
0.28579 0.11018 0.45890 0.55173 0.12397 1.129 1238.087 0.01844
0.28618 0.11033 0.45952 0.55247 0.12585 1.186 1238.117 0.01847
0.28656 0.11048 0.46014 0.55322 0.12773 0.712 1238.147 0.01849
0.28695 0.11063 0.46076 0.55396 0.12961 1.444 1238.177 0.01851
0.28733 0.11078 0.46138 0.55471 0.13149 1.289 1238.207 0.01854
0.28772 0.11093 0.46200 0.55545 0.13338 1.133 1238.237 0.01856
0.28811 0.11108 0.46262 0.55620 0.13526 0.609 1238.267 0.01859
