x y z dist_scaled dist_frac absorption
-0.34531 -0.09821 0.35149 0.50243 0.00000 0.150
-0.34582 -0.09836 0.35201 0.50317 0.00188 -0.232
-0.34633 -0.09850 0.35253 0.50391 0.00375 -0.285
-0.34684 -0.09865 0.35305 0.50466 0.00563 -0.060
-0.34736 -0.09879 0.35358 0.50540 0.00750 0.045
-0.34787 -0.09894 0.35410 0.50615 0.00938 -0.020
-0.34838 -0.09909 0.35462 0.50689 0.01126 -0.164
-0.34889 -0.09923 0.35514 0.50763 0.01313 -0.006
-0.34940 -0.09938 0.35566 0.50838 0.01501 0.060
-0.34991 -0.09952 0.35618 0.50912 0.01689 -0.122
-0.35042 -0.09967 0.35670 0.50987 0.01876 0.034
-0.35094 -0.09981 0.35722 0.51061 0.02064 -0.240
-0.35145 -0.09996 0.35774 0.51136 0.02252 -0.042
-0.35196 -0.10010 0.35826 0.51210 0.02440 -0.251
-0.35247 -0.10025 0.35878 0.51285 0.02627 0.025
-0.35298 -0.10039 0.35930 0.51359 0.02815 0.038
-0.35349 -0.10054 0.35982 0.51433 0.03003 -0.014
-0.35401 -0.10069 0.36034 0.51508 0.03190 -0.001
-0.35452 -0.10083 0.36087 0.51582 0.03378 -0.132
-0.35503 -0.10098 0.36139 0.51657 0.03566 0.039
-0.35554 -0.10112 0.36191 0.51731 0.03754 0.001
-0.35605 -0.10127 0.36243 0.51806 0.03941 -0.130
-0.35656 -0.10141 0.36295 0.51880 0.04129 0.053
-0.35708 -0.10156 0.36347 0.51955 0.04317 -0.051
-0.35759 -0.10170 0.36399 0.52029 0.04505 -0.102
-0.35810 -0.10185 0.36451 0.52104 0.04692 -0.062
-0.35861 -0.10200 0.36503 0.52178 0.04880 0.003
-0.35912 -0.10214 0.36555 0.52253 0.05068 0.043
-0.35964 -0.10229 0.36608 0.52327 0.05256 0.082
-0.36015 -0.10243 0.36660 0.52401 0.05444 0.069
-0.36066 -0.10258 0.36712 0.52476 0.05631 0.043
-0.36117 -0.10272 0.36764 0.52550 0.05819 0.278
-0.36168 -0.10287 0.36816 0.52625 0.06007 0.032
-0.36220 -0.10301 0.36868 0.52699 0.06195 0.045
-0.36271 -0.10316 0.36920 0.52774 0.06383 0.137
-0.36322 -0.10331 0.36972 0.52848 0.06571 0.086
-0.36373 -0.10345 0.37024 0.52923 0.06758 0.237
-0.36424 -0.10360 0.37077 0.52997 0.06946 0.020
-0.36476 -0.10374 0.37129 0.53072 0.07134 0.131
-0.36527 -0.10389 0.37181 0.53146 0.07322 0.251
-0.36578 -0.10403 0.37233 0.53221 0.07510 0.019
-0.36629 -0.10418 0.37285 0.53295 0.07698 0.229
-0.36680 -0.10433 0.37337 0.53370 0.07886 0.079
-0.36732 -0.10447 0.37389 0.53445 0.08074 0.141
-0.36783 -0.10462 0.37441 0.53519 0.08261 -0.080
-0.36834 -0.10476 0.37494 0.53594 0.08449 -0.161
-0.36885 -0.10491 0.37546 0.53668 0.08637 0.118
-0.36936 -0.10505 0.37598 0.53743 0.08825 0.081
-0.36988 -0.10520 0.37650 0.53817 0.09013 -0.019
-0.37039 -0.10535 0.37702 0.53892 0.09201 0.103
-0.37090 -0.10549 0.37754 0.53966 0.09389 0.070
-0.37141 -0.10564 0.37806 0.54041 0.09577 0.298
-0.37193 -0.10578 0.37859 0.54115 0.09765 0.206
-0.37244 -0.10593 0.37911 0.54190 0.09953 0.350
-0.37295 -0.10607 0.37963 0.54264 0.10141 0.325
-0.37346 -0.10622 0.38015 0.54339 0.10329 0.094
-0.37398 -0.10637 0.38067 0.54414 0.10517 0.095
-0.37449 -0.10651 0.38119 0.54488 0.10705 0.108
-0.37500 -0.10666 0.38172 0.54563 0.10893 0.301
-0.37551 -0.10680 0.38224 0.54637 0.11081 0.148
-0.37603 -0.10695 0.38276 0.54712 0.11269 -0.069
-0.37654 -0.10709 0.38328 0.54786 0.11457 0.162
-0.37705 -0.10724 0.38380 0.54861 0.11645 -0.004
-0.37756 -0.10739 0.38432 0.54935 0.11833 -0.157
-0.37808 -0.10753 0.38485 0.55010 0.12021 0.227
-0.37859 -0.10768 0.38537 0.55085 0.12209 -0.054
-0.37910 -0.10782 0.38589 0.55159 0.12397 0.126
-0.37961 -0.10797 0.38641 0.55234 0.12585 -0.142
-0.38013 -0.10811 0.38693 0.55308 0.12773 0.038
-0.38064 -0.10826 0.38745 0.55383 0.12961 0.140
-0.38115 -0.10841 0.38798 0.55458 0.13149 -0.013
-0.38166 -0.10855 0.38850 0.55532 0.13337 0.064
-0.38218 -0.10870 0.38902 0.55607 0.13526 -0.076
-0.38269 -0.10884 0.38954 0.55681 0.13714 0.002
-0.38320 -0.10899 0.39006 0.55756 0.13902 -0.290
