x y z dist_scaled dist_frac flux_norm
-0.38116 0.22940 0.23384 0.50258 0.00000 1.174
-0.38173 0.22974 0.23418 0.50333 0.00188 1.103
-0.38229 0.23008 0.23453 0.50407 0.00375 1.013
-0.38286 0.23042 0.23488 0.50481 0.00563 0.939
-0.38342 0.23076 0.23522 0.50556 0.00751 1.168
-0.38398 0.23110 0.23557 0.50630 0.00938 1.167
-0.38455 0.23144 0.23591 0.50705 0.01126 1.150
-0.38511 0.23178 0.23626 0.50779 0.01313 1.113
-0.38568 0.23212 0.23661 0.50853 0.01501 1.197
-0.38624 0.23245 0.23695 0.50928 0.01689 0.893
-0.38680 0.23279 0.23730 0.51002 0.01876 1.163
-0.38737 0.23313 0.23764 0.51077 0.02064 1.035
-0.38793 0.23347 0.23799 0.51151 0.02252 1.196
-0.38850 0.23381 0.23834 0.51225 0.02440 1.017
-0.38906 0.23415 0.23868 0.51300 0.02627 1.177
-0.38963 0.23449 0.23903 0.51374 0.02815 0.835
-0.39019 0.23483 0.23938 0.51449 0.03003 1.122
-0.39075 0.23517 0.23972 0.51523 0.03190 0.958
-0.39132 0.23551 0.24007 0.51597 0.03378 0.957
-0.39188 0.23585 0.24041 0.51672 0.03566 1.115
-0.39245 0.23619 0.24076 0.51746 0.03754 0.812
-0.39301 0.23653 0.24111 0.51821 0.03941 1.078
-0.39358 0.23687 0.24145 0.51895 0.04129 0.886
-0.39414 0.23721 0.24180 0.51970 0.04317 1.025
-0.39471 0.23755 0.24215 0.52044 0.04505 1.028
-0.39527 0.23789 0.24249 0.52118 0.04692 1.053
-0.39584 0.23823 0.24284 0.52193 0.04880 1.191
-0.39640 0.23857 0.24319 0.52267 0.05068 0.835
-0.39696 0.23891 0.24353 0.52342 0.05256 0.862
-0.39753 0.23925 0.24388 0.52416 0.05444 1.118
-0.39809 0.23959 0.24422 0.52491 0.05631 0.863
-0.39866 0.23993 0.24457 0.52565 0.05819 0.952
-0.39922 0.24027 0.24492 0.52640 0.06007 1.159
-0.39979 0.24061 0.24526 0.52714 0.06195 0.676
-0.40035 0.24095 0.24561 0.52788 0.06383 0.737
-0.40092 0.24129 0.24596 0.52863 0.06571 0.472
-0.40148 0.24163 0.24630 0.52937 0.06758 0.514
-0.40205 0.24197 0.24665 0.53012 0.06946 0.505
-0.40261 0.24231 0.24700 0.53086 0.07134 0.870
-0.40318 0.24265 0.24734 0.53161 0.07322 1.095
-0.40374 0.24299 0.24769 0.53235 0.07510 0.886
-0.40431 0.24333 0.24804 0.53310 0.07698 1.007
-0.40487 0.24367 0.24838 0.53384 0.07886 1.041
-0.40544 0.24401 0.24873 0.53459 0.08074 0.910
-0.40600 0.24435 0.24908 0.53533 0.08261 0.802
-0.40657 0.24469 0.24942 0.53608 0.08449 0.821
-0.40713 0.24503 0.24977 0.53682 0.08637 0.853
-0.40770 0.24537 0.25012 0.53757 0.08825 0.974
-0.40826 0.24571 0.25046 0.53831 0.09013 0.988
