x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.17148 0.24958 0.40112 0.50258 0.00000 0.960 0.091 1236.115 0.01682
0.17173 0.24995 0.40171 0.50333 0.00188 0.922 0.090 1236.145 0.01684
0.17199 0.25032 0.40230 0.50407 0.00375 0.815 0.089 1236.175 0.01687
0.17224 0.25069 0.40290 0.50481 0.00563 0.798 0.089 1236.205 0.01689
0.17250 0.25105 0.40349 0.50556 0.00751 0.964 0.092 1236.235 0.01692
0.17275 0.25142 0.40409 0.50630 0.00938 1.031 0.095 1236.265 0.01694
0.17300 0.25179 0.40468 0.50705 0.01126 0.996 0.093 1236.295 0.01697
0.17326 0.25216 0.40527 0.50779 0.01313 1.027 0.095 1236.325 0.01699
0.17351 0.25253 0.40587 0.50853 0.01501 1.052 0.096 1236.355 0.01701
0.17376 0.25290 0.40646 0.50928 0.01689 1.064 0.096 1236.384 0.01704
0.17402 0.25327 0.40705 0.51002 0.01876 0.924 0.095 1236.414 0.01706
0.17427 0.25364 0.40765 0.51077 0.02064 0.940 0.091 1236.444 0.01709
0.17453 0.25401 0.40824 0.51151 0.02252 0.885 0.093 1236.474 0.01711
0.17478 0.25438 0.40884 0.51225 0.02440 1.063 0.096 1236.504 0.01714
0.17503 0.25475 0.40943 0.51300 0.02627 1.176 0.101 1236.534 0.01716
0.17529 0.25512 0.41002 0.51374 0.02815 1.269 0.105 1236.564 0.01719
0.17554 0.25549 0.41062 0.51449 0.03003 1.132 0.099 1236.594 0.01721
0.17580 0.25586 0.41121 0.51523 0.03190 1.085 0.097 1236.623 0.01724
0.17605 0.25623 0.41181 0.51597 0.03378 0.965 0.092 1236.653 0.01726
0.17630 0.25660 0.41240 0.51672 0.03566 1.080 0.097 1236.683 0.01729
0.17656 0.25697 0.41299 0.51746 0.03754 0.904 0.094 1236.713 0.01731
0.17681 0.25734 0.41359 0.51821 0.03941 1.071 0.097 1236.743 0.01733
0.17706 0.25771 0.41418 0.51895 0.04129 1.112 0.099 1236.773 0.01736
0.17732 0.25808 0.41478 0.51970 0.04317 0.957 0.091 1236.803 0.01738
0.17757 0.25844 0.41537 0.52044 0.04505 0.912 0.094 1236.833 0.01741
0.17783 0.25881 0.41596 0.52118 0.04692 0.818 0.085 1236.862 0.01743
0.17808 0.25918 0.41656 0.52193 0.04880 0.958 0.091 1236.892 0.01746
0.17833 0.25955 0.41715 0.52267 0.05068 1.001 0.094 1236.922 0.01748
0.17859 0.25992 0.41775 0.52342 0.05256 0.958 0.091 1236.952 0.01751
0.17884 0.26029 0.41834 0.52416 0.05444 1.054 0.100 1236.982 0.01753
0.17910 0.26066 0.41893 0.52491 0.05631 0.688 0.087 1237.012 0.01756
0.17935 0.26103 0.41953 0.52565 0.05819 1.228 0.104 1237.042 0.01758
0.17960 0.26140 0.42012 0.52640 0.06007 0.870 0.092 1237.072 0.01760
0.17986 0.26177 0.42072 0.52714 0.06195 1.152 0.100 1237.101 0.01763
0.18011 0.26214 0.42131 0.52788 0.06383 1.012 0.097 1237.131 0.01765
0.18037 0.26251 0.42191 0.52863 0.06571 0.994 0.093 1237.161 0.01768
0.18062 0.26288 0.42250 0.52937 0.06758 0.871 0.095 1237.191 0.01770
0.18088 0.26325 0.42309 0.53012 0.06946 0.986 0.093 1237.221 0.01773
0.18113 0.26362 0.42369 0.53086 0.07134 0.926 0.095 1237.251 0.01775
0.18138 0.26399 0.42428 0.53161 0.07322 1.031 0.095 1237.281 0.01778
0.18164 0.26436 0.42488 0.53235 0.07510 1.022 0.095 1237.311 0.01780
0.18189 0.26473 0.42547 0.53310 0.07698 0.970 0.092 1237.341 0.01783
0.18215 0.26510 0.42607 0.53384 0.07886 0.822 0.085 1237.370 0.01785
0.18240 0.26547 0.42666 0.53459 0.08074 0.986 0.093 1237.400 0.01788
0.18265 0.26584 0.42726 0.53533 0.08261 0.993 0.098 1237.430 0.01790
0.18291 0.26621 0.42785 0.53608 0.08449 1.056 0.096 1237.460 0.01792
0.18316 0.26658 0.42844 0.53682 0.08637 0.968 0.092 1237.490 0.01795
0.18342 0.26695 0.42904 0.53757 0.08825 0.962 0.092 1237.520 0.01797
0.18367 0.26732 0.42963 0.53831 0.09013 1.064 0.096 1237.550 0.01800
