x y z dist_scaled dist_frac absorption
0.11806 0.29918 0.38599 0.50243 0.00000 0.028
0.11824 0.29962 0.38656 0.50317 0.00188 -0.165
0.11841 0.30006 0.38713 0.50391 0.00375 -0.237
0.11859 0.30051 0.38770 0.50466 0.00563 0.187
0.11876 0.30095 0.38828 0.50540 0.00750 -0.227
0.11894 0.30139 0.38885 0.50615 0.00938 -0.158
0.11911 0.30183 0.38942 0.50689 0.01126 0.025
0.11928 0.30228 0.38999 0.50763 0.01313 -0.173
0.11946 0.30272 0.39056 0.50838 0.01501 0.006
0.11963 0.30316 0.39113 0.50912 0.01689 0.000
0.11981 0.30361 0.39171 0.50987 0.01876 -0.031
0.11998 0.30405 0.39228 0.51061 0.02064 -0.043
0.12016 0.30449 0.39285 0.51136 0.02252 0.080
0.12033 0.30494 0.39342 0.51210 0.02440 0.089
0.12051 0.30538 0.39399 0.51285 0.02627 0.057
0.12068 0.30582 0.39457 0.51359 0.02815 -0.041
0.12086 0.30627 0.39514 0.51433 0.03003 0.046
0.12103 0.30671 0.39571 0.51508 0.03190 -0.033
0.12121 0.30715 0.39628 0.51582 0.03378 -0.059
0.12138 0.30760 0.39685 0.51657 0.03566 0.075
0.12156 0.30804 0.39743 0.51731 0.03754 -0.016
0.12173 0.30848 0.39800 0.51806 0.03941 -0.188
0.12191 0.30893 0.39857 0.51880 0.04129 -0.319
0.12208 0.30937 0.39914 0.51955 0.04317 0.148
0.12226 0.30981 0.39971 0.52029 0.04505 -0.041
0.12243 0.31026 0.40029 0.52104 0.04692 0.088
0.12261 0.31070 0.40086 0.52178 0.04880 0.061
0.12278 0.31114 0.40143 0.52253 0.05068 -0.012
0.12296 0.31159 0.40200 0.52327 0.05256 0.235
0.12313 0.31203 0.40257 0.52401 0.05444 0.047
0.12331 0.31247 0.40315 0.52476 0.05631 0.032
0.12348 0.31292 0.40372 0.52550 0.05819 -0.043
0.12366 0.31336 0.40429 0.52625 0.06007 -0.113
0.12383 0.31381 0.40486 0.52699 0.06195 0.132
0.12401 0.31425 0.40544 0.52774 0.06383 -0.343
0.12418 0.31469 0.40601 0.52848 0.06571 0.061
0.12436 0.31514 0.40658 0.52923 0.06758 0.065
0.12453 0.31558 0.40715 0.52997 0.06946 -0.051
0.12471 0.31602 0.40772 0.53072 0.07134 -0.050
0.12488 0.31647 0.40830 0.53146 0.07322 0.051
0.12506 0.31691 0.40887 0.53221 0.07510 -0.006
0.12523 0.31735 0.40944 0.53295 0.07698 -0.035
0.12541 0.31780 0.41001 0.53370 0.07886 0.023
0.12558 0.31824 0.41059 0.53445 0.08074 -0.118
0.12576 0.31869 0.41116 0.53519 0.08261 0.097
0.12594 0.31913 0.41173 0.53594 0.08449 -0.062
0.12611 0.31957 0.41230 0.53668 0.08637 -0.119
0.12629 0.32002 0.41288 0.53743 0.08825 -0.090
0.12646 0.32046 0.41345 0.53817 0.09013 -0.017
0.12664 0.32090 0.41402 0.53892 0.09201 0.112
0.12681 0.32135 0.41460 0.53966 0.09389 -0.102
0.12699 0.32179 0.41517 0.54041 0.09577 -0.060
0.12716 0.32224 0.41574 0.54115 0.09765 0.157
0.12734 0.32268 0.41631 0.54190 0.09953 0.013
0.12751 0.32312 0.41689 0.54264 0.10141 0.057
0.12769 0.32357 0.41746 0.54339 0.10329 -0.229
0.12786 0.32401 0.41803 0.54414 0.10517 -0.158
0.12804 0.32446 0.41860 0.54488 0.10705 0.014
0.12821 0.32490 0.41918 0.54563 0.10893 0.188
0.12839 0.32534 0.41975 0.54637 0.11081 0.060
0.12856 0.32579 0.42032 0.54712 0.11269 -0.082
0.12874 0.32623 0.42090 0.54786 0.11457 -0.026
0.12891 0.32668 0.42147 0.54861 0.11645 0.175
0.12909 0.32712 0.42204 0.54935 0.11833 -0.182
0.12926 0.32756 0.42261 0.55010 0.12021 0.047
0.12944 0.32801 0.42319 0.55085 0.12209 -0.050
0.12961 0.32845 0.42376 0.55159 0.12397 -0.036
0.12979 0.32890 0.42433 0.55234 0.12585 -0.007
0.12996 0.32934 0.42491 0.55308 0.12773 0.093
0.13014 0.32979 0.42548 0.55383 0.12961 -0.035
0.13032 0.33023 0.42605 0.55458 0.13149 -0.006
0.13049 0.33067 0.42663 0.55532 0.13337 0.209
0.13067 0.33112 0.42720 0.55607 0.13526 0.108
0.13084 0.33156 0.42777 0.55681 0.13714 -0.104
0.13102 0.33201 0.42834 0.55756 0.13902 0.037
0.13119 0.33245 0.42892 0.55831 0.14090 0.082
0.13137 0.33289 0.42949 0.55905 0.14278 0.024
0.13154 0.33334 0.43006 0.55980 0.14466 0.053
0.13172 0.33378 0.43064 0.56054 0.14654 -0.004
0.13189 0.33423 0.43121 0.56129 0.14842 0.108
0.13207 0.33467 0.43178 0.56204 0.15031 0.206
0.13224 0.33512 0.43236 0.56278 0.15219 0.081
0.13242 0.33556 0.43293 0.56353 0.15407 -0.173
0.13259 0.33600 0.43350 0.56428 0.15595 0.095
0.13277 0.33645 0.43408 0.56502 0.15783 0.008
0.13295 0.33689 0.43465 0.56577 0.15971 0.094
0.13312 0.33734 0.43522 0.56651 0.16160 0.010
0.13330 0.33778 0.43580 0.56726 0.16348 0.181
0.13347 0.33823 0.43637 0.56801 0.16536 0.053
0.13365 0.33867 0.43694 0.56875 0.16724 0.082
0.13382 0.33912 0.43752 0.56950 0.16912 0.223
0.13400 0.33956 0.43809 0.57025 0.17101 0.096
0.13417 0.34000 0.43866 0.57099 0.17289 0.141
0.13435 0.34045 0.43924 0.57174 0.17477 -0.072
0.13452 0.34089 0.43981 0.57249 0.17665 0.210
0.13470 0.34134 0.44039 0.57323 0.17854 0.294
0.13487 0.34178 0.44096 0.57398 0.18042 0.001
0.13505 0.34223 0.44153 0.57473 0.18230 0.090
0.13523 0.34267 0.44211 0.57547 0.18418 0.233
0.13540 0.34312 0.44268 0.57622 0.18607 0.146
0.13558 0.34356 0.44325 0.57697 0.18795 0.109
0.13575 0.34401 0.44383 0.57771 0.18983 -0.071
0.13593 0.34445 0.44440 0.57846 0.19172 0.168
0.13610 0.34490 0.44497 0.57921 0.19360 0.093
0.13628 0.34534 0.44555 0.57995 0.19548 0.246
0.13645 0.34579 0.44612 0.58070 0.19737 0.248
0.13663 0.34623 0.44670 0.58145 0.19925 -0.007
0.13680 0.34667 0.44727 0.58219 0.20113 0.059
0.13698 0.34712 0.44784 0.58294 0.20302 -0.028
0.13716 0.34756 0.44842 0.58369 0.20490 0.273
0.13733 0.34801 0.44899 0.58443 0.20678 0.015
0.13751 0.34845 0.44957 0.58518 0.20867 0.169
0.13768 0.34890 0.45014 0.58593 0.21055 0.002
0.13786 0.34934 0.45071 0.58668 0.21243 0.060
0.13803 0.34979 0.45129 0.58742 0.21432 0.045
0.13821 0.35023 0.45186 0.58817 0.21620 -0.095
0.13838 0.35068 0.45244 0.58892 0.21809 0.186
0.13856 0.35112 0.45301 0.58966 0.21997 0.132
0.13874 0.35157 0.45358 0.59041 0.22185 0.134
0.13891 0.35201 0.45416 0.59116 0.22374 -0.148
0.13909 0.35246 0.45473 0.59191 0.22562 0.160
0.13926 0.35290 0.45531 0.59265 0.22751 0.131
0.13944 0.35335 0.45588 0.59340 0.22939 0.090
0.13961 0.35379 0.45645 0.59415 0.23127 0.119
0.13979 0.35424 0.45703 0.59490 0.23316 -0.092
0.13997 0.35468 0.45760 0.59564 0.23504 0.188
0.14014 0.35513 0.45818 0.59639 0.23693 0.116
0.14032 0.35557 0.45875 0.59714 0.23881 0.018
0.14049 0.35602 0.45932 0.59789 0.24070 0.062
0.14067 0.35646 0.45990 0.59863 0.24258 0.006
0.14084 0.35691 0.46047 0.59938 0.24447 0.076
0.14102 0.35735 0.46105 0.60013 0.24635 0.174
0.14119 0.35780 0.46162 0.60088 0.24824 0.004
0.14137 0.35824 0.46220 0.60162 0.25012 -0.022
0.14155 0.35869 0.46277 0.60237 0.25201 0.175
0.14172 0.35913 0.46335 0.60312 0.25389 0.342
0.14190 0.35958 0.46392 0.60387 0.25578 -0.222
0.14207 0.36002 0.46449 0.60461 0.25766 -0.010
0.14225 0.36047 0.46507 0.60536 0.25955 0.018
0.14242 0.36092 0.46564 0.60611 0.26143 -0.080
0.14260 0.36136 0.46622 0.60686 0.26332 0.087
0.14278 0.36181 0.46679 0.60760 0.26521 -0.179
0.14295 0.36225 0.46737 0.60835 0.26709 -0.123
0.14313 0.36270 0.46794 0.60910 0.26898 0.143
0.14330 0.36314 0.46852 0.60985 0.27086 0.186
0.14348 0.36359 0.46909 0.61060 0.27275 0.073
0.14365 0.36403 0.46967 0.61134 0.27463 0.029
0.14383 0.36448 0.47024 0.61209 0.27652 0.186
0.14401 0.36492 0.47081 0.61284 0.27841 0.003
0.14418 0.36537 0.47139 0.61359 0.28029 0.171
0.14436 0.36581 0.47196 0.61434 0.28218 0.004
0.14453 0.36626 0.47254 0.61508 0.28407 -0.054
0.14471 0.36671 0.47311 0.61583 0.28595 0.115
0.14489 0.36715 0.47369 0.61658 0.28784 -0.040
0.14506 0.36760 0.47426 0.61733 0.28972 -0.124
0.14524 0.36804 0.47484 0.61808 0.29161 -0.038
0.14541 0.36849 0.47541 0.61883 0.29350 0.005
0.14559 0.36893 0.47599 0.61957 0.29538 -0.010
0.14576 0.36938 0.47656 0.62032 0.29727 -0.038
0.14594 0.36982 0.47714 0.62107 0.29916 0.102
0.14612 0.37027 0.47771 0.62182 0.30105 -0.178
0.14629 0.37072 0.47829 0.62257 0.30293 -0.063
0.14647 0.37116 0.47886 0.62332 0.30482 -0.289
0.14664 0.37161 0.47944 0.62406 0.30671 0.048
0.14682 0.37205 0.48001 0.62481 0.30859 0.077
0.14700 0.37250 0.48059 0.62556 0.31048 0.103
0.14717 0.37294 0.48116 0.62631 0.31237 -0.150
0.14735 0.37339 0.48174 0.62706 0.31426 0.089
0.14752 0.37384 0.48231 0.62781 0.31614 -0.120
0.14770 0.37428 0.48289 0.62855 0.31803 0.076
0.14787 0.37473 0.48346 0.62930 0.31992 0.049
0.14805 0.37517 0.48404 0.63005 0.32181 0.148
0.14823 0.37562 0.48461 0.63080 0.32369 -0.120
0.14840 0.37606 0.48519 0.63155 0.32558 -0.064
