x y z dist_scaled dist_frac absorption
0.14564 -0.15943 0.45365 0.50243 0.00000 -0.020
0.14586 -0.15966 0.45433 0.50317 0.00188 -0.338
0.14607 -0.15990 0.45500 0.50391 0.00375 -0.161
0.14629 -0.16014 0.45567 0.50466 0.00563 -0.057
0.14651 -0.16037 0.45634 0.50540 0.00750 0.225
0.14672 -0.16061 0.45701 0.50615 0.00938 0.048
0.14694 -0.16085 0.45769 0.50689 0.01126 -0.093
0.14715 -0.16108 0.45836 0.50763 0.01313 -0.058
0.14737 -0.16132 0.45903 0.50838 0.01501 0.401
0.14758 -0.16155 0.45970 0.50912 0.01689 -0.127
0.14780 -0.16179 0.46037 0.50987 0.01876 0.189
0.14802 -0.16203 0.46105 0.51061 0.02064 0.119
0.14823 -0.16226 0.46172 0.51136 0.02252 0.156
0.14845 -0.16250 0.46239 0.51210 0.02440 0.366
0.14866 -0.16273 0.46306 0.51285 0.02627 0.436
0.14888 -0.16297 0.46373 0.51359 0.02815 0.366
0.14910 -0.16321 0.46441 0.51433 0.03003 0.261
0.14931 -0.16344 0.46508 0.51508 0.03190 0.156
0.14953 -0.16368 0.46575 0.51582 0.03378 0.404
0.14974 -0.16392 0.46642 0.51657 0.03566 0.051
0.14996 -0.16415 0.46710 0.51731 0.03754 0.299
0.15017 -0.16439 0.46777 0.51806 0.03941 0.227
0.15039 -0.16462 0.46844 0.51880 0.04129 0.086
0.15061 -0.16486 0.46911 0.51955 0.04317 -0.089
0.15082 -0.16510 0.46979 0.52029 0.04505 -0.371
0.15104 -0.16533 0.47046 0.52104 0.04692 0.156
0.15125 -0.16557 0.47113 0.52178 0.04880 -0.229
0.15147 -0.16581 0.47180 0.52253 0.05068 -0.121
0.15169 -0.16604 0.47248 0.52327 0.05256 0.124
0.15190 -0.16628 0.47315 0.52401 0.05444 0.018
0.15212 -0.16652 0.47382 0.52476 0.05631 -0.399
0.15233 -0.16675 0.47449 0.52550 0.05819 -0.379
0.15255 -0.16699 0.47517 0.52625 0.06007 0.389
0.15276 -0.16722 0.47584 0.52699 0.06195 0.129
0.15298 -0.16746 0.47651 0.52774 0.06383 -0.205
0.15320 -0.16770 0.47718 0.52848 0.06571 0.083
0.15341 -0.16793 0.47786 0.52923 0.06758 0.216
0.15363 -0.16817 0.47853 0.52997 0.06946 -0.172
0.15384 -0.16841 0.47920 0.53072 0.07134 -0.162
0.15406 -0.16864 0.47987 0.53146 0.07322 0.109
0.15428 -0.16888 0.48055 0.53221 0.07510 0.256
0.15449 -0.16912 0.48122 0.53295 0.07698 -0.018
0.15471 -0.16935 0.48189 0.53370 0.07886 0.051
0.15492 -0.16959 0.48257 0.53445 0.08074 -0.056
0.15514 -0.16983 0.48324 0.53519 0.08261 0.125
0.15536 -0.17006 0.48391 0.53594 0.08449 -0.399
0.15557 -0.17030 0.48458 0.53668 0.08637 0.184
0.15579 -0.17053 0.48526 0.53743 0.08825 -0.304
0.15601 -0.17077 0.48593 0.53817 0.09013 0.023
0.15622 -0.17101 0.48660 0.53892 0.09201 -0.102
0.15644 -0.17124 0.48728 0.53966 0.09389 -0.344
0.15665 -0.17148 0.48795 0.54041 0.09577 -0.216
0.15687 -0.17172 0.48862 0.54115 0.09765 -0.428
0.15709 -0.17195 0.48930 0.54190 0.09953 -0.412
0.15730 -0.17219 0.48997 0.54264 0.10141 -0.153
0.15752 -0.17243 0.49064 0.54339 0.10329 -0.148
0.15773 -0.17266 0.49131 0.54414 0.10517 -0.096
0.15795 -0.17290 0.49199 0.54488 0.10705 -0.019
0.15817 -0.17314 0.49266 0.54563 0.10893 0.059
0.15838 -0.17337 0.49333 0.54637 0.11081 -0.147
0.15860 -0.17361 0.49401 0.54712 0.11269 -0.148
0.15881 -0.17385 0.49468 0.54786 0.11457 -0.430
0.15903 -0.17408 0.49535 0.54861 0.11645 -0.226
0.15925 -0.17432 0.49603 0.54935 0.11833 0.186
0.15946 -0.17456 0.49670 0.55010 0.12021 0.057
0.15968 -0.17479 0.49737 0.55085 0.12209 0.313
0.15990 -0.17503 0.49805 0.55159 0.12397 0.109
0.16011 -0.17527 0.49872 0.55234 0.12585 0.031
0.16033 -0.17550 0.49939 0.55308 0.12773 0.057
0.16054 -0.17574 0.50007 0.55383 0.12961 -0.173
0.16076 -0.17598 0.50074 0.55458 0.13149 -0.121
0.16098 -0.17621 0.50142 0.55532 0.13337 0.161
0.16119 -0.17645 0.50209 0.55607 0.13526 0.084
0.16141 -0.17669 0.50276 0.55681 0.13714 0.134
0.16163 -0.17692 0.50344 0.55756 0.13902 -0.173
0.16184 -0.17716 0.50411 0.55831 0.14090 -0.020
0.16206 -0.17740 0.50478 0.55905 0.14278 0.058
0.16227 -0.17763 0.50546 0.55980 0.14466 0.083
0.16249 -0.17787 0.50613 0.56054 0.14654 0.389
0.16271 -0.17811 0.50680 0.56129 0.14842 -0.072
0.16292 -0.17834 0.50748 0.56204 0.15031 -0.095
0.16314 -0.17858 0.50815 0.56278 0.15219 0.009
0.16336 -0.17882 0.50883 0.56353 0.15407 0.211
0.16357 -0.17905 0.50950 0.56428 0.15595 0.058
0.16379 -0.17929 0.51017 0.56502 0.15783 0.006
0.16400 -0.17953 0.51085 0.56577 0.15971 0.261
0.16422 -0.17976 0.51152 0.56651 0.16160 -0.022
0.16444 -0.18000 0.51220 0.56726 0.16348 0.309
0.16465 -0.18024 0.51287 0.56801 0.16536 0.002
0.16487 -0.18048 0.51354 0.56875 0.16724 0.028
0.16509 -0.18071 0.51422 0.56950 0.16912 -0.253
0.16530 -0.18095 0.51489 0.57025 0.17101 -0.071
0.16552 -0.18119 0.51557 0.57099 0.17289 0.027
0.16574 -0.18142 0.51624 0.57174 0.17477 0.202
0.16595 -0.18166 0.51691 0.57249 0.17665 0.134
0.16617 -0.18190 0.51759 0.57323 0.17854 -0.042
0.16638 -0.18213 0.51826 0.57398 0.18042 0.062
0.16660 -0.18237 0.51894 0.57473 0.18230 0.341
0.16682 -0.18261 0.51961 0.57547 0.18418 -0.079
0.16703 -0.18284 0.52028 0.57622 0.18607 0.201
0.16725 -0.18308 0.52096 0.57697 0.18795 -0.045
0.16747 -0.18332 0.52163 0.57771 0.18983 0.447
0.16768 -0.18356 0.52231 0.57846 0.19172 0.238
0.16790 -0.18379 0.52298 0.57921 0.19360 0.379
0.16812 -0.18403 0.52366 0.57995 0.19548 0.273
0.16833 -0.18427 0.52433 0.58070 0.19737 0.310
0.16855 -0.18450 0.52500 0.58145 0.19925 -0.007
0.16877 -0.18474 0.52568 0.58219 0.20113 0.274
0.16898 -0.18498 0.52635 0.58294 0.20302 0.203
0.16920 -0.18521 0.52703 0.58369 0.20490 0.588
0.16942 -0.18545 0.52770 0.58443 0.20678 0.099
0.16963 -0.18569 0.52838 0.58518 0.20867 0.381
0.16985 -0.18593 0.52905 0.58593 0.21055 0.309
0.17007 -0.18616 0.52973 0.58668 0.21243 0.097
0.17028 -0.18640 0.53040 0.58742 0.21432 0.168
0.17050 -0.18664 0.53108 0.58817 0.21620 -0.006
0.17072 -0.18687 0.53175 0.58892 0.21809 0.484
0.17093 -0.18711 0.53242 0.58966 0.21997 0.519
0.17115 -0.18735 0.53310 0.59041 0.22185 0.449
0.17136 -0.18759 0.53377 0.59116 0.22374 0.484
0.17158 -0.18782 0.53445 0.59191 0.22562 0.169
0.17180 -0.18806 0.53512 0.59265 0.22751 0.449
0.17201 -0.18830 0.53580 0.59340 0.22939 0.204
0.17223 -0.18853 0.53647 0.59415 0.23127 0.377
0.17245 -0.18877 0.53715 0.59490 0.23316 0.236
0.17266 -0.18901 0.53782 0.59564 0.23504 0.446
0.17288 -0.18925 0.53850 0.59639 0.23693 0.621
0.17310 -0.18948 0.53917 0.59714 0.23881 0.380
0.17331 -0.18972 0.53985 0.59789 0.24070 0.544
0.17353 -0.18996 0.54052 0.59863 0.24258 0.647
0.17375 -0.19019 0.54120 0.59938 0.24447 0.595
0.17396 -0.19043 0.54187 0.60013 0.24635 0.434
0.17418 -0.19067 0.54255 0.60088 0.24824 0.555
0.17440 -0.19091 0.54322 0.60162 0.25012 0.326
0.17462 -0.19114 0.54390 0.60237 0.25201 0.110
0.17483 -0.19138 0.54457 0.60312 0.25389 0.228
0.17505 -0.19162 0.54525 0.60387 0.25578 0.026
0.17527 -0.19185 0.54592 0.60461 0.25766 0.104
0.17548 -0.19209 0.54660 0.60536 0.25955 -0.102
0.17570 -0.19233 0.54727 0.60611 0.26143 -0.125
0.17592 -0.19257 0.54795 0.60686 0.26332 -0.034
0.17613 -0.19280 0.54862 0.60760 0.26521 -0.049
0.17635 -0.19304 0.54930 0.60835 0.26709 -0.013
0.17657 -0.19328 0.54997 0.60910 0.26898 -0.203
0.17678 -0.19352 0.55065 0.60985 0.27086 -0.024
0.17700 -0.19375 0.55132 0.61060 0.27275 -0.139
0.17722 -0.19399 0.55200 0.61134 0.27463 0.107
0.17743 -0.19423 0.55268 0.61209 0.27652 0.152
0.17765 -0.19447 0.55335 0.61284 0.27841 0.133
0.17787 -0.19470 0.55403 0.61359 0.28029 -0.220
0.17808 -0.19494 0.55470 0.61434 0.28218 -0.107
0.17830 -0.19518 0.55538 0.61508 0.28407 -0.005
0.17852 -0.19541 0.55605 0.61583 0.28595 -0.366
0.17873 -0.19565 0.55673 0.61658 0.28784 -0.316
0.17895 -0.19589 0.55740 0.61733 0.28972 -0.137
0.17917 -0.19613 0.55808 0.61808 0.29161 0.197
0.17938 -0.19636 0.55875 0.61883 0.29350 -0.009
0.17960 -0.19660 0.55943 0.61957 0.29538 0.092
0.17982 -0.19684 0.56011 0.62032 0.29727 0.040
0.18004 -0.19708 0.56078 0.62107 0.29916 0.118
0.18025 -0.19731 0.56146 0.62182 0.30105 -0.114
0.18047 -0.19755 0.56213 0.62257 0.30293 -0.063
0.18069 -0.19779 0.56281 0.62332 0.30482 -0.064
0.18090 -0.19803 0.56348 0.62406 0.30671 -0.245
0.18112 -0.19826 0.56416 0.62481 0.30859 0.063
0.18134 -0.19850 0.56484 0.62556 0.31048 -0.092
0.18155 -0.19874 0.56551 0.62631 0.31237 -0.196
0.18177 -0.19898 0.56619 0.62706 0.31426 -0.095
0.18199 -0.19921 0.56686 0.62781 0.31614 0.058
0.18221 -0.19945 0.56754 0.62855 0.31803 0.136
0.18242 -0.19969 0.56822 0.62930 0.31992 -0.196
0.18264 -0.19993 0.56889 0.63005 0.32181 0.192
0.18286 -0.20016 0.56957 0.63080 0.32369 0.040
