x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.01612 0.02588 0.04847 0.05726 0.00000 1.173 0.149 1231.247 0.01281
0.01615 0.02593 0.04856 0.05737 0.00110 1.011 0.148 1231.277 0.01284
0.01618 0.02598 0.04866 0.05748 0.00220 0.879 0.140 1231.306 0.01286
0.01621 0.02603 0.04875 0.05760 0.00330 0.688 0.127 1231.336 0.01289
0.01624 0.02608 0.04885 0.05771 0.00440 0.877 0.140 1231.366 0.01291
0.01627 0.02613 0.04894 0.05782 0.00550 0.979 0.147 1231.396 0.01294
0.01631 0.02618 0.04903 0.05793 0.00661 1.270 0.154 1231.426 0.01296
0.01634 0.02623 0.04913 0.05804 0.00771 1.023 0.149 1231.456 0.01299
0.01637 0.02628 0.04922 0.05815 0.00881 0.921 0.143 1231.486 0.01301
0.01640 0.02633 0.04932 0.05826 0.00991 0.863 0.139 1231.516 0.01303
0.01643 0.02638 0.04941 0.05837 0.01101 1.053 0.151 1231.546 0.01306
0.01646 0.02643 0.04950 0.05848 0.01211 1.083 0.153 1231.576 0.01308
0.01649 0.02648 0.04960 0.05859 0.01321 1.112 0.154 1231.605 0.01311
0.01652 0.02653 0.04969 0.05871 0.01431 1.127 0.155 1231.635 0.01313
0.01656 0.02658 0.04978 0.05882 0.01541 1.008 0.139 1231.665 0.01316
0.01659 0.02663 0.04988 0.05893 0.01652 1.286 0.155 1231.695 0.01318
0.01662 0.02668 0.04997 0.05904 0.01762 1.009 0.148 1231.725 0.01321
0.01665 0.02673 0.05007 0.05915 0.01872 0.979 0.147 1231.755 0.01323
0.01668 0.02678 0.05016 0.05926 0.01982 0.861 0.139 1231.785 0.01326
0.01671 0.02683 0.05025 0.05937 0.02092 1.096 0.144 1231.815 0.01328
0.01674 0.02689 0.05035 0.05948 0.02202 1.067 0.152 1231.845 0.01331
0.01677 0.02694 0.05044 0.05959 0.02312 0.935 0.144 1231.874 0.01333
0.01681 0.02699 0.05054 0.05970 0.02423 1.040 0.151 1231.904 0.01335
0.01684 0.02704 0.05063 0.05982 0.02533 0.955 0.146 1231.934 0.01338
0.01687 0.02709 0.05072 0.05993 0.02643 1.004 0.148 1231.964 0.01340
0.01690 0.02714 0.05082 0.06004 0.02753 1.050 0.151 1231.994 0.01343
0.01693 0.02719 0.05091 0.06015 0.02863 1.205 0.161 1232.024 0.01345
0.01696 0.02724 0.05101 0.06026 0.02973 1.161 0.149 1232.054 0.01348
0.01699 0.02729 0.05110 0.06037 0.03084 1.021 0.150 1232.084 0.01350
0.01702 0.02734 0.05119 0.06048 0.03194 1.053 0.142 1232.114 0.01353
0.01706 0.02739 0.05129 0.06059 0.03304 0.859 0.139 1232.143 0.01355
0.01709 0.02744 0.05138 0.06070 0.03414 1.055 0.152 1232.173 0.01358
0.01712 0.02749 0.05148 0.06081 0.03524 1.080 0.153 1232.203 0.01360
0.01715 0.02754 0.05157 0.06093 0.03635 1.104 0.155 1232.233 0.01362
0.01718 0.02759 0.05166 0.06104 0.03745 1.161 0.148 1232.263 0.01365
0.01721 0.02764 0.05176 0.06115 0.03855 1.088 0.154 1232.293 0.01367
0.01724 0.02769 0.05185 0.06126 0.03965 1.132 0.147 1232.323 0.01370
0.01727 0.02774 0.05195 0.06137 0.04075 1.019 0.149 1232.353 0.01372
0.01731 0.02779 0.05204 0.06148 0.04186 0.962 0.146 1232.383 0.01375
0.01734 0.02784 0.05213 0.06159 0.04296 1.019 0.150 1232.413 0.01377
0.01737 0.02789 0.05223 0.06170 0.04406 1.024 0.150 1232.442 0.01380
0.01740 0.02794 0.05232 0.06181 0.04516 1.077 0.143 1232.472 0.01382
0.01743 0.02799 0.05242 0.06193 0.04627 1.057 0.142 1232.502 0.01385
0.01746 0.02804 0.05251 0.06204 0.04737 0.883 0.140 1232.532 0.01387
