x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.01110 -0.01165 0.05495 0.05726 0.00000 0.341 0.142 1231.245 0.01281
0.01112 -0.01167 0.05506 0.05737 0.00110 0.389 0.148 1231.275 0.01284
0.01114 -0.01169 0.05516 0.05748 0.00220 0.091 0.103 1231.305 0.01286
0.01116 -0.01172 0.05527 0.05759 0.00330 0.090 0.102 1231.335 0.01289
0.01119 -0.01174 0.05538 0.05770 0.00440 0.089 0.101 1231.365 0.01291
0.01121 -0.01176 0.05548 0.05781 0.00550 0.040 0.091 1231.395 0.01293
0.01123 -0.01178 0.05559 0.05792 0.00661 0.041 0.090 1231.425 0.01296
0.01125 -0.01181 0.05569 0.05803 0.00771 -0.008 0.077 1231.454 0.01298
0.01127 -0.01183 0.05580 0.05814 0.00881 0.040 0.090 1231.484 0.01301
0.01129 -0.01185 0.05591 0.05826 0.00991 -0.008 0.076 1231.514 0.01303
0.01131 -0.01187 0.05601 0.05837 0.01101 0.064 0.095 1231.544 0.01306
0.01134 -0.01190 0.05612 0.05848 0.01211 0.040 0.089 1231.574 0.01308
0.01136 -0.01192 0.05623 0.05859 0.01321 -0.008 0.075 1231.604 0.01311
0.01138 -0.01194 0.05633 0.05870 0.01431 0.016 0.082 1231.634 0.01313
0.01140 -0.01196 0.05644 0.05881 0.01541 0.085 0.097 1231.664 0.01316
0.01142 -0.01199 0.05655 0.05892 0.01652 -0.009 0.074 1231.693 0.01318
0.01144 -0.01201 0.05665 0.05903 0.01762 0.014 0.081 1231.723 0.01321
0.01147 -0.01203 0.05676 0.05914 0.01872 0.014 0.081 1231.753 0.01323
0.01149 -0.01206 0.05687 0.05925 0.01982 -0.010 0.074 1231.783 0.01325
0.01151 -0.01208 0.05697 0.05936 0.02092 0.036 0.086 1231.813 0.01328
0.01153 -0.01210 0.05708 0.05948 0.02202 0.012 0.080 1231.843 0.01330
0.01155 -0.01212 0.05719 0.05959 0.02312 0.126 0.103 1231.873 0.01333
0.01157 -0.01215 0.05729 0.05970 0.02423 0.211 0.115 1231.903 0.01335
0.01159 -0.01217 0.05740 0.05981 0.02533 0.281 0.124 1231.932 0.01338
0.01162 -0.01219 0.05751 0.05992 0.02643 0.404 0.140 1231.962 0.01340
0.01164 -0.01221 0.05761 0.06003 0.02753 0.710 0.168 1231.992 0.01343
0.01166 -0.01224 0.05772 0.06014 0.02863 0.710 0.169 1232.022 0.01345
0.01168 -0.01226 0.05782 0.06025 0.02973 0.738 0.170 1232.052 0.01348
0.01170 -0.01228 0.05793 0.06036 0.03084 1.171 0.203 1232.082 0.01350
0.01172 -0.01230 0.05804 0.06047 0.03194 1.065 0.195 1232.112 0.01352
0.01174 -0.01233 0.05814 0.06059 0.03304 0.811 0.175 1232.142 0.01355
0.01177 -0.01235 0.05825 0.06070 0.03414 1.136 0.199 1232.171 0.01357
0.01179 -0.01237 0.05836 0.06081 0.03524 1.050 0.192 1232.201 0.01360
0.01181 -0.01239 0.05846 0.06092 0.03635 0.874 0.178 1232.231 0.01362
0.01183 -0.01242 0.05857 0.06103 0.03745 1.106 0.197 1232.261 0.01365
0.01185 -0.01244 0.05868 0.06114 0.03855 1.010 0.190 1232.291 0.01367
0.01187 -0.01246 0.05878 0.06125 0.03965 1.202 0.203 1232.321 0.01370
0.01190 -0.01248 0.05889 0.06136 0.04075 1.004 0.189 1232.351 0.01372
0.01192 -0.01251 0.05900 0.06147 0.04186 1.065 0.192 1232.381 0.01375
0.01194 -0.01253 0.05910 0.06159 0.04296 1.062 0.192 1232.411 0.01377
0.01196 -0.01255 0.05921 0.06170 0.04406 1.144 0.197 1232.440 0.01380
0.01198 -0.01257 0.05932 0.06181 0.04516 0.692 0.163 1232.470 0.01382
0.01200 -0.01260 0.05942 0.06192 0.04627 0.966 0.184 1232.500 0.01384
0.01202 -0.01262 0.05953 0.06203 0.04737 1.069 0.191 1232.530 0.01387
0.01205 -0.01264 0.05964 0.06214 0.04847 1.108 0.193 1232.560 0.01389
0.01207 -0.01267 0.05974 0.06225 0.04957 1.020 0.187 1232.590 0.01392
0.01209 -0.01269 0.05985 0.06236 0.05068 0.912 0.179 1232.620 0.01394
0.01211 -0.01271 0.05996 0.06247 0.05178 0.847 0.174 1232.650 0.01397
0.01213 -0.01273 0.06006 0.06258 0.05288 1.242 0.200 1232.679 0.01399
0.01215 -0.01276 0.06017 0.06270 0.05398 1.113 0.192 1232.709 0.01402
0.01218 -0.01278 0.06028 0.06281 0.05509 1.090 0.190 1232.739 0.01404
0.01220 -0.01280 0.06038 0.06292 0.05619 1.108 0.191 1232.769 0.01407
0.01222 -0.01282 0.06049 0.06303 0.05729 1.126 0.191 1232.799 0.01409
0.01224 -0.01285 0.06060 0.06314 0.05840 0.959 0.180 1232.829 0.01411
0.01226 -0.01287 0.06070 0.06325 0.05950 1.038 0.185 1232.859 0.01414
0.01228 -0.01289 0.06081 0.06336 0.06060 1.098 0.189 1232.889 0.01416
0.01230 -0.01291 0.06092 0.06347 0.06170 1.074 0.187 1232.918 0.01419
0.01233 -0.01294 0.06102 0.06358 0.06281 1.335 0.203 1232.948 0.01421
0.01235 -0.01296 0.06113 0.06370 0.06391 1.027 0.183 1232.978 0.01424
0.01237 -0.01298 0.06124 0.06381 0.06501 1.267 0.198 1233.008 0.01426
0.01239 -0.01300 0.06134 0.06392 0.06612 0.920 0.175 1233.038 0.01429
0.01241 -0.01303 0.06145 0.06403 0.06722 1.099 0.187 1233.068 0.01431
0.01243 -0.01305 0.06156 0.06414 0.06832 0.694 0.157 1233.098 0.01434
0.01246 -0.01307 0.06166 0.06425 0.06943 1.013 0.181 1233.128 0.01436
0.01248 -0.01309 0.06177 0.06436 0.07053 0.931 0.174 1233.157 0.01439
0.01250 -0.01312 0.06188 0.06447 0.07163 0.948 0.175 1233.187 0.01441
0.01252 -0.01314 0.06198 0.06459 0.07274 1.085 0.185 1233.217 0.01443
0.01254 -0.01316 0.06209 0.06470 0.07384 1.321 0.199 1233.247 0.01446
0.01256 -0.01319 0.06220 0.06481 0.07494 1.000 0.178 1233.277 0.01448
0.01258 -0.01321 0.06230 0.06492 0.07605 0.998 0.178 1233.307 0.01451
0.01261 -0.01323 0.06241 0.06503 0.07715 1.034 0.180 1233.337 0.01453
0.01263 -0.01325 0.06252 0.06514 0.07825 0.993 0.177 1233.367 0.01456
0.01265 -0.01328 0.06262 0.06525 0.07936 1.147 0.187 1233.397 0.01458
0.01267 -0.01330 0.06273 0.06536 0.08046 0.949 0.173 1233.426 0.01461
0.01269 -0.01332 0.06284 0.06547 0.08156 0.928 0.172 1233.456 0.01463
0.01271 -0.01334 0.06294 0.06559 0.08267 0.731 0.157 1233.486 0.01466
0.01274 -0.01337 0.06305 0.06570 0.08377 0.905 0.169 1233.516 0.01468
0.01276 -0.01339 0.06316 0.06581 0.08488 0.845 0.165 1233.546 0.01470
0.01278 -0.01341 0.06326 0.06592 0.08598 0.997 0.175 1233.576 0.01473
0.01280 -0.01343 0.06337 0.06603 0.08708 0.840 0.164 1233.606 0.01475
0.01282 -0.01346 0.06348 0.06614 0.08819 0.877 0.167 1233.636 0.01478
0.01284 -0.01348 0.06358 0.06625 0.08929 0.990 0.174 1233.665 0.01480
0.01287 -0.01350 0.06369 0.06636 0.09040 1.121 0.183 1233.695 0.01483
0.01289 -0.01352 0.06380 0.06648 0.09150 0.966 0.172 1233.725 0.01485
0.01291 -0.01355 0.06390 0.06659 0.09260 1.193 0.187 1233.755 0.01488
0.01293 -0.01357 0.06401 0.06670 0.09371 0.961 0.171 1233.785 0.01490
0.01295 -0.01359 0.06412 0.06681 0.09481 1.072 0.179 1233.815 0.01493
0.01297 -0.01362 0.06422 0.06692 0.09592 0.880 0.165 1233.845 0.01495
0.01299 -0.01364 0.06433 0.06703 0.09702 1.104 0.180 1233.875 0.01497
0.01302 -0.01366 0.06444 0.06714 0.09813 0.951 0.170 1233.904 0.01500
0.01304 -0.01368 0.06454 0.06725 0.09923 1.138 0.182 1233.934 0.01502
0.01306 -0.01371 0.06465 0.06737 0.10033 1.022 0.174 1233.964 0.01505
0.01308 -0.01373 0.06476 0.06748 0.10144 1.002 0.173 1233.994 0.01507
0.01310 -0.01375 0.06486 0.06759 0.10254 1.225 0.187 1234.024 0.01510
0.01312 -0.01377 0.06497 0.06770 0.10365 1.111 0.179 1234.054 0.01512
0.01315 -0.01380 0.06508 0.06781 0.10475 0.848 0.161 1234.084 0.01515
0.01317 -0.01382 0.06518 0.06792 0.10586 0.902 0.165 1234.114 0.01517
0.01319 -0.01384 0.06529 0.06803 0.10696 1.068 0.176 1234.143 0.01520
0.01321 -0.01386 0.06540 0.06814 0.10807 0.992 0.171 1234.173 0.01522
0.01323 -0.01389 0.06551 0.06826 0.10917 0.953 0.168 1234.203 0.01525
0.01325 -0.01391 0.06561 0.06837 0.11028 1.044 0.174 1234.233 0.01527
0.01327 -0.01393 0.06572 0.06848 0.11138 0.949 0.167 1234.263 0.01529
0.01330 -0.01395 0.06583 0.06859 0.11248 1.003 0.171 1234.293 0.01532
0.01332 -0.01398 0.06593 0.06870 0.11359 1.130 0.179 1234.323 0.01534
0.01334 -0.01400 0.06604 0.06881 0.11469 1.018 0.171 1234.353 0.01537
0.01336 -0.01402 0.06615 0.06892 0.11580 1.090 0.176 1234.383 0.01539
0.01338 -0.01405 0.06625 0.06904 0.11690 1.343 0.179 1234.412 0.01542
0.01340 -0.01407 0.06636 0.06915 0.11801 1.231 0.184 1234.442 0.01544
