x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.02857 0.00261 0.04955 0.05726 0.00000 1.013 0.080 1231.245 0.01281
-0.02862 0.00261 0.04965 0.05737 0.00110 1.046 0.081 1231.275 0.01284
-0.02868 0.00262 0.04975 0.05748 0.00220 0.969 0.078 1231.305 0.01286
-0.02873 0.00262 0.04984 0.05759 0.00330 0.970 0.078 1231.335 0.01289
-0.02879 0.00263 0.04994 0.05770 0.00440 1.006 0.080 1231.365 0.01291
-0.02884 0.00263 0.05003 0.05781 0.00550 0.994 0.079 1231.395 0.01293
-0.02890 0.00264 0.05013 0.05792 0.00661 0.875 0.074 1231.425 0.01296
-0.02895 0.00264 0.05023 0.05803 0.00771 1.082 0.083 1231.454 0.01298
-0.02901 0.00265 0.05032 0.05814 0.00881 1.026 0.081 1231.484 0.01301
-0.02906 0.00265 0.05042 0.05826 0.00991 0.963 0.078 1231.514 0.01303
-0.02912 0.00266 0.05051 0.05837 0.01101 1.000 0.080 1231.544 0.01306
-0.02917 0.00266 0.05061 0.05848 0.01211 0.963 0.078 1231.574 0.01308
-0.02923 0.00267 0.05071 0.05859 0.01321 0.944 0.077 1231.604 0.01311
-0.02928 0.00267 0.05080 0.05870 0.01431 0.988 0.079 1231.634 0.01313
-0.02934 0.00268 0.05090 0.05881 0.01541 0.964 0.078 1231.664 0.01316
-0.02940 0.00268 0.05099 0.05892 0.01652 1.001 0.080 1231.693 0.01318
-0.02945 0.00269 0.05109 0.05903 0.01762 0.863 0.074 1231.723 0.01321
-0.02951 0.00269 0.05119 0.05914 0.01872 0.888 0.075 1231.753 0.01323
-0.02956 0.00270 0.05128 0.05925 0.01982 0.876 0.075 1231.783 0.01325
-0.02962 0.00270 0.05138 0.05936 0.02092 1.021 0.080 1231.813 0.01328
-0.02967 0.00271 0.05147 0.05948 0.02202 0.989 0.079 1231.843 0.01330
-0.02973 0.00271 0.05157 0.05959 0.02312 0.864 0.074 1231.873 0.01333
-0.02978 0.00272 0.05167 0.05970 0.02423 1.127 0.085 1231.903 0.01335
-0.02984 0.00272 0.05176 0.05981 0.02533 0.995 0.079 1231.932 0.01338
-0.02989 0.00273 0.05186 0.05992 0.02643 1.034 0.081 1231.962 0.01340
-0.02995 0.00273 0.05195 0.06003 0.02753 1.008 0.080 1231.992 0.01343
-0.03000 0.00274 0.05205 0.06014 0.02863 1.011 0.080 1232.022 0.01345
-0.03006 0.00274 0.05215 0.06025 0.02973 0.898 0.075 1232.052 0.01348
-0.03012 0.00275 0.05224 0.06036 0.03084 0.957 0.078 1232.082 0.01350
-0.03017 0.00275 0.05234 0.06047 0.03194 0.986 0.079 1232.112 0.01352
-0.03023 0.00276 0.05243 0.06059 0.03304 0.985 0.079 1232.142 0.01355
-0.03028 0.00276 0.05253 0.06070 0.03414 1.024 0.081 1232.171 0.01357
-0.03034 0.00277 0.05263 0.06081 0.03524 0.954 0.078 1232.201 0.01360
-0.03039 0.00277 0.05272 0.06092 0.03635 1.044 0.081 1232.231 0.01362
-0.03045 0.00278 0.05282 0.06103 0.03745 0.995 0.079 1232.261 0.01365
-0.03050 0.00278 0.05292 0.06114 0.03855 1.022 0.081 1232.291 0.01367
-0.03056 0.00279 0.05301 0.06125 0.03965 0.946 0.077 1232.321 0.01370
-0.03061 0.00279 0.05311 0.06136 0.04075 0.969 0.078 1232.351 0.01372
-0.03067 0.00280 0.05320 0.06147 0.04186 0.865 0.074 1232.381 0.01375
-0.03072 0.00280 0.05330 0.06159 0.04296 0.902 0.076 1232.411 0.01377
-0.03078 0.00281 0.05340 0.06170 0.04406 0.945 0.077 1232.440 0.01380
-0.03084 0.00281 0.05349 0.06181 0.04516 0.945 0.077 1232.470 0.01382
-0.03089 0.00282 0.05359 0.06192 0.04627 1.160 0.086 1232.500 0.01384
-0.03095 0.00282 0.05368 0.06203 0.04737 0.971 0.078 1232.530 0.01387
-0.03100 0.00283 0.05378 0.06214 0.04847 1.101 0.084 1232.560 0.01389
-0.03106 0.00283 0.05388 0.06225 0.04957 0.978 0.079 1232.590 0.01392
-0.03111 0.00284 0.05397 0.06236 0.05068 0.948 0.078 1232.620 0.01394
-0.03117 0.00284 0.05407 0.06247 0.05178 0.891 0.075 1232.650 0.01397
-0.03122 0.00285 0.05416 0.06258 0.05288 0.999 0.080 1232.679 0.01399
-0.03128 0.00285 0.05426 0.06270 0.05398 0.910 0.076 1232.709 0.01402
-0.03133 0.00286 0.05436 0.06281 0.05509 0.897 0.075 1232.739 0.01404
-0.03139 0.00286 0.05445 0.06292 0.05619 1.039 0.081 1232.769 0.01407
-0.03145 0.00287 0.05455 0.06303 0.05729 0.872 0.074 1232.799 0.01409
-0.03150 0.00287 0.05465 0.06314 0.05840 1.050 0.082 1232.829 0.01411
-0.03156 0.00288 0.05474 0.06325 0.05950 1.056 0.082 1232.859 0.01414
-0.03161 0.00288 0.05484 0.06336 0.06060 1.169 0.086 1232.889 0.01416
-0.03167 0.00289 0.05493 0.06347 0.06170 1.024 0.081 1232.918 0.01419
-0.03172 0.00289 0.05503 0.06358 0.06281 0.909 0.076 1232.948 0.01421
-0.03178 0.00290 0.05513 0.06370 0.06391 0.895 0.075 1232.978 0.01424
-0.03183 0.00290 0.05522 0.06381 0.06501 0.892 0.075 1233.008 0.01426
-0.03189 0.00291 0.05532 0.06392 0.06612 0.915 0.076 1233.038 0.01429
-0.03194 0.00291 0.05542 0.06403 0.06722 0.856 0.074 1233.068 0.01431
-0.03200 0.00292 0.05551 0.06414 0.06832 0.874 0.074 1233.098 0.01434
-0.03206 0.00292 0.05561 0.06425 0.06943 0.995 0.079 1233.128 0.01436
-0.03211 0.00293 0.05570 0.06436 0.07053 0.876 0.075 1233.157 0.01439
-0.03217 0.00293 0.05580 0.06447 0.07163 0.894 0.075 1233.187 0.01441
-0.03222 0.00294 0.05590 0.06459 0.07274 0.813 0.072 1233.217 0.01443
-0.03228 0.00294 0.05599 0.06470 0.07384 0.749 0.069 1233.247 0.01446
-0.03233 0.00295 0.05609 0.06481 0.07494 0.876 0.077 1233.277 0.01448
-0.03239 0.00295 0.05618 0.06492 0.07605 0.970 0.078 1233.307 0.01451
-0.03244 0.00296 0.05628 0.06503 0.07715 0.725 0.075 1233.337 0.01453
-0.03250 0.00296 0.05638 0.06514 0.07825 1.032 0.081 1233.367 0.01456
-0.03255 0.00297 0.05647 0.06525 0.07936 0.969 0.078 1233.397 0.01458
-0.03261 0.00297 0.05657 0.06536 0.08046 0.945 0.077 1233.426 0.01461
-0.03267 0.00298 0.05667 0.06547 0.08156 0.881 0.075 1233.456 0.01463
-0.03272 0.00299 0.05676 0.06559 0.08267 0.882 0.075 1233.486 0.01466
-0.03278 0.00299 0.05686 0.06570 0.08377 0.939 0.077 1233.516 0.01468
-0.03283 0.00300 0.05695 0.06581 0.08488 1.007 0.080 1233.546 0.01470
-0.03289 0.00300 0.05705 0.06592 0.08598 0.799 0.071 1233.576 0.01473
-0.03294 0.00301 0.05715 0.06603 0.08708 0.912 0.076 1233.606 0.01475
-0.03300 0.00301 0.05724 0.06614 0.08819 0.958 0.079 1233.636 0.01478
-0.03305 0.00302 0.05734 0.06625 0.08929 0.869 0.074 1233.665 0.01480
-0.03311 0.00302 0.05744 0.06636 0.09040 0.983 0.079 1233.695 0.01483
-0.03316 0.00303 0.05753 0.06648 0.09150 0.761 0.069 1233.725 0.01485
-0.03322 0.00303 0.05763 0.06659 0.09260 0.844 0.073 1233.755 0.01488
-0.03328 0.00304 0.05772 0.06670 0.09371 1.033 0.081 1233.785 0.01490
-0.03333 0.00304 0.05782 0.06681 0.09481 0.831 0.073 1233.815 0.01493
-0.03339 0.00305 0.05792 0.06692 0.09592 0.918 0.076 1233.845 0.01495
-0.03344 0.00305 0.05801 0.06703 0.09702 0.986 0.079 1233.875 0.01497
-0.03350 0.00306 0.05811 0.06714 0.09813 1.030 0.081 1233.904 0.01500
-0.03355 0.00306 0.05821 0.06725 0.09923 0.981 0.079 1233.934 0.01502
-0.03361 0.00307 0.05830 0.06737 0.10033 0.962 0.078 1233.964 0.01505
-0.03366 0.00307 0.05840 0.06748 0.10144 0.961 0.078 1233.994 0.01507
-0.03372 0.00308 0.05850 0.06759 0.10254 1.031 0.081 1234.024 0.01510
-0.03378 0.00308 0.05859 0.06770 0.10365 0.944 0.077 1234.054 0.01512
-0.03383 0.00309 0.05869 0.06781 0.10475 1.025 0.081 1234.084 0.01515
-0.03389 0.00309 0.05878 0.06792 0.10586 1.081 0.083 1234.114 0.01517
-0.03394 0.00310 0.05888 0.06803 0.10696 0.968 0.078 1234.143 0.01520
-0.03400 0.00310 0.05898 0.06814 0.10807 0.912 0.076 1234.173 0.01522
-0.03405 0.00311 0.05907 0.06826 0.10917 0.938 0.077 1234.203 0.01525
-0.03411 0.00311 0.05917 0.06837 0.11028 0.906 0.076 1234.233 0.01527
-0.03416 0.00312 0.05927 0.06848 0.11138 1.138 0.085 1234.263 0.01529
-0.03422 0.00312 0.05936 0.06859 0.11248 0.938 0.077 1234.293 0.01532
-0.03427 0.00313 0.05946 0.06870 0.11359 1.056 0.082 1234.323 0.01534
-0.03433 0.00313 0.05955 0.06881 0.11469 0.931 0.077 1234.353 0.01537
-0.03439 0.00314 0.05965 0.06892 0.11580 1.045 0.081 1234.383 0.01539
-0.03444 0.00314 0.05975 0.06904 0.11690 0.993 0.079 1234.412 0.01542
-0.03450 0.00315 0.05984 0.06915 0.11801 1.063 0.082 1234.442 0.01544
-0.03455 0.00315 0.05994 0.06926 0.11911 0.937 0.077 1234.472 0.01547
-0.03461 0.00316 0.06004 0.06937 0.12022 1.088 0.083 1234.502 0.01549
-0.03466 0.00316 0.06013 0.06948 0.12132 0.936 0.077 1234.532 0.01552
-0.03472 0.00317 0.06023 0.06959 0.12243 1.036 0.081 1234.562 0.01554
-0.03477 0.00317 0.06033 0.06970 0.12354 1.006 0.080 1234.592 0.01556
-0.03483 0.00318 0.06042 0.06981 0.12464 0.919 0.076 1234.622 0.01559
-0.03489 0.00318 0.06052 0.06993 0.12575 0.912 0.076 1234.651 0.01561
-0.03494 0.00319 0.06061 0.07004 0.12685 0.968 0.078 1234.681 0.01564
-0.03500 0.00319 0.06071 0.07015 0.12796 0.900 0.075 1234.711 0.01566
-0.03505 0.00320 0.06081 0.07026 0.12906 0.944 0.077 1234.741 0.01569
-0.03511 0.00320 0.06090 0.07037 0.13017 0.982 0.079 1234.771 0.01571
-0.03516 0.00321 0.06100 0.07048 0.13127 1.037 0.081 1234.801 0.01574
-0.03522 0.00321 0.06110 0.07059 0.13238 0.893 0.075 1234.831 0.01576
-0.03527 0.00322 0.06119 0.07071 0.13348 1.062 0.082 1234.861 0.01579
-0.03533 0.00322 0.06129 0.07082 0.13459 0.911 0.076 1234.890 0.01581
-0.03539 0.00323 0.06139 0.07093 0.13570 0.918 0.076 1234.920 0.01584
-0.03544 0.00323 0.06148 0.07104 0.13680 0.986 0.079 1234.950 0.01586
-0.03550 0.00324 0.06158 0.07115 0.13791 0.994 0.079 1234.980 0.01588
-0.03555 0.00324 0.06168 0.07126 0.13901 1.068 0.082 1235.010 0.01591
-0.03561 0.00325 0.06177 0.07137 0.14012 0.979 0.079 1235.040 0.01593
-0.03566 0.00325 0.06187 0.07149 0.14122 1.004 0.080 1235.070 0.01596
-0.03572 0.00326 0.06196 0.07160 0.14233 1.037 0.081 1235.100 0.01598
-0.03578 0.00326 0.06206 0.07171 0.14344 0.798 0.071 1235.129 0.01601
-0.03583 0.00327 0.06216 0.07182 0.14454 0.954 0.078 1235.159 0.01603
-0.03589 0.00327 0.06225 0.07193 0.14565 0.905 0.076 1235.189 0.01606
-0.03594 0.00328 0.06235 0.07204 0.14675 0.898 0.075 1235.219 0.01608
-0.03600 0.00328 0.06245 0.07215 0.14786 0.798 0.071 1235.249 0.01611
-0.03605 0.00329 0.06254 0.07227 0.14897 0.780 0.070 1235.279 0.01613
-0.03611 0.00329 0.06264 0.07238 0.15007 0.811 0.072 1235.309 0.01615
-0.03616 0.00330 0.06274 0.07249 0.15118 0.955 0.078 1235.339 0.01618
-0.03622 0.00330 0.06283 0.07260 0.15228 0.698 0.066 1235.369 0.01620
-0.03628 0.00331 0.06293 0.07271 0.15339 0.879 0.075 1235.398 0.01623
-0.03633 0.00331 0.06303 0.07282 0.15450 0.991 0.079 1235.428 0.01625
-0.03639 0.00332 0.06312 0.07293 0.15560 0.885 0.075 1235.458 0.01628
-0.03644 0.00332 0.06322 0.07305 0.15671 0.852 0.073 1235.488 0.01630
-0.03650 0.00333 0.06331 0.07316 0.15782 0.797 0.074 1235.518 0.01633
-0.03655 0.00333 0.06341 0.07327 0.15892 1.028 0.081 1235.548 0.01635
-0.03661 0.00334 0.06351 0.07338 0.16003 1.035 0.081 1235.578 0.01638
-0.03666 0.00334 0.06360 0.07349 0.16114 0.891 0.075 1235.608 0.01640
-0.03672 0.00335 0.06370 0.07360 0.16224 0.940 0.077 1235.637 0.01643
-0.03678 0.00336 0.06380 0.07371 0.16335 1.129 0.084 1235.667 0.01645
-0.03683 0.00336 0.06389 0.07383 0.16446 0.873 0.074 1235.697 0.01647
-0.03689 0.00337 0.06399 0.07394 0.16556 1.048 0.081 1235.727 0.01650
-0.03694 0.00337 0.06409 0.07405 0.16667 0.959 0.078 1235.757 0.01652
-0.03700 0.00338 0.06418 0.07416 0.16778 1.021 0.080 1235.787 0.01655
-0.03705 0.00338 0.06428 0.07427 0.16888 0.915 0.076 1235.817 0.01657
-0.03711 0.00339 0.06438 0.07438 0.16999 0.934 0.077 1235.847 0.01660
-0.03717 0.00339 0.06447 0.07450 0.17110 0.940 0.077 1235.876 0.01662
-0.03722 0.00340 0.06457 0.07461 0.17220 0.908 0.076 1235.906 0.01665
-0.03728 0.00340 0.06467 0.07472 0.17331 0.945 0.077 1235.936 0.01667
-0.03733 0.00341 0.06476 0.07483 0.17442 0.983 0.079 1235.966 0.01670
-0.03739 0.00341 0.06486 0.07494 0.17553 1.058 0.082 1235.996 0.01672
-0.03744 0.00342 0.06496 0.07505 0.17663 0.997 0.079 1236.026 0.01674
-0.03750 0.00342 0.06505 0.07516 0.17774 1.116 0.084 1236.056 0.01677
-0.03756 0.00343 0.06515 0.07528 0.17885 0.989 0.079 1236.086 0.01679
-0.03761 0.00343 0.06525 0.07539 0.17995 0.897 0.075 1236.115 0.01682
