x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.03146 -0.01605 0.04512 0.05730 0.00000 1.006 0.089 1231.257 0.01282
0.03153 -0.01608 0.04521 0.05741 0.00110 1.054 0.091 1231.287 0.01285
0.03159 -0.01611 0.04529 0.05752 0.00220 0.942 0.087 1231.316 0.01287
0.03165 -0.01614 0.04538 0.05763 0.00331 0.974 0.088 1231.346 0.01290
0.03171 -0.01617 0.04547 0.05774 0.00441 1.116 0.094 1231.376 0.01292
0.03177 -0.01620 0.04556 0.05785 0.00551 1.053 0.091 1231.406 0.01294
0.03183 -0.01623 0.04564 0.05797 0.00661 0.886 0.084 1231.436 0.01297
0.03189 -0.01626 0.04573 0.05808 0.00771 0.966 0.088 1231.466 0.01299
0.03195 -0.01629 0.04582 0.05819 0.00882 0.956 0.087 1231.496 0.01302
0.03201 -0.01633 0.04591 0.05830 0.00992 0.914 0.085 1231.526 0.01304
0.03207 -0.01636 0.04599 0.05841 0.01102 1.070 0.092 1231.556 0.01307
0.03214 -0.01639 0.04608 0.05852 0.01212 0.937 0.086 1231.585 0.01309
0.03220 -0.01642 0.04617 0.05863 0.01323 0.888 0.089 1231.615 0.01312
0.03226 -0.01645 0.04625 0.05874 0.01433 0.819 0.085 1231.645 0.01314
0.03232 -0.01648 0.04634 0.05885 0.01543 1.106 0.094 1231.675 0.01317
0.03238 -0.01651 0.04643 0.05896 0.01653 0.954 0.087 1231.705 0.01319
0.03244 -0.01654 0.04652 0.05908 0.01764 1.200 0.097 1231.735 0.01321
0.03250 -0.01657 0.04660 0.05919 0.01874 0.830 0.086 1231.765 0.01324
0.03256 -0.01661 0.04669 0.05930 0.01984 0.970 0.088 1231.795 0.01326
0.03262 -0.01664 0.04678 0.05941 0.02095 0.889 0.084 1231.825 0.01329
0.03268 -0.01667 0.04687 0.05952 0.02205 0.892 0.084 1231.855 0.01331
0.03274 -0.01670 0.04695 0.05963 0.02315 0.876 0.083 1231.884 0.01334
0.03281 -0.01673 0.04704 0.05974 0.02425 1.133 0.095 1231.914 0.01336
0.03287 -0.01676 0.04713 0.05985 0.02536 0.821 0.081 1231.944 0.01339
0.03293 -0.01679 0.04722 0.05996 0.02646 0.874 0.083 1231.974 0.01341
0.03299 -0.01682 0.04730 0.06007 0.02756 0.745 0.081 1232.004 0.01344
0.03305 -0.01685 0.04739 0.06019 0.02867 0.624 0.080 1232.034 0.01346
0.03311 -0.01689 0.04748 0.06030 0.02977 0.507 0.078 1232.064 0.01349
0.03317 -0.01692 0.04757 0.06041 0.03087 0.614 0.085 1232.094 0.01351
0.03323 -0.01695 0.04765 0.06052 0.03197 0.520 0.079 1232.124 0.01353
