x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.00390 0.03691 0.04356 0.05723 0.00000 1.038 0.036 1231.237 0.01281
0.00390 0.03698 0.04365 0.05734 0.00110 1.079 0.037 1231.267 0.01283
0.00391 0.03705 0.04373 0.05745 0.00220 0.979 0.035 1231.297 0.01285
0.00392 0.03712 0.04381 0.05756 0.00330 1.041 0.036 1231.326 0.01288
0.00393 0.03719 0.04390 0.05767 0.00440 0.992 0.035 1231.356 0.01290
0.00393 0.03726 0.04398 0.05778 0.00550 0.992 0.035 1231.386 0.01293
0.00394 0.03734 0.04407 0.05789 0.00661 0.999 0.035 1231.416 0.01295
0.00395 0.03741 0.04415 0.05800 0.00771 0.950 0.034 1231.446 0.01298
0.00396 0.03748 0.04424 0.05811 0.00881 0.966 0.035 1231.476 0.01300
0.00396 0.03755 0.04432 0.05822 0.00991 0.875 0.033 1231.506 0.01303
0.00397 0.03762 0.04441 0.05834 0.01101 0.995 0.035 1231.536 0.01305
0.00398 0.03769 0.04449 0.05845 0.01211 0.918 0.034 1231.566 0.01308
0.00399 0.03776 0.04457 0.05856 0.01321 0.917 0.034 1231.595 0.01310
0.00399 0.03784 0.04466 0.05867 0.01431 1.069 0.037 1231.625 0.01312
0.00400 0.03791 0.04474 0.05878 0.01541 1.014 0.036 1231.655 0.01315
0.00401 0.03798 0.04483 0.05889 0.01652 1.057 0.036 1231.685 0.01317
0.00402 0.03805 0.04491 0.05900 0.01762 0.986 0.035 1231.715 0.01320
0.00403 0.03812 0.04500 0.05911 0.01872 1.077 0.037 1231.745 0.01322
0.00403 0.03819 0.04508 0.05922 0.01982 0.971 0.035 1231.775 0.01325
0.00404 0.03827 0.04517 0.05933 0.02092 1.012 0.035 1231.805 0.01327
0.00405 0.03834 0.04525 0.05945 0.02202 1.006 0.035 1231.835 0.01330
0.00406 0.03841 0.04533 0.05956 0.02312 0.961 0.035 1231.864 0.01332
0.00406 0.03848 0.04542 0.05967 0.02423 0.979 0.035 1231.894 0.01335
0.00407 0.03855 0.04550 0.05978 0.02533 0.974 0.035 1231.924 0.01337
0.00408 0.03862 0.04559 0.05989 0.02643 0.986 0.035 1231.954 0.01340
0.00409 0.03870 0.04567 0.06000 0.02753 0.884 0.033 1231.984 0.01342
0.00409 0.03877 0.04576 0.06011 0.02863 1.031 0.036 1232.014 0.01344
0.00410 0.03884 0.04584 0.06022 0.02973 0.999 0.035 1232.044 0.01347
0.00411 0.03891 0.04593 0.06033 0.03084 1.000 0.035 1232.074 0.01349
0.00412 0.03898 0.04601 0.06044 0.03194 1.004 0.035 1232.104 0.01352
0.00412 0.03905 0.04610 0.06056 0.03304 0.990 0.035 1232.134 0.01354
0.00413 0.03913 0.04618 0.06067 0.03414 0.948 0.034 1232.163 0.01357
0.00414 0.03920 0.04626 0.06078 0.03524 0.961 0.035 1232.193 0.01359
0.00415 0.03927 0.04635 0.06089 0.03635 0.994 0.035 1232.223 0.01362
0.00415 0.03934 0.04643 0.06100 0.03745 0.974 0.035 1232.253 0.01364
0.00416 0.03941 0.04652 0.06111 0.03855 0.985 0.035 1232.283 0.01367
0.00417 0.03948 0.04660 0.06122 0.03965 1.001 0.035 1232.313 0.01369
0.00418 0.03956 0.04669 0.06133 0.04075 1.053 0.036 1232.343 0.01371
0.00418 0.03963 0.04677 0.06144 0.04186 0.970 0.035 1232.373 0.01374
0.00419 0.03970 0.04686 0.06156 0.04296 0.958 0.034 1232.403 0.01376
0.00420 0.03977 0.04694 0.06167 0.04406 0.954 0.034 1232.432 0.01379
0.00421 0.03984 0.04703 0.06178 0.04516 1.048 0.036 1232.462 0.01381
0.00421 0.03991 0.04711 0.06189 0.04627 1.016 0.035 1232.492 0.01384
0.00422 0.03999 0.04719 0.06200 0.04737 1.087 0.037 1232.522 0.01386
0.00423 0.04006 0.04728 0.06211 0.04847 1.035 0.036 1232.552 0.01389
0.00424 0.04013 0.04736 0.06222 0.04957 1.014 0.035 1232.582 0.01391
0.00424 0.04020 0.04745 0.06233 0.05068 1.015 0.035 1232.612 0.01394
0.00425 0.04027 0.04753 0.06244 0.05178 1.050 0.036 1232.642 0.01396
0.00426 0.04034 0.04762 0.06256 0.05288 1.020 0.035 1232.672 0.01399
0.00427 0.04042 0.04770 0.06267 0.05398 1.082 0.037 1232.701 0.01401
0.00427 0.04049 0.04779 0.06278 0.05509 1.027 0.036 1232.731 0.01403
0.00428 0.04056 0.04787 0.06289 0.05619 1.017 0.035 1232.761 0.01406
0.00429 0.04063 0.04796 0.06300 0.05729 1.049 0.036 1232.791 0.01408
0.00430 0.04070 0.04804 0.06311 0.05840 1.050 0.036 1232.821 0.01411
0.00430 0.04077 0.04813 0.06322 0.05950 1.025 0.036 1232.851 0.01413
0.00431 0.04085 0.04821 0.06333 0.06060 1.024 0.035 1232.881 0.01416
0.00432 0.04092 0.04829 0.06344 0.06170 0.990 0.035 1232.911 0.01418
0.00433 0.04099 0.04838 0.06356 0.06281 1.021 0.035 1232.941 0.01421
0.00434 0.04106 0.04846 0.06367 0.06391 1.019 0.035 1232.970 0.01423
0.00434 0.04113 0.04855 0.06378 0.06501 1.101 0.037 1233.000 0.01426
0.00435 0.04120 0.04863 0.06389 0.06612 1.052 0.036 1233.030 0.01428
0.00436 0.04128 0.04872 0.06400 0.06722 0.999 0.035 1233.060 0.01431
0.00437 0.04135 0.04880 0.06411 0.06832 0.980 0.035 1233.090 0.01433
0.00437 0.04142 0.04889 0.06422 0.06943 0.964 0.034 1233.120 0.01435
0.00438 0.04149 0.04897 0.06433 0.07053 0.986 0.035 1233.150 0.01438
0.00439 0.04156 0.04906 0.06445 0.07163 0.934 0.034 1233.180 0.01440
0.00440 0.04163 0.04914 0.06456 0.07274 1.042 0.036 1233.210 0.01443
0.00440 0.04171 0.04923 0.06467 0.07384 1.002 0.035 1233.240 0.01445
0.00441 0.04178 0.04931 0.06478 0.07494 1.028 0.035 1233.269 0.01448
0.00442 0.04185 0.04940 0.06489 0.07605 0.954 0.034 1233.299 0.01450
0.00443 0.04192 0.04948 0.06500 0.07715 1.032 0.036 1233.329 0.01453
0.00443 0.04199 0.04956 0.06511 0.07825 1.044 0.036 1233.359 0.01455
0.00444 0.04206 0.04965 0.06522 0.07936 0.975 0.035 1233.389 0.01458
0.00445 0.04214 0.04973 0.06534 0.08046 1.069 0.036 1233.419 0.01460
0.00446 0.04221 0.04982 0.06545 0.08156 1.067 0.036 1233.449 0.01462
0.00446 0.04228 0.04990 0.06556 0.08267 1.028 0.035 1233.479 0.01465
0.00447 0.04235 0.04999 0.06567 0.08377 0.997 0.035 1233.509 0.01467
0.00448 0.04242 0.05007 0.06578 0.08488 1.048 0.036 1233.538 0.01470
0.00449 0.04249 0.05016 0.06589 0.08598 0.966 0.034 1233.568 0.01472
0.00449 0.04257 0.05024 0.06600 0.08708 0.974 0.035 1233.598 0.01475
0.00450 0.04264 0.05033 0.06611 0.08819 0.915 0.033 1233.628 0.01477
0.00451 0.04271 0.05041 0.06623 0.08929 0.914 0.033 1233.658 0.01480
0.00452 0.04278 0.05050 0.06634 0.09040 0.751 0.030 1233.688 0.01482
0.00452 0.04285 0.05058 0.06645 0.09150 0.771 0.031 1233.718 0.01485
0.00453 0.04293 0.05067 0.06656 0.09260 0.690 0.029 1233.748 0.01487
0.00454 0.04300 0.05075 0.06667 0.09371 0.655 0.028 1233.778 0.01490
0.00455 0.04307 0.05084 0.06678 0.09481 0.692 0.029 1233.807 0.01492
0.00455 0.04314 0.05092 0.06689 0.09592 0.650 0.028 1233.837 0.01494
0.00456 0.04321 0.05100 0.06700 0.09702 0.678 0.029 1233.867 0.01497
0.00457 0.04328 0.05109 0.06712 0.09812 0.686 0.029 1233.897 0.01499
