x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.01840 0.03855 0.03812 0.05726 0.00000 0.923 0.236 1231.245 0.01281
-0.01843 0.03863 0.03820 0.05737 0.00110 1.049 0.247 1231.275 0.01284
-0.01847 0.03870 0.03827 0.05748 0.00220 1.110 0.252 1231.305 0.01286
-0.01850 0.03878 0.03835 0.05759 0.00330 1.170 0.256 1231.335 0.01289
-0.01854 0.03885 0.03842 0.05770 0.00440 1.294 0.265 1231.365 0.01291
-0.01858 0.03893 0.03849 0.05781 0.00550 1.162 0.254 1231.395 0.01293
-0.01861 0.03900 0.03857 0.05792 0.00661 1.253 0.261 1231.425 0.01296
-0.01865 0.03908 0.03864 0.05803 0.00771 1.313 0.264 1231.454 0.01298
-0.01868 0.03915 0.03872 0.05814 0.00881 1.373 0.269 1231.484 0.01301
-0.01872 0.03923 0.03879 0.05826 0.00991 1.085 0.246 1231.514 0.01303
-0.01875 0.03930 0.03886 0.05837 0.01101 0.830 0.223 1231.544 0.01306
-0.01879 0.03938 0.03894 0.05848 0.01211 1.422 0.270 1231.574 0.01308
-0.01883 0.03945 0.03901 0.05859 0.01321 1.137 0.248 1231.604 0.01311
-0.01886 0.03953 0.03908 0.05870 0.01431 1.103 0.245 1231.634 0.01313
-0.01890 0.03960 0.03916 0.05881 0.01541 1.038 0.238 1231.664 0.01316
-0.01893 0.03967 0.03923 0.05892 0.01652 0.758 0.213 1231.693 0.01318
-0.01897 0.03975 0.03931 0.05903 0.01762 1.123 0.245 1231.723 0.01321
-0.01900 0.03982 0.03938 0.05914 0.01872 0.935 0.228 1231.753 0.01323
-0.01904 0.03990 0.03945 0.05925 0.01982 1.238 0.253 1231.783 0.01325
-0.01907 0.03997 0.03953 0.05936 0.02092 0.898 0.225 1231.813 0.01328
-0.01911 0.04005 0.03960 0.05948 0.02202 0.956 0.230 1231.843 0.01330
-0.01915 0.04012 0.03968 0.05959 0.02312 1.467 0.268 1231.873 0.01333
-0.01918 0.04020 0.03975 0.05970 0.02423 0.949 0.228 1231.903 0.01335
-0.01922 0.04027 0.03982 0.05981 0.02533 1.187 0.247 1231.932 0.01338
-0.01925 0.04035 0.03990 0.05992 0.02643 1.213 0.249 1231.962 0.01340
-0.01929 0.04042 0.03997 0.06003 0.02753 0.880 0.221 1231.992 0.01343
-0.01932 0.04050 0.04005 0.06014 0.02863 0.909 0.223 1232.022 0.01345
-0.01936 0.04057 0.04012 0.06025 0.02973 1.144 0.242 1232.052 0.01348
-0.01940 0.04065 0.04019 0.06036 0.03084 1.052 0.234 1232.082 0.01350
-0.01943 0.04072 0.04027 0.06047 0.03194 0.664 0.199 1232.112 0.01352
-0.01947 0.04080 0.04034 0.06059 0.03304 0.780 0.209 1232.142 0.01355
-0.01950 0.04087 0.04042 0.06070 0.03414 1.248 0.248 1232.171 0.01357
-0.01954 0.04094 0.04049 0.06081 0.03524 1.040 0.231 1232.201 0.01360
-0.01957 0.04102 0.04056 0.06092 0.03635 0.862 0.215 1232.231 0.01362
-0.01961 0.04109 0.04064 0.06103 0.03745 1.383 0.256 1232.261 0.01365
-0.01965 0.04117 0.04071 0.06114 0.03855 0.827 0.211 1232.291 0.01367
-0.01968 0.04124 0.04078 0.06125 0.03965 0.969 0.224 1232.321 0.01370
-0.01972 0.04132 0.04086 0.06136 0.04075 0.793 0.208 1232.351 0.01372
-0.01975 0.04139 0.04093 0.06147 0.04186 1.020 0.227 1232.381 0.01375
-0.01979 0.04147 0.04101 0.06159 0.04296 0.759 0.204 1232.411 0.01377
-0.01982 0.04154 0.04108 0.06170 0.04406 0.699 0.198 1232.440 0.01380
-0.01986 0.04162 0.04115 0.06181 0.04516 0.924 0.218 1232.470 0.01382
-0.01990 0.04169 0.04123 0.06192 0.04627 1.292 0.246 1232.500 0.01384
-0.01993 0.04177 0.04130 0.06203 0.04737 1.062 0.228 1232.530 0.01387
-0.01997 0.04184 0.04138 0.06214 0.04847 0.890 0.214 1232.560 0.01389
-0.02000 0.04192 0.04145 0.06225 0.04957 1.140 0.233 1232.590 0.01392
-0.02004 0.04199 0.04152 0.06236 0.05068 1.052 0.226 1232.620 0.01394
-0.02007 0.04207 0.04160 0.06247 0.05178 0.964 0.219 1232.650 0.01397
-0.02011 0.04214 0.04167 0.06258 0.05288 0.933 0.215 1232.679 0.01399
-0.02015 0.04222 0.04175 0.06270 0.05398 1.238 0.239 1232.709 0.01402
-0.02018 0.04229 0.04182 0.06281 0.05509 1.067 0.226 1232.739 0.01404
-0.02022 0.04237 0.04189 0.06292 0.05619 1.092 0.227 1232.769 0.01407
-0.02025 0.04244 0.04197 0.06303 0.05729 1.007 0.220 1232.799 0.01409
-0.02029 0.04252 0.04204 0.06314 0.05840 1.473 0.254 1232.829 0.01411
-0.02032 0.04259 0.04212 0.06325 0.05950 0.974 0.217 1232.859 0.01414
-0.02036 0.04267 0.04219 0.06336 0.06060 0.971 0.216 1232.889 0.01416
-0.02040 0.04274 0.04226 0.06347 0.06170 1.216 0.235 1232.918 0.01419
-0.02043 0.04281 0.04234 0.06358 0.06281 0.940 0.213 1232.948 0.01421
-0.02047 0.04289 0.04241 0.06370 0.06391 0.938 0.212 1232.978 0.01424
-0.02050 0.04296 0.04249 0.06381 0.06501 1.017 0.219 1233.008 0.01426
-0.02054 0.04304 0.04256 0.06392 0.06612 1.177 0.230 1233.038 0.01429
-0.02057 0.04311 0.04263 0.06403 0.06722 0.877 0.206 1233.068 0.01431
-0.02061 0.04319 0.04271 0.06414 0.06832 1.170 0.229 1233.098 0.01434
-0.02065 0.04326 0.04278 0.06425 0.06943 0.871 0.205 1233.128 0.01436
-0.02068 0.04334 0.04286 0.06436 0.07053 1.296 0.237 1233.157 0.01439
-0.02072 0.04341 0.04293 0.06447 0.07163 1.080 0.221 1233.187 0.01441
-0.02075 0.04349 0.04300 0.06459 0.07274 0.997 0.214 1233.217 0.01443
-0.02079 0.04356 0.04308 0.06470 0.07384 0.941 0.209 1233.247 0.01446
-0.02082 0.04364 0.04315 0.06481 0.07494 1.019 0.215 1233.277 0.01448
-0.02086 0.04371 0.04323 0.06492 0.07605 1.070 0.219 1233.307 0.01451
-0.02090 0.04379 0.04330 0.06503 0.07715 0.883 0.203 1233.337 0.01453
-0.02093 0.04386 0.04337 0.06514 0.07825 1.249 0.231 1233.367 0.01456
-0.02097 0.04394 0.04345 0.06525 0.07936 0.906 0.205 1233.397 0.01458
-0.02100 0.04401 0.04352 0.06536 0.08046 1.035 0.214 1233.426 0.01461
-0.02104 0.04409 0.04360 0.06547 0.08156 0.875 0.201 1233.456 0.01463
-0.02107 0.04416 0.04367 0.06559 0.08267 0.900 0.203 1233.486 0.01466
-0.02111 0.04424 0.04374 0.06570 0.08377 0.820 0.195 1233.516 0.01468
-0.02115 0.04431 0.04382 0.06581 0.08488 1.077 0.216 1233.546 0.01470
-0.02118 0.04439 0.04389 0.06592 0.08598 0.714 0.186 1233.576 0.01473
-0.02122 0.04446 0.04397 0.06603 0.08708 1.099 0.217 1233.606 0.01475
-0.02125 0.04454 0.04404 0.06614 0.08819 0.968 0.207 1233.636 0.01478
-0.02129 0.04461 0.04411 0.06625 0.08929 0.837 0.196 1233.665 0.01480
-0.02132 0.04469 0.04419 0.06636 0.09040 0.655 0.179 1233.695 0.01483
-0.02136 0.04476 0.04426 0.06648 0.09150 0.858 0.197 1233.725 0.01485
-0.02140 0.04484 0.04434 0.06659 0.09260 0.729 0.186 1233.755 0.01488
-0.02143 0.04491 0.04441 0.06670 0.09371 0.728 0.185 1233.785 0.01490
-0.02147 0.04499 0.04449 0.06681 0.09481 0.827 0.194 1233.815 0.01493
-0.02150 0.04506 0.04456 0.06692 0.09592 1.128 0.217 1233.845 0.01495
-0.02154 0.04514 0.04463 0.06703 0.09702 0.596 0.172 1233.875 0.01497
-0.02157 0.04521 0.04471 0.06714 0.09813 0.870 0.197 1233.904 0.01500
-0.02161 0.04529 0.04478 0.06725 0.09923 0.742 0.185 1233.934 0.01502
-0.02165 0.04536 0.04486 0.06737 0.10033 0.941 0.201 1233.964 0.01505
-0.02168 0.04544 0.04493 0.06748 0.10144 0.913 0.198 1233.994 0.01507
-0.02172 0.04551 0.04500 0.06759 0.10254 0.761 0.186 1234.024 0.01510
-0.02175 0.04559 0.04508 0.06770 0.10365 1.033 0.208 1234.054 0.01512
-0.02179 0.04566 0.04515 0.06781 0.10475 0.658 0.176 1234.084 0.01515
-0.02182 0.04574 0.04523 0.06792 0.10586 1.003 0.204 1234.114 0.01517
-0.02186 0.04581 0.04530 0.06803 0.10696 1.149 0.215 1234.143 0.01520
-0.02190 0.04589 0.04537 0.06814 0.10807 0.702 0.179 1234.173 0.01522
-0.02193 0.04596 0.04545 0.06826 0.10917 0.922 0.197 1234.203 0.01525
-0.02197 0.04604 0.04552 0.06837 0.11028 0.944 0.199 1234.233 0.01527
-0.02200 0.04611 0.04560 0.06848 0.11138 1.040 0.206 1234.263 0.01529
-0.02204 0.04618 0.04567 0.06859 0.11248 0.793 0.187 1234.293 0.01532
