x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.02741 0.00418 0.05010 0.05726 0.00000 1.149 0.484 1231.245 0.01281
-0.02746 0.00419 0.05019 0.05737 0.00110 0.983 0.461 1231.275 0.01284
-0.02752 0.00419 0.05029 0.05748 0.00220 1.069 0.471 1231.305 0.01286
-0.02757 0.00420 0.05039 0.05759 0.00330 0.982 0.460 1231.335 0.01289
-0.02762 0.00421 0.05048 0.05770 0.00440 1.149 0.480 1231.365 0.01291
-0.02768 0.00422 0.05058 0.05781 0.00550 1.401 0.510 1231.395 0.01293
-0.02773 0.00423 0.05068 0.05792 0.00661 1.230 0.488 1231.425 0.01296
-0.02778 0.00423 0.05078 0.05803 0.00771 0.895 0.444 1231.454 0.01298
-0.02783 0.00424 0.05087 0.05814 0.00881 0.640 0.409 1231.484 0.01301
-0.02789 0.00425 0.05097 0.05826 0.00991 1.135 0.478 1231.514 0.01303
-0.02794 0.00426 0.05107 0.05837 0.01101 1.303 0.498 1231.544 0.01306
-0.02799 0.00427 0.05116 0.05848 0.01211 0.967 0.456 1231.574 0.01308
-0.02805 0.00427 0.05126 0.05859 0.01321 0.963 0.455 1231.604 0.01311
-0.02810 0.00428 0.05136 0.05870 0.01431 1.380 0.505 1231.634 0.01313
-0.02815 0.00429 0.05145 0.05881 0.01541 0.966 0.452 1231.664 0.01316
-0.02821 0.00430 0.05155 0.05892 0.01652 1.291 0.494 1231.693 0.01318
-0.02826 0.00431 0.05165 0.05903 0.01762 1.346 0.842 1231.723 0.01321
-0.02831 0.00431 0.05175 0.05914 0.01872 0.822 0.745 1231.753 0.01323
-0.02837 0.00432 0.05184 0.05925 0.01982 0.824 0.744 1231.783 0.01325
-0.02842 0.00433 0.05194 0.05936 0.02092 1.686 0.881 1231.813 0.01328
-0.02847 0.00434 0.05204 0.05948 0.02202 1.337 0.841 1231.843 0.01330
-0.02853 0.00435 0.05213 0.05959 0.02312 0.816 0.750 1231.873 0.01333
-0.02858 0.00436 0.05223 0.05970 0.02423 0.817 0.741 1231.903 0.01335
-0.02863 0.00436 0.05233 0.05981 0.02533 0.470 0.669 1231.932 0.01338
-0.02868 0.00437 0.05243 0.05992 0.02643 0.984 0.779 1231.962 0.01340
-0.02874 0.00438 0.05252 0.06003 0.02753 1.327 0.835 1231.992 0.01343
-0.02879 0.00439 0.05262 0.06014 0.02863 0.469 0.679 1232.022 0.01345
-0.02884 0.00440 0.05272 0.06025 0.02973 0.983 0.768 1232.052 0.01348
-0.02890 0.00440 0.05281 0.06036 0.03084 1.838 0.900 1232.082 0.01350
-0.02895 0.00441 0.05291 0.06047 0.03194 1.153 0.797 1232.112 0.01352
-0.02900 0.00442 0.05301 0.06059 0.03304 0.638 0.711 1232.142 0.01355
-0.02906 0.00443 0.05311 0.06070 0.03414 0.807 0.741 1232.171 0.01357
-0.02911 0.00444 0.05320 0.06081 0.03524 1.486 0.854 1232.201 0.01360
-0.02916 0.00444 0.05330 0.06092 0.03635 1.145 0.798 1232.231 0.01362
-0.02922 0.00445 0.05340 0.06103 0.03745 1.992 0.922 1232.261 0.01365
-0.02927 0.00446 0.05349 0.06114 0.03855 0.802 0.739 1232.291 0.01367
-0.02932 0.00447 0.05359 0.06125 0.03965 0.971 0.768 1232.321 0.01370
-0.02938 0.00448 0.05369 0.06136 0.04075 0.799 0.718 1232.351 0.01372
-0.02943 0.00448 0.05379 0.06147 0.04186 1.473 0.836 1232.381 0.01375
-0.02948 0.00449 0.05388 0.06159 0.04296 1.642 0.873 1232.411 0.01377
-0.02954 0.00450 0.05398 0.06170 0.04406 1.473 0.847 1232.440 0.01380
-0.02959 0.00451 0.05408 0.06181 0.04516 0.793 0.734 1232.470 0.01382
