x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.00396 0.01688 0.05457 0.05726 0.00000 0.863 0.168 1231.245 0.01281
0.00397 0.01691 0.05467 0.05737 0.00110 0.922 0.172 1231.275 0.01284
0.00398 0.01694 0.05478 0.05748 0.00220 0.846 0.167 1231.305 0.01286
0.00399 0.01698 0.05489 0.05759 0.00330 1.020 0.179 1231.335 0.01289
0.00400 0.01701 0.05499 0.05770 0.00440 1.059 0.182 1231.365 0.01291
0.00400 0.01704 0.05510 0.05781 0.00550 0.904 0.171 1231.395 0.01293
0.00401 0.01707 0.05520 0.05792 0.00661 1.060 0.182 1231.425 0.01296
0.00402 0.01711 0.05531 0.05803 0.00771 1.080 0.184 1231.454 0.01298
0.00403 0.01714 0.05541 0.05814 0.00881 0.711 0.157 1231.484 0.01301
0.00403 0.01717 0.05552 0.05826 0.00991 0.926 0.173 1231.514 0.01303
0.00404 0.01721 0.05563 0.05837 0.01101 1.063 0.182 1231.544 0.01306
0.00405 0.01724 0.05573 0.05848 0.01211 1.006 0.178 1231.574 0.01308
0.00406 0.01727 0.05584 0.05859 0.01321 0.966 0.176 1231.604 0.01311
0.00406 0.01730 0.05594 0.05870 0.01431 0.830 0.166 1231.634 0.01313
0.00407 0.01734 0.05605 0.05881 0.01541 0.947 0.175 1231.664 0.01316
0.00408 0.01737 0.05615 0.05892 0.01652 0.948 0.175 1231.693 0.01318
0.00409 0.01740 0.05626 0.05903 0.01762 0.795 0.163 1231.723 0.01321
0.00410 0.01743 0.05637 0.05914 0.01872 0.907 0.171 1231.753 0.01323
0.00410 0.01747 0.05647 0.05925 0.01982 0.944 0.172 1231.783 0.01325
0.00411 0.01750 0.05658 0.05936 0.02092 0.832 0.165 1231.813 0.01328
0.00412 0.01753 0.05668 0.05948 0.02202 1.044 0.181 1231.843 0.01330
0.00413 0.01757 0.05679 0.05959 0.02312 0.965 0.176 1231.873 0.01333
0.00413 0.01760 0.05690 0.05970 0.02423 0.917 0.173 1231.903 0.01335
0.00414 0.01763 0.05700 0.05981 0.02533 1.155 0.188 1231.932 0.01338
0.00415 0.01766 0.05711 0.05992 0.02643 1.129 0.187 1231.962 0.01340
0.00416 0.01770 0.05721 0.06003 0.02753 0.832 0.164 1231.992 0.01343
0.00416 0.01773 0.05732 0.06014 0.02863 1.122 0.186 1232.022 0.01345
0.00417 0.01776 0.05742 0.06025 0.02973 0.928 0.173 1232.052 0.01348
0.00418 0.01779 0.05753 0.06036 0.03084 0.916 0.172 1232.082 0.01350
0.00419 0.01783 0.05764 0.06047 0.03194 0.854 0.168 1232.112 0.01352
0.00420 0.01786 0.05774 0.06059 0.03304 0.905 0.171 1232.142 0.01355
0.00420 0.01789 0.05785 0.06070 0.03414 0.989 0.177 1232.171 0.01357
0.00421 0.01793 0.05795 0.06081 0.03524 0.949 0.175 1232.201 0.01360
0.00422 0.01796 0.05806 0.06092 0.03635 0.927 0.174 1232.231 0.01362
0.00423 0.01799 0.05816 0.06103 0.03745 0.910 0.173 1232.261 0.01365
0.00423 0.01802 0.05827 0.06114 0.03855 1.196 0.192 1232.291 0.01367
0.00424 0.01806 0.05838 0.06125 0.03965 0.964 0.175 1232.321 0.01370
0.00425 0.01809 0.05848 0.06136 0.04075 0.606 0.149 1232.351 0.01372
0.00426 0.01812 0.05859 0.06147 0.04186 1.170 0.191 1232.381 0.01375
0.00426 0.01815 0.05869 0.06159 0.04296 0.856 0.169 1232.411 0.01377
0.00427 0.01819 0.05880 0.06170 0.04406 1.235 0.195 1232.440 0.01380
0.00428 0.01822 0.05891 0.06181 0.04516 0.846 0.169 1232.470 0.01382
0.00429 0.01825 0.05901 0.06192 0.04627 1.121 0.189 1232.500 0.01384
0.00430 0.01829 0.05912 0.06203 0.04737 1.018 0.182 1232.530 0.01387
0.00430 0.01832 0.05922 0.06214 0.04847 1.020 0.182 1232.560 0.01389
0.00431 0.01835 0.05933 0.06225 0.04957 0.842 0.169 1232.590 0.01392
0.00432 0.01838 0.05943 0.06236 0.05068 0.942 0.177 1232.620 0.01394
0.00433 0.01842 0.05954 0.06247 0.05178 1.102 0.188 1232.650 0.01397
0.00433 0.01845 0.05965 0.06258 0.05288 1.057 0.184 1232.679 0.01399
0.00434 0.01848 0.05975 0.06270 0.05398 0.901 0.173 1232.709 0.01402
0.00435 0.01851 0.05986 0.06281 0.05509 0.963 0.177 1232.739 0.01404
0.00436 0.01855 0.05996 0.06292 0.05619 0.874 0.170 1232.769 0.01407
0.00436 0.01858 0.06007 0.06303 0.05729 0.942 0.176 1232.799 0.01409
0.00437 0.01861 0.06018 0.06314 0.05840 0.946 0.176 1232.829 0.01411
0.00438 0.01865 0.06028 0.06325 0.05950 0.873 0.170 1232.859 0.01414
0.00439 0.01868 0.06039 0.06336 0.06060 0.966 0.177 1232.889 0.01416
0.00440 0.01871 0.06049 0.06347 0.06170 1.090 0.186 1232.918 0.01419
0.00440 0.01874 0.06060 0.06358 0.06281 0.870 0.170 1232.948 0.01421
0.00441 0.01878 0.06071 0.06370 0.06391 0.730 0.161 1232.978 0.01424
0.00442 0.01881 0.06081 0.06381 0.06501 0.868 0.170 1233.008 0.01426
0.00443 0.01884 0.06092 0.06392 0.06612 1.232 0.195 1233.038 0.01429
0.00443 0.01887 0.06102 0.06403 0.06722 0.901 0.172 1233.068 0.01431
0.00444 0.01891 0.06113 0.06414 0.06832 1.234 0.195 1233.098 0.01434
0.00445 0.01894 0.06124 0.06425 0.06943 0.802 0.166 1233.128 0.01436
0.00446 0.01897 0.06134 0.06436 0.07053 0.811 0.166 1233.157 0.01439
0.00446 0.01901 0.06145 0.06447 0.07163 0.756 0.163 1233.187 0.01441
0.00447 0.01904 0.06155 0.06459 0.07274 0.773 0.165 1233.217 0.01443
0.00448 0.01907 0.06166 0.06470 0.07384 0.894 0.174 1233.247 0.01446
0.00449 0.01910 0.06176 0.06481 0.07494 1.097 0.188 1233.277 0.01448
0.00450 0.01914 0.06187 0.06492 0.07605 0.896 0.174 1233.307 0.01451
0.00450 0.01917 0.06198 0.06503 0.07715 0.917 0.176 1233.337 0.01453
0.00451 0.01920 0.06208 0.06514 0.07825 0.635 0.154 1233.367 0.01456
0.00452 0.01924 0.06219 0.06525 0.07936 0.999 0.182 1233.397 0.01458
0.00453 0.01927 0.06229 0.06536 0.08046 0.817 0.169 1233.426 0.01461
0.00453 0.01930 0.06240 0.06547 0.08156 0.857 0.172 1233.456 0.01463
0.00454 0.01933 0.06251 0.06559 0.08267 0.716 0.160 1233.486 0.01466
0.00455 0.01937 0.06261 0.06570 0.08377 1.201 0.195 1233.516 0.01468
0.00456 0.01940 0.06272 0.06581 0.08488 0.878 0.173 1233.546 0.01470
0.00456 0.01943 0.06282 0.06592 0.08598 1.000 0.182 1233.576 0.01473
0.00457 0.01946 0.06293 0.06603 0.08708 1.000 0.182 1233.606 0.01475
0.00458 0.01950 0.06304 0.06614 0.08819 0.819 0.169 1233.636 0.01478
0.00459 0.01953 0.06314 0.06625 0.08929 0.962 0.180 1233.665 0.01480
0.00460 0.01956 0.06325 0.06636 0.09040 0.817 0.169 1233.695 0.01483
0.00460 0.01960 0.06335 0.06648 0.09150 1.143 0.192 1233.725 0.01485
0.00461 0.01963 0.06346 0.06659 0.09260 1.082 0.188 1233.755 0.01488
0.00462 0.01966 0.06357 0.06670 0.09371 1.285 0.187 1233.785 0.01490
0.00463 0.01969 0.06367 0.06681 0.09481 0.874 0.179 1233.815 0.01493
0.00463 0.01973 0.06378 0.06692 0.09592 0.939 0.184 1233.845 0.01495
0.00464 0.01976 0.06388 0.06703 0.09702 0.758 0.165 1233.875 0.01497
0.00465 0.01979 0.06399 0.06714 0.09813 0.810 0.180 1233.904 0.01500
0.00466 0.01983 0.06410 0.06725 0.09923 0.867 0.173 1233.934 0.01502
0.00466 0.01986 0.06420 0.06737 0.10033 1.033 0.183 1233.964 0.01505
0.00467 0.01989 0.06431 0.06748 0.10144 1.006 0.182 1233.994 0.01507
0.00468 0.01992 0.06442 0.06759 0.10254 0.876 0.173 1234.024 0.01510
0.00469 0.01996 0.06452 0.06770 0.10365 0.753 0.164 1234.054 0.01512
0.00470 0.01999 0.06463 0.06781 0.10475 0.856 0.172 1234.084 0.01515
0.00470 0.02002 0.06473 0.06792 0.10586 1.091 0.188 1234.114 0.01517
0.00471 0.02006 0.06484 0.06803 0.10696 0.796 0.167 1234.143 0.01520
0.00472 0.02009 0.06495 0.06814 0.10807 0.990 0.181 1234.173 0.01522
0.00473 0.02012 0.06505 0.06826 0.10917 0.900 0.175 1234.203 0.01525
0.00473 0.02015 0.06516 0.06837 0.11028 0.795 0.167 1234.233 0.01527
0.00474 0.02019 0.06526 0.06848 0.11138 1.010 0.183 1234.263 0.01529
0.00475 0.02022 0.06537 0.06859 0.11248 0.767 0.166 1234.293 0.01532
0.00476 0.02025 0.06548 0.06870 0.11359 1.056 0.186 1234.323 0.01534
0.00477 0.02028 0.06558 0.06881 0.11469 0.795 0.166 1234.353 0.01537
0.00477 0.02032 0.06569 0.06892 0.11580 1.006 0.183 1234.383 0.01539
0.00478 0.02035 0.06579 0.06904 0.11690 0.915 0.177 1234.412 0.01542
0.00479 0.02038 0.06590 0.06915 0.11801 1.036 0.186 1234.442 0.01544
0.00480 0.02042 0.06601 0.06926 0.11911 1.075 0.189 1234.472 0.01547
0.00480 0.02045 0.06611 0.06937 0.12022 1.014 0.185 1234.502 0.01549
0.00481 0.02048 0.06622 0.06948 0.12132 0.953 0.180 1234.532 0.01552
0.00482 0.02051 0.06632 0.06959 0.12243 0.955 0.181 1234.562 0.01554
0.00483 0.02055 0.06643 0.06970 0.12354 0.914 0.178 1234.592 0.01556
0.00483 0.02058 0.06654 0.06981 0.12464 0.873 0.174 1234.622 0.01559
0.00484 0.02061 0.06664 0.06993 0.12575 1.037 0.187 1234.651 0.01561
0.00485 0.02065 0.06675 0.07004 0.12685 0.770 0.167 1234.681 0.01564
0.00486 0.02068 0.06686 0.07015 0.12796 1.141 0.194 1234.711 0.01566
0.00487 0.02071 0.06696 0.07026 0.12906 0.896 0.176 1234.741 0.01569
0.00487 0.02074 0.06707 0.07037 0.13017 0.978 0.183 1234.771 0.01571
0.00488 0.02078 0.06717 0.07048 0.13127 1.104 0.191 1234.801 0.01574
0.00489 0.02081 0.06728 0.07059 0.13238 0.918 0.178 1234.831 0.01576
0.00490 0.02084 0.06739 0.07071 0.13348 0.836 0.172 1234.861 0.01579
0.00490 0.02088 0.06749 0.07082 0.13459 0.919 0.178 1234.890 0.01581
0.00491 0.02091 0.06760 0.07093 0.13570 0.960 0.181 1234.920 0.01584
0.00492 0.02094 0.06770 0.07104 0.13680 0.919 0.178 1234.950 0.01586
0.00493 0.02097 0.06781 0.07115 0.13791 0.899 0.177 1234.980 0.01588
0.00493 0.02101 0.06792 0.07126 0.13901 0.900 0.177 1235.010 0.01591
0.00494 0.02104 0.06802 0.07137 0.14012 1.190 0.197 1235.040 0.01593
0.00495 0.02107 0.06813 0.07149 0.14122 0.879 0.176 1235.070 0.01596
0.00496 0.02111 0.06824 0.07160 0.14233 0.961 0.182 1235.100 0.01598
0.00497 0.02114 0.06834 0.07171 0.14344 0.755 0.166 1235.129 0.01601
0.00497 0.02117 0.06845 0.07182 0.14454 0.900 0.177 1235.159 0.01603
0.00498 0.02120 0.06855 0.07193 0.14565 1.005 0.185 1235.189 0.01606
0.00499 0.02124 0.06866 0.07204 0.14675 0.508 0.144 1235.219 0.01608
0.00500 0.02127 0.06877 0.07215 0.14786 1.026 0.187 1235.249 0.01611
0.00500 0.02130 0.06887 0.07227 0.14897 0.840 0.173 1235.279 0.01613
0.00501 0.02134 0.06898 0.07238 0.15007 1.068 0.190 1235.309 0.01615
0.00502 0.02137 0.06909 0.07249 0.15118 1.005 0.185 1235.339 0.01618
0.00503 0.02140 0.06919 0.07260 0.15228 0.962 0.182 1235.369 0.01620
0.00504 0.02143 0.06930 0.07271 0.15339 0.839 0.173 1235.398 0.01623
0.00504 0.02147 0.06940 0.07282 0.15450 1.060 0.188 1235.428 0.01625
0.00505 0.02150 0.06951 0.07293 0.15560 1.452 0.213 1235.458 0.01628
0.00506 0.02153 0.06962 0.07305 0.15671 0.935 0.180 1235.488 0.01630
0.00507 0.02157 0.06972 0.07316 0.15782 0.841 0.172 1235.518 0.01633
0.00507 0.02160 0.06983 0.07327 0.15892 1.038 0.186 1235.548 0.01635
0.00508 0.02163 0.06993 0.07338 0.16003 0.872 0.175 1235.578 0.01638
0.00509 0.02166 0.07004 0.07349 0.16114 0.862 0.174 1235.608 0.01640
0.00510 0.02170 0.07015 0.07360 0.16224 0.860 0.174 1235.637 0.01643
0.00510 0.02173 0.07025 0.07371 0.16335 0.936 0.180 1235.667 0.01645
0.00511 0.02176 0.07036 0.07383 0.16446 1.139 0.193 1235.697 0.01647
0.00512 0.02180 0.07047 0.07394 0.16556 0.813 0.170 1235.727 0.01650
0.00513 0.02183 0.07057 0.07405 0.16667 0.970 0.182 1235.757 0.01652
0.00514 0.02186 0.07068 0.07416 0.16778 0.962 0.182 1235.787 0.01655
0.00514 0.02189 0.07079 0.07427 0.16888 1.159 0.195 1235.817 0.01657
0.00515 0.02193 0.07089 0.07438 0.16999 1.034 0.188 1235.847 0.01660
0.00516 0.02196 0.07100 0.07450 0.17110 0.872 0.176 1235.876 0.01662
0.00517 0.02199 0.07110 0.07461 0.17220 0.637 0.156 1235.906 0.01665
0.00517 0.02203 0.07121 0.07472 0.17331 1.018 0.186 1235.936 0.01667
0.00518 0.02206 0.07132 0.07483 0.17442 1.030 0.188 1235.966 0.01670
0.00519 0.02209 0.07142 0.07494 0.17553 1.300 0.206 1235.996 0.01672
0.00520 0.02212 0.07153 0.07505 0.17663 0.968 0.184 1236.026 0.01674
0.00520 0.02216 0.07164 0.07516 0.17774 1.154 0.197 1236.056 0.01677
0.00521 0.02219 0.07174 0.07528 0.17885 0.842 0.174 1236.086 0.01679
0.00522 0.02222 0.07185 0.07539 0.17995 0.926 0.180 1236.115 0.01682
0.00523 0.02226 0.07195 0.07550 0.18106 0.780 0.170 1236.145 0.01684
0.00524 0.02229 0.07206 0.07561 0.18217 0.969 0.184 1236.175 0.01687
0.00524 0.02232 0.07217 0.07572 0.18328 0.905 0.179 1236.205 0.01689
0.00525 0.02235 0.07227 0.07583 0.18438 0.926 0.181 1236.235 0.01692
0.00526 0.02239 0.07238 0.07595 0.18549 1.074 0.191 1236.265 0.01694
0.00527 0.02242 0.07249 0.07606 0.18660 0.907 0.180 1236.295 0.01697
0.00527 0.02245 0.07259 0.07617 0.18771 1.013 0.187 1236.325 0.01699
0.00528 0.02249 0.07270 0.07628 0.18881 0.865 0.177 1236.355 0.01701
0.00529 0.02252 0.07281 0.07639 0.18992 1.201 0.200 1236.384 0.01704
0.00530 0.02255 0.07291 0.07650 0.19103 0.761 0.168 1236.414 0.01706
0.00531 0.02258 0.07302 0.07661 0.19214 0.761 0.168 1236.444 0.01709
0.00531 0.02262 0.07312 0.07673 0.19324 0.928 0.181 1236.474 0.01711
0.00532 0.02265 0.07323 0.07684 0.19435 0.844 0.175 1236.504 0.01714
0.00533 0.02268 0.07334 0.07695 0.19546 1.306 0.207 1236.534 0.01716
0.00534 0.02272 0.07344 0.07706 0.19657 0.866 0.177 1236.564 0.01719
0.00534 0.02275 0.07355 0.07717 0.19768 1.076 0.192 1236.594 0.01721
0.00535 0.02278 0.07366 0.07728 0.19878 1.012 0.188 1236.623 0.01724
0.00536 0.02282 0.07376 0.07740 0.19989 1.203 0.200 1236.653 0.01726
0.00537 0.02285 0.07387 0.07751 0.20100 1.036 0.189 1236.683 0.01729
0.00537 0.02288 0.07398 0.07762 0.20211 0.889 0.179 1236.713 0.01731
0.00538 0.02291 0.07408 0.07773 0.20322 1.099 0.194 1236.743 0.01733
0.00539 0.02295 0.07419 0.07784 0.20432 1.017 0.188 1236.773 0.01736
0.00540 0.02298 0.07429 0.07795 0.20543 0.849 0.176 1236.803 0.01738
0.00541 0.02301 0.07440 0.07807 0.20654 1.081 0.192 1236.833 0.01741
0.00541 0.02305 0.07451 0.07818 0.20765 1.145 0.197 1236.862 0.01743
0.00542 0.02308 0.07461 0.07829 0.20876 0.745 0.167 1236.892 0.01746
0.00543 0.02311 0.07472 0.07840 0.20987 0.935 0.182 1236.922 0.01748
0.00544 0.02314 0.07483 0.07851 0.21097 0.914 0.181 1236.952 0.01751
0.00544 0.02318 0.07493 0.07862 0.21208 1.041 0.189 1236.982 0.01753
0.00545 0.02321 0.07504 0.07874 0.21319 0.999 0.186 1237.012 0.01756
0.00546 0.02324 0.07515 0.07885 0.21430 0.918 0.181 1237.042 0.01758
0.00547 0.02328 0.07525 0.07896 0.21541 0.658 0.159 1237.072 0.01760
0.00548 0.02331 0.07536 0.07907 0.21652 1.128 0.194 1237.101 0.01763
0.00548 0.02334 0.07547 0.07918 0.21762 1.146 0.195 1237.131 0.01765
0.00549 0.02337 0.07557 0.07929 0.21873 0.816 0.171 1237.161 0.01768
0.00550 0.02341 0.07568 0.07941 0.21984 0.861 0.176 1237.191 0.01770
0.00551 0.02344 0.07578 0.07952 0.22095 0.961 0.184 1237.221 0.01773
0.00551 0.02347 0.07589 0.07963 0.22206 1.187 0.199 1237.251 0.01775
0.00552 0.02351 0.07600 0.07974 0.22317 1.057 0.190 1237.281 0.01778
0.00553 0.02354 0.07610 0.07985 0.22428 0.816 0.171 1237.311 0.01780
0.00554 0.02357 0.07621 0.07996 0.22539 1.001 0.186 1237.341 0.01783
0.00555 0.02361 0.07632 0.08008 0.22650 0.914 0.180 1237.370 0.01785
0.00555 0.02364 0.07642 0.08019 0.22760 1.380 0.211 1237.400 0.01788
0.00556 0.02367 0.07653 0.08030 0.22871 1.105 0.193 1237.430 0.01790
0.00557 0.02370 0.07664 0.08041 0.22982 1.110 0.193 1237.460 0.01792
0.00558 0.02374 0.07674 0.08052 0.23093 1.014 0.187 1237.490 0.01795
0.00558 0.02377 0.07685 0.08064 0.23204 0.964 0.183 1237.520 0.01797
0.00559 0.02380 0.07696 0.08075 0.23315 1.012 0.186 1237.550 0.01800
0.00560 0.02384 0.07706 0.08086 0.23426 0.861 0.177 1237.580 0.01802
0.00561 0.02387 0.07717 0.08097 0.23537 0.989 0.186 1237.609 0.01805
0.00561 0.02390 0.07728 0.08108 0.23648 1.103 0.200 1237.639 0.01807
0.00562 0.02393 0.07738 0.08119 0.23759 0.921 0.193 1237.669 0.01810
0.00563 0.02397 0.07749 0.08131 0.23870 1.286 0.205 1237.699 0.01812
