x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.03575 0.00932 0.04374 0.05726 0.00000 1.033 0.063 1231.245 0.01281
-0.03582 0.00934 0.04383 0.05737 0.00110 0.879 0.058 1231.275 0.01284
-0.03589 0.00936 0.04391 0.05748 0.00220 0.843 0.057 1231.305 0.01286
-0.03596 0.00938 0.04400 0.05759 0.00330 1.016 0.062 1231.335 0.01289
-0.03603 0.00939 0.04408 0.05770 0.00440 0.950 0.060 1231.365 0.01291
-0.03610 0.00941 0.04417 0.05781 0.00550 0.853 0.057 1231.395 0.01293
-0.03617 0.00943 0.04425 0.05792 0.00661 0.895 0.059 1231.425 0.01296
-0.03624 0.00945 0.04433 0.05803 0.00771 1.019 0.062 1231.454 0.01298
-0.03630 0.00947 0.04442 0.05814 0.00881 0.885 0.058 1231.484 0.01301
-0.03637 0.00948 0.04450 0.05826 0.00991 0.947 0.060 1231.514 0.01303
-0.03644 0.00950 0.04459 0.05837 0.01101 0.927 0.059 1231.544 0.01306
-0.03651 0.00952 0.04467 0.05848 0.01211 1.000 0.062 1231.574 0.01308
-0.03658 0.00954 0.04476 0.05859 0.01321 0.998 0.062 1231.604 0.01311
-0.03665 0.00956 0.04484 0.05870 0.01431 0.986 0.061 1231.634 0.01313
-0.03672 0.00957 0.04493 0.05881 0.01541 1.069 0.064 1231.664 0.01316
-0.03679 0.00959 0.04501 0.05892 0.01652 0.939 0.060 1231.693 0.01318
-0.03686 0.00961 0.04510 0.05903 0.01762 0.907 0.059 1231.723 0.01321
-0.03693 0.00963 0.04518 0.05914 0.01872 1.119 0.065 1231.753 0.01323
-0.03700 0.00965 0.04527 0.05925 0.01982 0.873 0.058 1231.783 0.01325
-0.03707 0.00966 0.04535 0.05936 0.02092 1.128 0.065 1231.813 0.01328
-0.03714 0.00968 0.04544 0.05948 0.02202 0.945 0.060 1231.843 0.01330
-0.03721 0.00970 0.04552 0.05959 0.02312 1.018 0.062 1231.873 0.01333
-0.03727 0.00972 0.04561 0.05970 0.02423 0.914 0.059 1231.903 0.01335
-0.03734 0.00974 0.04569 0.05981 0.02533 0.961 0.060 1231.932 0.01338
-0.03741 0.00976 0.04578 0.05992 0.02643 0.877 0.058 1231.962 0.01340
-0.03748 0.00977 0.04586 0.06003 0.02753 0.960 0.060 1231.992 0.01343
-0.03755 0.00979 0.04595 0.06014 0.02863 0.917 0.059 1232.022 0.01345
-0.03762 0.00981 0.04603 0.06025 0.02973 1.037 0.063 1232.052 0.01348
-0.03769 0.00983 0.04612 0.06036 0.03084 1.034 0.062 1232.082 0.01350
-0.03776 0.00985 0.04620 0.06047 0.03194 0.918 0.059 1232.112 0.01352
-0.03783 0.00986 0.04628 0.06059 0.03304 0.996 0.061 1232.142 0.01355
-0.03790 0.00988 0.04637 0.06070 0.03414 0.980 0.061 1232.171 0.01357
-0.03797 0.00990 0.04645 0.06081 0.03524 1.000 0.061 1232.201 0.01360
-0.03804 0.00992 0.04654 0.06092 0.03635 1.011 0.062 1232.231 0.01362
-0.03811 0.00994 0.04662 0.06103 0.03745 0.964 0.060 1232.261 0.01365
-0.03818 0.00995 0.04671 0.06114 0.03855 0.788 0.054 1232.291 0.01367
-0.03825 0.00997 0.04679 0.06125 0.03965 0.911 0.058 1232.321 0.01370
-0.03831 0.00999 0.04688 0.06136 0.04075 0.940 0.059 1232.351 0.01372
-0.03838 0.01001 0.04696 0.06147 0.04186 0.959 0.060 1232.381 0.01375
-0.03845 0.01003 0.04705 0.06159 0.04296 0.869 0.057 1232.411 0.01377
-0.03852 0.01004 0.04713 0.06170 0.04406 1.037 0.062 1232.440 0.01380
-0.03859 0.01006 0.04722 0.06181 0.04516 0.987 0.061 1232.470 0.01382
-0.03866 0.01008 0.04730 0.06192 0.04627 0.975 0.060 1232.500 0.01384
-0.03873 0.01010 0.04739 0.06203 0.04737 0.870 0.057 1232.530 0.01387
-0.03880 0.01012 0.04747 0.06214 0.04847 0.873 0.057 1232.560 0.01389
-0.03887 0.01013 0.04756 0.06225 0.04957 1.073 0.063 1232.590 0.01392
-0.03894 0.01015 0.04764 0.06236 0.05068 0.877 0.057 1232.620 0.01394
-0.03901 0.01017 0.04773 0.06247 0.05178 0.937 0.059 1232.650 0.01397
-0.03908 0.01019 0.04781 0.06258 0.05288 0.949 0.059 1232.679 0.01399
-0.03915 0.01021 0.04790 0.06270 0.05398 1.042 0.062 1232.709 0.01402
-0.03922 0.01023 0.04798 0.06281 0.05509 0.975 0.060 1232.739 0.01404
-0.03929 0.01024 0.04807 0.06292 0.05619 0.949 0.059 1232.769 0.01407
-0.03936 0.01026 0.04815 0.06303 0.05729 1.029 0.062 1232.799 0.01409
-0.03942 0.01028 0.04824 0.06314 0.05840 0.861 0.057 1232.829 0.01411
-0.03949 0.01030 0.04832 0.06325 0.05950 1.105 0.064 1232.859 0.01414
-0.03956 0.01032 0.04841 0.06336 0.06060 1.030 0.062 1232.889 0.01416
-0.03963 0.01033 0.04849 0.06347 0.06170 0.930 0.059 1232.918 0.01419
-0.03970 0.01035 0.04858 0.06358 0.06281 1.027 0.062 1232.948 0.01421
-0.03977 0.01037 0.04866 0.06370 0.06391 0.963 0.060 1232.978 0.01424
