x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
0.03144 -0.01603 0.04509 0.05726 0.00000 0.995 0.072 1231.245 0.01281
0.03150 -0.01606 0.04517 0.05737 0.00110 1.021 0.073 1231.275 0.01284
0.03156 -0.01610 0.04526 0.05748 0.00220 1.038 0.073 1231.305 0.01286
0.03162 -0.01613 0.04535 0.05759 0.00330 0.871 0.067 1231.335 0.01289
0.03169 -0.01616 0.04543 0.05770 0.00440 1.011 0.072 1231.365 0.01291
0.03175 -0.01619 0.04552 0.05781 0.00550 0.999 0.072 1231.395 0.01293
0.03181 -0.01622 0.04561 0.05792 0.00661 0.961 0.070 1231.425 0.01296
0.03187 -0.01625 0.04570 0.05803 0.00771 0.957 0.070 1231.454 0.01298
0.03193 -0.01628 0.04578 0.05814 0.00881 0.983 0.071 1231.484 0.01301
0.03199 -0.01631 0.04587 0.05826 0.00991 1.058 0.074 1231.514 0.01303
0.03205 -0.01634 0.04596 0.05837 0.01101 0.934 0.069 1231.544 0.01306
0.03211 -0.01638 0.04605 0.05848 0.01211 1.051 0.073 1231.574 0.01308
0.03217 -0.01641 0.04613 0.05859 0.01321 0.944 0.070 1231.604 0.01311
0.03223 -0.01644 0.04622 0.05870 0.01431 0.857 0.066 1231.634 0.01313
0.03229 -0.01647 0.04631 0.05881 0.01541 0.988 0.075 1231.664 0.01316
0.03236 -0.01650 0.04640 0.05892 0.01652 0.947 0.073 1231.693 0.01318
0.03242 -0.01653 0.04648 0.05903 0.01762 1.063 0.077 1231.723 0.01321
0.03248 -0.01656 0.04657 0.05914 0.01872 1.035 0.076 1231.753 0.01323
0.03254 -0.01659 0.04666 0.05925 0.01982 0.881 0.070 1231.783 0.01325
0.03260 -0.01662 0.04675 0.05936 0.02092 0.879 0.069 1231.813 0.01328
0.03266 -0.01666 0.04683 0.05948 0.02202 0.817 0.065 1231.843 0.01330
0.03272 -0.01669 0.04692 0.05959 0.02312 0.931 0.069 1231.873 0.01333
0.03278 -0.01672 0.04701 0.05970 0.02423 0.994 0.071 1231.903 0.01335
0.03284 -0.01675 0.04709 0.05981 0.02533 0.881 0.067 1231.932 0.01338
0.03290 -0.01678 0.04718 0.05992 0.02643 0.941 0.069 1231.962 0.01340
