x y z dist_scaled dist_frac flux_norm sig_norm wavelength redshift
-0.00318 -0.01359 0.05553 0.05726 0.00000 0.978 0.139 1231.245 0.01281
-0.00319 -0.01362 0.05564 0.05737 0.00110 0.862 0.133 1231.275 0.01284
-0.00319 -0.01364 0.05574 0.05748 0.00220 1.007 0.141 1231.305 0.01286
-0.00320 -0.01367 0.05585 0.05759 0.00330 0.902 0.134 1231.335 0.01289
-0.00321 -0.01370 0.05596 0.05770 0.00440 0.977 0.130 1231.365 0.01291
-0.00321 -0.01372 0.05607 0.05781 0.00550 1.119 0.131 1231.395 0.01293
-0.00322 -0.01375 0.05618 0.05792 0.00661 1.010 0.141 1231.425 0.01296
-0.00322 -0.01377 0.05628 0.05803 0.00771 1.148 0.131 1231.454 0.01298
-0.00323 -0.01380 0.05639 0.05814 0.00881 0.973 0.139 1231.484 0.01301
-0.00324 -0.01383 0.05650 0.05826 0.00991 1.027 0.133 1231.514 0.01303
-0.00324 -0.01385 0.05661 0.05837 0.01101 1.160 0.141 1231.544 0.01306
-0.00325 -0.01388 0.05671 0.05848 0.01211 0.999 0.132 1231.574 0.01308
-0.00326 -0.01391 0.05682 0.05859 0.01321 1.093 0.128 1231.604 0.01311
-0.00326 -0.01393 0.05693 0.05870 0.01431 0.914 0.126 1231.634 0.01313
-0.00327 -0.01396 0.05704 0.05881 0.01541 0.643 0.117 1231.664 0.01316
-0.00327 -0.01399 0.05714 0.05892 0.01652 0.778 0.127 1231.693 0.01318
-0.00328 -0.01401 0.05725 0.05903 0.01762 0.870 0.123 1231.723 0.01321
-0.00329 -0.01404 0.05736 0.05914 0.01872 0.924 0.136 1231.753 0.01323
-0.00329 -0.01406 0.05747 0.05925 0.01982 0.807 0.129 1231.783 0.01325
-0.00330 -0.01409 0.05757 0.05936 0.02092 0.950 0.137 1231.813 0.01328
-0.00330 -0.01412 0.05768 0.05948 0.02202 0.980 0.138 1231.843 0.01330
-0.00331 -0.01414 0.05779 0.05959 0.02312 1.099 0.146 1231.873 0.01333
-0.00332 -0.01417 0.05790 0.05970 0.02423 0.981 0.139 1231.903 0.01335
-0.00332 -0.01420 0.05800 0.05981 0.02533 1.155 0.132 1231.932 0.01338
-0.00333 -0.01422 0.05811 0.05992 0.02643 1.115 0.139 1231.962 0.01340
